Gene_Classification,Gene_Description,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Entity_Type,Orthologous_Gene,Genomic_Start_Position,Strand_Orientation
0,0,1392058,311,311,4,0,167,1391459,0
0,0,253089,180,180,4,0,21,252442,0
0,0,897457,278,278,4,0,60,896894,0
0,0,358436,283,283,2,0,56,358038,1
0,0,782,48,48,4,0,127,129,1
0,0,371048,282,282,4,0,98,370350,1
0,0,1932015,107,107,4,0,96,1931470,0
0,0,7470,274,274,4,0,127,6853,1
0,0,76266,285,285,4,0,46,75574,1
0,0,16265,14,14,4,0,144,15666,1
0,0,605996,244,244,4,0,6,605367,1
0,0,332148,411,411,4,0,98,331510,0
1,0,844685,369,369,3,1,113,844098,0
0,0,1790185,225,225,4,0,34,1789544,1
0,0,617680,239,239,4,0,15,617066,1
0,0,17055,50,50,4,0,41,16375,0
0,0,1591262,333,333,4,0,68,1590720,0
0,0,31626,358,358,4,0,22,31012,0
0,0,67780,415,415,4,0,31,67067,0
0,0,425359,254,254,4,0,23,424565,0
0,0,281837,181,181,4,0,99,281250,0
0,0,1169771,349,349,4,0,73,1169145,0
0,0,1192370,318,318,4,0,162,1191744,1
0,0,18926,390,390,4,0,153,18276,0
0,0,2103139,226,226,4,0,57,2102468,1
0,0,1094415,321,321,4,0,57,1093786,1
0,0,59685,51,51,4,0,75,58891,0
0,0,395098,43,43,4,0,162,394403,1
0,0,128464,416,416,2,0,7,128075,0
0,0,1132814,320,320,4,0,57,1132212,1
1,0,385637,22,22,3,1,55,384969,0
0,0,1348,170,170,4,0,41,512,1
0,0,567879,382,382,2,0,88,567310,0
0,0,190891,67,67,4,0,98,190256,1
0,0,3660,199,199,4,0,41,3085,1
0,0,756041,99,99,4,0,96,755460,1
0,0,1653046,113,113,4,0,57,1652444,1
0,0,7200,137,137,4,0,24,6637,0
0,0,17644,350,350,4,0,157,17072,0
0,0,388432,198,198,2,0,72,388043,1
0,0,1001979,95,95,4,0,167,1001410,0
0,0,1611491,332,332,4,0,123,1610868,0
0,0,6125,12,12,4,0,71,5631,1
0,0,1806636,339,339,4,0,148,1806064,0
0,0,1150552,317,317,4,0,17,1149983,1
0,0,377041,364,364,4,0,25,376496,1
0,0,389569,255,255,4,0,110,388676,0
0,0,1212108,314,314,4,0,17,1211533,0
0,0,1793869,335,335,4,0,96,1793264,1
0,0,1559,53,53,4,0,41,987,1
0,0,421453,417,417,4,0,162,420860,0
0,0,410649,145,145,2,0,31,410251,0
1,0,2936,1,1,3,1,85,2637,1
1,0,690105,151,151,3,1,55,689434,0
0,0,7534,345,345,2,0,150,7151,0
0,0,8892,377,377,4,0,4,8245,0
0,0,237931,291,291,4,0,23,237338,0
0,0,615493,18,18,4,0,47,614912,0
0,0,253619,173,173,4,0,31,252897,0
0,0,244194,183,183,4,0,21,243160,0
0,0,1176204,399,399,4,0,5,1175530,0
0,0,668902,152,152,4,0,76,668282,1
0,0,22995,308,308,2,0,56,22609,1
0,0,47042,80,80,4,0,31,46335,1
0,0,6670,233,233,4,0,41,6140,1
0,0,462219,365,365,4,0,116,461563,1
0,0,1079,129,129,2,0,75,750,0
1,0,1773473,336,336,3,1,121,1772775,1
0,0,1368555,312,312,4,0,74,1367977,1
0,0,170789,69,69,4,0,31,170208,1
1,0,44727,395,395,3,1,64,44119,1
0,0,917604,279,279,4,0,101,916954,0
0,0,7294,267,267,4,0,41,6638,0
0,0,9111,133,133,2,0,75,8734,0
0,0,633393,82,82,4,0,59,632488,1
1,0,1947,16,16,3,1,141,1330,1
0,0,1604078,116,116,4,0,74,1603452,0
0,0,219644,72,72,4,0,53,218985,1
0,0,1579,4,4,4,0,168,1004,1
0,0,462632,142,142,4,0,97,462006,0
0,0,1707,379,379,4,0,87,1054,0
0,0,555039,78,78,4,0,77,554104,0
1,0,891600,277,277,1,1,40,891058,1
0,0,522983,297,297,4,0,6,522417,1
0,0,897652,246,246,4,0,165,897068,0
0,0,445439,136,136,4,0,110,444747,0
0,0,5761,376,376,4,0,22,5141,0
0,0,407298,186,186,4,0,84,406639,0
0,0,95645,65,65,4,0,112,95094,1
0,0,296809,421,421,4,0,97,296102,1
0,0,438791,34,34,4,0,145,438168,1
0,0,296422,250,250,4,0,134,295724,0
0,0,311595,412,412,2,0,98,311224,1
0,0,39701,54,54,4,0,41,39237,1
1,0,22510,56,56,3,1,159,21845,0
0,0,262228,39,39,4,0,170,261515,0
0,0,603114,243,243,4,0,15,602248,1
0,0,610905,159,159,4,0,136,610333,0
1,0,862102,247,247,3,1,1,861431,0
0,0,8700,17,17,4,0,18,8095,0
0,0,1439745,91,91,4,0,57,1439215,1
0,0,9539,200,200,4,0,94,8904,1
0,0,367683,157,157,4,0,26,367096,0
0,0,11825,47,47,4,0,127,11139,0
0,0,406686,141,141,4,0,97,406078,0
0,0,32545,268,268,4,0,127,31979,0
0,0,2027,41,41,4,0,69,1341,0
0,0,465000,355,355,4,0,2,464038,0
1,0,874302,280,280,3,1,118,873739,1
0,0,1522297,87,87,4,0,17,1521722,0
0,0,456160,324,324,4,0,119,455483,0
1,0,28680,131,131,3,1,166,27985,0
0,0,478938,102,102,4,0,3,478315,0
0,0,494817,206,206,4,0,14,494134,1
0,0,21792,347,347,4,0,39,21193,0
0,0,649380,242,242,4,0,6,648745,1
1,0,499409,367,367,3,1,55,498789,0
0,0,21840,236,236,4,0,131,21079,0
0,0,551183,232,232,2,0,163,550740,0
0,0,53116,397,397,5,0,36,52718,0
0,0,302673,251,251,4,0,45,302005,0
0,0,633183,240,240,2,0,95,632827,1
0,0,1148872,410,410,4,0,34,1148204,0
0,0,548259,146,146,2,0,70,547909,0
0,0,627298,100,100,4,0,82,626603,1
0,0,555039,429,429,4,0,97,554545,1
0,0,269583,420,420,4,0,136,268954,0
0,0,1587490,216,216,4,0,91,1586741,0
0,0,1038285,194,194,4,0,96,1037734,1
0,0,266589,178,178,4,0,21,265723,0
0,0,21892,341,341,4,0,52,21179,0
0,0,400683,58,58,4,0,159,400036,1
0,0,1863,45,45,4,0,131,1279,0
0,0,564291,150,150,4,0,116,563632,1
0,0,1722444,340,340,4,0,21,1721857,1
0,0,1850809,110,110,4,0,28,1850192,1
0,0,1081012,406,406,4,0,171,1080440,1
0,0,217404,24,24,4,0,23,216745,0
0,0,2115566,27,27,4,0,96,2114982,1
0,0,5418,237,237,4,0,75,4696,1
0,0,266951,176,176,4,0,98,266226,0
0,0,643220,203,203,4,0,63,642618,0
0,0,238595,174,174,4,0,31,237978,1
0,0,174019,66,66,4,0,46,173294,1
0,0,33533,391,391,4,0,149,32910,1
0,0,66227,305,305,4,0,121,65685,0
0,0,1032696,195,195,4,0,57,1032121,1
0,0,1279824,191,191,4,0,17,1279111,1
0,0,549268,75,75,4,0,161,548651,0
1,0,1738968,29,29,3,1,40,1738420,0
0,0,110877,158,158,5,0,163,110344,1
1,0,44362,304,304,3,1,122,43754,1
0,0,375323,426,426,4,0,129,374682,1
0,0,1871216,109,109,4,0,17,1870641,0
0,0,48963,359,359,4,0,104,48349,0
0,0,63431,64,64,4,0,127,62859,0
0,0,559332,147,147,2,0,79,558976,0
0,0,21243,15,15,4,0,16,20602,1
1,0,807869,26,26,3,1,118,807330,1
0,0,17246,272,272,4,0,41,16593,0
0,0,11667,265,265,4,0,41,10975,1
0,0,1182146,316,316,4,0,57,1181541,1
0,0,777907,153,153,4,0,117,777242,0
0,0,474095,356,356,4,0,114,473496,0
0,0,548591,231,231,2,0,40,548190,0
0,0,1654543,32,32,4,0,152,1654004,1
0,0,15815,362,362,4,0,50,15231,0
0,0,417430,208,208,4,0,14,416753,1
0,0,50225,396,396,4,0,101,49587,0
0,0,23909,363,363,4,0,142,23259,0
0,0,1886263,223,223,4,0,101,1885670,0
0,0,1420673,92,92,4,0,162,1420101,0
0,0,1628056,217,217,4,0,106,1627475,0
0,0,5356,352,352,4,0,135,4736,1
0,0,272757,182,182,4,0,21,271798,0
0,0,422988,185,185,4,0,62,422386,0
0,0,431207,427,427,4,0,146,430704,0
0,0,563485,94,94,2,0,18,563114,0
0,0,1739,7,7,4,0,34,1236,1
0,0,488252,257,257,4,0,132,487683,0
0,0,2141017,330,330,4,0,48,2140400,0
0,0,305429,373,373,4,0,9,304515,0
1,0,210445,138,138,3,1,42,209840,1
0,0,636879,162,162,4,0,129,636250,1
0,0,2091750,38,38,4,0,57,2091055,1
0,0,211634,419,419,5,0,8,211245,0
0,0,34921,273,273,4,0,127,34262,1
0,0,1570983,121,121,4,0,96,1570405,1
0,0,596495,163,163,4,0,136,595866,0
0,0,3008,166,166,4,0,145,2760,1
0,0,491431,300,300,4,0,6,490859,1
0,0,458814,354,354,4,0,99,458125,0
0,0,283286,425,425,4,0,136,282588,0
1,0,11424,42,42,3,1,108,10828,0
0,0,1306828,213,213,4,0,91,1306226,1
0,0,14571,378,378,4,0,101,14272,0
0,0,6256,132,132,2,0,131,5888,0
0,0,77237,61,61,4,0,131,76545,0
0,0,1677970,118,118,4,0,137,1677395,0
0,0,566496,301,301,4,0,133,565864,1
0,0,1200244,315,315,4,0,57,1199621,0
0,0,8071,393,393,4,0,86,7124,1
0,0,631273,161,161,4,0,97,630704,1
0,0,1299223,189,189,4,0,96,1298663,0
1,0,1337715,215,215,3,1,30,1337152,0
1,0,893116,245,245,3,1,11,892445,1
0,0,102031,0,0,4,0,103,101630,1
0,0,452612,288,288,4,0,96,451995,0
0,0,542828,295,295,4,0,6,542232,1
0,0,2067976,37,37,4,0,162,2067425,0
0,0,632235,86,86,4,0,34,631654,1
0,0,253563,292,292,4,0,132,252895,0
0,0,1060193,193,193,4,0,57,1059636,1
0,0,54130,400,400,4,0,51,53294,1
1,0,225709,70,70,3,1,33,225092,1
0,0,2016292,331,331,4,0,61,2015537,0
0,0,55031,271,271,4,0,131,54300,0
0,0,42738,392,392,4,0,86,42403,1
0,0,683253,98,98,4,0,57,682675,0
0,0,930600,248,248,4,0,170,929947,1
0,0,510533,431,431,4,0,43,509916,0
0,0,1637787,114,114,4,0,57,1637185,1
0,0,602022,164,164,4,0,146,601444,0
0,0,9693,361,361,4,0,142,9067,0
0,0,325661,372,372,4,0,134,325122,0
0,0,57983,63,63,4,0,131,57381,1
0,0,482096,260,260,4,0,110,481446,0
0,0,152203,402,402,4,0,91,151562,0
0,0,7816,171,171,4,0,127,6941,1
0,0,459742,256,256,4,0,26,459083,0
0,0,8984,262,262,4,0,75,8412,1
0,0,285006,252,252,4,0,134,284026,0
0,0,786,374,374,4,0,35,88,0
0,0,521226,212,212,4,0,113,520573,0
0,0,1896,261,261,4,0,75,1198,1
0,0,423275,207,207,4,0,5,422700,0
0,0,297265,229,229,4,0,159,296609,0
0,0,413954,418,418,4,0,17,413337,0
0,0,10738,167,167,4,0,131,10142,1
0,0,410431,184,184,4,0,62,409799,0
0,0,717564,275,275,4,0,123,716974,1
0,0,497547,258,258,4,0,23,496699,0
0,0,1973331,334,334,4,0,74,1972666,0
0,0,9993,35,35,4,0,128,9376,1
0,0,12963,343,343,4,0,52,12349,0
0,0,1274037,192,192,4,0,57,1273459,1
1,0,2090413,220,220,3,1,40,2089832,1
0,0,203566,71,71,2,0,56,203195,1
0,0,641268,241,241,4,0,133,640657,1
0,0,1749740,337,337,4,0,96,1749048,0
0,0,537100,296,296,4,0,6,536468,1
0,0,3185,165,165,4,0,127,2544,1
0,0,1078119,196,196,4,0,162,1077559,0
0,0,567898,125,125,2,0,61,567485,0
0,0,4704,234,234,4,0,127,4066,0
0,0,55203,81,81,4,0,31,54550,0
0,0,288418,228,228,4,0,111,287768,0
0,0,165971,20,20,4,0,1,165327,0
0,0,627125,85,85,4,0,172,626559,1
0,0,1646736,218,218,4,0,19,1646206,0
0,0,11470,49,49,2,0,127,11081,1
0,0,661517,2,2,4,0,6,660867,1
