GeneClassification,OrthologId,GenomicEndPosition,GeneId,GeneDbId,GeneType,ChromosomeId,GenomicStartPosition,StrandOrientation
0,7,77581,8,8,0,8,76523,1
0,10,837722,210,210,0,14,837087,0
0,45,1677,77,77,0,49,712,1
0,92,301271,148,148,0,15,300510,0
1,18,11639,198,198,1,75,10170,0
0,96,2202884,185,185,0,18,2202237,1
0,100,1487286,181,181,0,17,1486264,1
0,28,2879,136,136,0,62,2091,1
0,58,12102,220,220,0,35,11231,0
1,5,551759,89,89,1,14,550737,1
0,70,12897,5,5,0,24,11857,1
0,10,878597,143,143,0,14,877761,0
1,6,2640,172,172,1,33,1327,0
0,54,2089274,126,126,0,18,2088630,1
0,39,384191,37,37,0,4,383100,0
0,52,323886,161,161,0,11,323095,1
0,89,571633,48,48,0,7,570836,0
0,97,684782,58,58,0,19,683826,0
0,96,914563,157,157,0,18,913814,0
0,0,31139,62,62,0,48,29922,0
1,79,1247221,180,180,1,17,1246121,0
0,79,1222996,108,108,0,19,1222181,1
1,5,290434,82,82,1,14,289571,0
0,63,1049347,135,135,0,14,1048619,0
0,55,36628,46,46,0,28,35402,1
1,15,1131697,171,171,1,19,1130438,1
0,82,31870,222,222,0,37,31118,0
1,26,295086,102,102,1,12,293887,1
0,10,946792,6,6,0,14,945539,1
1,62,2901,221,221,1,36,1762,0
0,100,1639752,125,125,0,17,1638709,0
0,60,644758,119,119,0,6,643769,0
0,90,17814,236,236,0,80,16873,1
0,24,826530,13,13,0,18,825718,1
0,51,335,10,10,0,25,3,0
1,64,7239,184,184,1,0,5971,1
1,41,41030,153,153,1,68,39978,0
0,0,19059,168,168,0,72,18244,0
0,98,1188618,194,194,0,14,1187623,0
0,53,1745136,192,192,0,19,1744339,0
1,35,2521,110,110,1,58,1283,1
0,92,250812,146,146,0,15,249592,0
0,59,731234,57,57,0,19,730422,0
0,7,1075329,3,3,0,14,1075195,1
1,26,137805,160,160,1,12,136807,0
0,10,461022,201,201,0,14,460051,1
0,17,1604402,189,189,0,18,1603254,0
0,0,11189,50,50,0,46,10047,1
1,71,13960,14,14,1,26,13361,1
0,0,39296,63,63,0,48,38151,0
0,7,375903,35,35,0,4,374896,1
0,91,12268,237,237,0,81,10958,0
0,59,2097143,191,191,0,19,2096334,1
0,28,13009,154,154,0,68,11804,0
0,89,550504,49,49,0,7,549704,0
0,34,11743,224,224,0,37,10985,1
1,35,556235,173,173,1,1,555144,0
0,57,1165493,230,230,0,15,1164663,0
1,76,381597,15,15,1,10,380962,0
0,20,9178,76,76,0,29,8375,1
0,54,2165485,186,186,0,18,2164835,1
1,47,41345,80,80,1,30,40839,0
1,74,29968,166,166,1,72,28721,0
0,29,358168,104,104,0,18,357524,0
0,63,492438,202,202,0,14,491209,0
0,99,37518,31,31,0,27,36670,0
0,48,1588977,124,124,0,17,1588012,0
0,68,1147481,177,177,0,17,1146423,1
0,83,15379,219,219,0,78,14528,0
0,81,77977,41,41,0,3,77144,0
0,7,617253,207,207,0,14,616495,0
0,28,3650,150,150,0,65,2478,1
0,10,537352,90,90,0,14,536177,1
1,59,35179,44,44,1,13,34406,1
0,28,614,51,51,0,46,222,1
1,14,1921338,128,128,1,18,1920505,1
1,26,287088,101,101,1,12,285889,1
0,72,1173402,231,231,0,15,1172566,0
0,28,37248,167,167,0,72,35989,1
1,52,55904,32,32,1,27,55386,1
1,4,1887968,130,130,1,18,1886823,0
0,25,432927,247,247,0,5,431740,0
0,28,13082,114,114,0,60,12327,1
0,72,386514,175,175,0,15,385279,0
1,5,827468,209,209,1,14,826311,1
0,28,28969,25,25,0,40,28568,0
0,75,738,2,2,0,22,1,0
0,103,5008,9,9,0,25,4142,0
0,33,227094,19,19,0,12,226831,1
0,0,14090,64,64,0,48,12945,0
0,15,1026,225,225,0,79,841,1
0,0,1863,105,105,0,57,1015,0
0,79,2029082,20,20,0,19,2027874,1
1,9,445921,18,18,1,4,445157,0
0,7,247162,12,12,0,14,246347,0
0,7,1022329,213,213,0,14,1021526,1
0,28,23025,137,137,0,63,22318,0
0,84,1675,215,215,0,34,854,1
1,102,26635,165,165,1,72,25832,0
0,36,2151652,67,67,0,19,2150759,1
0,48,2155792,187,187,0,18,2155145,0
0,31,392050,88,88,0,12,391007,0
0,61,19523,47,47,0,28,18321,1
0,53,1687805,71,71,0,19,1687044,0
0,0,10624,97,97,0,52,9845,0
0,72,266241,144,144,0,15,265438,0
0,10,305564,86,86,0,14,304740,0
0,27,486743,59,59,0,1,485586,0
0,7,277578,84,84,0,14,276769,0
0,63,822069,208,208,0,14,821287,0
0,3,1047,1,1,0,21,259,0
0,50,265814,200,200,0,11,265029,1
0,28,18784,100,100,0,55,18002,0
0,10,997273,212,212,0,14,996476,1
0,10,297062,81,81,0,14,295851,0
1,37,13592,103,103,1,56,12324,1
0,0,30765,28,28,0,42,29968,1
0,7,422034,17,17,0,4,420934,0
0,63,941707,7,7,0,14,940901,1
0,45,12388,139,139,0,64,11468,0
1,15,269718,149,149,1,19,269074,1
0,32,65754,234,234,0,80,64810,1
0,100,1522877,182,182,0,17,1521903,1
0,11,17173,217,217,0,77,16040,1
0,28,13948,30,30,0,43,13148,0
0,10,313431,85,85,0,14,312547,0
0,10,285745,83,83,0,14,284939,0
0,53,975187,118,118,0,19,974237,1
0,53,1679298,73,73,0,19,1678525,0
1,43,6002,241,241,1,82,5043,0
1,15,1592913,75,75,1,19,1591840,1
1,15,663114,16,16,1,19,662260,0
0,10,407549,140,140,0,14,406749,1
0,7,251858,21,21,0,14,251211,0
1,13,4723,24,24,1,39,4340,1
0,28,23810,60,60,0,47,22572,1
0,76,231201,246,246,0,5,230431,0
0,29,2142542,188,188,0,18,2141583,0
0,28,13418,152,152,0,67,12669,0
0,73,1694274,70,70,0,19,1693627,0
1,18,25842,199,199,1,75,24370,0
1,30,9998,78,78,1,50,9753,0
0,46,1577124,190,190,0,18,1576114,0
0,19,1229889,179,179,0,17,1228786,0
0,78,1778534,132,132,0,18,1777443,0
1,5,1152958,195,195,1,14,1151783,1
0,63,907521,142,142,0,14,906301,0
1,52,23852,33,33,1,27,23046,0
0,72,1148502,229,229,0,15,1147669,0
1,22,655,0,0,1,83,2,1
1,34,223492,245,245,1,5,222386,0
0,73,1631767,72,72,0,19,1631120,0
0,10,658646,92,92,0,14,657867,0
0,72,272963,214,214,0,15,272211,0
1,77,11872,133,133,1,61,11348,0
0,72,247509,145,145,0,15,246700,0
