GeneClassification,OrthologId,GenomicEndPosition,GeneId,GeneDbId,GeneType,ChromosomeId,GenomicStartPosition,StrandOrientation
0,10,863354,140,140,0,14,862533,0
1,6,2640,169,169,1,34,1327,0
1,14,2049687,187,187,1,19,2048413,1
0,40,384191,37,37,0,4,383100,0
0,55,323886,158,158,0,11,323095,1
0,91,571633,48,48,0,7,570836,0
1,15,663114,17,17,1,20,662260,0
0,25,826530,13,13,0,19,825718,1
0,0,31139,61,61,0,49,29922,0
0,19,1229889,177,177,0,18,1228786,0
0,81,1222996,107,107,0,20,1222181,1
1,5,290434,81,81,1,14,289571,0
0,7,1022329,213,213,0,14,1021526,1
0,58,36628,46,46,0,29,35402,1
1,15,1131697,168,168,1,20,1130438,1
0,84,31870,222,222,0,38,31118,0
1,27,295086,101,101,1,12,293887,1
0,66,941707,7,7,0,14,940901,1
1,65,2901,221,221,1,37,1762,0
0,50,1588977,122,122,0,18,1588012,0
0,63,644758,118,118,0,6,643769,0
0,92,17814,235,235,0,81,16873,1
0,98,750678,154,154,0,19,750031,1
0,54,335,10,10,0,26,3,0
1,67,7239,182,182,1,0,5971,1
1,42,41030,151,151,1,69,39978,0
0,0,19059,165,165,0,73,18244,0
1,5,1152958,194,194,1,14,1151783,1
0,56,1745136,191,191,0,20,1744339,0
1,36,2521,109,109,1,59,1283,1
0,74,247509,144,144,0,15,246700,0
0,99,684782,57,57,0,20,683826,0
0,10,1070767,195,195,0,14,1069991,0
1,27,137805,157,157,1,12,136807,0
0,10,461022,201,201,0,14,460051,1
0,48,1577124,189,189,0,19,1576114,0
0,0,11189,50,50,0,47,10047,1
1,73,13960,14,14,1,27,13361,1
0,0,39296,62,62,0,49,38151,0
0,7,375903,35,35,0,4,374896,1
0,93,12268,236,236,0,82,10958,0
0,62,2097143,190,190,0,20,2096334,1
0,29,13009,152,152,0,69,11804,0
0,91,550504,49,49,0,7,549704,0
0,35,11743,224,224,0,38,10985,1
1,36,556235,170,170,1,1,555144,0
0,74,1148502,228,228,0,15,1147669,0
1,78,381597,15,15,1,10,380962,0
0,20,9178,75,75,0,30,8375,1
0,50,2155792,185,185,0,19,2155145,0
1,49,41345,79,79,1,31,40839,0
1,76,29968,163,163,1,73,28721,0
0,101,1648331,123,123,0,18,1647294,0
0,66,492438,202,202,0,14,491209,0
0,100,37518,31,31,0,28,36670,0
0,101,1522877,180,180,0,18,1521903,1
0,49,178084,111,111,0,17,176870,1
0,85,15379,219,219,0,79,14528,0
0,83,77977,41,41,0,3,77144,0
0,7,617253,207,207,0,14,616495,0
0,29,3650,148,148,0,66,2478,1
0,10,537352,89,89,0,14,536177,1
1,62,35179,44,44,1,13,34406,1
0,29,614,51,51,0,47,222,1
0,98,1912694,126,126,0,19,1911738,1
1,27,287088,100,100,1,12,285889,1
0,60,1165493,229,229,0,15,1164663,0
0,29,37248,164,164,0,73,35989,1
1,55,55904,32,32,1,28,55386,1
0,57,1783506,128,128,0,19,1782673,1
0,26,432927,247,247,0,5,431740,0
0,29,13082,113,113,0,61,12327,1
0,94,320234,146,146,0,15,319014,0
1,5,827468,209,209,1,14,826311,1
0,29,28969,25,25,0,41,28568,0
0,77,738,2,2,0,23,1,0
0,104,5008,9,9,0,26,4142,0
0,34,227094,20,20,0,12,226831,1
0,0,14090,63,63,0,49,12945,0
0,15,1026,225,225,0,80,841,1
0,0,1863,104,104,0,58,1015,0
0,81,2029082,21,21,0,20,2027874,1
1,9,445921,19,19,1,4,445157,0
0,7,247162,12,12,0,14,246347,0
0,7,1018268,212,212,0,14,1017216,1
0,29,23025,134,134,0,64,22318,0
0,86,1675,215,215,0,35,854,1
1,103,26635,162,162,1,73,25832,0
0,37,2151652,66,66,0,20,2150759,1
0,30,2142542,186,186,0,19,2141583,0
0,32,392050,87,87,0,12,391007,0
0,64,19523,47,47,0,29,18321,1
0,56,1687805,70,70,0,20,1687044,0
0,0,10624,96,96,0,53,9845,0
0,47,255296,142,142,0,15,254511,0
0,10,305564,85,85,0,14,304740,0
0,28,486743,58,58,0,1,485586,0
0,7,277578,83,83,0,14,276769,0
0,66,822069,208,208,0,14,821287,0
0,3,1047,1,1,0,22,259,0
0,53,265814,200,200,0,11,265029,1
0,29,18784,99,99,0,56,18002,0
0,10,992655,211,211,0,14,991897,1
0,10,297062,80,80,0,14,295851,0
1,38,13592,102,102,1,57,12324,1
0,0,30765,28,28,0,43,29968,1
0,7,422034,18,18,0,4,420934,0
0,66,907521,139,139,0,14,906301,0
0,46,12388,136,136,0,65,11468,0
0,98,2202884,183,183,0,19,2202237,1
0,33,65754,233,233,0,81,64810,1
0,101,1487286,179,179,0,18,1486264,1
0,11,17173,217,217,0,78,16040,1
0,29,13948,30,30,0,44,13148,0
0,10,313431,84,84,0,14,312547,0
0,10,285745,82,82,0,14,284939,0
0,56,975187,117,117,0,20,974237,1
0,56,1679298,72,72,0,20,1678525,0
1,44,6002,241,241,1,83,5043,0
1,15,1592913,74,74,1,20,1591840,1
0,81,643595,16,16,0,20,642765,1
0,10,407549,137,137,0,14,406749,1
0,7,251858,22,22,0,14,251211,0
1,13,4723,24,24,1,40,4340,1
0,29,23810,59,59,0,48,22572,1
0,78,231201,246,246,0,5,230431,0
0,57,2089274,124,124,0,19,2088630,1
0,29,13418,150,150,0,68,12669,0
0,75,1694274,69,69,0,20,1693627,0
1,18,25842,199,199,1,76,24370,0
1,31,9998,77,77,1,51,9753,0
0,54,1153229,240,240,0,19,1151997,0
0,101,1221966,176,176,0,18,1220947,0
0,17,1604402,188,188,0,19,1603254,0
0,7,1075329,3,3,0,14,1075195,1
1,68,884301,138,138,1,14,883339,1
1,55,23852,33,33,1,28,23046,0
0,94,1106541,227,227,0,15,1105297,0
1,23,655,0,0,1,84,2,1
1,35,223492,245,245,1,5,222386,0
0,75,1631767,71,71,0,20,1631120,0
0,10,658646,91,91,0,14,657867,0
0,74,266241,143,143,0,15,265438,0
1,79,11872,130,130,1,62,11348,0
0,16,1207750,193,193,0,14,1206605,0
