Gene_Subclass,Ortholog_Id,Genomic_End_Position,Gene_Db_Id,Gene_Label,Gene_Type,Genomic_Start_Position,Encoded_Protein_Description,Strand_Orientation
1,128,3080,51,51,1,735,5,1
1,127,478396,131,131,1,477242,5,0
1,120,822273,208,208,1,821002,5,0
1,74,2334536,193,193,1,2334039,5,0
1,123,4194,214,214,1,3232,5,0
1,20,957,164,164,1,103,5,1
1,87,13228,190,190,1,10472,5,1
1,62,3052,53,53,1,605,5,0
1,94,640440,111,111,1,637990,5,0
1,111,963,71,71,1,103,5,1
1,139,216862,121,121,1,214952,5,0
1,48,360854,44,44,1,358083,5,1
1,29,9773,226,226,1,7086,5,0
0,85,346850,200,200,0,346512,2,1
1,0,56420,153,153,1,55923,5,1
1,17,23155,181,181,1,22973,5,1
1,134,663276,129,129,1,662509,5,0
1,17,1902,41,41,1,1699,5,1
1,134,8610,74,74,1,7165,5,0
1,76,250640,169,169,1,247890,5,0
1,74,944659,157,157,1,941918,5,1
1,110,23344,161,161,1,21104,5,0
1,106,40883,49,49,1,38052,5,1
1,125,7904,92,92,1,5580,5,1
1,51,1132750,112,112,1,1130948,5,0
0,54,45867,21,21,0,45670,2,1
0,80,2029693,136,136,0,2028950,3,0
1,6,821170,94,94,1,818471,5,0
1,118,805101,138,138,1,802591,5,0
1,25,15156,24,24,1,14362,5,1
1,122,66037,89,89,1,63011,5,1
1,73,7310,233,233,1,4494,5,0
0,67,586872,175,175,0,586129,2,0
1,48,10829,76,76,1,8487,5,1
1,7,182518,42,42,1,180932,5,1
1,77,207218,116,116,1,204852,5,1
1,74,26957,133,133,1,26184,5,0
0,28,870832,50,50,0,869711,2,0
