Gene_Subclass,Ortholog_Id,Genomic_End_Position,Gene_Db_Id,Gene_Label,Gene_Type,Genomic_Start_Position,Encoded_Protein_Description,Strand_Orientation
1,47,1874,54,54,1,3,5,1
1,95,640440,111,111,1,637990,5,0
1,112,963,71,71,1,103,5,1
1,140,216862,121,121,1,214952,5,0
1,50,360854,44,44,1,358083,5,1
1,31,9773,226,226,1,7086,5,0
0,86,346850,200,200,0,346512,2,1
1,1,56420,153,153,1,55923,5,1
1,19,23155,181,181,1,22973,5,1
1,135,663276,129,129,1,662509,5,0
1,141,563,42,42,1,3,5,1
1,135,8610,74,74,1,7165,5,0
1,78,250640,169,169,1,247890,5,0
1,76,944659,157,157,1,941918,5,1
1,111,23344,161,161,1,21104,5,0
1,107,40883,49,49,1,38052,5,1
1,125,7904,92,92,1,5580,5,1
1,53,1132750,112,112,1,1130948,5,0
0,56,45867,21,21,0,45670,2,1
0,82,2029693,136,136,0,2028950,3,0
1,7,821170,94,94,1,818471,5,0
1,119,805101,138,138,1,802591,5,0
1,70,16756,27,27,1,15296,5,0
1,122,66037,89,89,1,63011,5,1
1,75,7310,233,233,1,4494,5,0
0,68,586872,175,175,0,586129,2,0
1,50,10829,76,76,1,8487,5,1
1,8,182518,41,41,1,180932,5,1
1,79,207218,116,116,1,204852,5,1
1,76,26957,133,133,1,26184,5,0
0,30,870832,50,50,0,869711,2,0
