GeneInstanceType,GeneDbId,GeneLabel,ChromosomeLocation,GeneSubclass,EncodedProtein,GenomicEndPosition,GenomicStartPosition,StrandOrientation
0,160,160,12,0,39,19933346,19929547,0
0,58,58,12,0,38,740910,739147,1
0,170,170,12,0,38,21500635,21499448,1
0,167,167,12,0,19,21207146,21206232,0
1,97,97,12,1,29,7436601,7431780,0
0,185,185,12,0,38,24417944,24416316,1
0,14,14,1,0,13,990467,986793,1
0,149,149,12,0,36,17430624,17429500,1
0,55,55,12,0,19,157156,156131,1
1,85,85,12,1,21,5654798,5652840,1
0,13,13,8,0,20,1988897,1987326,0
0,73,73,12,0,23,3723203,3721833,1
0,142,142,12,0,19,16629275,16628019,1
0,81,81,12,0,33,5418484,5417666,1
