Strand_Orientation,Gene_Description,Genomic_Start_Position,Gene_Label,Encoded_Protein,Gene_Db_Id,Gene_Classification,Orthologous_Gene,Genomic_End_Position
1,0,1235211,191,2,191,0,95,1235855
0,0,1108595,398,4,398,0,137,1109266
0,0,5628,387,4,387,0,154,6197
1,0,38181,79,4,79,0,55,38888
0,0,2159390,330,4,330,0,67,2159962
0,0,1410949,23,4,23,0,17,1411596
1,0,2152117,106,4,106,0,159,2152710
0,0,22523,60,2,60,0,129,22912
1,0,1612,291,4,291,0,29,2442
1,0,672981,189,4,189,0,12,673589
0,0,1671336,119,3,119,1,119,1671935
0,0,10535,375,4,375,0,124,11230
0,0,1874526,225,4,225,0,48,1875155
1,0,310645,422,4,422,0,134,311313
1,0,273715,176,4,176,0,97,274287
0,0,432955,210,4,210,0,5,433446
1,0,35961,385,4,385,0,149,36542
0,0,540331,104,4,104,0,62,541203
1,0,374536,122,4,122,0,25,375081
1,0,1133424,408,4,408,0,48,1134002
0,0,1472456,88,4,88,0,27,1473130
0,0,1260970,328,3,328,1,128,1261581
0,0,531,3,4,3,0,161,1121
0,0,404699,144,4,144,0,31,405277
1,0,1580900,220,4,220,0,82,1581481
1,0,204,290,4,290,0,65,1049
1,1,327337,424,4,424,0,96,327963
0,0,1391459,312,4,312,0,164,1392058
0,0,252442,181,4,181,0,21,253089
0,0,896894,278,4,278,0,59,897457
1,0,358038,283,2,283,0,55,358436
1,0,129,48,4,48,0,125,782
1,0,370350,282,4,282,0,97,371048
0,0,1931470,107,4,107,0,95,1932015
1,0,6567,273,4,273,0,129,7205
1,0,75574,285,4,285,0,46,76266
1,0,15666,14,4,14,0,142,16265
1,0,605367,245,4,245,0,6,605996
0,0,331510,411,4,411,0,97,332148
0,0,844098,369,3,369,1,111,844685
1,0,1789544,226,4,226,0,34,1790185
1,0,617066,240,4,240,0,15,617680
0,0,16375,50,4,50,0,41,17055
0,0,1590720,334,4,334,0,67,1591262
0,0,31012,359,4,359,0,22,31626
0,0,67067,415,4,415,0,31,67780
0,0,424565,255,4,255,0,23,425359
0,0,281250,182,4,182,0,98,281837
0,0,1169145,350,4,350,0,72,1169771
1,0,1191744,319,4,319,0,159,1192370
0,0,18276,390,4,390,0,151,18926
1,0,2102468,227,4,227,0,56,2103139
1,0,1093786,322,4,322,0,56,1094415
0,0,58891,51,4,51,0,74,59685
1,0,394403,43,4,43,0,159,395098
0,0,128075,416,2,416,0,7,128464
1,0,1132212,321,4,321,0,56,1132814
0,0,384969,22,3,22,1,54,385637
0,0,25390,168,4,168,0,129,26079
0,0,567310,382,2,382,0,87,567879
1,0,190256,67,4,67,0,97,190891
1,0,6941,172,4,172,0,125,7816
1,0,755460,100,4,100,0,95,756041
1,0,1652444,113,4,113,0,56,1653046
0,0,6637,138,4,138,0,24,7200
0,0,21193,348,4,348,0,39,21792
1,0,388043,199,2,199,0,71,388432
0,0,1001410,96,4,96,0,164,1001979
0,0,1610868,333,4,333,0,121,1611491
1,0,5631,12,4,12,0,70,6125
0,0,1806064,340,4,340,0,146,1806636
1,0,1149983,318,4,318,0,17,1150552
1,0,376496,364,4,364,0,25,377041
0,0,388676,256,4,256,0,108,389569
0,0,1211533,315,4,315,0,17,1212108
1,0,1793264,336,4,336,0,95,1793869
1,0,987,53,4,53,0,41,1559
0,0,420860,417,4,417,0,159,421453
0,0,410251,146,2,146,0,31,410649
1,0,2637,1,3,1,1,84,2936
0,0,689434,152,3,152,1,54,690105
0,0,21179,342,4,342,0,51,21892
0,0,8245,377,4,377,0,4,8892
0,0,237338,292,4,292,0,23,237931
0,0,614912,18,4,18,0,47,615493
0,0,252897,174,4,174,0,31,253619
0,0,243160,184,4,184,0,21,244194
0,0,1175530,399,4,399,0,5,1176204
1,0,668282,153,4,153,0,75,668902
1,0,22609,309,2,309,0,55,22995
1,0,46335,80,4,80,0,31,47042
1,0,3085,200,4,200,0,41,3660
1,0,461563,365,4,365,0,114,462219
0,0,9749,129,4,129,0,41,10321
1,0,1772775,337,3,337,1,119,1773473
1,0,1367977,313,4,313,0,73,1368555
1,0,170208,69,4,69,0,31,170789
1,0,44119,395,3,395,1,63,44727
0,0,916954,279,4,279,0,100,917604
0,0,16820,267,4,267,0,41,17407
0,0,5888,133,2,133,0,129,6256
1,0,632488,82,4,82,0,58,633393
1,0,1330,16,3,16,1,139,1947
0,0,1603452,116,4,116,0,73,1604078
1,0,218985,72,4,72,0,52,219644
1,0,1004,4,4,4,0,165,1579
0,0,462006,143,4,143,0,96,462632
0,0,1054,379,4,379,0,86,1707
0,0,554104,78,4,78,0,76,555039
1,0,891058,277,1,277,1,40,891600
1,0,522417,298,4,298,0,6,522983
0,0,897068,247,4,247,0,162,897652
0,0,444747,137,4,137,0,108,445439
0,0,5141,376,4,376,0,22,5761
0,0,406639,187,4,187,0,83,407298
1,0,95094,65,4,65,0,110,95645
1,0,296102,421,4,421,0,96,296809
1,0,438168,34,4,34,0,143,438791
0,0,295724,251,4,251,0,132,296422
1,0,311224,412,2,412,0,97,311595
1,0,39237,54,4,54,0,41,39701
0,0,21845,56,3,56,1,156,22510
0,0,261515,39,4,39,0,167,262228
1,0,602248,244,4,244,0,15,603114
0,0,610333,160,4,160,0,134,610905
0,0,861431,248,3,248,1,1,862102
0,0,8095,17,4,17,0,18,8700
1,0,1439215,91,4,91,0,56,1439745
1,0,8904,201,4,201,0,93,9539
0,0,367096,158,4,158,0,26,367683
0,0,11139,47,4,47,0,125,11825
0,0,406078,142,4,142,0,96,406686
0,0,16593,272,4,272,0,41,17246
0,0,1341,41,4,41,0,68,2027
0,0,464038,356,4,356,0,2,465000
1,0,873739,280,3,280,1,116,874302
0,0,1521722,87,4,87,0,17,1522297
0,0,455483,325,4,325,0,117,456160
0,0,8734,134,2,134,0,74,9111
0,0,478315,103,4,103,0,3,478938
1,0,494134,207,4,207,0,14,494817
0,0,15015,347,4,347,0,20,15668
1,0,648745,243,4,243,0,6,649380
0,0,498789,367,3,367,1,54,499409
1,0,12851,237,4,237,0,129,13606
0,0,550740,233,2,233,0,160,551183
0,0,52718,397,5,397,0,36,53116
0,0,302005,252,4,252,0,45,302673
1,0,632827,241,2,241,0,94,633183
0,0,1148204,410,4,410,0,34,1148872
0,0,547909,147,2,147,0,69,548259
1,0,626603,101,4,101,0,81,627298
1,0,554545,429,4,429,0,96,555039
0,0,268954,420,4,420,0,134,269583
0,0,1586741,217,4,217,0,90,1587490
1,0,1037734,195,4,195,0,95,1038285
0,0,265723,179,4,179,0,21,266589
0,0,15472,345,4,345,0,51,16035
1,0,400036,58,4,58,0,156,400683
0,0,1279,45,4,45,0,129,1863
1,0,563632,151,4,151,0,114,564291
1,0,1721857,341,4,341,0,21,1722444
1,0,1850192,110,4,110,0,28,1850809
1,0,1080440,406,4,406,0,168,1081012
0,0,216745,24,4,24,0,23,217404
1,0,2114982,27,4,27,0,95,2115566
0,0,10139,236,4,236,0,41,10783
0,0,266226,177,4,177,0,97,266951
0,0,642618,204,4,204,0,62,643220
1,0,237978,175,4,175,0,31,238595
1,0,173294,66,4,66,0,46,174019
1,0,32910,391,4,391,0,147,33533
0,0,65685,306,4,306,0,119,66227
1,0,1032121,196,4,196,0,56,1032696
1,0,1279111,192,4,192,0,17,1279824
0,0,548651,75,4,75,0,158,549268
0,0,1738420,29,3,29,1,40,1738968
1,0,110344,159,5,159,0,160,110877
1,0,43754,305,3,305,1,120,44362
1,0,374682,426,4,426,0,127,375323
0,0,1870641,109,4,109,0,17,1871216
0,0,48349,360,4,360,0,102,48963
1,0,57381,64,4,64,0,129,57983
0,0,558976,148,2,148,0,78,559332
1,0,20602,15,4,15,0,16,21243
1,0,807330,26,3,26,1,116,807869
0,0,1954,270,4,270,0,129,2682
0,0,4128,264,4,264,0,37,4829
1,0,1181541,317,4,317,0,56,1182146
0,0,777242,154,4,154,0,115,777907
0,0,473496,357,4,357,0,112,474095
0,0,548190,232,2,232,0,40,548591
1,0,1654004,32,4,32,0,150,1654543
0,0,9067,362,4,362,0,140,9693
1,0,416753,209,4,209,0,14,417430
0,0,49587,396,4,396,0,100,50225
0,0,23259,363,4,363,0,140,23909
0,0,1885670,224,4,224,0,100,1886263
0,0,1420101,92,4,92,0,159,1420673
0,0,1627475,218,4,218,0,104,1628056
1,0,12661,352,3,352,1,103,13194
0,0,271798,183,4,183,0,21,272757
0,0,422386,186,4,186,0,61,422988
0,0,430704,427,4,427,0,144,431207
0,0,563114,94,2,94,0,18,563485
1,0,1236,7,4,7,0,34,1739
0,0,487683,258,4,258,0,130,488252
0,0,2140400,331,4,331,0,48,2141017
0,0,304515,373,4,373,0,9,305429
1,0,209840,139,3,139,1,42,210445
1,0,636250,163,4,163,0,127,636879
1,0,2091055,38,4,38,0,56,2091750
0,0,211245,419,5,419,0,8,211634
1,0,28535,274,4,274,0,74,29116
1,0,1570405,121,4,121,0,95,1570983
0,0,595866,164,4,164,0,134,596495
1,0,2760,167,4,167,0,143,3008
1,0,490859,301,4,301,0,6,491431
0,0,458125,355,4,355,0,98,458814
0,0,282588,425,4,425,0,134,283286
0,0,10828,42,3,42,1,106,11424
1,0,1306226,214,4,214,0,90,1306828
0,0,14272,378,4,378,0,100,14571
0,0,8539,131,4,131,0,41,9261
0,0,70109,61,4,61,0,125,70633
0,0,1677395,118,4,118,0,135,1677970
1,0,565864,302,4,302,0,131,566496
0,0,1199621,316,4,316,0,56,1200244
1,0,7124,393,4,393,0,85,8071
1,0,630704,162,4,162,0,96,631273
0,0,1298663,190,4,190,0,95,1299223
0,0,1337152,216,3,216,1,30,1337715
1,0,892445,246,3,246,1,11,893116
1,0,101630,0,4,0,0,101,102031
0,0,451995,288,4,288,0,95,452612
1,0,542232,296,4,296,0,6,542828
0,0,2067425,37,4,37,0,159,2067976
1,0,631654,86,4,86,0,34,632235
0,0,252895,293,4,293,0,130,253563
1,0,1059636,194,4,194,0,56,1060193
1,0,53294,400,4,400,0,50,54130
1,0,225092,70,3,70,1,33,225709
0,0,2015537,332,4,332,0,60,2016292
0,0,51491,271,4,271,0,129,52129
1,0,42403,392,4,392,0,85,42738
0,0,682675,99,4,99,0,56,683253
1,0,929947,249,4,249,0,167,930600
0,0,509916,431,4,431,0,43,510533
1,0,1637185,114,4,114,0,56,1637787
0,0,601444,165,4,165,0,144,602022
0,0,1004,358,4,358,0,102,1645
0,0,325122,372,4,372,0,132,325661
0,0,84681,63,4,63,0,74,85370
0,0,481446,261,4,261,0,108,482096
0,0,151562,402,4,402,0,90,152203
1,0,512,171,4,171,0,41,1348
0,0,459083,257,4,257,0,26,459742
1,0,1198,262,4,262,0,74,1896
0,0,284026,253,4,253,0,132,285006
0,0,88,374,4,374,0,35,786
0,0,520573,213,4,213,0,111,521226
0,0,3386,238,4,238,0,41,4012
0,0,422700,208,4,208,0,5,423275
0,0,296609,230,4,230,0,156,297265
0,0,413337,418,4,418,0,17,413954
1,0,2544,166,4,166,0,125,3185
0,0,409799,185,4,185,0,61,410431
1,0,716974,275,4,275,0,121,717564
0,0,496699,259,4,259,0,23,497547
0,0,1972666,335,4,335,0,73,1973331
1,0,9376,35,4,35,0,126,9993
0,0,4217,343,4,343,0,138,4870
1,0,1273459,193,4,193,0,56,1274037
1,0,2089832,221,3,221,1,40,2090413
1,0,203195,71,2,71,0,55,203566
1,0,640657,242,4,242,0,131,641268
0,0,1749048,338,4,338,0,95,1749740
1,0,536468,297,4,297,0,6,537100
0,0,3962,135,4,135,0,129,4555
0,0,1077559,197,4,197,0,159,1078119
0,0,567485,125,2,125,0,60,567898
1,0,6140,234,4,234,0,41,6670
0,0,54550,81,4,81,0,31,55203
0,0,287768,229,4,229,0,109,288418
0,0,165327,20,4,20,0,1,165971
1,0,626559,85,4,85,0,169,627125
0,0,1646206,219,4,219,0,19,1646736
1,0,11081,49,2,49,0,125,11470
1,0,660867,2,4,2,0,6,661517
