Strand_Orientation,Gene_Description,Genomic_Start_Position,Gene_Label,Encoded_Protein,Gene_Db_Id,Gene_Classification,Orthologous_Gene,Genomic_End_Position
1,0,1065931,405,4,405,0,67,1066542
0,0,15015,346,4,346,0,20,15668
1,0,5874,307,4,307,0,152,6518
1,0,25487,309,4,309,0,31,26110
1,0,503911,428,3,428,1,147,504309
1,0,610288,368,4,368,0,170,610947
0,0,1934724,221,4,221,0,123,1935320
0,0,216122,325,4,325,0,145,216763
1,0,587969,160,3,160,1,109,588625
1,0,411981,286,4,286,0,44,412598
1,0,462885,101,3,101,1,78,463493
1,0,13402,394,4,394,0,155,14001
0,0,275592,139,4,139,0,80,276224
1,0,601643,323,4,323,0,92,602338
1,0,1489,389,2,389,0,87,1845
0,0,314181,123,4,123,0,25,314714
0,0,1463646,89,4,89,0,96,1464254
1,0,1099440,407,4,407,0,101,1100102
0,0,444042,33,4,33,0,111,444695
0,0,41594,386,4,386,0,151,42175
0,0,8539,130,4,130,0,41,9261
0,0,382086,59,4,59,0,159,382637
1,0,34388,306,4,306,0,121,35038
0,0,409331,253,4,253,0,23,410050
1,0,12661,351,3,351,1,105,13194
1,0,640880,83,4,83,0,54,641578
1,0,319437,423,4,423,0,97,320021
0,0,69732,303,4,303,0,160,70385
0,0,2228,384,4,384,0,149,2893
1,0,35462,21,4,21,0,53,36160
1,0,627354,187,3,187,1,63,628319
0,0,978390,281,1,281,1,118,978860
0,0,287506,177,4,177,0,99,288480
0,0,331098,156,4,156,0,134,331967
0,0,467418,366,4,366,0,165,467996
0,0,1344239,202,4,202,0,124,1344856
0,1,339536,413,4,413,0,98,340144
0,0,217234,169,4,169,0,21,218124
1,0,10641,52,4,52,0,75,11303
1,0,11959,201,4,201,0,94,12594
1,0,789061,154,4,154,0,58,789660
1,0,854569,25,4,25,0,171,855201
1,0,262,6,4,6,0,32,873
0,0,15472,344,4,344,0,52,16035
1,0,301183,284,4,284,0,31,301818
1,0,3,11,5,11,0,71,281
0,0,578253,77,4,77,0,115,578960
0,0,1664528,31,4,31,0,152,1665163
1,0,537880,148,4,148,0,118,538452
0,0,277617,249,4,249,0,45,278450
0,0,472107,259,4,259,0,134,473006
0,0,15977,168,4,168,0,127,16573
0,0,14972,124,1,124,1,54,15631
1,0,2130250,105,4,105,0,96,2130876
0,0,750414,204,4,204,0,132,750998
1,0,497083,299,4,299,0,41,497850
1,0,652923,84,4,84,0,54,653543
1,0,698387,97,4,97,0,96,698962
1,0,350453,414,2,414,0,98,350824
1,0,583626,135,4,135,0,6,584282
0,0,425384,144,2,144,0,46,425782
0,0,1182499,328,4,328,0,38,1183104
0,0,160181,403,4,403,0,49,160801
0,0,10210,104,3,104,1,102,10872
0,0,392783,287,4,287,0,10,393310
1,0,513441,298,4,298,0,41,514088
1,0,666332,5,4,5,0,6,667099
0,0,243556,293,4,293,0,120,244449
0,0,222562,294,4,294,0,23,223254
0,0,259935,179,4,179,0,99,260483
0,0,1069351,197,4,197,0,57,1069989
1,0,197730,44,4,44,0,6,198335
1,0,1235211,190,2,190,0,96,1235855
0,0,1108595,398,4,398,0,139,1109266
0,0,5628,387,4,387,0,156,6197
1,0,38181,79,4,79,0,56,38888
0,0,2159390,329,4,329,0,68,2159962
0,0,1410949,23,4,23,0,17,1411596
1,0,2152117,106,4,106,0,162,2152710
0,0,70109,60,4,60,0,127,70633
1,0,1612,290,4,290,0,29,2442
1,0,672981,188,4,188,0,12,673589
0,0,1671336,119,3,119,1,121,1671935
0,0,10535,375,4,375,0,126,11230
0,0,1874526,224,4,224,0,48,1875155
1,0,310645,422,4,422,0,136,311313
1,0,273715,175,4,175,0,98,274287
0,0,432955,209,4,209,0,5,433446
1,0,35961,385,4,385,0,151,36542
0,0,540331,103,4,103,0,63,541203
1,0,374536,122,4,122,0,25,375081
1,0,1133424,408,4,408,0,48,1134002
0,0,1472456,88,4,88,0,27,1473130
0,0,1260970,327,3,327,1,130,1261581
0,0,531,3,4,3,0,164,1121
0,0,404699,143,4,143,0,31,405277
1,0,1580900,219,4,219,0,83,1581481
1,0,204,289,4,289,0,66,1049
1,1,327337,424,4,424,0,97,327963
0,0,1391459,311,4,311,0,167,1392058
0,0,252442,180,4,180,0,21,253089
0,0,896894,278,4,278,0,60,897457
1,0,358038,283,2,283,0,56,358436
1,0,129,48,4,48,0,127,782
1,0,370350,282,4,282,0,98,371048
0,0,1931470,107,4,107,0,96,1932015
1,0,6853,274,4,274,0,127,7470
1,0,75574,285,4,285,0,46,76266
1,0,15666,14,4,14,0,144,16265
1,0,605367,244,4,244,0,6,605996
0,0,331510,411,4,411,0,98,332148
0,0,844098,369,3,369,1,113,844685
1,0,1789544,225,4,225,0,34,1790185
1,0,617066,239,4,239,0,15,617680
0,0,16375,50,4,50,0,41,17055
0,0,1590720,333,4,333,0,68,1591262
0,0,31012,358,4,358,0,22,31626
0,0,67067,415,4,415,0,31,67780
0,0,424565,254,4,254,0,23,425359
0,0,281250,181,4,181,0,99,281837
0,0,1169145,349,4,349,0,73,1169771
1,0,1191744,318,4,318,0,162,1192370
0,0,18276,390,4,390,0,153,18926
1,0,2102468,226,4,226,0,57,2103139
1,0,1093786,321,4,321,0,57,1094415
0,0,58891,51,4,51,0,75,59685
1,0,394403,43,4,43,0,162,395098
0,0,128075,416,2,416,0,7,128464
1,0,1132212,320,4,320,0,57,1132814
0,0,384969,22,3,22,1,55,385637
1,0,512,170,4,170,0,41,1348
0,0,567310,382,2,382,0,88,567879
1,0,190256,67,4,67,0,98,190891
1,0,3085,199,4,199,0,41,3660
1,0,755460,99,4,99,0,96,756041
1,0,1652444,113,4,113,0,57,1653046
0,0,6637,137,4,137,0,24,7200
0,0,17072,350,4,350,0,157,17644
1,0,388043,198,2,198,0,72,388432
0,0,1001410,95,4,95,0,167,1001979
0,0,1610868,332,4,332,0,123,1611491
1,0,5631,12,4,12,0,71,6125
0,0,1806064,339,4,339,0,148,1806636
1,0,1149983,317,4,317,0,17,1150552
1,0,376496,364,4,364,0,25,377041
0,0,388676,255,4,255,0,110,389569
0,0,1211533,314,4,314,0,17,1212108
1,0,1793264,335,4,335,0,96,1793869
1,0,987,53,4,53,0,41,1559
0,0,420860,417,4,417,0,162,421453
0,0,410251,145,2,145,0,31,410649
1,0,2637,1,3,1,1,85,2936
0,0,689434,151,3,151,1,55,690105
0,0,7151,345,2,345,0,150,7534
0,0,8245,377,4,377,0,4,8892
0,0,237338,291,4,291,0,23,237931
0,0,614912,18,4,18,0,47,615493
0,0,252897,173,4,173,0,31,253619
0,0,243160,183,4,183,0,21,244194
0,0,1175530,399,4,399,0,5,1176204
1,0,668282,152,4,152,0,76,668902
1,0,22609,308,2,308,0,56,22995
1,0,46335,80,4,80,0,31,47042
1,0,6140,233,4,233,0,41,6670
1,0,461563,365,4,365,0,116,462219
0,0,750,129,2,129,0,75,1079
1,0,1772775,336,3,336,1,121,1773473
1,0,1367977,312,4,312,0,74,1368555
1,0,170208,69,4,69,0,31,170789
1,0,44119,395,3,395,1,64,44727
0,0,916954,279,4,279,0,101,917604
0,0,6638,267,4,267,0,41,7294
0,0,8734,133,2,133,0,75,9111
1,0,632488,82,4,82,0,59,633393
1,0,1330,16,3,16,1,141,1947
0,0,1603452,116,4,116,0,74,1604078
1,0,218985,72,4,72,0,53,219644
1,0,1004,4,4,4,0,168,1579
0,0,462006,142,4,142,0,97,462632
0,0,1054,379,4,379,0,87,1707
0,0,554104,78,4,78,0,77,555039
1,0,891058,277,1,277,1,40,891600
1,0,522417,297,4,297,0,6,522983
0,0,897068,246,4,246,0,165,897652
0,0,444747,136,4,136,0,110,445439
0,0,5141,376,4,376,0,22,5761
0,0,406639,186,4,186,0,84,407298
1,0,95094,65,4,65,0,112,95645
1,0,296102,421,4,421,0,97,296809
1,0,438168,34,4,34,0,145,438791
0,0,295724,250,4,250,0,134,296422
1,0,311224,412,2,412,0,98,311595
1,0,39237,54,4,54,0,41,39701
0,0,21845,56,3,56,1,159,22510
0,0,261515,39,4,39,0,170,262228
1,0,602248,243,4,243,0,15,603114
0,0,610333,159,4,159,0,136,610905
0,0,861431,247,3,247,1,1,862102
0,0,8095,17,4,17,0,18,8700
1,0,1439215,91,4,91,0,57,1439745
1,0,8904,200,4,200,0,94,9539
0,0,367096,157,4,157,0,26,367683
0,0,11139,47,4,47,0,127,11825
0,0,406078,141,4,141,0,97,406686
0,0,31979,268,4,268,0,127,32545
0,0,1341,41,4,41,0,69,2027
0,0,464038,355,4,355,0,2,465000
1,0,873739,280,3,280,1,118,874302
0,0,1521722,87,4,87,0,17,1522297
0,0,455483,324,4,324,0,119,456160
0,0,27985,131,3,131,1,166,28680
0,0,478315,102,4,102,0,3,478938
1,0,494134,206,4,206,0,14,494817
0,0,21193,347,4,347,0,39,21792
1,0,648745,242,4,242,0,6,649380
0,0,498789,367,3,367,1,55,499409
0,0,21079,236,4,236,0,131,21840
0,0,550740,232,2,232,0,163,551183
0,0,52718,397,5,397,0,36,53116
0,0,302005,251,4,251,0,45,302673
1,0,632827,240,2,240,0,95,633183
0,0,1148204,410,4,410,0,34,1148872
0,0,547909,146,2,146,0,70,548259
1,0,626603,100,4,100,0,82,627298
1,0,554545,429,4,429,0,97,555039
0,0,268954,420,4,420,0,136,269583
0,0,1586741,216,4,216,0,91,1587490
1,0,1037734,194,4,194,0,96,1038285
0,0,265723,178,4,178,0,21,266589
0,0,21179,341,4,341,0,52,21892
1,0,400036,58,4,58,0,159,400683
0,0,1279,45,4,45,0,131,1863
1,0,563632,150,4,150,0,116,564291
1,0,1721857,340,4,340,0,21,1722444
1,0,1850192,110,4,110,0,28,1850809
1,0,1080440,406,4,406,0,171,1081012
0,0,216745,24,4,24,0,23,217404
1,0,2114982,27,4,27,0,96,2115566
1,0,4696,237,4,237,0,75,5418
0,0,266226,176,4,176,0,98,266951
0,0,642618,203,4,203,0,63,643220
1,0,237978,174,4,174,0,31,238595
1,0,173294,66,4,66,0,46,174019
1,0,32910,391,4,391,0,149,33533
0,0,65685,305,4,305,0,121,66227
1,0,1032121,195,4,195,0,57,1032696
1,0,1279111,191,4,191,0,17,1279824
0,0,548651,75,4,75,0,161,549268
0,0,1738420,29,3,29,1,40,1738968
1,0,110344,158,5,158,0,163,110877
1,0,43754,304,3,304,1,122,44362
1,0,374682,426,4,426,0,129,375323
0,0,1870641,109,4,109,0,17,1871216
0,0,48349,359,4,359,0,104,48963
0,0,62859,64,4,64,0,127,63431
0,0,558976,147,2,147,0,79,559332
1,0,20602,15,4,15,0,16,21243
1,0,807330,26,3,26,1,118,807869
0,0,16593,272,4,272,0,41,17246
1,0,10975,265,4,265,0,41,11667
1,0,1181541,316,4,316,0,57,1182146
0,0,777242,153,4,153,0,117,777907
0,0,473496,356,4,356,0,114,474095
0,0,548190,231,2,231,0,40,548591
1,0,1654004,32,4,32,0,152,1654543
0,0,15231,362,4,362,0,50,15815
1,0,416753,208,4,208,0,14,417430
0,0,49587,396,4,396,0,101,50225
0,0,23259,363,4,363,0,142,23909
0,0,1885670,223,4,223,0,101,1886263
0,0,1420101,92,4,92,0,162,1420673
0,0,1627475,217,4,217,0,106,1628056
1,0,4736,352,4,352,0,135,5356
0,0,271798,182,4,182,0,21,272757
0,0,422386,185,4,185,0,62,422988
0,0,430704,427,4,427,0,146,431207
0,0,563114,94,2,94,0,18,563485
1,0,1236,7,4,7,0,34,1739
0,0,487683,257,4,257,0,132,488252
0,0,2140400,330,4,330,0,48,2141017
0,0,304515,373,4,373,0,9,305429
1,0,209840,138,3,138,1,42,210445
1,0,636250,162,4,162,0,129,636879
1,0,2091055,38,4,38,0,57,2091750
0,0,211245,419,5,419,0,8,211634
1,0,34262,273,4,273,0,127,34921
1,0,1570405,121,4,121,0,96,1570983
0,0,595866,163,4,163,0,136,596495
1,0,2760,166,4,166,0,145,3008
1,0,490859,300,4,300,0,6,491431
0,0,458125,354,4,354,0,99,458814
0,0,282588,425,4,425,0,136,283286
0,0,10828,42,3,42,1,108,11424
1,0,1306226,213,4,213,0,91,1306828
0,0,14272,378,4,378,0,101,14571
0,0,5888,132,2,132,0,131,6256
0,0,76545,61,4,61,0,131,77237
0,0,1677395,118,4,118,0,137,1677970
1,0,565864,301,4,301,0,133,566496
0,0,1199621,315,4,315,0,57,1200244
1,0,7124,393,4,393,0,86,8071
1,0,630704,161,4,161,0,97,631273
0,0,1298663,189,4,189,0,96,1299223
0,0,1337152,215,3,215,1,30,1337715
1,0,892445,245,3,245,1,11,893116
1,0,101630,0,4,0,0,103,102031
0,0,451995,288,4,288,0,96,452612
1,0,542232,295,4,295,0,6,542828
0,0,2067425,37,4,37,0,162,2067976
1,0,631654,86,4,86,0,34,632235
0,0,252895,292,4,292,0,132,253563
1,0,1059636,193,4,193,0,57,1060193
1,0,53294,400,4,400,0,51,54130
1,0,225092,70,3,70,1,33,225709
0,0,2015537,331,4,331,0,61,2016292
0,0,54300,271,4,271,0,131,55031
1,0,42403,392,4,392,0,86,42738
0,0,682675,98,4,98,0,57,683253
1,0,929947,248,4,248,0,170,930600
0,0,509916,431,4,431,0,43,510533
1,0,1637185,114,4,114,0,57,1637787
0,0,601444,164,4,164,0,146,602022
0,0,9067,361,4,361,0,142,9693
0,0,325122,372,4,372,0,134,325661
1,0,57381,63,4,63,0,131,57983
0,0,481446,260,4,260,0,110,482096
0,0,151562,402,4,402,0,91,152203
1,0,6941,171,4,171,0,127,7816
0,0,459083,256,4,256,0,26,459742
1,0,8412,262,4,262,0,75,8984
0,0,284026,252,4,252,0,134,285006
0,0,88,374,4,374,0,35,786
0,0,520573,212,4,212,0,113,521226
1,0,1198,261,4,261,0,75,1896
0,0,422700,207,4,207,0,5,423275
0,0,296609,229,4,229,0,159,297265
0,0,413337,418,4,418,0,17,413954
1,0,10142,167,4,167,0,131,10738
0,0,409799,184,4,184,0,62,410431
1,0,716974,275,4,275,0,123,717564
0,0,496699,258,4,258,0,23,497547
0,0,1972666,334,4,334,0,74,1973331
1,0,9376,35,4,35,0,128,9993
0,0,12349,343,4,343,0,52,12963
1,0,1273459,192,4,192,0,57,1274037
1,0,2089832,220,3,220,1,40,2090413
1,0,203195,71,2,71,0,56,203566
1,0,640657,241,4,241,0,133,641268
0,0,1749048,337,4,337,0,96,1749740
1,0,536468,296,4,296,0,6,537100
1,0,2544,165,4,165,0,127,3185
0,0,1077559,196,4,196,0,162,1078119
0,0,567485,125,2,125,0,61,567898
0,0,4066,234,4,234,0,127,4704
0,0,54550,81,4,81,0,31,55203
0,0,287768,228,4,228,0,111,288418
0,0,165327,20,4,20,0,1,165971
1,0,626559,85,4,85,0,172,627125
0,0,1646206,218,4,218,0,19,1646736
1,0,11081,49,2,49,0,127,11470
1,0,660867,2,4,2,0,6,661517
