Strand_Orientation,Gene_Description,Genomic_End_Position,Gene_Db_Id,Gene_Label,Genomic_Start_Position
0,0,4567,55,55,1604
0,0,24449,112,112,21516
1,0,33240,54,54,30436
1,0,197559,194,194,195199
1,0,955,156,156,2
0,0,447897,285,285,446350
1,0,61849,46,46,60071
1,0,1721524,41,41,1718519
1,0,21022,62,62,18272
0,0,517997,131,131,514713
0,0,1984663,166,166,1981777
1,0,4543,137,137,1706
0,0,16034,125,125,13233
1,0,1133115,269,269,1130755
1,0,1973,1,1,3
0,0,1174681,75,75,1172813
1,0,3158,6,6,342
0,0,648458,161,161,645735
1,0,31215,301,301,30121
0,0,1171911,147,147,1168945
1,0,2772,318,318,301
0,0,265804,202,202,263906
0,0,496864,170,170,494066
1,0,1709527,107,107,1707056
1,0,29971,144,144,27197
1,0,5025,158,158,2677
0,0,474181,193,193,471830
1,0,20670,139,139,18052
0,0,1430611,98,98,1429409
0,0,2149200,265,265,2146741
1,0,30617,149,149,28410
0,0,750304,210,210,747923
1,0,10460,76,76,8049
0,0,754760,206,206,752910
1,0,6217,319,319,3602
0,0,396132,246,246,393928
1,0,128705,208,208,127131
0,0,496021,26,26,493463
1,0,56619,316,316,53854
1,0,4421,31,31,3684
1,0,117865,212,212,115973
1,0,6529,157,157,4547
1,0,174847,195,195,172793
1,0,8963,177,177,6399
0,0,6840,284,284,3826
0,0,1175229,146,146,1172704
1,0,110366,250,250,107442
0,0,7278,95,95,4399
1,0,22938,85,85,21226
0,0,1130391,198,198,1127446
1,0,11829,32,32,8980
1,0,1443,19,19,1
1,0,7112,282,282,4374
0,0,1008775,190,190,1006142
1,0,7245,290,290,4687
1,0,12451,176,176,9695
0,0,2274,50,50,1
1,0,2194888,106,106,2192474
0,0,905310,39,39,902803
0,0,729858,201,201,727477
0,0,214887,305,305,212992
1,0,34372,2,2,33320
1,0,38223,30,30,36197
1,0,18751,109,109,16475
0,0,2120212,105,105,2117660
1,0,3783,84,84,1453
0,0,596370,276,276,593812
1,0,19819,122,122,16985
0,0,392186,225,225,389424
1,0,36463,116,116,33455
0,0,439193,286,286,435576
0,0,598524,92,92,596251
1,0,342240,153,153,339421
0,0,107280,48,48,104554
0,0,2892,67,67,97
0,0,478312,10,10,477440
0,0,46833,74,74,44356
0,0,670094,37,37,667467
0,0,2020967,178,178,2018517
1,0,68416,262,262,66416
0,0,4460,127,127,2295
0,0,553364,251,251,550602
0,0,201254,159,159,198909
0,0,851849,120,120,849015
1,0,3538,292,292,857
0,0,12394,303,303,9605
0,0,748745,35,35,745776
1,0,14564,60,60,12819
1,0,39476,268,268,36720
0,0,13956,216,216,10954
1,0,58311,298,298,56848
0,0,645301,275,275,642806
1,0,5678,128,128,4257
0,0,458839,16,16,457553
0,0,811998,312,312,810235
1,0,26744,325,325,24147
0,0,968,8,8,3
0,0,905988,96,96,903148
1,0,9121,288,288,6152
0,0,582104,239,239,579438
1,0,79885,230,230,77750
1,0,2982,70,70,445
0,0,169312,66,66,166550
1,0,1113039,295,295,1110685
0,0,531490,33,33,528650
0,0,4734,123,123,2191
0,0,710712,200,200,708220
0,0,367390,217,217,364778
1,0,56555,324,324,54387
0,0,18183,234,234,15433
0,0,4073,5,5,1218
1,0,15577,69,69,12521
0,0,2028531,266,266,2025571
0,0,27589,108,108,25172
1,0,4119,43,43,967
1,0,27235,148,148,24623
0,0,783456,79,79,780772
1,0,11142,111,111,8839
1,0,242630,118,118,239769
1,0,10610,173,173,8169
1,0,106204,279,279,104012
0,0,16963,47,47,14936
1,0,9934,86,86,6965
0,0,577397,7,7,576201
0,0,1820,9,9,189
0,0,485801,34,34,483723
1,3,11541,326,326,8509
0,0,619021,152,152,617285
1,0,13820,28,28,12766
0,0,2325261,42,42,2323705
0,0,10910,88,88,8910
0,0,639965,258,258,637563
