Strand_Orientation,Genomic_End_Position,Gene_Id,Gene_Db_Id,Orthologous_Gene_Id,Encoded_Protein,Genomic_Start_Position
0,9136441,73,73,9,12,9134295
1,17627223,127,127,3,1,17625592
0,3802426,32,32,8,12,3800009
1,15431493,115,115,7,9,15429022
1,40361,166,166,4,16,37650
1,10601584,81,81,2,1,10600723
1,5210452,41,41,2,23,5209340
1,13980614,106,106,7,1,13979644
0,21703774,149,149,1,1,21701900
1,18038313,129,129,3,1,18037247
0,23311866,153,153,1,1,23310921
1,4622430,37,37,7,21,4620634
0,8068432,62,62,2,1,8066724
0,3049161,23,23,7,23,3048399
0,424362,2,2,7,20,423166
1,10835283,85,85,2,0,10832824
1,8836279,71,71,9,6,8834339
1,8377941,64,64,7,1,8377093
1,21033305,146,146,1,0,21032577
1,21840929,150,150,3,0,21839502
0,8706530,69,69,8,2,8704372
0,448516,3,3,7,15,445739
1,1005104,7,7,2,1,1003707
1,5764705,46,46,7,1,5763288
1,20567359,142,142,3,0,20566544
0,13953853,104,104,2,0,13952477
0,1044324,9,9,2,4,1043726
1,18150907,130,130,1,4,18149782
1,7207112,57,57,2,0,7205454
1,20915947,145,145,1,0,20914958
1,14201412,107,107,2,20,14200354
1,19133424,138,138,3,0,19132048
1,22586503,152,152,1,7,22583996
1,6170322,49,49,7,1,6168823
1,5212347,42,42,7,0,5211163
0,10790484,83,83,7,0,10789222
0,4756236,38,38,7,4,4754812
1,19032389,136,136,3,0,19030515
0,24324304,161,161,1,1,24323249
0,18449802,132,132,3,1,18448896
0,5646569,45,45,7,0,5645517
1,4431456,36,36,7,25,4430512
0,8662629,68,68,7,0,8661322
1,1565906,12,12,7,4,1564519
0,5596435,44,44,7,1,5595701
0,17542792,125,125,1,1,17541345
1,24075061,159,159,3,1,24073248
0,13813861,102,102,2,0,13812362
0,3098509,26,26,7,0,3097631
1,17214370,122,122,1,15,17212826
0,23718778,156,156,1,1,23717642
1,9294,164,164,5,13,6891
1,4910787,40,40,7,4,4909550
1,15742919,116,116,7,0,15740403
0,13816694,103,103,7,15,13815414
0,16024976,117,117,7,7,16024497
0,10514318,80,80,7,0,10512900
0,9311660,77,77,7,0,9310200
1,11655236,90,90,2,0,11654436
0,8661219,67,67,2,0,8660182
1,7303713,58,58,2,4,7302490
1,12567288,95,95,7,1,12566661
1,24717108,162,162,3,1,24715475
1,1471242,11,11,7,1,1469688
0,21107478,147,147,1,1,21106076
1,7009171,56,56,7,1,7008393
1,10634319,82,82,7,0,10632709
1,1005618,8,8,7,1,1005001
0,8987276,72,72,8,3,8985246
1,20286216,140,140,1,4,20285100
1,10429864,79,79,7,4,10428729
