CyclingDiscipline,ProfileImage,CycleBaseCyclistId,CqRankingMaleCyclistId,InstagramUsername,CommonsCategory,SocialMediaFollowers,ProCyclingStatsCyclistId,CyclistName,CyclistDescription,MemoireDuCyclismeCyclistId,TwitterUsername,BirthPlace,UciRiderId,WeightKg,BirthDate,OlympediaPeopleId,LastName,FirstName,CyclingArchivesCyclistId,FirstCyclingRiderId,HeightCm,FreebaseId,SportCountry
2,20,,27598,0,20,,196190,15,19,,10,6,147399,,32,,19,13,88447,37388.0,,20,8
2,19,54557.0,16893,0,6,4175.0,135016,6,13,,4,15,87008,66.0,14,,28,6,73006,14126.0,182.0,0,8
2,25,57472.0,21342,19,24,317302.0,178184,24,5,,13,10,91656,62.0,23,142266.0,19,24,66785,23097.0,170.0,20,4
2,10,49026.0,17994,28,3,29268.0,137768,3,19,55924.0,2,27,75120,68.0,20,,27,3,61718,7781.0,186.0,16,8
0,32,,26397,0,20,,168807,32,15,,10,17,86807,,27,,19,31,77655,16982.0,177.0,20,8
2,13,52116.0,19994,10,12,21760.0,132360,12,7,62863.0,6,20,75170,55.0,24,142859.0,15,12,67513,10990.0,173.0,20,8
2,9,61640.0,21812,5,11,10093.0,170183,11,13,,22,8,97091,58.0,26,144171.0,7,11,91127,20384.0,176.0,20,7
2,16,55639.0,20535,7,8,,160352,8,13,,5,1,89125,,25,,16,8,73388,14791.0,181.0,20,7
2,21,52670.0,19335,18,21,16028.0,137764,21,20,58542.0,11,29,79919,69.0,8,142504.0,9,20,61303,7640.0,184.0,3,8
2,23,37791.0,10629,0,33,22194.0,140481,34,21,14951.0,20,28,54572,63.0,5,,13,33,26542,750.0,172.0,6,11
2,13,52116.0,19994,10,12,21760.0,132360,12,7,62863.0,6,20,75170,55.0,24,142859.0,15,12,67513,10990.0,173.0,20,8
2,24,22870.0,1646,23,23,,140614,23,6,9856.0,10,31,32145,70.0,2,111647.0,26,23,19086,346.0,186.0,5,5
2,2,69634.0,26526,24,28,5000.0,194619,28,18,,14,13,149727,66.0,34,146565.0,23,27,115790,45992.0,176.0,20,10
2,33,51513.0,17627,29,32,69964.0,135523,33,9,56613.0,18,11,78566,60.0,15,133843.0,2,32,60103,6104.0,183.0,15,6
2,29,63563.0,28569,8,9,1008.0,135571,9,9,,21,9,119427,64.0,17,,4,9,80663,17215.0,177.0,20,8
3,22,,25335,17,19,,184242,20,0,,26,21,102035,,33,,25,19,93791,37447.0,177.0,20,1
2,29,63563.0,28569,8,9,1008.0,135571,9,9,,21,9,119427,64.0,17,,4,9,80663,17215.0,177.0,20,8
0,3,47686.0,17534,12,14,8603.0,140333,14,19,45660.0,24,18,59773,72.0,9,142502.0,11,21,37589,2325.0,183.0,17,8
2,14,,18632,21,27,,139797,27,22,,10,16,75188,,21,,20,26,65328,9008.0,179.0,4,8
2,4,52879.0,19448,15,18,15757.0,132428,19,4,62745.0,9,25,73817,,22,1303134.0,18,17,71390,7695.0,184.0,18,8
2,2,69634.0,26526,24,28,5000.0,194619,28,18,,14,13,149727,66.0,34,146565.0,23,27,115790,45992.0,176.0,20,10
2,25,57472.0,21342,19,24,317302.0,178184,24,5,,13,10,91656,62.0,23,142266.0,19,24,66785,23097.0,170.0,20,4
2,15,18670.0,4742,22,26,31366.0,140434,26,12,5766.0,28,2,32044,63.0,1,134151.0,10,26,18129,168.0,170.0,9,8
3,22,,25335,17,19,,184242,20,0,,26,21,102035,,33,,25,19,93791,37447.0,177.0,20,1
0,28,47214.0,16722,26,30,34792.0,140674,30,17,46202.0,16,30,64531,71.0,12,132670.0,30,29,52973,6228.0,183.0,14,2
2,8,62255.0,24189,4,2,5751.0,187231,2,7,,1,7,79522,64.0,28,142857.0,8,2,82930,34011.0,176.0,20,8
2,1,43386.0,14310,16,22,35954.0,140509,22,16,43346.0,25,34,53804,62.0,6,135495.0,14,22,36343,3991.0,173.0,10,9
1,0,46381.0,18610,2,16,77168.0,137427,17,8,56596.0,19,26,71557,62.0,18,133837.0,0,15,63999,12474.0,173.0,1,8
