GeneType,OrthologId,GenomicEndPosition,GeneDbId,ChromosomeId,GenomicStartPosition,EncodedProteinDescription,StrandOrientation
1,10,147,10,67,1,5,0
1,120,36817,149,27,35931,5,1
1,27,15156,23,78,14362,5,1
1,76,944659,161,53,941918,5,1
1,3,513917,236,5,513297,5,0
1,53,24472,188,14,23342,5,1
1,141,46075,232,13,44094,5,1
1,90,1050263,158,47,1049748,5,0
1,117,1991,178,131,321,5,1
1,26,7580,86,104,6150,5,1
1,1,317768,192,54,315381,5,0
0,55,581031,237,19,580762,2,0
1,58,783875,66,29,783721,5,0
1,41,929,17,74,492,5,0
1,140,6341,59,99,3546,5,0
1,135,28634,141,17,28311,5,1
1,124,392192,104,28,389835,5,0
0,60,2270,56,96,1968,0,1
0,22,17833,29,46,17345,1,1
1,73,609376,206,11,606950,5,0
1,14,2735,215,136,1362,5,1
1,32,4117,224,47,1346,5,1
1,36,6226,11,68,4295,5,0
1,81,481120,107,0,478592,5,0
1,39,215,5,117,3,5,0
1,68,2208,143,121,1,5,1
1,93,15743,205,31,15195,5,1
1,2,4959,99,109,2632,5,0
1,38,38673,89,105,38134,5,1
1,1,2184398,85,54,2181870,5,1
1,6,781276,167,30,779186,5,0
1,53,46181,183,14,45609,5,1
1,18,703894,113,22,701207,5,0
0,82,2029693,139,51,2028950,3,0
1,0,4564,43,92,2810,5,1
1,13,1582,12,70,692,5,1
1,65,3052,54,95,605,5,0
1,3,498493,235,5,497942,5,0
1,75,6017,220,138,3066,5,0
1,131,4965,124,116,2173,5,1
1,91,585603,189,12,583600,5,0
1,83,2706,87,82,1,5,1
1,15,89160,182,3,86623,5,1
1,8,88412,94,42,86619,5,1
1,84,101201,24,13,100433,5,1
1,119,6087,15,71,4936,5,1
1,76,1639600,197,53,1637255,5,0
1,130,1686,2,75,1,5,1
1,22,10351,177,131,7736,5,1
1,109,1338938,193,46,1337487,5,0
1,139,699100,70,23,696140,5,0
1,21,16367,30,46,13620,5,1
1,122,1153652,147,42,1152030,5,0
1,43,32383,201,133,29822,5,0
1,85,69602,82,4,68706,5,1
1,7,71222,126,25,69540,5,1
1,12,18217,117,114,15659,5,0
1,64,57820,32,24,56951,5,0
1,77,73875,210,17,71692,5,1
1,127,5666,169,127,3972,5,0
1,4,267665,225,53,267153,5,0
1,29,578251,163,16,576644,5,0
1,122,475584,95,42,473026,5,0
1,107,583,159,124,2,5,0
1,98,2783,37,80,909,5,1
1,6,67398,221,52,66466,5,1
1,16,453362,130,11,452610,5,0
1,28,11981,103,111,9216,5,0
1,100,915785,191,36,913926,5,0
1,132,772241,46,26,769332,5,0
1,49,228,18,74,1,5,0
0,34,2248,20,77,1520,1,1
1,30,74451,228,15,72187,5,1
1,128,3080,52,93,735,5,1
1,97,45115,202,134,42281,5,0
1,57,2190,97,108,1,5,1
1,19,922,9,67,412,5,0
1,127,521339,133,6,518895,5,0
1,135,612431,131,17,611934,5,0
1,1,750468,65,29,747616,5,0
1,80,24991,114,113,22313,5,0
0,75,1238,212,87,288,1,1
1,13,4197,148,122,3526,5,1
0,102,1066,0,69,947,1,1
1,76,1161359,92,53,1159086,5,0
1,135,63967,209,17,63425,5,1
1,15,8168,47,81,5343,5,0
1,70,1842055,208,49,1840004,5,0
1,108,40883,49,63,38052,5,1
1,25,9729,88,82,7402,5,1
1,2,17064,76,101,15238,5,0
1,59,521580,38,2,519241,5,0
1,105,814312,219,34,811961,5,0
1,67,34273,7,20,33176,5,1
1,107,58454,112,45,55821,5,1
1,29,504842,71,1,502038,5,0
1,107,26773,110,45,26201,5,1
1,17,856711,128,33,855554,5,0
1,143,112160,84,18,109194,5,0
1,132,752571,45,26,750136,5,0
0,118,1411,1,72,1097,2,0
1,84,630925,171,13,630173,5,0
0,121,795045,190,28,794215,1,0
0,72,587282,67,19,586959,2,0
1,5,617,53,94,1,5,0
1,127,478396,134,6,477242,5,0
1,121,822273,211,27,821002,5,0
1,114,28437,217,54,25624,5,1
1,123,4194,216,137,3232,5,0
1,21,957,168,46,103,5,1
1,88,13228,194,132,10472,5,1
1,48,1874,55,96,3,5,1
1,95,640440,115,20,637990,5,0
1,113,963,74,19,103,5,1
1,48,184333,73,56,183608,5,0
1,51,382722,100,62,380155,5,0
1,31,9773,226,139,7086,5,0
1,51,10829,79,62,8487,5,1
1,1,281858,153,54,279111,5,0
1,18,23155,185,22,22973,5,1
1,135,663276,132,17,662509,5,0
1,142,563,42,91,3,5,1
1,135,8610,77,102,7165,5,0
1,78,250640,173,9,247890,5,0
1,4,1020701,162,53,1018377,5,0
1,112,23344,165,125,21104,5,0
1,44,57748,50,63,55331,5,1
1,125,7904,96,107,5580,5,1
0,94,2011553,3,51,2010699,3,0
0,57,45867,21,44,45670,2,1
1,54,2033316,140,51,2030554,5,0
1,6,821170,98,30,818471,5,0
1,120,805101,142,27,802591,5,0
1,71,16756,27,79,15296,5,0
1,122,66037,93,42,63011,5,1
1,75,7310,233,140,4494,5,0
0,69,586872,179,8,586129,2,0
1,51,360854,44,62,358083,5,1
1,7,182518,41,25,180932,5,1
1,79,207218,119,35,204852,5,1
1,76,26957,136,119,26184,5,0
0,30,870832,51,32,869711,2,0
