gender,profile_image,cycle_base_cyclist_id,cq_ranking_male_cyclist_id,instagram_username,commons_category,social_media_followers,pro_cycling_stats_cyclist_id,memoire_du_cyclisme_cyclist_id,twitter_username,birthplace,uci_rider_id,profession,weight_kg,birth_date,olympedia_people_id,last_name,first_name,cycling_archives_cyclist_id,first_cycling_rider_id,events_participated,height_cm,freebase_id,cycling_discipline
0,8,22663.0,5789.0,7,5,1529344.0,140869.0,12014.0,15,25,43936.0,1,69.0,7,126950.0,9,5,22017.0,713.0,3,186.0,6,3
0,4,69634.0,26526.0,22,28,5000.0,194619.0,,7,17,149727.0,1,66.0,30,146565.0,25,28,115790.0,45992.0,9,176.0,25,3
0,6,56664.0,20678.0,0,23,20194.0,132382.0,,23,6,72234.0,1,73.0,21,134003.0,7,22,66001.0,,15,1.81,13,5
0,27,,,0,0,,213282.0,,5,22,564239.0,1,,33,,19,0,159824.0,64479.0,8,174.0,25,3
0,22,38259.0,13066.0,0,17,26443.0,140384.0,45665.0,14,4,62919.0,1,72.0,18,,18,17,39964.0,2211.0,11,178.0,14,3
0,26,56666.0,18975.0,2,1,32176.0,133024.0,64111.0,0,2,70590.0,1,58.0,20,133999.0,32,1,65132.0,20147.0,7,172.0,22,5
0,23,56041.0,20719.0,18,24,127549.0,174582.0,66232.0,26,29,88889.0,1,65.0,13,135863.0,27,24,72449.0,18655.0,6,177.0,23,4
0,4,69634.0,26526.0,22,28,5000.0,194619.0,,7,17,149727.0,1,66.0,30,146565.0,25,28,115790.0,45992.0,9,176.0,25,3
0,18,48143.0,21971.0,15,16,205449.0,168754.0,,21,16,79462.0,0,,24,145562.0,33,16,64280.0,16672.0,10,184.0,24,1
0,14,43387.0,14321.0,9,11,,140505.0,54516.0,5,26,422366.0,1,60.0,11,133661.0,16,10,24864.0,2977.0,3,173.0,20,3
0,31,11585.0,1994.0,24,32,569371.0,140778.0,16105.0,29,21,28378.0,1,65.0,3,111576.0,22,32,13069.0,133.0,14,181.0,18,3
0,19,27794.0,12923.0,14,18,156620.0,140821.0,28843.0,20,8,58528.0,1,65.0,14,120895.0,17,18,36053.0,2961.0,13,176.0,17,3
0,20,54668.0,21392.0,17,22,18425.0,135315.0,,6,27,93654.0,1,71.0,17,,21,21,77634.0,22682.0,6,184.0,2,3
0,24,83295.0,28377.0,19,25,84000.0,212377.0,,3,0,587366.0,1,62.0,32,141007.0,8,25,141854.0,84019.0,10,171.0,25,3
