Time_Zone,Official_Website,Geo_Lod_Id,Neighboring_Cities,Latitude,Commons_Category,City_Name,Geo_Names_Id,Ci_Nii_Research_Id,Geo_Nlp_Id_Obsolete,Naver_Encyclopedia_Id,Electoral_District,Un_Locode,Population,Open_Corporates_Id,Dantai_Code,Longitude,Whos_On_First_Id,World_Cat_Identities_Id_Superseded,Main_Category,Babel_Net_Id,Gns_Unique_Feature_Id,Native_Name,Name_In_Kana,Locator_Map_Image,City_Image,Open_Street_Map_Relation_Id,Establishment_Date,Japan_Search_Name_Id,Google_News_Topics_Id,City_Type,Area_Sq_Km,Ndl_Authority_Id,Nacsis_Cat_Author_Id,Music_Brainz_Area_Id,Prefecture,I_Naturalist_Place_Id,City_Flag_Image,Previous_Name,Viaf_Id,Google_Maps_Customer_Id,Freebase_Id,Corporate_Number,City_Description,Adjacent_Water_Body
1,2,23,13,32.0145277778,1,1,1865401,1.1400007917352407e+18,7,1286831.0,3,2,19009.0,0,462063.0,130.1926666667,890519367.0,7,1,10,-225376.0,15,1,1,4,3959622.0,7,17,9,0,134.0,369695.0,12,11,3,34049.0,1,12,252938502.0,1.1265969044670497e+19,8,8000020462063.0,3,2
1,15,15,2,32.2118611111,14,14,1857206,1.1405637417579843e+18,22,2695568.0,6,8,23155.0,12,432059.0,130.40875,102031541.0,6,14,5,-236343.0,11,22,15,10,3995580.0,5,13,3,0,163.29,291124.0,5,4,6,34181.0,14,9,252619791.0,1.359956004358226e+19,2,7000020432059.0,4,2
0,22,26,10,31.56,7,7,1860825,1.1400007917770619e+18,13,1054208.0,5,0,1586435.0,0,460001.0,130.5580555556,85672861.0,0,7,2,-231556.0,18,5,5,19,1842186.0,21,20,10,2,9132.42,258078.0,0,0,2,13079.0,6,16,259297768.0,1.020960972148276e+19,0,8000020460001.0,8,2
1,24,8,6,31.4292222222,21,27,1895636,,6,,4,16,12092.0,18,464686.0,131.0058611111,1192994103.0,15,21,16,148777.0,0,4,21,17,3969336.0,2,0,19,4,100.67,369706.0,18,11,9,100895.0,27,13,259024736.0,,14,9000020464686.0,12,5
1,8,18,13,31.741,10,10,7383992,1.1408452165988882e+18,16,1286805.0,3,16,123812.0,16,462187.0,130.7632222222,102032239.0,9,10,15,10692289.0,16,9,10,8,3978596.0,14,18,15,0,603.18,1022856.0,17,6,3,34067.0,10,8,254848025.0,6.226598287465884e+17,13,8000020462187.0,0,1
1,10,13,4,31.6337222222,2,2,1862569,,9,,2,4,46671.0,0,462161.0,130.4024444444,1276201857.0,19,2,19,-229240.0,0,19,2,15,,12,10,19,0,253.01,,18,17,3,34054.0,2,2,7.614709515952508e+19,,24,9000020462161.0,2,0
0,23,24,5,32.7897222222,11,11,1858419,1.1408452165410903e+18,10,1066035.0,7,16,1732644.0,11,430005.0,130.7413888889,85672703.0,0,11,3,-234759.0,12,11,11,16,1842185.0,21,14,11,2,7404.14,256732.0,1,14,2,10920.0,11,10,136049754.0,1.7444575724434158e+19,1,7000020430005.0,8,0
0,22,26,10,31.56,7,7,1860825,1.1400007917770619e+18,13,1054208.0,5,0,1586435.0,0,460001.0,130.5580555556,85672861.0,0,7,2,-231556.0,18,5,5,19,1842186.0,21,20,10,2,9132.42,258078.0,0,0,2,13079.0,6,16,259297768.0,1.020960972148276e+19,0,8000020460001.0,8,2
1,18,11,4,31.8134722222,22,21,1852736,,2,,2,12,91875.0,0,462152.0,130.3039722222,102031399.0,13,22,19,-242700.0,13,12,22,20,,10,15,19,0,682.92,1232779.0,18,13,3,34080.0,21,17,257694197.0,,5,1000020462152.0,3,0
0,0,16,12,35.0,5,5,1861060,1.1400007916908218e+18,27,1136627.0,9,16,125440000.0,0,,136.0,85632429.0,0,5,0,-231230.0,8,18,6,0,382313.0,4,0,0,3,377972.28,568158.0,3,2,8,6737.0,5,1,159367111.0,1.7672817443235844e+19,17,,7,4
1,19,17,7,31.6536388889,24,23,7383996,1.1400007917597162e+18,25,1287819.0,4,16,32849.0,15,462179.0,131.0193611111,890524131.0,21,24,12,10692293.0,9,14,24,22,3969264.0,13,11,18,0,390.11,,15,9,3,34083.0,23,19,9.464152684039825e+21,1.6072282831108125e+19,26,8000020462179.0,2,2
1,7,12,6,31.3444444444,9,9,7384004,1.1402822666505407e+18,11,,4,16,14114.0,10,464929.0,130.9452222222,890524129.0,0,9,4,10692313.0,0,8,9,17,3960162.0,13,0,17,4,308.1,,14,18,5,34065.0,9,11,3.6314699731471886e+20,1.3564747674701284e+18,22,6000020464929.0,11,3
1,11,27,4,31.2527777778,3,3,1862010,,26,,1,3,38571.0,0,462101.0,130.6330555556,890519323.0,10,3,19,-229984.0,6,3,3,23,3962393.0,15,8,19,0,148.84,369701.0,18,22,3,34056.0,3,3,256561577.0,7.402036106778339e+18,16,3000020462101.0,2,0
1,6,0,15,31.4771666667,23,22,1852587,,20,,4,11,29267.0,6,462217.0,131.0998888889,890519235.0,12,23,19,-242923.0,5,13,23,21,,15,7,19,0,290.28,1164553.0,18,8,3,34082.0,22,18,257676984.0,,19,3000020462217.0,2,5
1,21,6,16,31.3782222222,8,8,1860112,1.1400007917385581e+18,3,1286835.0,4,7,100880.0,13,462039.0,130.8522222222,102031653.0,14,8,8,10692288.0,19,7,8,7,3962763.0,15,21,7,0,448.15,369710.0,11,12,3,34063.0,8,5,258727015.0,1.4144263793967716e+19,6,8000020462039.0,2,1
1,20,10,4,31.4927777778,25,24,1850589,1.1405637418014831e+18,21,1286837.0,4,13,13688.0,1,462144.0,130.7009444444,102031329.0,2,25,11,-245586.0,4,15,25,6,3964352.0,9,5,4,0,162.03,369730.0,13,11,3,34084.0,24,14,251163141.0,1.1060899609165804e+18,9,1000020462144.0,2,1
1,12,7,3,32.0570277778,4,4,7383991,,24,,3,5,24131.0,0,462241.0,130.6129166667,890524127.0,11,4,19,10692287.0,0,2,4,5,,18,2,19,0,392.56,1145308.0,18,5,3,,4,22,256711251.0,,21,3000020462241.0,2,2
1,14,20,8,31.2729166667,13,13,1857712,1.1405637416362365e+18,18,1286840.0,2,9,19817.0,14,462047.0,130.2969166667,890519297.0,3,13,9,-235663.0,10,20,14,2,3978207.0,6,12,8,0,74.78,290465.0,4,1,3,34068.0,13,14,251734860.0,,7,8000020462047.0,2,0
1,26,9,1,27.3922777778,26,25,1848987,1.140563741718165e+18,1,,1,14,6233.0,17,465330.0,128.6554722222,,0,26,17,-247767.0,0,27,26,24,3982792.0,3,0,16,4,40.39,369767.0,6,11,10,34089.0,25,14,153673610.0,5.755717100508878e+18,15,8000020465330.0,13,2
