Entity_Type,Genomic_End_Position,Gene_Id,Gene_Db_Id,Orthologous_Gene_Id,Encoded_Protein,Genomic_Start_Position,Gene_Category,Strand_Orientation
0,938369,5,5,6,2,937674,0,0
0,6170322,49,49,6,2,6168823,0,1
0,13282465,99,99,6,26,13280789,0,0
0,16920482,121,121,1,18,16919435,0,1
0,19133424,138,138,3,1,19132048,0,1
0,6835,164,164,0,14,4667,0,1
0,21703774,149,149,1,2,21701900,0,0
0,17627223,127,127,3,2,17625592,0,1
0,7009171,56,56,6,2,7008393,0,1
0,18038313,129,129,3,2,18037247,0,1
0,6362947,51,51,2,5,6361372,0,1
0,4253831,34,34,6,8,4252749,0,1
0,14479105,110,110,6,2,14478302,0,0
0,3453161,30,30,6,1,3451287,0,0
0,13013122,98,98,2,1,13011857,0,0
0,2102690,15,15,6,11,2100093,0,1
0,17542792,125,125,1,2,17541345,0,0
0,17122877,122,122,3,5,17120601,0,1
0,8306625,64,64,6,5,8305246,0,1
0,3312359,29,29,2,1,3311109,0,1
0,20286216,140,140,1,5,20285100,0,1
0,4431456,36,36,6,27,4430512,0,1
0,9200825,74,74,6,5,9199485,0,1
0,17643761,128,128,3,2,17642746,0,0
0,4102721,33,33,6,12,4101290,0,1
1,15463044,116,116,8,0,15461240,1,1
0,42748,167,167,4,14,41047,0,1
0,10634319,82,82,6,1,10632709,0,1
0,5212347,42,42,6,1,5211163,0,1
0,14201412,107,107,2,23,14200354,0,1
0,21840929,150,150,3,1,21839502,0,1
0,18150907,130,130,1,5,18149782,0,1
0,23311866,154,154,1,2,23310921,0,0
0,4756236,38,38,6,5,4754812,0,0
0,8297673,63,63,6,2,8296462,0,1
1,3054496,24,24,5,4,3053067,1,0
0,448516,3,3,6,16,445739,0,0
0,11412405,86,86,6,2,11411355,0,0
1,8987276,72,72,7,4,8985246,1,0
0,8380600,65,65,6,2,8379902,0,1
0,21107478,147,147,1,2,21106076,0,0
0,22342311,151,151,1,1,22341328,0,1
0,8750931,70,70,2,1,8750116,0,0
0,496336,4,4,6,21,495000,0,1
0,1005618,8,8,6,2,1005001,0,1
0,5776202,47,47,6,1,5773752,0,1
0,20600592,143,143,1,1,20599396,0,0
0,13967339,105,105,6,16,13965975,0,0
0,1139526,10,10,2,2,1138537,0,1
0,18233087,131,131,3,1,18230676,0,0
0,7252202,58,58,6,5,7251567,0,0
0,21033305,146,146,1,1,21032577,0,1
0,14264630,108,108,6,5,14263463,0,0
0,19361160,139,139,1,2,19359904,0,0
0,22800650,153,153,3,1,22799643,0,0
0,6283351,50,50,6,2,6282458,0,0
0,5252907,43,43,2,17,5251626,0,1
0,10815148,84,84,6,2,10814110,0,1
0,4838125,39,39,6,9,4836803,0,0
0,19131431,137,137,3,11,19128978,0,1
0,24324304,162,162,1,2,24323249,0,0
0,18526135,133,133,1,1,18525296,0,0
0,5764705,46,46,6,2,5763288,0,1
0,4622430,37,37,6,24,4620634,0,1
1,8706530,69,69,7,3,8704372,1,0
0,1662089,13,13,6,5,1659698,0,1
0,5646569,45,45,6,1,5645517,0,0
0,17573162,126,126,1,1,17572161,0,0
0,24075061,160,160,3,2,24073248,0,1
0,13816694,103,103,6,16,13815414,0,0
0,3221626,27,27,6,5,3220494,0,0
0,17383110,123,123,1,5,17381675,0,1
0,23718778,157,157,1,2,23717642,0,0
0,9294,165,165,4,14,6891,0,1
0,5210452,41,41,2,25,5209340,0,1
0,15945723,117,117,2,2,15943858,0,1
0,13953853,104,104,2,1,13952477,0,0
0,16025845,118,118,2,8,16025135,0,0
0,10517795,81,81,6,2,10516812,0,1
0,9369143,78,78,6,5,9368165,0,0
0,11737964,91,91,2,2,11736173,0,0
0,8662629,68,68,6,1,8661322,0,0
1,7507311,59,59,8,4,7506176,1,0
0,12665749,96,96,6,1,12664313,0,1
0,24717108,163,163,3,2,24715475,0,1
0,1565906,12,12,6,5,1564519,0,1
0,21368024,148,148,3,2,21366772,0,1
0,7207112,57,57,2,1,7205454,0,1
0,10790484,83,83,6,1,10789222,0,0
0,1031106,9,9,6,1,1030219,0,0
0,9120663,73,73,6,1,9118189,0,1
0,20333137,141,141,1,1,20331131,0,0
0,10514318,80,80,6,1,10512900,0,0
