NationalLibraryOfIsraelJ9uId,NlCrAutId,CommonsCategory,QuoraTopicId,FreebaseId,LibraryOfCongressAuthorityId
9.870075375356051e+17,0,19,86,98,29
9.870075360681052e+17,59,97,58,22,64
9.870075637603052e+17,88,161,116,32,148
9.870075511089052e+17,58,156,111,59,113
9.870075506604051e+17,45,98,59,37,65
9.870075437955052e+17,104,115,86,98,112
9.870075388653052e+17,94,139,97,46,98
9.870075320229052e+17,21,127,44,98,0
9.870075564447052e+17,0,27,86,98,146
9.870075301477052e+17,0,46,20,98,123
9.870075634978052e+17,47,147,86,10,134
9.870075321946052e+17,14,52,86,98,124
9.870075373799052e+17,0,8,3,98,154
9.870075484324051e+17,28,101,81,23,83
9.870075518177052e+17,0,12,5,98,24
9.870075859538052e+17,13,64,31,98,32
9.870072940553052e+17,66,74,41,11,48
9.870072929135052e+17,78,72,39,71,46
9.870075334244051e+17,75,91,53,76,58
9.870075424747052e+17,0,5,86,98,27
9.870125750051052e+17,73,103,63,19,0
9.870075368925052e+17,0,44,18,98,119
9.870075359190052e+17,51,102,62,81,68
9.870072839377052e+17,91,88,48,80,56
9.870075491784051e+17,0,47,21,98,126
9.870075538926052e+17,0,7,2,68,140
9.870075632381052e+17,60,141,100,51,10
9.870075433873052e+17,36,89,51,13,57
9.870075882227052e+17,0,35,11,98,35
9.870075512659052e+17,87,158,113,91,115
9.870075337008051e+17,93,119,78,90,80
9.870075603225052e+17,69,94,56,31,61
9.870075390224051e+17,0,106,86,41,118
9.870075444770052e+17,0,42,86,98,131
9.870075522254052e+17,0,23,86,98,30
9.870075704448051e+17,0,4,86,98,38
9.870075385838052e+17,77,104,64,79,69
9.870072825096051e+17,41,83,47,3,53
9.870075461278052e+17,84,142,101,70,100
9.870075536839052e+17,48,148,105,53,106
9.870075511637052e+17,103,162,86,8,102
9.870075511635052e+17,29,76,86,94,103
9.870072844915052e+17,23,79,43,7,50
9.870072949377052e+17,22,78,42,1,49
9.870075313421052e+17,82,100,61,26,67
9.870075467451052e+17,0,31,8,98,125
9.870075460977052e+17,99,152,86,98,109
9.870075531998052e+17,42,123,82,72,84
9.870075664000051e+17,6,67,34,97,26
9.870072857400051e+17,38,86,49,14,54
9.870072948739052e+17,62,73,40,93,47
9.870075534871052e+17,31,124,83,39,85
9.870075536486052e+17,64,159,114,9,116
9.870072847895052e+17,63,80,86,20,51
9.870075468962052e+17,0,28,86,98,19
9.870075347431052e+17,0,36,12,98,128
9.870075605078052e+17,98,118,77,78,79
9.870075373810052e+17,0,40,16,98,153
9.870072839861052e+17,65,82,46,98,52
9.870075339865052e+17,101,121,80,40,81
9.870075374842052e+17,0,39,15,98,13
9.870075444769052e+17,0,43,86,98,132
9.870075291327052e+17,72,99,60,18,66
9.870075397994052e+17,0,62,29,98,22
9.870075372112051e+17,0,38,14,98,157
9.870075313606052e+17,27,96,86,87,63
9.870075607220051e+17,90,135,86,47,94
9.870124085633052e+17,8,69,36,98,45
9.870075326890052e+17,18,59,26,98,152
9.870075506070052e+17,32,112,72,6,74
9.870075460977052e+17,70,151,86,98,109
9.870075629795052e+17,26,109,69,30,72
9.870074091166052e+17,0,34,10,98,42
9.870075346920051e+17,0,1,1,2,149
9.870075372005052e+17,0,71,38,29,12
9.870075627143052e+17,96,95,57,69,62
9.870075316679052e+17,67,131,91,88,91
9.870075294276051e+17,43,137,95,45,96
9.870072916167052e+17,0,9,86,98,4
9.870075304125052e+17,50,130,90,43,16
9.870075492672051e+17,5,22,86,98,130
9.870075314036051e+17,12,14,86,98,88
9.870073876864051e+17,97,146,86,98,159
9.870075859536051e+17,9,66,33,98,34
9.870072853912051e+17,0,77,86,35,6
9.870075458614052e+17,40,105,66,27,70
9.870075359677052e+17,76,92,54,17,59
9.870075394020051e+17,16,60,27,98,129
9.870072927092051e+17,0,2,86,98,9
9.870075607696051e+17,83,126,85,4,87
9.870072945486052e+17,20,85,99,24,1
