StrandOrientation,OrthologId,GenomicEndPosition,GeneDbId,EncodedProtein,ChromosomeId,GenomicStartPosition
1,6,37246,191,2,4,36216
0,8,706356,1,1,0,705402
0,0,3166097,234,1,10,3165117
1,8,2840902,87,1,0,2839937
0,13,1527077,218,1,8,1526144
1,3,3289870,106,2,0,3288906
1,9,3289,221,1,9,2476
1,8,2834062,85,1,0,2833074
0,8,1330950,35,1,0,1330142
1,8,2292995,55,1,0,2292070
0,8,3871709,128,1,0,3870942
1,2,1535834,197,1,5,1534863
1,2,1623017,205,1,5,1622000
1,2,1599674,201,1,5,1598787
1,8,867371,10,1,0,866391
1,12,1610485,203,2,5,1609781
0,0,3162441,233,1,10,3161514
1,8,1209985,28,1,0,1208980
1,10,33815,190,1,4,32835
1,8,750322,5,1,0,749314
1,8,3253701,104,1,0,3252689
1,8,1243198,32,1,0,1242183
1,5,41331,168,1,1,40400
0,8,3963135,141,1,0,3962225
0,1,817549,173,1,2,817059
0,4,2228516,216,1,7,2227599
0,8,3601569,119,1,0,3600815
1,8,2309588,56,1,0,2308875
1,8,3487893,116,1,0,3486897
0,8,3341774,108,1,0,3340903
1,3,4392476,155,2,0,4391482
1,8,817233,8,1,0,816237
1,8,2368035,63,1,0,2367171
0,0,3126460,231,1,10,3125490
1,8,2321136,57,1,0,2320393
0,8,1535963,42,1,0,1534977
1,2,1531659,196,1,5,1530673
1,8,3928035,134,1,0,3927312
0,8,1474816,39,1,0,1474233
1,8,3262281,105,1,0,3261420
0,0,3089002,223,1,10,3088123
1,8,3906646,132,1,0,3905933
1,8,1135405,23,1,0,1134492
0,0,3116397,228,1,10,3115586
0,3,2127533,51,2,0,2126698
0,8,2553401,72,1,0,2552386
1,11,50281,182,1,3,49319
1,11,125238,186,1,3,124273
0,8,1470924,38,1,0,1470038
1,2,1566639,199,1,5,1565667
0,16,1009605,170,2,1,1008886
0,13,1525569,217,1,8,1524684
0,1,826843,175,1,2,825971
0,8,967539,15,1,0,966566
1,8,1609685,43,1,0,1608659
1,8,2819209,81,1,0,2818421
0,0,3121885,230,1,10,3121014
0,3,1040606,18,2,0,1039800
0,1,838943,177,1,2,837978
0,8,3958817,140,1,0,3957831
0,8,1487516,41,1,0,1486532
1,10,63777,193,1,4,62796
0,8,3712714,125,1,0,3711781
0,8,4769513,166,1,0,4768631
0,10,1515860,194,1,4,1514896
0,3,1718127,210,1,6,1717211
0,8,745630,4,1,0,744707
1,8,2930278,92,1,0,2929420
0,8,2121499,49,1,0,2120598
0,8,3475811,113,1,0,3474883
0,8,710413,2,1,0,709282
0,8,3392268,111,1,0,3391673
1,8,2879567,90,1,0,2878703
1,8,1649617,45,1,0,1648674
0,8,3975591,142,1,0,3974574
0,8,2517420,71,1,0,2516791
1,11,41910,181,1,3,40986
1,8,1251779,33,1,0,1250937
0,3,963298,14,2,0,962347
1,8,813072,7,1,0,812093
1,8,4058883,149,1,0,4058242
0,1,822698,174,1,2,821677
1,3,1164370,24,2,0,1163401
0,8,2975921,95,1,0,2975048
1,8,2795416,79,1,0,2794433
0,8,2560429,73,1,0,2559575
0,8,3344923,109,1,0,3344054
1,8,1860672,48,1,0,1859648
1,4,1564,214,1,7,573
1,8,874894,12,1,0,873910
0,8,2723923,77,1,0,2723008
0,8,3986597,144,1,0,3986148
1,6,4163,189,2,4,3357
1,8,3484725,115,1,0,3483913
0,3,3883348,131,2,0,3882399
1,4,16470,215,1,7,15481
0,8,2124567,50,1,0,2123632
1,8,1799441,46,1,0,1798627
1,8,4266476,151,1,0,4265571
1,8,4739055,165,1,0,4738454
1,8,4685863,163,1,0,4685216
1,8,4049767,147,1,0,4048793
1,8,2270503,54,1,0,2269514
1,8,1612962,44,1,0,1612027
1,2,1643801,208,1,5,1642894
0,0,3092504,224,1,10,3091527
0,8,1084006,22,1,0,1083168
0,8,3954615,139,1,0,3953625
0,3,2510002,70,2,0,2509226
1,5,38255,167,1,1,37374
0,0,3120182,229,1,10,3119289
1,8,3856099,127,1,0,3855436
0,8,3391129,110,1,0,3390208
0,8,3875858,129,1,0,3874863
1,8,2837856,86,1,0,2836889
0,8,2719470,76,1,0,2718746
1,10,1066,188,1,4,97
1,8,3202332,103,1,0,3201416
0,15,1531532,219,2,8,1530570
0,8,1080374,21,1,0,1079384
1,8,4698031,164,1,0,4697363
1,8,2371632,64,1,0,2371039
1,8,2949277,93,0,0,2948707
1,3,1195244,25,2,0,1194248
1,8,2876969,89,1,0,2875871
