Gene_Subclass,Gene_Description,Genomic_End_Position,Gene_Db_Id,Gene_Label,Gene_Type,Genomic_Start_Position,Encoded_Protein_Description,Strand_Orientation
1,0,16574,222,222,1,14088,3,1
0,0,3713,283,283,0,2106,1,0
1,0,44770,25,25,1,42977,3,1
0,0,3597,234,234,0,1834,0,0
1,0,5794,135,135,1,3014,3,0
0,1,655728,168,168,0,653962,0,0
0,0,33262,308,308,0,31331,0,1
0,0,791878,121,121,0,790079,0,0
1,0,760085,243,243,1,757590,3,0
0,0,1852491,173,173,0,1847980,0,0
1,0,130785,104,104,1,128263,3,0
1,0,122539,190,190,1,120197,3,1
0,0,594892,226,226,0,591674,0,0
0,0,571445,198,198,0,567813,0,0
1,0,690966,179,179,1,687994,3,0
1,0,9553,113,113,1,7784,3,0
1,0,582823,21,21,1,581135,3,0
0,0,67475,296,296,0,65139,0,1
1,0,25743,230,230,1,24748,3,1
1,0,71114,195,195,1,69705,3,1
0,0,103187,323,323,0,101616,1,0
0,0,702008,180,180,0,700188,0,0
1,0,585311,227,227,1,582390,3,0
1,0,2350211,167,167,1,2347587,3,0
1,0,491613,133,133,1,488857,3,1
1,0,12191,231,231,1,9909,3,1
1,0,1182,91,91,1,1,3,1
1,0,59561,140,140,1,57681,3,1
0,0,14595,65,65,0,12280,0,1
1,0,9360,255,255,1,6577,3,0
0,0,1434052,154,154,0,1432280,0,0
1,0,29749,161,161,1,26915,3,1
1,0,430057,185,185,1,427406,3,0
1,0,14455,89,89,1,11690,3,0
0,0,30562,278,278,0,28739,1,1
0,0,4524,240,240,0,2574,0,0
0,0,4216,132,132,0,1460,0,1
0,0,19758,184,184,0,17038,0,0
0,0,47207,80,80,0,45534,0,1
0,0,36437,102,102,0,35517,0,1
1,0,5595,68,68,1,2761,3,1
1,0,912033,72,72,1,909235,3,0
1,0,2693,280,280,1,396,3,0
0,0,4036,63,63,0,1289,0,1
1,0,93761,71,71,1,90201,3,1
1,0,11733,73,73,1,9154,3,0
1,0,706189,14,14,1,704129,3,0
0,0,120500,322,322,0,118605,0,0
1,0,26060,259,259,1,23298,3,1
1,0,351197,217,217,1,348939,3,0
0,0,8589,29,29,0,6541,0,1
0,0,1385359,153,153,0,1383590,0,0
1,0,688837,87,87,1,685982,3,0
0,0,54516,93,93,0,53479,0,1
0,0,1739,12,12,0,3,1,1
0,0,201879,299,299,0,200095,0,0
1,0,670094,37,37,1,667467,3,0
1,0,628364,100,100,1,625434,3,0
0,0,3779,182,182,0,1517,0,0
0,0,64637,150,150,0,62859,0,1
1,0,4799,270,270,1,2103,3,0
1,0,7313,235,235,1,4734,3,0
0,0,19476,159,159,0,17815,0,1
1,0,7957,142,142,1,5381,3,0
1,0,829858,119,119,1,827087,3,0
1,0,2071578,164,164,1,2068987,3,0
1,0,411543,244,244,1,408877,3,0
1,0,848494,162,162,1,847454,3,0
1,0,8756,145,145,1,5919,3,1
0,0,169188,306,306,0,166855,0,1
1,0,16396,294,294,1,13598,3,0
1,0,492103,129,129,1,489575,3,0
1,0,14953,302,302,1,12005,3,1
0,0,427483,287,287,0,425420,0,0
1,0,570499,251,251,1,567725,3,0
1,0,3857,103,103,1,1095,3,1
1,0,68621,191,191,1,67503,3,1
1,0,245943,61,61,1,244298,3,0
1,0,556405,239,239,1,554000,3,1
0,0,9141,220,220,0,8410,0,0
1,0,873816,171,171,1,871123,3,0
1,0,14712,221,221,1,11650,3,0
1,0,2360044,13,13,1,2358530,3,0
1,0,11256,253,253,1,8914,3,1
1,0,7825,90,90,1,5795,3,0
0,0,1137976,136,136,0,1133828,0,0
1,0,96498,208,208,1,94816,3,1
1,0,83774,187,187,1,82602,3,1
0,0,1981,297,297,0,2,0,0
1,0,483389,320,320,1,481422,3,0
0,0,85945,309,309,0,83153,0,1
0,0,21702,59,59,0,18811,0,0
0,0,22871,4,4,0,21810,0,1
1,0,5339,51,51,1,2904,3,1
0,0,728090,36,36,0,725151,0,0
1,0,3210,22,22,1,616,3,1
0,0,258722,218,218,0,256827,0,0
0,0,10587,181,181,0,8119,0,1
1,0,145152,315,315,1,142906,3,1
1,0,572075,300,300,1,569139,3,0
0,0,2028848,178,178,0,2027736,2,0
1,0,33122,281,281,1,30594,3,1
1,0,690828,274,274,1,688522,3,0
0,0,45706,260,260,0,43370,0,1
1,0,588116,3,3,1,586977,3,0
0,0,4613,117,117,0,1626,0,1
0,0,12865,289,289,0,9965,0,1
1,0,4342,81,81,1,1385,3,1
1,0,15683,256,256,1,12888,3,0
1,0,378832,38,38,1,376718,3,0
0,0,25602,134,134,0,22921,0,1
0,0,563158,321,321,0,560651,0,0
0,0,467624,170,170,0,464685,0,0
0,0,2010044,11,11,0,2009265,2,0
0,0,4567,55,55,0,1604,0,0
1,0,24449,112,112,1,21516,3,0
1,0,33240,54,54,1,30436,3,1
1,0,197559,193,193,1,195199,3,1
0,0,955,155,155,0,2,1,1
0,0,447897,285,285,0,446350,1,0
0,0,61849,46,46,0,60071,0,1
1,0,1721524,41,41,1,1718519,3,1
1,0,21022,62,62,1,18272,3,1
1,0,517997,131,131,1,514713,3,0
1,0,1984663,165,165,1,1981777,3,0
1,0,4543,137,137,1,1706,3,1
1,0,16034,125,125,1,13233,3,0
1,0,1133115,269,269,1,1130755,3,1
0,0,1973,1,1,0,3,1,1
1,0,1174681,75,75,1,1172813,3,0
0,0,3158,6,6,0,342,0,1
1,0,648458,160,160,1,645735,3,0
0,0,31215,301,301,0,30121,1,1
0,0,1171911,147,147,0,1168945,0,0
0,0,2772,318,318,0,301,0,1
1,0,265804,201,201,1,263906,3,0
0,0,496864,169,169,0,494066,0,0
1,0,1709527,107,107,1,1707056,3,1
1,0,29971,144,144,1,27197,3,1
1,0,5025,157,157,1,2677,3,1
1,0,474181,192,192,1,471830,3,0
0,0,20670,139,139,0,18052,0,1
0,0,1430611,98,98,0,1429409,1,0
1,0,2149200,265,265,1,2146741,3,0
1,0,30617,149,149,1,28410,3,1
0,0,750304,209,209,0,747923,0,0
1,0,10460,76,76,1,8049,3,1
1,0,754760,205,205,1,752910,3,0
1,0,6217,319,319,1,3602,3,1
1,0,396132,245,245,1,393928,3,0
1,0,128705,207,207,1,127131,3,1
1,0,496021,26,26,1,493463,3,0
1,0,56619,316,316,1,53854,3,1
0,0,4421,31,31,0,3684,0,1
0,0,117865,211,211,0,115973,0,1
0,0,6529,156,156,0,4547,0,1
1,0,174847,194,194,1,172793,3,1
1,0,8963,176,176,1,6399,3,1
0,0,6840,284,284,0,3826,0,0
1,0,1175229,146,146,1,1172704,3,0
1,0,110366,249,249,1,107442,3,1
1,0,7278,95,95,1,4399,3,0
1,0,22938,85,85,1,21226,3,1
1,0,1130391,197,197,1,1127446,3,0
1,0,11829,32,32,1,8980,3,1
1,0,1443,19,19,1,1,3,1
0,0,7112,282,282,0,4374,0,1
1,0,1008775,189,189,1,1006142,3,0
1,0,7245,290,290,1,4687,3,1
1,0,12451,175,175,1,9695,3,1
0,0,2274,50,50,0,1,0,0
1,0,2194888,106,106,1,2192474,3,1
1,0,905310,39,39,1,902803,3,0
0,0,729858,200,200,0,727477,0,0
1,0,214887,305,305,1,212992,3,0
0,0,34372,2,2,0,33320,0,1
0,0,38223,30,30,0,36197,0,1
1,0,18751,109,109,1,16475,3,1
1,0,2120212,105,105,1,2117660,3,0
1,0,3783,84,84,1,1453,3,1
1,0,596370,276,276,1,593812,3,0
1,0,19819,122,122,1,16985,3,1
0,0,392186,224,224,0,389424,0,0
0,0,36463,116,116,0,33455,0,1
1,0,439193,286,286,1,435576,3,0
0,0,598524,92,92,0,596251,1,0
0,0,17724,293,293,0,14986,1,1
1,0,107280,48,48,1,104554,3,0
1,0,2892,67,67,1,97,3,0
0,0,478312,10,10,0,477440,0,0
1,0,46833,74,74,1,44356,3,0
1,0,342240,152,152,1,339421,3,1
1,0,2020967,177,177,1,2018517,3,0
1,0,68416,261,261,1,66416,3,1
1,0,4460,127,127,1,2295,3,0
0,0,553364,250,250,0,550602,0,0
1,0,201254,158,158,1,198909,3,0
0,0,851849,120,120,0,849015,0,0
1,0,3538,292,292,1,857,3,1
1,0,12394,303,303,1,9605,3,0
0,0,748745,35,35,0,745776,0,0
1,0,14564,60,60,1,12819,3,1
0,0,39476,268,268,0,36720,0,1
1,0,13956,215,215,1,10954,3,0
1,0,58311,298,298,1,56848,3,1
0,0,645301,275,275,0,642806,0,0
1,0,5678,128,128,1,4257,3,1
1,0,458839,16,16,1,457553,3,0
0,0,811998,312,312,0,810235,0,0
1,0,26744,325,325,1,24147,3,1
0,0,968,8,8,0,3,0,0
1,0,905988,96,96,1,903148,3,0
1,0,9121,288,288,1,6152,3,1
1,0,582104,238,238,1,579438,3,0
1,0,79885,229,229,1,77750,3,1
1,0,2982,70,70,1,445,3,1
0,0,169312,66,66,0,166550,0,0
1,0,1113039,295,295,1,1110685,3,1
0,0,531490,33,33,0,528650,0,0
0,0,4734,123,123,0,2191,0,0
1,0,710712,199,199,1,708220,3,0
0,0,367390,216,216,0,364778,1,0
1,0,56555,324,324,1,54387,3,1
0,0,18183,233,233,0,15433,0,0
1,0,4073,5,5,1,1218,3,0
1,0,15577,69,69,1,12521,3,1
1,0,2028531,266,266,1,2025571,3,0
1,0,27589,108,108,1,25172,3,0
0,0,4119,43,43,0,967,0,1
1,0,27235,148,148,1,24623,3,1
1,0,783456,79,79,1,780772,3,0
0,0,11142,111,111,0,8839,0,1
1,0,242630,118,118,1,239769,3,1
1,0,10610,172,172,1,8169,3,1
1,0,106204,279,279,1,104012,4,1
1,0,16963,47,47,1,14936,3,0
1,0,9934,86,86,1,6965,3,1
1,0,577397,7,7,1,576201,3,0
1,0,1820,9,9,1,189,3,0
1,0,485801,34,34,1,483723,3,0
1,3,11541,326,326,1,8509,3,1
1,0,619021,151,151,1,617285,3,0
0,0,13820,28,28,0,12766,0,1
1,0,2325261,42,42,1,2323705,3,0
1,0,10910,88,88,1,8910,3,0
1,0,639965,257,257,1,637563,3,0
