Gene_Classification,Genomic_End_Position,Gene_Db_Id,Gene_Label,Genomic_Start_Position,Strand_Orientation
0,462219,364,364,461563,1
0,1079,128,128,750,0
0,1784731,334,334,1784156,1
0,1368555,311,311,1367977,1
0,170789,69,69,170208,1
1,44727,395,395,44119,1
0,917604,278,278,916954,0
0,7294,266,266,6638,0
0,9111,132,132,8734,0
0,633393,83,83,632488,1
0,2852,16,16,2211,0
0,1610144,115,115,1609563,0
0,219644,72,72,218985,1
0,873,5,5,262,1
0,462632,141,141,462006,0
0,1707,378,378,1054,0
0,555039,79,79,554104,0
1,891600,276,276,891058,1
0,522983,296,296,522417,1
0,897652,245,245,897068,0
0,445439,135,135,444747,0
0,8892,376,376,8245,0
0,407298,185,185,406639,0
0,95645,65,65,95094,1
0,296809,421,421,296102,1
0,438791,33,33,438168,1
0,296422,249,249,295724,0
0,311595,412,412,311224,1
0,22912,59,59,22523,0
0,20624,75,75,19953,1
0,262228,38,38,261515,0
0,603114,242,242,602248,1
0,610905,158,158,610333,0
1,862102,246,246,861431,0
0,9993,34,34,9376,1
0,1439745,90,90,1439215,1
0,12594,200,200,11959,1
0,367683,156,156,367096,0
0,28027,45,45,27344,0
0,406686,140,140,406078,0
0,32545,267,267,31979,0
1,11424,41,41,10828,0
0,465000,354,354,464038,0
1,874302,279,279,873739,1
0,1570983,121,121,1570405,1
0,456160,323,323,455483,0
1,28680,130,130,27985,0
0,478938,102,102,478315,0
0,494817,205,205,494134,1
0,21792,346,346,21193,0
0,649380,241,241,648745,1
1,499409,366,366,498789,0
0,21840,235,235,21079,0
0,551183,231,231,550740,0
0,53116,397,397,52718,0
0,302673,250,250,302005,0
0,633183,239,239,632827,1
0,1148872,410,410,1148204,0
0,548259,145,145,547909,0
0,627298,100,100,626603,1
0,555039,429,429,554545,1
0,269583,420,420,268954,0
0,1587490,215,215,1586741,0
0,1038285,193,193,1037734,1
0,266589,177,177,265723,0
0,21892,340,340,21179,0
0,400683,57,57,400036,1
0,11825,46,46,11139,0
0,564291,149,149,563632,1
0,1722444,339,339,1721857,1
0,1871216,109,109,1870641,0
0,1081012,406,406,1080440,1
0,217404,23,23,216745,0
0,2130876,105,105,2130250,1
0,5418,236,236,4696,1
0,266951,175,175,266226,0
0,643220,202,202,642618,0
0,238595,173,173,237978,1
0,174019,66,66,173294,1
0,33533,391,391,32910,1
0,66227,304,304,65685,0
0,1032696,194,194,1032121,1
0,1279824,190,190,1279111,1
0,549268,76,76,548651,0
1,1738968,28,28,1738420,0
0,110877,157,157,110344,1
1,44362,303,303,43754,1
0,375323,426,426,374682,1
0,1894275,111,111,1893637,1
0,48963,358,358,48349,0
0,63431,64,64,62859,0
0,559332,146,146,558976,0
1,1947,15,15,1330,1
1,807869,25,25,807330,1
0,17246,271,271,16593,0
0,11667,264,264,10975,1
0,1182146,315,315,1181541,1
0,777907,152,152,777242,0
0,474095,355,355,473496,0
0,548591,230,230,548190,0
0,1654543,31,31,1654004,1
0,15815,361,361,15231,0
0,417430,207,207,416753,1
0,50225,396,396,49587,0
0,23909,362,362,23259,0
0,1886263,222,222,1885670,0
0,1420673,91,91,1420101,0
0,1628056,216,216,1627475,0
0,5356,351,351,4736,1
0,272757,181,181,271798,0
0,422988,184,184,422386,0
0,431207,427,427,430704,0
0,563485,94,94,563114,0
0,4939,7,7,4241,1
0,488252,256,256,487683,0
0,2141017,329,329,2140400,0
0,305429,372,372,304515,0
1,210445,137,137,209840,1
0,636879,161,161,636250,1
0,2103139,225,225,2102468,1
0,211634,419,419,211245,0
0,34921,272,272,34262,1
0,1578872,120,120,1578312,0
0,596495,162,162,595866,0
0,9539,199,199,8904,1
0,491431,299,299,490859,1
0,458814,353,353,458125,0
0,283286,425,425,282588,0
0,1863,44,44,1279,0
0,1306828,212,212,1306226,1
0,10499,39,39,10110,1
0,6256,131,131,5888,0
0,77237,61,61,76545,0
0,1685667,117,117,1685527,0
0,566496,300,300,565864,1
0,1200244,314,314,1199621,0
0,8071,393,393,7124,1
0,631273,160,160,630704,1
0,1299223,188,188,1298663,0
1,1337715,214,214,1337152,0
1,893116,244,244,892445,1
0,102031,0,0,101630,1
0,452612,287,287,451995,0
0,542828,294,294,542232,1
0,2082607,36,36,2081918,1
0,632235,87,87,631654,1
0,253563,291,291,252895,0
0,1060193,192,192,1059636,1
0,54130,400,400,53294,1
1,225709,70,70,225092,1
0,2016292,330,330,2015537,0
0,55031,270,270,54300,0
0,42738,392,392,42403,1
0,683253,98,98,682675,0
0,930600,247,247,929947,1
0,510533,431,431,509916,0
0,1653046,113,113,1652444,1
0,602022,163,163,601444,0
0,9693,360,360,9067,0
0,325661,371,371,325122,0
0,57983,63,63,57381,1
0,482096,259,259,481446,0
0,152203,402,402,151562,0
0,7816,170,170,6941,1
0,459742,255,255,459083,0
0,8984,261,261,8412,1
0,285006,251,251,284026,0
0,786,373,373,88,0
0,521226,211,211,520573,0
0,1896,260,260,1198,1
0,423275,206,206,422700,0
0,297265,228,228,296609,0
0,413954,418,418,413337,0
0,10738,166,166,10142,1
0,410431,183,183,409799,0
0,717564,274,274,716974,1
0,497547,257,257,496699,0
0,2021354,37,37,2020752,1
1,22510,55,55,21845,0
0,12963,342,342,12349,0
0,1274037,191,191,1273459,1
1,2090413,219,219,2089832,1
0,203566,71,71,203195,1
0,641268,240,240,640657,1
1,1773473,335,335,1772775,1
0,537100,295,295,536468,1
0,3185,164,164,2544,1
0,1078119,195,195,1077559,0
0,567898,124,124,567485,0
0,4704,233,233,4066,0
0,55203,82,82,54550,0
0,288418,227,227,287768,0
0,165971,19,19,165327,0
0,627125,86,86,626559,1
0,1646736,217,217,1646206,0
0,11303,51,51,10641,1
0,661517,1,1,660867,1
