STRAND_ORIENTATION,GENOMIC_END_POSITION,GENE_ID,GENE_DB_ID,ENCODED_PROTEIN,CHROMOSOME_ID,GENOMIC_START_POSITION
1,2825953,95,95,0,0,2825009
0,2818375,251,251,0,12,2817354
1,1962233,73,73,0,0,1961243
0,705383,26,26,0,0,704423
1,1036988,41,41,0,0,1036017
0,2929889,255,255,0,12,2928926
1,1951701,72,72,0,0,1950744
0,621314,22,22,1,0,620361
1,1234677,138,138,0,1,1233707
1,3554822,118,118,0,0,3554085
1,22128,171,171,0,6,21118
1,2580660,85,85,0,0,2579676
1,2687685,91,91,1,0,2686888
0,1261944,147,147,0,2,1260960
1,2923780,98,98,1,0,2922814
0,2218428,230,230,1,9,2217492
1,98100,263,263,0,13,97104
1,194080,158,158,0,4,193107
0,2083278,225,225,0,9,2082312
1,34889,151,151,0,3,33931
0,89815,221,221,0,9,88823
1,3675676,123,123,0,0,3674736
1,1043987,42,42,0,0,1043027
0,2590362,243,243,0,12,2589354
0,2630816,206,206,0,7,2629838
0,1789660,166,166,1,4,1788675
0,3178788,108,108,0,0,3177802
0,2346965,200,200,0,7,2346009
1,127076,192,192,0,7,126066
0,3244723,111,111,0,0,3243964
0,320709,199,199,1,7,319707
1,250517,238,238,1,10,249557
0,1894910,178,178,1,6,1894237
1,278997,159,159,0,4,278392
1,8035,153,153,1,4,7042
1,311627,161,161,1,4,310667
0,1276401,148,148,0,2,1275562
1,613465,21,21,1,0,612696
0,63052,3,3,0,0,62038
1,3192903,110,110,0,0,3191963
0,2052986,224,224,0,9,2051981
0,2885211,253,253,0,12,2884260
0,3411054,114,114,0,0,3410011
1,315605,267,267,0,13,314638
0,1302731,139,139,1,1,1301798
1,3615342,121,121,0,0,3614358
0,2137083,79,79,0,0,2136116
0,829945,31,31,0,0,828981
0,2310802,83,83,0,0,2309816
1,1661637,61,61,1,0,1660898
0,3070241,106,106,0,0,3069280
1,80570,189,189,0,7,79583
0,1975350,223,223,1,9,1974370
1,3781213,126,126,0,0,3780167
0,1987656,180,180,0,6,1986653
1,243795,237,237,0,10,242828
0,1227129,48,48,0,0,1226153
0,2191993,229,229,1,9,2191163
1,1896974,70,70,0,0,1895961
1,196537,177,177,1,6,195815
1,2569200,84,84,0,0,2568416
0,2026638,181,181,0,6,2025643
1,2012514,76,76,0,0,2011537
1,143681,152,152,0,3,142743
0,350270,10,10,0,0,349232
0,961008,37,37,0,0,960057
0,818515,30,30,0,0,817520
0,1798060,167,167,0,4,1797042
1,74070,136,136,0,1,73103
0,2500826,203,203,1,7,2499858
1,3747742,125,125,0,0,3746758
0,96817,222,222,0,9,95832
0,1493581,54,54,0,0,1492608
0,2790671,93,93,0,0,2789740
1,164600,265,265,0,13,163581
1,81446,174,174,0,6,80444
0,2363219,201,201,0,7,2362256
1,3501883,117,117,0,0,3500926
1,1169323,46,46,0,0,1168314
1,2609560,88,88,0,0,2608581
0,175684,5,5,1,0,174773
0,2599688,204,204,0,7,2598686
1,3907034,131,131,0,0,3906026
0,756430,28,28,0,0,755452
0,2620539,245,245,1,12,2619563
1,1379,134,134,0,1,408
1,1719528,63,63,1,0,1718592
0,2922898,254,254,0,12,2921940
0,29762,1,1,0,0,28779
1,146994,175,175,1,6,146054
1,3832545,128,128,1,0,3831499
0,1944091,179,179,1,6,1943137
1,2931247,99,99,0,0,2930282
1,56587,188,188,0,7,55870
1,3864794,129,129,1,0,3863936
1,10066,219,219,0,9,9119
0,2768159,212,212,0,7,2767187
1,2970973,102,102,0,0,2969987
0,1819402,168,168,0,4,1818421
0,2886495,96,96,0,0,2885569
1,1029803,40,40,2,0,1028849
0,2799553,214,214,0,7,2798511
1,1831592,67,67,0,0,1830638
0,1202243,144,144,0,2,1201265
0,1323924,50,50,0,0,1322970
0,2950391,256,256,0,12,2949454
0,1609442,58,58,1,0,1608554
0,325126,9,9,0,0,324116
0,2866118,252,252,1,12,2865319
1,232090,196,196,0,7,231104
0,825304,169,169,1,5,824320
0,797603,29,29,0,0,796557
1,62075,135,135,1,1,61062
1,61311,232,232,0,10,60333
1,130190,235,235,0,10,129258
0,101259,4,4,0,0,100271
1,3485524,116,116,0,0,3484511
0,854400,34,34,0,0,853408
1,530848,17,17,1,0,529877
1,93901,156,156,0,4,93026
0,2164937,227,227,1,9,2163912
1,3565904,119,119,1,0,3564858
0,2718036,249,249,0,12,2717006
1,3958204,133,133,0,0,3957431
1,1842055,68,68,0,0,1841258
1,3896577,130,130,0,0,3895570
1,3626724,122,122,0,0,3625683
0,264759,7,7,0,0,263742
1,1863193,69,69,0,0,1862233
0,418380,13,13,0,0,417494
0,1314686,150,150,0,2,1313668
1,1158170,45,45,0,0,1157129
1,188127,194,194,1,7,187156
1,1104725,43,43,0,0,1103973
1,47733,216,216,0,8,46712
1,3129,141,141,1,2,2111
0,2491047,241,241,0,12,2490060
0,2611171,205,205,0,7,2610116
0,2751961,211,211,0,7,2751003
0,2075234,183,183,1,6,2074416
1,65837,261,261,0,13,64781
1,19593,239,239,1,11,18641
1,116363,191,191,1,7,115392
1,992940,38,38,1,0,992231
1,257930,197,197,0,7,256958
1,82197,155,155,0,4,81176
0,1206640,47,47,0,0,1205634
1,59985,217,217,0,8,58996
1,35674,186,186,0,7,34737
0,7609,0,0,1,0,6614
1,3008310,104,104,0,0,3007265
0,1632520,59,59,0,0,1631515
0,52191,2,2,0,0,51200
0,1435342,52,52,0,0,1434369
0,2247622,81,81,0,0,2246622
0,2402964,202,202,0,7,2401983
0,937139,36,36,0,0,936183
0,462656,15,15,1,0,461872
1,2647975,89,89,0,0,2647001
1,1550036,56,56,0,0,1549070
1,474134,16,16,1,0,473342
0,2659219,247,247,0,12,2658195
0,361388,11,11,0,0,360375
1,2598728,87,87,0,0,2597760
0,1305031,49,49,1,0,1304292
0,1753616,162,162,0,4,1752621
0,2694134,248,248,1,12,2693159
1,3821699,127,127,0,0,3820752
1,207934,236,236,1,10,206941
0,2729418,250,250,0,12,2728442
0,1647699,60,60,0,0,1646762
0,1456456,53,53,0,0,1455519
1,5080,170,170,0,6,4079
1,23469,185,185,0,7,22545
1,2821,259,259,1,13,1796
0,2037842,182,182,0,6,2036855
0,1782786,165,165,0,4,1781826
1,1758744,64,64,0,0,1757779
0,1410592,51,51,0,0,1409631
0,2410931,240,240,0,12,2409980
1,77248,262,262,0,13,76246
0,669332,24,24,0,0,668377
1,7509,215,215,1,8,6770
1,36053,154,154,0,4,35076
1,1571655,57,57,1,0,1570786
1,47279,187,187,0,7,46316
1,168621,157,157,1,4,168018
1,204979,266,266,0,13,203989
1,300350,198,198,1,7,299433
0,1190403,143,143,0,2,1189413
1,3699200,124,124,0,0,3698199
0,1242580,145,145,0,2,1241593
1,2901620,97,97,0,0,2900680
1,2595178,86,86,0,0,2594197
0,2787380,213,213,0,7,2786407
0,3422379,115,115,0,0,3421396
1,49077,260,260,1,13,48083
0,632947,23,23,0,0,631997
1,4464,184,184,0,7,3665
1,2023898,77,77,0,0,2022911
1,3035493,105,105,0,0,3034472
1,1004126,39,39,1,0,1003339
1,2953405,100,100,0,0,2952535
