GeneSubclass,GeneType,GenomicStartPosition,StrandOrientation,GeneLabel,EncodedProtein,GeneDbId,OrthologousGene,GenomicEndPosition
0,0,41594,0,383,4,383,149,42175
0,0,8539,0,126,4,126,44,9261
0,0,382086,0,55,4,55,157,382637
0,0,34388,1,299,4,299,121,35038
0,0,415509,0,243,4,243,24,416102
1,1,12661,1,346,3,346,106,13194
0,0,652923,1,82,4,82,55,653543
0,0,319437,1,420,4,420,98,320021
0,0,77844,0,296,4,296,86,78452
0,0,2228,0,381,4,381,147,2893
0,0,38181,1,77,4,77,57,38888
0,0,22609,1,301,2,301,57,22995
0,0,1065931,1,402,4,402,70,1066542
0,0,438233,0,348,4,348,22,438865
0,0,345353,0,150,4,150,134,345916
1,1,498789,0,363,3,363,56,499409
0,0,261515,0,36,4,36,168,262228
0,0,350453,1,411,2,411,99,350824
0,0,223792,0,163,4,163,22,224418
0,0,16375,0,46,4,46,44,17055
0,0,204,1,280,4,280,69,1049
0,0,806492,1,148,4,148,117,807166
1,1,873739,1,271,3,271,118,874302
0,0,3,1,8,5,8,74,281
0,0,15472,0,339,4,339,54,16035
0,0,311224,1,409,2,409,99,311595
0,0,5631,1,9,4,9,74,6125
0,0,581596,0,75,4,75,159,582243
0,0,1670067,0,27,4,27,123,1670681
1,1,543658,0,143,1,143,113,544317
0,0,284026,0,242,4,242,134,285006
0,0,481446,0,250,4,250,110,482096
0,0,15977,0,161,4,161,127,16573
0,0,691,0,123,4,123,0,1236
0,0,2152117,1,104,4,104,160,2152710
0,0,217234,0,162,4,162,22,218124
0,0,505327,1,291,4,291,15,505974
0,0,314181,0,121,4,121,26,314714
0,0,729363,0,94,4,94,17,729959
0,0,358038,1,274,2,274,57,358436
0,0,593512,1,228,4,228,44,594102
0,0,22061,1,71,4,71,62,22696
1,1,1260970,0,321,3,321,130,1261581
0,0,160181,0,400,4,400,50,160801
1,1,10210,0,102,3,102,103,10872
0,0,411981,1,276,4,276,46,412598
0,0,516578,1,290,4,290,6,517192
0,0,53279,1,303,4,303,43,53893
0,0,252895,0,284,4,284,132,253563
0,0,237338,0,282,4,282,24,237931
0,0,265723,0,173,4,173,22,266589
0,0,1077559,0,189,4,189,160,1078119
0,0,467864,1,293,4,293,6,468817
0,0,1242540,1,183,4,183,160,1243238
0,0,1175530,0,396,4,396,5,1176204
0,0,5628,0,384,4,384,154,6197
0,0,46335,1,78,4,78,32,47042
0,0,374062,0,40,4,40,17,374682
0,0,1420101,0,89,4,89,160,1420673
0,0,388043,1,191,2,191,75,388432
0,0,70109,0,57,4,57,127,70633
0,0,10535,0,371,4,371,126,11230
0,0,694383,0,304,4,304,71,694973
0,0,1677395,0,116,4,116,137,1677970
0,0,5141,0,372,4,372,23,5761
0,0,1885670,0,213,4,213,102,1886263
0,0,310645,1,419,4,419,136,311313
0,0,281740,1,170,4,170,48,282372
0,0,455483,0,318,4,318,119,456160
0,0,35961,1,382,4,382,149,36542
0,0,601643,1,317,4,317,93,602338
0,0,376496,1,360,4,360,26,377041
0,0,1142287,1,406,4,406,49,1142859
0,0,1480762,1,91,4,91,76,1481322
0,0,1306226,1,204,4,204,92,1306828
0,0,1236,1,5,4,5,35,1739
0,0,410251,0,137,2,137,32,410649
0,0,1586741,0,207,4,207,92,1587490
0,0,1612,1,281,4,281,30,2442
0,0,327337,1,421,4,421,98,327963
0,0,1410949,0,20,4,20,17,1411596
0,0,259935,0,174,4,174,100,260483
0,0,916954,0,270,4,270,102,917604
0,0,370350,1,273,4,273,99,371048
0,0,11081,1,45,2,45,127,11470
0,0,376607,0,138,4,138,99,377176
0,0,1942577,0,7,4,7,58,1943209
0,0,6853,1,265,4,265,127,7470
0,0,120498,0,33,2,33,107,120884
0,0,20602,1,13,4,13,16,21243
0,0,617066,1,229,4,229,15,617680
0,0,339536,0,410,4,410,99,340144
1,1,861431,0,238,3,238,1,862102
0,0,1874526,0,214,4,214,49,1875155
0,0,632827,1,230,2,230,96,633183
0,0,58891,0,47,4,47,77,59685
0,0,1610868,0,327,4,327,123,1611491
0,0,31012,0,354,4,354,23,31626
0,0,75574,1,275,4,275,48,76266
0,0,430509,0,11,4,11,134,430625
0,0,287506,0,172,4,172,100,288480
0,0,1186465,0,343,4,343,168,1187163
0,0,1199621,0,309,4,309,58,1200244
0,0,18276,0,387,4,387,151,18926
0,0,2114982,1,24,4,24,97,2115566
0,0,1109041,1,313,4,313,97,1109679
0,0,987,1,49,4,49,44,1559
0,0,413337,0,415,4,415,17,413954
0,0,159101,1,65,4,65,99,159847
0,0,1138561,1,312,4,312,58,1139142
0,0,461563,1,361,4,361,116,462219
0,0,512,1,164,4,164,44,1348
0,0,1344239,0,195,4,195,124,1344856
0,0,203195,1,68,2,68,57,203566
0,0,3085,1,192,4,192,44,3660
0,0,1001410,0,93,4,93,165,1001979
1,1,1671336,0,117,3,117,121,1671935
0,0,2760,1,159,4,159,143,3008
0,0,17072,0,345,4,345,155,17644
0,0,392783,0,277,4,277,10,393310
0,0,1024453,0,188,4,188,76,1025055
0,0,1654004,1,29,4,29,150,1654543
0,0,10434,1,12,4,12,140,11006
0,0,1840178,0,108,4,108,58,1840810
0,0,1181541,1,310,4,310,58,1182146
1,1,355831,1,429,3,429,138,356421
0,0,398035,0,245,4,245,24,398667
0,0,1235211,1,184,2,184,97,1235855
0,0,1806064,0,334,4,334,146,1806636
0,0,6641,0,51,4,51,44,7249
0,0,451995,0,278,4,278,97,452612
0,0,425384,0,136,2,136,48,425782
0,0,531,0,1,4,1,162,1121
0,0,724664,1,147,4,147,117,725245
0,0,7151,0,340,2,340,148,7534
0,0,14272,0,374,4,374,102,14571
0,0,243556,0,285,4,285,120,244449
0,0,621803,0,25,4,25,97,622513
0,0,260553,0,171,4,171,32,261062
0,0,252442,0,175,4,175,22,253089
0,0,304515,0,369,4,369,9,305429
1,1,689434,0,144,3,144,56,690105
0,0,25487,1,302,4,302,32,26110
0,0,54550,0,79,4,79,32,55203
0,0,6140,1,223,4,223,44,6670
0,0,467418,0,362,4,362,163,467996
0,0,750,0,125,2,125,77,1079
0,0,1784156,1,330,4,330,146,1784731
0,0,1391459,0,305,4,305,165,1392058
0,0,173294,1,63,4,63,48,174019
1,1,44119,1,392,3,392,67,44727
1,1,978390,0,272,1,272,118,978860
0,0,6638,0,258,4,258,44,7294
0,0,8734,0,129,2,129,77,9111
0,0,640880,1,81,4,81,55,641578
0,0,2211,0,15,4,15,37,2852
0,0,1609563,0,113,4,113,76,1610144
1,1,225092,1,67,3,67,34,225709
0,0,262,1,4,4,4,33,873
1,1,503911,1,425,3,425,145,504309
0,0,1054,0,375,4,375,88,1707
0,0,569783,0,73,4,73,115,570400
0,0,896894,0,269,4,269,61,897457
0,0,528356,1,289,4,289,15,528985
0,0,929947,1,239,4,239,168,930600
0,0,459083,0,246,4,246,27,459742
0,0,8245,0,373,4,373,4,8892
0,0,409799,0,178,4,178,64,410431
0,0,95094,1,62,4,62,112,95645
0,0,296102,1,418,4,418,98,296809
0,0,438168,1,31,4,31,143,438791
0,0,302005,0,241,4,241,47,302673
0,0,331510,0,408,4,408,99,332148
0,0,22523,0,56,2,56,131,22912
0,0,19953,1,72,4,72,68,20624
0,0,275592,0,133,4,133,82,276224
0,0,605367,1,235,4,235,6,605996
0,0,630704,1,154,4,154,98,631273
1,1,892445,1,236,3,236,11,893116
0,0,9376,1,32,4,32,128,9993
0,0,1447573,1,87,4,87,17,1448091
0,0,11959,1,194,4,194,95,12594
0,0,388676,0,244,4,244,110,389569
0,0,27344,0,42,4,42,127,28027
0,0,426186,1,134,4,134,129,426818
0,0,31979,0,259,4,259,127,32545
1,1,10828,0,39,3,39,108,11424
0,0,473496,0,351,4,351,114,474095
1,1,891058,1,268,1,268,42,891600
0,0,1570405,1,119,4,119,97,1570983
0,0,486679,1,198,4,198,125,487260
1,1,27985,0,127,3,127,164,28680
0,0,478315,0,100,4,100,3,478938
0,0,1108595,0,395,4,395,139,1109266
0,0,21193,0,342,4,342,41,21792
0,0,651543,1,233,4,233,6,652493
0,0,537880,1,142,4,142,118,538452
0,0,21079,0,226,4,226,131,21840
0,0,567485,0,122,2,122,63,567898
0,0,52718,0,394,5,394,38,53116
0,0,308044,0,367,4,367,27,308712
0,0,640657,1,231,4,231,133,641268
0,0,1590720,0,328,4,328,71,1591262
0,0,558976,0,140,2,140,81,559332
0,0,642618,0,196,4,196,66,643220
1,1,587969,1,153,3,153,109,588625
0,0,268954,0,417,4,417,136,269583
1,1,1590901,0,208,3,208,130,1591401
0,0,1059636,1,186,4,186,58,1060193
0,0,271798,0,177,4,177,22,272757
0,0,21179,0,336,4,336,54,21892
0,0,400036,1,54,4,54,157,400683
0,0,11139,0,43,4,43,127,11825
0,0,610288,1,364,4,364,168,610947
0,0,1182499,0,322,4,322,40,1183104
0,0,1870641,0,107,4,107,17,1871216
0,0,1099440,1,404,4,404,102,1100102
0,0,222562,0,286,4,286,24,223254
0,0,2130250,1,103,4,103,97,2130876
0,0,4696,1,227,4,227,77,5418
0,0,273715,1,169,4,169,99,274287
0,0,211887,1,428,4,428,80,212591
0,0,252897,0,167,4,167,32,253619
0,0,190256,1,64,4,64,99,190891
0,0,32910,1,388,4,388,147,33533
0,0,65685,0,298,4,298,121,66227
0,0,1037734,1,187,4,187,97,1038285
0,0,1298663,0,182,4,182,97,1299223
0,0,554104,0,76,4,76,79,555039
0,0,1789544,1,215,4,215,35,1790185
0,0,110344,1,151,5,151,161,110877
0,0,69732,0,295,4,295,158,70385
0,0,374682,1,423,4,423,129,375323
0,0,1893637,1,109,4,109,29,1894275
0,0,48349,0,355,4,355,105,48963
0,0,62859,0,61,4,61,127,63431
0,0,563114,0,92,2,92,18,563485
1,1,1330,1,14,3,14,141,1947
0,0,849029,1,22,4,22,123,849658
0,0,16593,0,263,4,263,44,17246
0,0,10975,1,256,4,256,44,11667
0,0,1191744,1,311,4,311,160,1192370
0,0,789061,1,146,4,146,59,789660
0,0,484143,0,352,4,352,52,484940
0,0,550740,0,222,2,222,161,551183
0,0,1664528,0,28,4,28,150,1665163
0,0,15231,0,358,4,358,51,15815
0,0,422700,0,200,4,200,5,423275
0,0,49587,0,393,4,393,102,50225
0,0,23259,0,359,4,359,142,23909
0,0,1934724,0,211,4,211,123,1935320
0,0,1439215,1,88,4,88,58,1439745
0,0,1646206,0,209,4,209,19,1646736
0,0,4736,1,347,4,347,135,5356
0,0,281250,0,176,4,176,100,281837
0,0,216745,0,21,4,21,24,217404
0,0,462006,0,135,4,135,98,462632
0,0,564760,0,379,2,379,81,565167
0,0,4241,1,6,4,6,1,4939
0,0,496699,0,248,4,248,24,497547
0,0,2159390,0,323,4,323,71,2159962
0,0,1721857,1,335,4,335,22,1722444
0,0,626559,1,83,4,83,170,627125
0,0,509916,0,430,4,430,45,510533
0,0,2102468,1,216,4,216,58,2103139
0,0,211245,0,416,5,416,8,211634
0,0,34262,1,264,4,264,127,34921
0,0,1578312,0,118,4,118,17,1578872
0,0,601444,0,157,4,157,144,602022
0,0,8904,1,193,4,193,95,9539
0,0,497083,1,292,4,292,44,497850
0,0,464038,0,350,4,350,2,465000
0,0,282588,0,422,4,422,136,283286
0,0,1279,0,41,4,41,131,1863
1,1,1337152,0,206,3,206,31,1337715
0,0,10110,1,37,2,37,94,10499
0,0,5888,0,128,2,128,131,6256
0,0,76545,0,58,4,58,131,77237
0,0,1685527,0,115,0,115,160,1685667
0,0,583626,1,131,4,131,6,584282
0,0,1211533,0,308,4,308,17,1212108
0,0,7124,1,390,4,390,87,8071
0,0,636250,1,155,4,155,129,636879
0,0,1356881,1,307,4,307,146,1357417
0,0,1412725,1,205,4,205,13,1413348
0,0,897068,0,237,4,237,163,897652
0,0,101630,1,0,4,0,104,102031
0,0,459570,0,279,4,279,58,460277
0,0,550314,1,287,4,287,15,550961
0,0,2081918,1,34,4,34,58,2082607
0,0,672981,1,181,4,181,12,673589
0,0,261997,0,283,4,283,132,262590
0,0,1069351,0,190,4,190,58,1069989
0,0,53294,1,397,4,397,53,54130
0,0,237978,1,168,4,168,32,238595
0,0,2039173,1,325,4,325,169,2039757
0,0,54300,0,262,4,262,131,55031
0,0,42403,1,389,4,389,87,42738
0,0,698387,1,95,4,95,97,698962
0,0,1037092,1,366,4,366,168,1037760
0,0,522157,0,431,4,431,20,522585
0,0,1652444,1,111,4,111,58,1653046
0,0,610333,0,152,4,152,136,610905
0,0,9067,0,357,4,357,142,9693
0,0,331098,0,149,4,149,134,331967
0,0,57381,1,60,4,60,131,57983
0,0,487683,0,247,4,247,132,488252
0,0,151562,0,399,4,399,92,152203
0,0,6941,1,165,4,165,127,7816
0,0,472107,0,249,4,249,134,473006
0,0,8412,1,252,4,252,77,8984
0,0,295724,0,240,4,240,134,296422
0,0,88,0,370,4,370,36,786
0,0,540331,0,101,4,101,66,541203
0,0,1198,1,251,4,251,77,1896
0,0,432955,0,201,4,201,5,433446
0,0,296609,0,219,4,219,157,297265
0,0,420860,0,414,4,414,160,421453
0,0,10142,1,160,4,160,131,10738
0,0,422386,0,179,4,179,64,422988
0,0,738989,0,267,4,267,71,739582
0,0,741234,0,197,4,197,47,741926
0,0,2020752,1,35,4,35,17,2021354
1,1,21845,0,52,3,52,157,22510
0,0,12349,0,338,4,338,54,12963
0,0,1279111,1,185,4,185,17,1279824
0,0,2140400,0,324,4,324,49,2141017
0,0,212727,1,69,4,69,48,213605
0,0,648745,1,232,4,232,6,649380
1,1,1772775,1,331,3,331,121,1773473
0,0,542232,1,288,4,288,6,542828
0,0,2544,1,158,4,158,127,3185
0,0,1093786,1,315,4,315,58,1094415
0,0,547909,0,139,2,139,73,548259
0,0,4066,0,224,4,224,127,4704
0,0,67067,0,412,4,412,32,67780
0,0,287768,0,218,4,218,111,288418
0,0,497556,1,427,4,427,69,498188
0,0,632488,1,80,4,80,60,633393
0,0,606242,0,84,4,84,49,606832
0,0,10641,1,48,4,48,77,11303
0,0,666332,1,3,4,3,6,667099
