profession,profile_image,cycle_base_cyclist_id,cq_ranking_male_cyclist_id,commons_category,social_media_followers,pro_cycling_stats_cyclist_id,birth_place,uci_rider_id,native_name,weight_kg,birth_date,olympedia_people_id,first_name,cycling_archives_cyclist_id,first_cycling_rider_id,height_cm,freebase_id,sport_country
0,46,17795.0,43,49,55134.0,140553,37,13980.0,27,66.0,2,103619.0,45,8149,139.0,177.0,21,4
0,47,47214.0,16722,50,34792.0,140674,39,64531.0,15,71.0,35,132670.0,46,52973,6228.0,183.0,39,1
1,0,49682.0,17893,41,39580.0,134456,1,553301.0,23,58.0,39,143135.0,40,65130,6242.0,172.0,42,15
0,30,14372.0,56,28,,140610,16,14262.0,15,63.0,3,,25,5274,27.0,174.0,10,6
0,23,69878.0,26378,17,,206876,29,162777.0,15,,51,,15,118440,61639.0,168.0,47,2
0,24,69190.0,25740,19,,196424,13,112082.0,15,,48,,16,115868,38195.0,175.0,47,3
0,52,70304.0,26482,20,,196333,3,107840.0,8,63.0,52,146032.0,17,108403,50303.0,178.0,47,10
1,20,19255.0,3891,14,508772.0,140196,4,32532.0,5,71.0,15,113194.0,12,11292,716.0,183.0,9,15
0,3,16289.0,5,2,470645.0,140924,25,14575.0,15,61.0,4,103634.0,2,7005,38.0,177.0,22,13
0,15,58274.0,21785,9,48668.0,181024,9,93732.0,15,58.0,40,,29,85146,25680.0,167.0,1,2
1,41,3516.0,1303,44,31384.0,140584,8,,15,75.0,7,106895.0,42,12756,271.0,190.0,8,15
0,12,50824.0,18498,7,5628.0,138830,48,63841.0,15,72.0,36,,6,58906,16154.0,187.0,19,15
0,11,22917.0,6177,5,25109.0,140232,33,45643.0,15,65.0,21,134607.0,5,20659,1006.0,179.0,38,6
0,45,56672.0,22018,46,52940.0,168758,14,86735.0,24,,47,143136.0,43,74063,16639.0,183.0,5,15
0,16,65688.0,24926,11,465450.0,198937,52,95844.0,3,60.0,49,,9,100412,58275.0,175.0,47,2
0,9,22663.0,5789,4,1529344.0,140869,26,43936.0,2,69.0,14,126950.0,4,22017,713.0,186.0,15,7
0,9,22663.0,5789,4,1529344.0,140869,26,43936.0,2,69.0,14,126950.0,4,22017,713.0,186.0,15,7
0,40,4863.0,446,39,23661.0,140571,46,15732.0,21,57.0,5,,38,8397,65.0,159.0,30,4
0,46,17795.0,43,49,55134.0,140553,37,13980.0,27,66.0,2,103619.0,45,8149,139.0,177.0,21,4
0,49,47787.0,13540,21,,138301,42,513545.0,15,64.0,23,,18,26814,2340.0,173.0,35,13
0,13,46049.0,19242,8,,139823,44,69149.0,15,80.0,42,,7,43239,7730.0,183.0,43,8
1,20,19255.0,3891,14,508772.0,140196,4,32532.0,5,71.0,15,113194.0,12,11292,716.0,183.0,9,15
0,34,30026.0,7147,34,140921.0,140611,17,57601.0,17,62.0,13,132499.0,33,32008,563.0,172.0,26,9
0,21,14221.0,333,24,45721.0,140862,24,24447.0,10,73.0,11,125333.0,21,9905,,186.0,7,9
0,4,47589.0,20960,43,12247.0,158017,50,74994.0,15,83.0,43,146671.0,41,65329,16724.0,193.0,2,14
0,5,47686.0,17534,18,8603.0,140333,23,59773.0,7,72.0,32,142502.0,30,37589,2325.0,183.0,44,9
0,1,3262.0,387,1,1397142.0,137456,20,518429.0,0,62.0,10,111578.0,1,1567,3.0,176.0,29,13
0,33,56041.0,20719,33,127549.0,174582,41,88889.0,16,65.0,27,135863.0,32,72449,18655.0,177.0,46,9
0,43,8783.0,4443,45,77385.0,140517,28,44439.0,15,64.0,19,135248.0,42,19060,730.0,178.0,25,9
0,48,15225.0,2437,42,,140630,40,30369.0,15,68.0,16,111612.0,40,13510,147.0,176.0,14,12
0,53,12832.0,7751,53,75813.0,140343,45,862522.0,15,65.0,20,135250.0,49,25301,929.0,183.0,28,8
1,25,39287.0,13240,12,66281.0,140835,15,55029.0,15,67.0,24,122451.0,10,21075,1310.0,178.0,32,6
0,16,65688.0,24926,11,465450.0,198937,52,95844.0,3,60.0,49,,9,100412,58275.0,175.0,47,2
0,32,30163.0,10644,32,72926.0,140175,10,48801.0,15,62.0,25,126309.0,31,27518,,173.0,17,9
0,34,30026.0,7147,34,140921.0,140611,17,57601.0,17,62.0,13,132499.0,33,32008,563.0,172.0,26,9
0,50,41885.0,13080,47,142323.0,140628,18,64737.0,25,65.0,29,,44,58535,860.0,180.0,27,4
0,39,52044.0,20798,26,9184.0,132438,0,86938.0,12,70.0,44,143404.0,23,71789,16643.0,183.0,47,5
0,19,12980.0,1999,10,1980.0,140438,31,26925.0,15,53.0,9,,8,11870,452.0,165.0,12,6
0,17,46909.0,16707,13,57772.0,134924,36,62712.0,4,65.0,31,134609.0,11,56765,10303.0,183.0,41,6
