Viaf_Id,Gnd_Id,Freebase_Id,Library_Of_Congress_Authority_Id,Commons_Category,World_Cat_Identities_Id_Superseded,Social_Media_Followers,Main_Category,Id_Ref_Id,National_Library_Of_Israel_J9u_Id,Nl_Cr_Aut_Id,Quora_Topic_Id
137080884.0,66,40,63,42,59,5059.0,87,148421784.0,9.870072634976051e+17,42,78
89586342.0,82,29,71,2,67,21376.0,2,26461307.0,9.870072572137052e+17,41,1
124138091.0,4,8,120,56,110,55021.0,85,72312262.0,,0,42
131476374.0,117,41,104,75,95,87725.0,129,,,0,43
284976748.0,23,1,43,54,41,3426435.0,44,27627063.0,9.870074406488051e+17,61,43
151130293.0,89,148,69,88,65,82800.0,70,152824111.0,9.870074391612051e+17,36,64
158592004.0,117,7,140,59,128,,129,,9.870074542399052e+17,69,43
149568785.0,93,17,0,147,10,22301.0,127,26374943.0,9.870076037566052e+17,0,111
127559410.0,117,137,90,92,84,57899.0,74,,9.870073155214052e+17,75,43
137991167.0,79,106,23,121,25,16459.0,108,,9.870072691913052e+17,54,95
134409977.0,7,104,20,140,22,21899.0,120,26431661.0,9.870072694505052e+17,9,106
129729235.0,9,5,58,84,54,83500.0,67,26427524.0,9.870072691198052e+17,77,61
129870724.0,109,90,19,120,21,171166.0,107,29777682.0,9.870072691925052e+17,53,94
304697767.0,117,67,0,44,141,,35,,,0,33
149642343.0,117,73,129,94,119,15740.0,129,,,83,43
129736338.0,19,28,59,109,55,3279.0,94,26453177.0,9.870074541353052e+17,7,84
134855926.0,58,80,40,52,39,155378.0,43,27921026.0,9.870072651187052e+17,20,40
284976748.0,23,1,43,54,41,3426435.0,44,27627063.0,9.870074406488051e+17,61,43
146875214.0,98,125,134,59,114,,129,161183972.0,,0,43
156242131.0,94,94,137,79,125,,61,29152798.0,9.870073022865052e+17,40,43
158009703.0,117,127,142,69,130,,129,122824849.0,,63,43
134409977.0,7,104,20,140,22,21899.0,120,26431661.0,9.870072694505052e+17,9,106
148943624.0,27,71,143,130,131,,118,71341609.0,9.870112574995052e+17,99,104
128987800.0,50,62,17,36,19,2490000.0,29,26453169.0,9.870072624714052e+17,10,26
128987800.0,50,62,17,36,19,2490000.0,29,26453169.0,9.870072624714052e+17,10,26
150550802.0,117,70,146,60,134,5605.0,47,,,0,44
147263964.0,85,83,3,129,4,,117,26404095.0,9.870074057935052e+17,73,43
7.022154260664525e+21,117,117,0,149,0,,129,,,0,43
1.581491061695685e+20,95,97,52,12,0,6528.0,10,134633318.0,9.870072632333052e+17,0,8
150197821.0,60,116,101,61,92,22306.0,48,,9.870075994170052e+17,101,85
148091513.0,117,129,119,99,109,,78,,,0,70
128987800.0,50,62,17,36,19,2490000.0,29,26453169.0,9.870072624714052e+17,10,26
156963164.0,117,44,0,20,0,,129,,,1,43
150022947.0,6,27,54,142,50,17322.0,122,26432838.0,9.870076043577052e+17,50,108
137834188.0,21,14,9,68,11,12095.0,52,28176545.0,9.870072668199052e+17,0,49
126006107.0,117,123,6,34,6,15410.0,27,,9.870122892598052e+17,0,23
312905953.0,117,100,0,29,0,,129,,,0,20
124469989.0,117,152,106,59,98,,129,,9.870074035606052e+17,0,43
248312936.0,108,6,0,39,140,,32,,,0,29
234270464.0,117,121,0,76,137,,129,,,0,43
155908975.0,117,126,12,59,14,19067.0,129,,9.870074017000051e+17,27,43
125693395.0,51,38,60,105,56,,84,28925122.0,9.870072693653052e+17,84,76
130974113.0,87,109,0,57,73,,129,,,0,43
149568785.0,93,17,0,147,10,22301.0,127,26374943.0,9.870076037566052e+17,0,111
124469989.0,117,152,106,59,98,,129,,9.870074035606052e+17,0,43
124503080.0,43,152,111,59,103,,129,,9.870075721106052e+17,32,43
124469989.0,117,152,106,59,98,,129,,9.870074035606052e+17,0,43
129553616.0,83,98,21,82,23,6690.0,64,34281290.0,9.870075117609052e+17,21,58
159973797.0,84,30,130,115,0,,100,26431432.0,,0,43
172755244.0,117,139,0,59,0,,65,,,0,59
126752257.0,30,20,88,89,83,26460.0,71,122268415.0,9.870072691745052e+17,0,65
131901031.0,53,134,72,125,68,29720.0,112,28059700.0,9.870072693716051e+17,49,99
157518001.0,117,144,124,67,113,,129,,,0,43
145023311.0,37,66,13,40,15,54900.0,58,27918459.0,9.870075839249052e+17,62,30
122555271.0,76,34,51,6,48,273979.0,5,27788350.0,9.870073658138052e+17,82,4
157729206.0,1,135,14,23,16,9795.0,21,29974119.0,9.870075262166052e+17,15,19
145898321.0,90,111,89,10,96,1064.0,8,26431149.0,9.870072980861052e+17,60,7
136802472.0,69,128,39,137,38,,77,26599384.0,9.870075970485052e+17,0,43
153872312.0,117,82,115,59,0,,129,,,0,31
132451424.0,62,118,56,15,52,9505.0,13,69566992.0,9.870072692312051e+17,5,10
136704891.0,73,149,81,112,76,26977.0,97,27525031.0,9.870072692255052e+17,51,87
146264344.0,117,152,107,25,99,,22,,9.870075899032051e+17,2,43
150550802.0,117,70,146,60,134,5605.0,47,,,0,44
143759573.0,38,77,94,74,88,46914.0,57,26430711.0,9.870073102611052e+17,46,53
134825322.0,111,151,92,11,86,6283.0,9,30490561.0,9.870075131551052e+17,23,43
155739406.0,32,18,114,3,105,31080.0,3,31741878.0,9.870075839200051e+17,67,43
3.51487521794412e+19,117,122,0,59,143,,129,,,0,46
140656686.0,117,75,0,27,0,,80,,9.870074380237052e+17,81,72
146264344.0,117,152,107,25,99,,22,,9.870075899032051e+17,2,43
156242131.0,94,94,137,79,125,,61,29152798.0,9.870073022865052e+17,40,43
146041997.0,28,152,87,26,82,,129,95816364.0,9.870075754149052e+17,0,43
132501376.0,114,89,16,97,18,,75,,9.870072633376051e+17,0,69
128844680.0,65,65,4,119,3,,106,,9.870074593653052e+17,66,93
149568785.0,93,17,0,147,10,22301.0,127,26374943.0,9.870076037566052e+17,0,111
145023311.0,37,66,13,40,15,54900.0,58,27918459.0,9.870075839249052e+17,62,30
311352877.0,117,152,0,31,142,,129,,,0,43
129582224.0,59,96,29,80,31,984457.0,62,26637251.0,9.870072683257052e+17,44,57
150695858.0,115,102,85,103,79,5720.0,17,150194080.0,9.870075856587052e+17,0,14
139514305.0,117,152,0,59,0,,23,,,6,43
126006107.0,117,123,6,34,6,15410.0,27,,9.870122892598052e+17,0,23
151763069.0,117,152,0,59,0,,129,,,91,43
124127252.0,110,147,57,48,53,128768.0,39,32150547.0,9.870072646220051e+17,55,38
158812595.0,117,31,77,73,72,,56,,9.870075857734052e+17,0,52
159500576.0,117,152,96,24,0,,129,,9.870073328528051e+17,0,43
148565190.0,54,91,135,77,123,,59,146768507.0,9.870075809228051e+17,8,54
126523066.0,20,52,75,13,70,14500.0,11,,9.870075687883052e+17,0,9
130974113.0,87,109,0,57,73,,129,,,0,43
159500576.0,117,152,96,24,0,,129,,9.870073328528051e+17,0,43
151130293.0,89,148,69,88,65,82800.0,70,152824111.0,9.870074391612051e+17,36,64
124469989.0,117,152,106,59,98,,129,,9.870074035606052e+17,0,43
129582224.0,59,96,29,80,31,984457.0,62,26637251.0,9.870072683257052e+17,44,57
126523066.0,20,52,75,13,70,14500.0,11,,9.870075687883052e+17,0,9
140714422.0,117,84,53,16,49,2737.0,15,138508518.0,,0,12
131237411.0,102,25,84,143,78,14100.0,123,33565066.0,9.870072698877052e+17,29,43
284976748.0,23,1,43,54,41,3426435.0,44,27627063.0,9.870074406488051e+17,61,43
139514305.0,117,152,0,59,0,,23,,,6,43
146564554.0,104,108,18,102,20,11157.0,82,,9.870074390128051e+17,97,74
122185420.0,117,140,102,91,93,18210.0,73,,9.870073070554052e+17,0,43
129729235.0,9,5,58,84,54,83500.0,67,26427524.0,9.870072691198052e+17,77,61
126523066.0,20,52,75,13,70,14500.0,11,,9.870075687883052e+17,0,9
138923714.0,99,26,136,1,124,,1,254778186.0,9.870072572147052e+17,0,43
181230204.0,31,36,0,9,106,,129,,,0,6
157518001.0,117,144,124,67,113,,129,,,0,43
139514305.0,117,152,0,59,0,,23,,,6,43
124138091.0,4,8,120,56,110,55021.0,85,72312262.0,,0,42
124469989.0,117,152,106,59,98,,129,,9.870074035606052e+17,0,43
1.1466353136419814e+18,117,76,0,53,135,,129,,,0,43
1.1881529325365098e+21,117,152,116,59,0,,129,,,0,43
136173993.0,86,12,105,122,97,8241.0,109,33936056.0,9.870072688459052e+17,37,96
131556880.0,25,37,27,128,29,5580.0,116,26432242.0,9.870072693827052e+17,72,103
139514305.0,117,152,0,59,0,,23,,,6,43
130185857.0,18,143,65,65,61,,51,29779480.0,9.870093437790052e+17,0,48
234270464.0,117,121,0,76,137,,129,,,0,43
134409977.0,7,104,20,140,22,21899.0,120,26431661.0,9.870072694505052e+17,9,106
122185420.0,117,140,102,91,93,18210.0,73,,9.870073070554052e+17,0,43
150695858.0,115,102,85,103,79,5720.0,17,150194080.0,9.870075856587052e+17,0,14
148103798.0,48,132,2,138,2,11684.0,101,124635016.0,9.870074002139052e+17,87,43
136918390.0,71,3,68,114,64,78790.0,99,30052726.0,9.870072886449052e+17,34,43
164159683.0,29,133,0,66,136,,129,,,0,43
126282670.0,78,146,49,104,46,151000.0,83,,9.870072692130052e+17,35,75
129553616.0,83,98,21,82,23,6690.0,64,34281290.0,9.870075117609052e+17,21,58
137915883.0,49,99,110,51,101,,42,30512794.0,,0,43
149642343.0,117,73,129,94,119,15740.0,129,,,83,43
159447334.0,117,60,64,14,60,,12,,9.870074619542052e+17,0,43
146875214.0,98,125,134,59,114,,129,161183972.0,,0,43
153631751.0,117,87,62,95,58,102635.0,24,,9.870073526543052e+17,45,66
127559410.0,117,137,90,92,84,57899.0,74,,9.870073155214052e+17,75,43
140992663.0,117,145,118,72,107,5590.0,55,,,0,51
126344972.0,56,79,139,18,127,2419.0,129,,,85,15
157362130.0,68,120,46,107,44,132601.0,88,,9.870072692115052e+17,11,79
134355515.0,117,152,97,59,90,,129,,9.870074381641052e+17,0,43
149642343.0,117,73,129,94,119,15740.0,129,,,83,43
159500576.0,117,152,96,24,0,,129,,9.870073328528051e+17,0,43
129103035.0,88,50,100,111,118,8056.0,96,34251022.0,9.870076043611052e+17,25,86
133250783.0,117,131,108,116,0,,102,35325771.0,,19,89
136078439.0,70,95,28,118,30,2453.0,105,27891623.0,9.870072694815052e+17,76,92
126239404.0,74,56,91,8,85,7248.0,7,,9.870073341406052e+17,98,5
126344972.0,56,79,139,18,127,2419.0,129,,,85,15
138923714.0,99,26,136,1,124,,1,254778186.0,9.870072572147052e+17,0,43
