Gene_Classification,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Orthologous_Gene,Genomic_Start_Position,Strand_Orientation
0,97751,81,81,2,80,91272,1
0,1028641,20,20,1,99,1018586,0
0,64329,98,98,1,129,53935,0
0,6046,80,80,2,40,2,1
0,364064,59,59,1,24,353619,1
0,501262,103,103,1,24,494255,0
0,1392969,105,105,1,0,1382515,1
1,736142,224,224,3,122,726108,0
0,13390,158,158,1,123,2987,0
0,635740,96,96,1,31,625292,0
0,29124,136,136,1,15,18715,1
0,510863,220,220,1,11,500484,0
0,288082,208,208,1,93,277652,0
0,12200,8,8,1,48,1905,1
1,12299,144,144,3,46,2049,1
0,775910,131,131,1,90,765552,0
0,424985,124,124,1,43,418893,0
1,11317,87,87,3,39,5433,1
0,487135,86,86,1,108,478468,1
0,656937,154,154,1,1,646543,0
0,400877,72,72,2,9,396354,0
0,490459,110,110,1,46,480062,0
0,188433,128,128,1,122,178087,1
0,34480,143,143,1,14,24017,1
0,76316,29,29,2,75,71757,1
0,22220,223,223,1,104,11901,1
0,508446,157,157,1,60,497998,0
0,1684949,56,56,1,45,1674489,1
0,72152,146,146,1,56,61794,1
0,7036,194,194,1,124,1,1
1,40882,92,92,3,94,30431,1
1,14711,134,134,3,135,4479,1
0,6131,48,48,1,125,890,0
1,8139,178,178,3,55,1,1
1,15047,120,120,3,40,4680,1
0,563694,142,142,1,86,556752,1
0,3034,91,91,2,85,2,0
0,138943,51,51,2,61,131411,0
0,600090,181,181,1,101,589645,1
0,656716,88,88,1,6,646334,0
0,56068,176,176,1,24,45617,0
0,2345983,164,164,1,22,2335691,0
0,19621,53,53,1,119,13649,1
1,25728,93,93,3,38,21774,1
0,60872,206,206,1,22,50520,1
0,698669,83,83,1,61,688299,0
0,545365,221,221,1,79,535076,0
1,6309,71,71,3,22,1,1
1,12287,132,132,3,7,1776,1
0,572820,182,182,1,126,566630,0
0,1211309,161,161,1,130,1200861,0
0,53597,30,30,1,0,43140,1
0,7785,139,139,2,43,1726,0
0,1848415,41,41,1,2,1838054,0
0,902706,95,95,1,30,892584,0
1,52443,43,43,3,20,42064,1
0,34912,168,168,1,130,27714,1
0,685626,117,117,1,80,675331,0
1,11957,27,27,3,100,1581,1
0,31572,76,76,1,25,21127,1
0,12152,204,204,1,116,4158,1
0,102066,44,44,1,126,91621,1
1,364951,62,62,3,38,356759,1
0,6015,145,145,2,28,103,1
1,571446,180,180,3,59,561022,1
1,9497,185,185,3,32,3,0
0,332104,166,166,1,51,321641,0
