GeneSubclass,GenomicEndPosition,GeneDbId,GeneLabel,EncodedProtein,GeneType,OrthologousGene,GenomicStartPosition,StrandOrientation,HostTaxon
0,11411332,113,113,19,0,11,11410333,0,4
0,15699505,133,133,18,0,8,15698438,1,4
0,3320883,71,71,22,0,6,3319447,0,4
0,1981630,67,67,30,0,8,1980224,1,4
0,15368259,130,130,18,0,11,15366826,0,4
0,14309948,124,124,36,0,8,14308893,0,4
0,4787700,77,77,18,0,8,4786735,1,4
1,7252507,27,27,14,1,19,7251456,0,3
0,10863636,110,110,37,0,8,10862464,0,4
0,13113318,49,49,10,0,23,13110727,0,3
0,1555909,16,16,8,0,7,1553879,1,3
0,6917763,94,94,19,0,11,6916226,1,4
0,14082326,121,121,18,0,11,14081394,1,4
0,9633706,105,105,19,0,11,9632528,0,4
0,6206204,24,24,43,0,7,6205003,1,3
0,81654,9,9,17,0,20,80512,1,2
0,23853903,181,181,37,0,12,23852545,1,4
0,16962662,145,145,18,0,12,16961430,1,4
1,174089,4,4,33,1,21,167799,1,1
0,3890743,19,19,6,0,23,3888761,1,3
0,12055523,116,116,19,0,8,12054483,1,4
1,99081,2,2,33,1,0,91365,1,1
0,7438734,98,98,18,0,8,7437391,1,4
0,5758988,23,23,0,0,23,5757861,1,3
0,15575248,132,132,18,0,11,15573908,0,4
1,13184258,50,50,29,1,19,13181388,1,3
0,9950434,108,108,19,0,8,9949362,1,4
0,8353309,101,101,22,0,11,8351207,1,4
0,21338975,168,168,22,0,12,21337707,1,4
1,16290323,140,140,39,1,24,16287284,1,4
0,39504,54,54,19,0,11,38457,0,4
0,24325727,184,184,18,0,5,24324600,1,4
0,15525233,52,52,0,0,23,15523344,0,3
1,8224507,35,35,20,1,19,8221779,0,3
0,22034406,173,173,19,0,5,22033199,0,4
0,7485958,31,31,11,0,23,7483058,0,3
1,8082833,99,99,24,1,17,8078484,1,4
0,1870672,17,17,0,0,23,1869800,1,3
0,18805214,152,152,19,0,12,18803756,0,4
0,16044124,135,135,37,0,11,16042352,0,4
0,1384983,65,65,19,0,8,1383800,0,4
0,7470439,30,30,0,0,7,7468958,0,3
0,19092299,155,155,18,0,12,19091385,1,4
1,9281160,37,37,29,1,19,9279771,1,3
0,4054701,74,74,22,0,11,4053424,1,4
0,16306157,141,141,19,0,8,16305157,1,4
1,8123260,34,34,29,1,19,8119900,0,3
0,12245091,117,117,19,0,11,12243976,0,4
0,20537413,162,162,18,0,12,20536571,0,4
0,3991758,6,6,2,0,1,3988690,0,1
0,5631591,84,84,22,0,8,5630353,0,4
0,11528056,43,43,0,0,7,11526539,1,3
0,9713721,106,106,19,0,8,9711766,1,4
0,21494170,169,169,18,0,12,21492995,0,4
0,16917457,143,143,38,0,12,16914834,0,4
0,22370663,174,174,38,0,5,22368995,0,4
0,10166666,39,39,4,0,23,10162488,1,3
0,15205645,129,129,41,0,11,15204587,1,4
0,1377494,64,64,42,0,8,1376007,1,4
0,6404545,25,25,2,0,23,6402818,0,3
1,196430,5,5,33,1,10,190759,0,1
0,6407978,88,88,18,0,11,6406782,1,4
1,3668916,72,72,44,1,17,3665455,0,4
0,1619516,66,66,37,0,11,1618005,0,4
0,20921047,166,166,38,0,12,20919837,0,4
0,23094018,179,179,19,0,12,23092635,0,4
1,2395872,70,70,40,1,17,2393881,0,4
1,5133342,7,7,33,1,15,5130638,1,1
0,1681418,12,12,19,0,14,1679283,0,2
0,13088563,48,48,2,0,23,13085495,0,3
1,19533804,159,159,20,1,17,19532201,0,4
1,9534947,104,104,26,1,13,9531795,0,4
0,1115867,10,10,19,0,9,1114074,1,2
0,15572469,131,131,19,0,8,15571309,1,4
0,189059,56,56,37,0,8,186996,1,4
0,20629260,163,163,18,0,12,20624929,0,4
1,9897110,107,107,20,1,13,9895189,0,4
0,20644984,165,165,19,0,12,20643740,0,4
0,21910490,172,172,38,0,12,21909174,0,4
0,14737741,51,51,13,0,7,14736827,1,3
0,12043902,44,44,0,0,23,12042832,0,3
0,5694837,86,86,37,0,8,5693386,0,4
0,10471813,40,40,7,0,7,10470053,1,3
0,18902845,153,153,19,0,5,18901746,1,4
0,16194865,138,138,37,0,11,16193285,1,4
0,19068634,154,154,18,0,5,19067516,1,4
0,17510816,150,150,18,0,5,17509830,1,4
0,24166126,182,182,18,0,5,24164795,1,4
1,20643501,164,164,24,1,13,20641411,1,4
0,15718387,134,134,37,0,8,15717122,1,4
0,13085487,47,47,12,0,7,13081270,0,3
0,9818594,38,38,0,0,23,9817575,1,3
1,2196289,69,69,31,1,13,2194207,1,4
0,1537359,15,15,7,0,7,1535937,0,3
1,12991286,46,46,29,1,19,12990102,0,3
0,20186152,161,161,18,0,12,20185019,0,4
0,14784791,128,128,37,0,11,14783577,1,4
0,23555821,180,180,18,0,5,23554982,1,4
0,17302256,148,148,30,0,12,17300595,0,4
0,17931183,151,151,19,0,5,17930112,0,4
0,8501731,102,102,19,0,11,8500823,1,4
0,7321944,28,28,42,0,7,7320766,1,3
0,14313028,125,125,36,0,8,14311819,0,4
1,22703905,177,177,20,1,13,22702368,1,4
0,690524,0,0,17,0,3,690027,1,0
0,11526257,42,42,9,0,7,11525184,1,3
0,13564907,119,119,19,0,11,13563621,0,4
0,9395484,103,103,18,0,11,9394522,1,4
1,13800591,120,120,27,1,17,13799374,1,4
0,5535594,82,82,37,0,8,5533789,1,4
0,4961093,78,78,19,0,11,4960051,0,4
0,6835055,93,93,19,0,8,6834118,1,4
0,2148612,68,68,18,0,11,2147431,0,4
0,19933346,160,160,38,0,12,19929547,0,4
0,740910,58,58,37,0,11,739147,1,4
0,21500635,170,170,37,0,12,21499448,1,4
0,21207146,167,167,18,0,5,21206232,0,4
1,7436601,97,97,28,1,13,7431780,0,4
0,24417944,185,185,37,0,5,24416316,1,4
0,1535813,14,14,42,0,7,1533903,0,3
0,17430624,149,149,35,0,12,17429500,1,4
0,157156,55,55,18,0,11,156131,1,4
1,5654798,85,85,20,1,17,5652840,1,4
0,1988897,13,13,19,0,14,1987326,0,2
0,3723203,73,73,22,0,8,3721833,1,4
0,16629275,142,142,18,0,12,16628019,1,4
0,5418484,81,81,32,0,11,5417666,1,4
