Entity_Type,Genomic_End_Position,Gene_Db_Id,Genomic_Start_Position,Strand_Orientation
0,31870,222,31118,0
1,295086,102,293887,1
0,941707,7,940901,1
1,2901,221,1762,0
0,1639752,124,1638709,0
0,644758,119,643769,0
0,17814,236,16873,1
0,826530,13,825718,1
0,335,10,3,0
1,7239,184,5971,1
1,41030,153,39978,0
0,19059,168,18244,0
1,1152958,195,1151783,1
0,1745136,192,1744339,0
1,2521,110,1283,1
0,247509,146,246700,0
0,731234,57,730422,0
0,1070767,196,1069991,0
1,137805,160,136807,0
0,461022,201,460051,1
0,1604402,189,1603254,0
0,11189,50,10047,1
1,13960,14,13361,1
0,39296,63,38151,0
0,375903,35,374896,1
0,12268,237,10958,0
0,2097143,191,2096334,1
0,13009,154,11804,0
0,550504,49,549704,0
0,11743,224,10985,1
1,556235,173,555144,0
0,1165493,230,1164663,0
1,381597,15,380962,0
0,9178,76,8375,1
0,2165485,186,2164835,1
1,41345,80,40839,0
1,29968,166,28721,0
0,358168,104,357524,0
0,492438,202,491209,0
0,37518,31,36670,0
0,1588977,123,1588012,0
0,1147481,177,1146423,1
0,15379,219,14528,0
0,77977,41,77144,0
0,617253,207,616495,0
0,3650,150,2478,1
0,537352,90,536177,1
1,35179,44,34406,1
0,614,51,222,1
1,1921338,127,1920505,1
1,287088,101,285889,1
0,1173402,231,1172566,0
0,37248,167,35989,1
1,55904,32,55386,1
1,1887968,129,1886823,0
0,432927,247,431740,0
0,13082,114,12327,1
0,320234,148,319014,0
1,827468,209,826311,1
0,28969,25,28568,0
0,738,2,1,0
0,5008,9,4142,0
0,227094,19,226831,1
0,14090,64,12945,0
0,1026,225,841,1
0,1863,105,1015,0
0,2029082,20,2027874,1
1,445921,18,445157,0
0,247162,12,246347,0
0,1018268,212,1017216,1
0,23025,136,22318,0
0,1675,215,854,1
1,26635,165,25832,0
0,2151652,67,2150759,1
0,2155792,187,2155145,0
0,392050,88,391007,0
0,19523,47,18321,1
0,1687805,71,1687044,0
0,10624,97,9845,0
0,255296,144,254511,0
0,305564,86,304740,0
0,486743,59,485586,0
0,277578,84,276769,0
0,822069,208,821287,0
0,1047,1,259,0
0,265814,200,265029,1
0,18784,100,18002,0
0,992655,211,991897,1
0,297062,81,295851,0
1,13592,103,12324,1
0,30765,28,29968,1
0,422034,17,420934,0
0,907521,141,906301,0
0,12388,138,11468,0
1,269718,149,269074,1
0,65754,234,64810,1
0,1522877,182,1521903,1
0,17173,217,16040,1
0,13948,30,13148,0
0,313431,85,312547,0
0,285745,83,284939,0
0,975187,118,974237,1
0,1679298,73,1678525,0
1,6002,241,5043,0
1,1592913,75,1591840,1
1,663114,16,662260,0
0,407549,139,406749,1
0,251858,21,251211,0
1,4723,24,4340,1
0,23810,60,22572,1
0,231201,246,230431,0
0,2142542,188,2141583,0
0,13418,152,12669,0
0,1694274,70,1693627,0
1,25842,199,24370,0
1,9998,78,9753,0
0,1577124,190,1576114,0
0,1229889,179,1228786,0
0,1778534,131,1777443,0
0,1075329,3,1075195,1
1,884301,140,883339,1
1,23852,33,23046,0
0,1148502,229,1147669,0
1,655,0,2,1
1,223492,245,222386,0
0,1631767,72,1631120,0
0,658646,92,657867,0
0,266241,145,265438,0
1,11872,132,11348,0
0,1207750,194,1206605,0
