GeneSubclass,GenomicEndPosition,GeneDbId,GeneLabel,ChromosomeLocation,EncodedProtein,OrthologousGene,GenomicStartPosition,StrandOrientation
1,8558806,108,108,2,4,8,8557664,1
1,13261045,176,176,2,5,2,13259773,0
0,6795,221,221,0,2,0,5740,0
1,14315393,193,193,2,4,8,14314118,0
0,5656284,74,74,2,4,1,5655262,1
0,13209191,174,174,2,4,3,13208058,0
0,13010781,171,171,2,4,3,13009759,1
0,5635227,72,72,2,4,1,5634100,1
0,2612985,25,25,2,4,3,2611942,1
1,3481477,45,45,2,4,2,3480417,1
0,9056363,113,113,2,4,1,9055323,0
1,11931847,158,158,2,4,8,11930744,0
0,10674708,132,132,2,4,1,10673665,0
0,12650587,162,162,2,0,1,12650045,1
0,972563,6,6,2,4,1,971490,1
0,15771876,218,218,2,4,3,15770842,1
1,14074478,190,190,2,4,5,14073441,1
0,1872491,18,18,2,4,1,1871409,1
0,12769646,165,165,2,4,3,12768564,1
0,361146,1,1,2,4,3,360103,0
0,7128584,92,92,2,4,1,7127547,1
0,2221558,22,22,2,4,3,2220551,0
0,10690268,134,134,2,4,1,10689213,0
0,9964559,122,122,2,4,1,9963528,1
0,10920821,138,138,2,4,1,10919787,0
0,13149864,172,172,2,4,3,13148833,0
1,8079661,105,105,2,4,8,8078567,0
0,3487364,46,46,2,4,1,3486321,1
0,7990190,103,103,2,1,1,7989512,1
0,7603987,97,97,2,4,1,7602974,1
0,15486768,212,212,2,4,1,15485722,0
0,15261276,204,204,2,4,3,15260260,1
0,4009957,52,52,2,4,3,4008911,0
0,13934901,186,186,2,4,3,13933864,0
0,3823268,48,48,2,4,3,3822219,0
0,2827664,32,32,2,4,1,2826519,0
0,12497012,161,161,2,3,1,12496449,0
1,9286248,119,119,2,6,2,9285097,1
0,2667781,29,29,2,4,1,2666693,0
0,7187489,93,93,2,4,3,7186437,1
0,14293891,192,192,2,3,1,14293424,0
0,9110101,116,116,2,4,1,9109139,1
0,1324875,16,16,2,4,1,1323609,0
0,13641800,181,181,2,4,1,13640808,1
0,13431354,178,178,2,4,1,13430320,0
0,4520224,59,59,2,1,3,4519742,1
1,2664952,28,28,2,4,2,2663984,1
0,13192541,173,173,2,7,1,13191587,1
0,11897827,155,155,2,4,3,11896778,1
0,1066919,9,9,2,3,1,1066278,0
0,2860949,33,33,2,4,3,2860035,1
0,5560013,68,68,2,4,1,5558991,1
0,13667314,184,184,2,4,1,13666319,0
1,14830154,197,197,2,4,2,14829021,1
1,11923602,157,157,2,4,8,11922572,0
1,9956399,121,121,2,4,2,9955395,1
0,2822219,31,31,2,4,1,2821179,1
0,8826363,111,111,2,4,1,8825320,1
1,11297800,147,147,2,4,2,11296739,1
0,15489415,213,213,2,4,3,15488432,0
0,59537,0,0,2,4,1,58254,1
0,5887238,78,78,2,4,1,5886189,0
0,3176182,39,39,2,4,3,3175151,0
0,7984382,101,101,2,4,1,7983354,0
0,1472,222,222,1,2,4,486,0
0,13936712,187,187,2,4,3,13935648,0
0,5847896,76,76,2,4,1,5846877,0
0,2920896,35,35,2,4,3,2919856,1
1,10043962,123,123,2,4,8,10042970,1
0,4463050,58,58,2,4,1,4462001,0
0,12243235,160,160,2,4,3,12242201,0
0,2610070,23,23,2,0,1,2609618,1
0,15158519,198,198,2,4,1,15157458,1
1,417139,3,3,2,9,2,416217,1
0,10611003,130,130,2,4,3,10610206,1
1,11866115,154,154,2,4,8,11865042,1
0,15394076,208,208,2,4,1,15393006,1
0,6186983,83,83,2,1,1,6186102,1
0,5424403,66,66,2,4,1,5423372,1
0,4722229,61,61,2,7,1,4721465,1
1,7622452,98,98,2,8,8,7621428,0
0,3162199,38,38,2,4,1,3161144,0
0,5267560,65,65,2,4,1,5266538,1
0,484416,4,4,2,4,3,483379,0
0,1004471,8,8,2,4,1,1003449,0
0,3423184,44,44,2,4,3,3422180,1
0,5100506,64,64,2,4,3,5099562,0
0,7895464,100,100,2,4,1,7894349,0
0,1077793,12,12,2,4,1,1076726,1
1,10169864,126,126,2,4,2,10168681,1
0,4111482,54,54,2,4,3,4110442,1
0,15673392,216,216,2,4,3,15672376,0
0,7988125,102,102,2,4,1,7987085,0
0,15267586,205,205,2,4,1,15266558,0
1,13411218,177,177,2,4,8,13409911,0
0,15414841,209,209,2,4,3,15413789,1
0,3700998,47,47,2,4,1,3699940,0
0,14064855,189,189,2,3,1,14064382,1
0,3178687,40,40,2,4,1,3177749,0
0,6024898,80,80,2,4,3,6023867,0
0,3084352,36,36,2,4,3,3083339,1
1,15162378,199,199,2,4,2,15161341,1
0,10679542,133,133,2,4,1,10678550,0
1,15165420,200,200,2,4,8,15164305,1
0,11287144,146,146,2,4,1,11286161,1
0,11087969,144,144,2,4,3,11086974,0
1,10450524,129,129,2,4,8,10449451,1
0,3399964,43,43,2,4,1,3398924,0
1,2862055,34,34,2,4,2,2861071,1
0,13661537,183,183,2,4,1,13660515,1
1,14825310,196,196,2,4,2,14824249,1
0,1234497,15,15,2,4,1,1233469,0
0,9900372,120,120,2,4,3,9899356,1
1,11415026,148,148,2,4,2,11413865,1
0,15238298,201,201,2,1,1,15237602,1
0,9042467,112,112,2,4,3,9041418,1
0,7716955,99,99,2,3,1,7716260,0
0,9079565,114,114,2,4,1,9078525,1
0,5645777,73,73,2,4,1,5644764,1
0,5095622,63,63,2,4,1,5094597,0
1,12934241,168,168,2,4,8,12933154,1
0,6976684,91,91,2,3,1,6976217,0
0,16053176,220,220,2,4,1,16052157,0
0,1105831,14,14,2,4,1,1104776,1
0,11282491,145,145,2,1,1,11281705,1
0,4105134,53,53,2,4,1,4104049,1
0,5934829,79,79,2,3,3,5934188,0
0,15475077,211,211,2,0,3,15474151,1
0,5801210,75,75,2,4,1,5800161,1
