GeneSubclass,GenomicEndPosition,GeneDbId,GeneLabel,ChromosomeLocation,EncodedProtein,OrthologousGene,GenomicStartPosition,StrandOrientation
0,11291700,108,108,3,5,2,11290405,1
0,3209380,31,31,3,5,4,3208118,0
0,10565714,98,98,3,5,4,10564422,0
0,2223500,16,16,3,5,2,2222316,0
0,14288020,143,143,3,1,2,14287097,0
1,12857185,121,121,3,9,1,12856232,0
1,5691216,65,65,3,5,6,5690017,0
0,3171137,30,30,3,5,4,3169827,0
0,13575006,134,134,3,5,4,13573729,0
0,3475202,37,37,3,5,4,3473916,1
0,6933043,77,77,3,5,4,6931754,1
0,13967118,140,140,3,5,4,13965841,0
0,3276620,34,34,3,0,2,3275604,1
0,11904351,114,114,3,5,2,11903161,0
0,3428,164,164,1,3,3,2679,0
0,7901772,82,82,3,1,4,7901186,0
0,3901042,43,43,3,5,2,3899771,1
0,11085268,106,106,3,0,2,11084633,0
0,14697939,145,145,3,5,2,14696671,1
0,13154086,128,128,3,5,4,13152815,0
0,14730711,149,149,3,0,2,14729584,0
0,3479162,39,39,3,5,2,3477846,1
0,5644012,64,64,3,5,2,5642816,1
0,2933978,25,25,3,0,2,2933493,1
1,406592,4,4,3,8,6,403838,1
0,8824567,87,87,3,5,2,8823365,1
0,6770211,74,74,3,1,4,6769420,0
0,5842228,67,67,3,5,2,5841020,0
0,14266830,142,142,3,0,4,14265808,1
0,15299704,156,156,3,5,4,15298394,1
0,6372420,72,72,3,1,4,6371281,1
0,555258,5,5,3,5,4,554266,0
0,1094985,9,9,3,5,4,1093708,1
0,4193038,49,49,3,5,4,4191746,0
0,13659754,137,137,3,5,2,13658555,1
0,11041384,104,104,3,5,2,11040197,0
1,1236696,11,11,3,5,6,1235461,0
0,5265782,58,58,3,5,2,5264586,1
0,14212909,141,141,3,1,2,14212004,1
0,11085820,107,107,3,4,4,11085275,0
0,13478778,133,133,3,5,2,13477525,1
0,14704752,147,147,3,5,2,14703478,1
0,4325122,53,53,3,5,2,4323935,1
0,3902494,44,44,3,5,2,3901229,1
0,8072860,84,84,3,5,2,8071601,0
0,3485559,40,40,3,5,4,3484360,1
0,15555898,159,159,3,5,2,15554696,1
0,13205842,131,131,3,5,2,13204556,0
1,4191563,48,48,3,5,6,4190270,0
0,3477675,38,38,3,5,4,3476416,1
0,6185132,71,71,3,5,4,6183862,1
0,1960820,14,14,3,0,4,1959615,0
1,4161969,47,47,3,5,1,4161139,1
1,13033326,126,126,3,5,6,13032078,1
0,15255099,155,155,3,5,4,15253906,0
0,10683996,102,102,3,5,4,10682815,0
0,3166365,28,28,3,5,2,3165085,0
0,12920371,123,123,3,5,2,12919181,1
0,14801203,152,152,3,5,4,14799908,1
0,3365682,1,1,5,6,7,3364420,0
0,3817259,42,42,3,5,2,3815985,0
0,12610213,117,117,3,0,4,12609404,0
0,10998980,103,103,3,5,2,10997670,1
0,12754924,119,119,3,0,4,12754328,1
0,7810901,81,81,3,1,4,7810068,1
0,7501057,79,79,3,1,4,7500605,0
0,9962770,92,92,3,5,4,9961565,1
0,6183679,70,70,3,1,4,6183107,1
0,5524747,59,59,3,5,4,5523542,0
1,10516668,96,96,3,5,6,10515388,1
0,16059033,161,161,3,5,2,16057762,1
1,1761786,13,13,3,2,6,1760486,0
0,14699400,146,146,3,5,4,14698123,1
0,5118820,57,57,3,5,2,5117627,1
0,7980300,83,83,3,5,2,7979041,0
0,1098223,10,10,3,5,4,1097030,1
1,6852056,75,75,3,5,6,6850764,1
0,13671433,138,138,3,5,4,13670126,0
1,7762857,80,80,3,5,6,7761589,1
