Gene_Subclass,Gene_Type,Genomic_Start_Position,Strand_Orientation,Gene_Label,Encoded_Protein,Gene_Db_Id,Orthologous_Gene,Chromosome_Location,Genomic_End_Position
1,1,4906250,1,96,3,97,45,15,4907622
1,1,1631685,1,126,9,127,7,7,1633265
0,0,4776225,1,71,8,72,57,14,4776857
1,1,4080,1,19,9,19,20,20,4912
0,0,4969470,1,78,7,79,25,14,4971029
1,1,92470,0,158,9,159,42,11,93783
1,1,20639,0,29,10,29,25,27,21634
0,0,4872705,1,75,7,76,25,14,4874210
1,1,4683882,1,88,1,89,38,15,4685459
0,0,1577859,1,124,8,125,44,7,1579460
1,1,2793789,0,147,9,148,42,11,2794118
0,0,17837,1,0,8,0,5,16,19432
1,1,658460,1,114,9,115,23,13,660088
1,1,11827,1,33,9,33,30,30,13354
1,1,11985,0,24,9,24,43,24,13439
1,1,40324,1,39,9,40,0,32,41821
0,0,5379008,0,80,7,81,25,14,5380636
1,1,1564291,1,123,9,124,7,7,1565816
0,0,2880989,0,66,8,67,25,14,2882434
0,0,1788008,0,129,0,130,3,7,1789201
1,1,2961642,0,152,9,153,14,11,2963001
1,1,69197,0,137,9,138,50,10,70716
1,1,1493022,1,131,9,132,6,8,1494614
1,1,11219,1,28,10,28,41,26,12732
1,1,15187,1,34,9,34,48,30,16779
1,1,36916,0,135,9,136,47,10,38437
0,0,1791306,0,130,0,131,3,7,1792811
0,0,2584942,0,142,8,143,29,11,2586486
0,0,1527,1,31,7,31,2,29,3074
1,1,3127,1,22,9,22,31,22,4496
1,1,544894,1,111,9,112,1,13,546312
0,0,4063192,0,83,0,84,61,12,4064628
1,1,1175359,1,117,9,118,22,4,1176353
1,1,14245,0,53,9,54,3,43,15374
1,1,585,1,56,11,57,28,14,1622
1,1,1291,1,18,9,18,26,20,2436
1,1,55175,1,35,9,36,48,30,56650
0,0,9100,1,50,7,51,55,40,10563
0,0,51710,1,1,8,1,5,16,53263
1,1,2809842,1,149,9,150,26,11,2810144
0,0,4591225,0,86,7,87,52,15,4592637
1,1,7965,1,52,9,53,17,42,9494
1,1,28997,0,17,9,17,46,19,29574
0,0,22009,1,30,7,30,36,28,23403
0,0,5281459,0,79,7,80,25,14,5282553
1,1,33526,0,134,9,135,58,10,35078
0,0,308399,0,106,8,107,12,13,309925
0,0,6676,1,27,7,27,40,25,8343
1,1,67885,0,11,9,11,27,17,69439
1,1,17968,1,46,9,47,24,37,19005
1,1,499566,1,109,9,110,23,13,501101
0,0,4541535,0,69,7,70,25,14,4542881
1,1,137305,1,6,9,6,49,16,138167
1,1,61772,0,42,9,43,37,33,63306
0,0,1056242,1,81,8,82,50,3,1057855
0,0,4802227,1,92,8,93,52,15,4803585
1,1,4874521,1,95,5,96,38,15,4875012
1,1,509571,1,110,3,111,1,13,511211
1,1,4929155,0,97,2,98,45,15,4930611
1,1,2774642,1,145,9,146,42,11,2775177
1,1,285556,0,141,9,142,42,11,286908
1,1,4070196,0,84,9,85,25,12,4070879
1,1,7638,0,133,9,134,59,9,9188
1,1,1189121,1,119,9,120,54,4,1190683
1,1,156706,1,101,9,102,23,13,158094
1,1,14902,1,54,9,55,32,44,16687
0,0,236150,1,105,7,106,12,13,237565
1,1,33074,1,38,9,39,52,32,34585
1,1,4591,0,26,9,26,43,2,6249
1,1,2796528,0,148,9,149,42,11,2797682
0,0,2970543,0,153,7,154,29,11,2972153
1,1,106153,0,138,9,139,58,10,107750
1,1,14732,0,25,9,25,15,24,16196
1,1,2769468,1,144,9,145,42,11,2769881
