Gene_Subclass,Gene_Type,Genomic_Start_Position,Strand_Orientation,Gene_Label,Encoded_Protein,Gene_Db_Id,Orthologous_Gene,Chromosome_Location,Genomic_End_Position
1,1,33074,1,40,9,41,51,33,34585
0,0,5281459,0,79,7,80,23,15,5282553
1,1,1516971,1,122,9,123,8,8,1518492
0,0,2880989,0,65,8,66,23,15,2882434
0,0,1788008,0,129,0,130,4,8,1789201
1,1,2899262,1,151,9,152,41,12,2900714
1,1,43850,0,136,9,137,57,11,45373
1,1,1637475,1,126,9,127,9,8,1639048
1,1,14732,0,27,9,27,14,25,16196
1,1,11827,1,35,9,35,27,31,13354
1,1,33526,0,134,9,135,57,11,35078
0,0,1791306,0,130,0,131,4,8,1792811
0,0,2584942,0,142,8,143,26,12,2586486
0,0,22009,1,32,7,32,35,29,23403
1,1,19221,0,22,9,22,2,22,20786
1,1,509571,1,110,3,111,1,14,511211
0,0,4063192,0,82,0,83,60,13,4064628
1,1,4591,0,28,9,28,42,3,6249
1,1,14245,0,53,9,54,4,43,15374
1,1,658460,1,114,9,115,21,14,660088
1,1,28997,0,18,9,18,45,20,29574
1,1,18300,1,162,9,37,47,31,18623
0,0,45691,0,42,8,43,44,34,47277
0,0,17837,1,0,8,0,6,17,19432
1,1,2796528,0,148,9,149,41,12,2797682
0,0,5379008,0,80,7,81,23,15,5380636
1,1,7965,1,52,9,53,16,42,9494
1,1,192547,1,17,9,17,50,19,194108
0,0,6676,1,29,7,29,39,26,8343
0,0,4969470,1,78,7,79,23,15,4971029
1,1,7638,0,133,9,134,58,10,9188
0,0,308399,0,106,8,107,11,14,309925
0,0,20550,0,23,7,23,28,23,22070
1,1,54844,0,11,9,11,40,18,56392
1,1,17968,1,47,9,48,22,38,19005
1,1,465860,1,108,12,109,1,14,466780
0,0,4541535,0,68,7,69,23,15,4542881
1,1,119770,1,5,9,5,48,17,121323
1,1,52045,0,43,9,44,36,34,53099
0,0,1056242,1,81,8,82,49,4,1057855
0,0,4656557,0,88,7,89,51,16,4658068
1,1,4870365,1,95,1,96,37,16,4871690
1,1,499566,1,109,9,110,21,14,501101
1,1,4906250,1,97,3,98,44,16,4907622
1,1,2769468,1,144,9,145,41,12,2769881
1,1,266604,0,140,9,141,41,12,268059
1,1,4066581,0,83,9,84,36,13,4067975
1,1,1587573,1,132,9,133,7,9,1589097
1,1,1180816,1,118,9,119,20,5,1182456
1,1,145692,1,100,9,101,1,14,147206
1,1,14902,1,54,9,55,31,44,16687
0,0,236150,1,104,7,105,11,14,237565
1,1,55175,1,37,9,38,47,31,56650
1,1,9201,0,9,9,9,59,2,10341
1,1,2793789,0,147,9,148,41,12,2794118
0,0,2970543,0,153,7,154,26,12,2972153
1,1,69197,0,137,9,138,49,11,70716
1,1,11985,0,26,9,26,42,25,13439
1,1,2652725,1,143,9,144,13,12,2653794
