GeneSubclass,GenomicEndPosition,GeneDbId,GeneLabel,GeneType,ChromosomeId,GenomicStartPosition,StrandOrientation
1,1116077,155,155,1,40,1113876,0
1,731499,33,34,1,23,729406,0
0,7491,129,129,0,22,5182,1
0,1333,16,17,0,64,3,0
0,14203,58,59,0,32,11819,1
0,1475,2,3,0,126,3,0
0,471716,221,221,0,5,470270,0
0,2123600,89,90,0,52,2121408,0
1,669243,190,190,1,18,667156,0
0,18709,36,37,0,27,16532,1
0,6479,138,138,0,109,5838,1
0,668634,159,159,0,24,666520,0
