GeneClassification,GeneDescription,OrthologId,GeneId,GeneDbId,GenomicEndPosition,GeneType,ChromosomeId,GenomicStartPosition,EncodedProteinDescription,StrandOrientation
0,0,7,200,200,764760,0,31,762982,0,0
1,0,146,21,21,976,1,74,2,3,1
1,0,104,272,272,587182,1,37,584897,3,1
1,0,6,41,41,3258,1,77,436,3,0
1,0,180,59,59,6116,1,103,4224,3,1
0,0,12,235,235,606712,0,12,603989,0,0
1,0,72,239,239,21218,1,26,18921,3,1
0,0,135,84,84,2501,0,38,102,1,1
1,0,158,212,212,7457,1,41,4911,3,1
0,0,54,47,47,490870,0,1,489493,0,0
1,0,170,19,19,4777,1,70,2027,3,1
0,0,75,204,204,26225,0,65,24447,0,1
1,0,73,45,45,22430,1,34,19944,3,1
1,0,161,260,260,15107,1,2,12237,3,1
1,0,166,307,307,41742,1,44,39727,3,1
0,0,127,256,256,663320,0,24,660522,0,0
0,0,24,115,115,58458,0,16,55432,0,1
1,0,17,25,25,486237,1,47,483109,3,0
1,0,13,99,99,644271,1,58,641242,3,1
1,0,137,220,220,16574,1,138,14088,3,1
0,0,156,282,282,3713,0,97,2106,1,0
1,0,13,26,26,44770,1,50,42977,3,1
0,0,2,232,232,3597,0,140,1834,0,0
1,0,102,136,136,5794,1,123,3014,3,0
0,1,0,168,168,655728,0,18,653962,0,0
0,0,132,308,308,33262,0,44,31331,0,1
0,0,55,122,122,791878,0,37,790079,0,0
1,0,174,241,241,760085,1,33,757590,3,0
0,0,78,68,68,169312,0,55,166550,0,0
1,0,177,105,105,130785,1,20,128263,3,0
1,0,76,188,188,122539,1,14,120197,3,1
0,0,118,224,224,594892,0,28,591674,0,0
0,0,53,196,196,571445,0,21,567813,0,0
1,0,112,177,177,690966,1,32,687994,3,0
1,0,28,114,114,9553,1,85,7784,3,0
1,0,74,22,22,582823,1,21,581135,3,0
0,0,154,172,172,1917064,0,56,1914173,0,1
1,0,76,228,228,25743,1,14,24748,3,1
1,0,107,193,193,71114,1,4,69705,3,1
0,0,119,323,323,103187,0,9,101616,1,0
0,0,61,178,178,702008,0,32,700188,0,0
1,0,15,225,225,585311,1,28,582390,3,0
1,0,84,167,167,2350211,1,59,2347587,3,0
1,0,128,134,134,491613,1,41,488857,3,1
1,0,18,229,229,12191,1,14,9909,3,1
1,0,114,93,93,1182,1,115,1,3,1
1,0,121,140,140,59561,1,50,57681,3,1
0,0,154,67,67,14595,0,67,12280,0,1
1,0,47,253,253,9360,1,94,6577,3,0
1,0,10,301,301,14953,1,53,12005,3,1
1,0,81,161,161,29749,1,29,26915,3,1
1,0,174,183,183,430057,1,33,427406,3,0
1,0,57,91,91,14455,1,113,11690,3,0
0,0,161,277,277,30562,0,18,28739,1,1
0,0,2,238,238,4524,0,141,2574,0,0
0,0,59,133,133,4216,0,47,1460,0,1
0,0,85,182,182,19758,0,135,17038,0,0
0,0,98,82,82,47207,0,112,45534,0,1
0,0,163,103,103,36437,0,117,35517,0,1
1,0,38,70,70,5595,1,107,2761,3,1
1,0,134,74,74,912033,1,41,909235,3,0
1,0,70,279,279,2693,1,96,396,3,0
0,0,106,65,65,4036,0,67,1289,0,1
1,0,58,73,73,93761,1,65,90201,3,1
1,0,59,75,75,11733,1,82,9154,3,0
1,0,44,15,15,706189,1,29,704129,3,0
0,0,148,322,322,120500,0,9,118605,0,0
1,0,161,257,257,26060,1,2,23298,3,1
1,0,115,215,215,351197,1,62,348939,3,0
0,0,154,30,30,8589,0,42,6541,0,1
1,0,144,14,14,1425113,1,52,1422420,3,0
1,0,8,89,89,688837,1,26,685982,3,0
0,0,165,95,95,54516,0,41,53479,0,1
0,0,25,12,12,1739,0,72,3,1,1
0,0,128,298,298,201879,0,61,200095,0,0
1,0,84,151,151,1320804,1,59,1318300,3,0
1,0,90,101,101,628364,1,27,625434,3,0
0,0,160,180,180,3779,0,133,1517,0,0
0,0,15,150,150,64637,0,65,62859,0,1
1,0,52,269,269,4799,1,144,2103,3,0
1,0,107,233,233,7313,1,140,4734,3,0
0,0,150,159,159,19476,0,128,17815,0,1
1,0,175,142,142,7957,1,126,5381,3,0
1,0,21,120,120,829858,1,37,827087,3,0
1,0,131,106,106,2120212,1,58,2117660,3,0
1,0,99,242,242,411543,1,31,408877,3,0
1,0,1,162,162,848494,1,35,847454,3,0
1,0,169,145,145,8756,1,45,5919,3,1
0,0,16,306,306,169188,0,44,166855,0,1
1,0,176,293,293,16396,1,149,13598,3,0
1,0,80,130,130,492103,1,0,489575,3,0
0,0,159,46,46,3892,0,54,599,0,1
0,0,39,286,286,427483,0,46,425420,0,0
1,0,90,249,249,570499,1,27,567725,3,0
1,0,181,104,104,3857,1,118,1095,3,1
1,0,124,234,234,924785,1,57,922281,3,1
1,0,107,63,63,245943,1,4,244298,3,0
1,0,36,237,237,556405,1,28,554000,3,1
0,0,64,218,218,9141,0,137,8410,0,0
1,0,120,276,276,981807,1,52,979324,3,1
1,0,174,219,219,14712,1,91,11650,3,0
1,0,149,13,13,2360044,1,59,2358530,3,0
1,0,168,251,251,11256,1,92,8914,3,1
1,0,130,92,92,7825,1,114,5795,3,0
0,0,137,55,55,9869,0,58,8244,0,1
1,0,81,206,206,96498,1,29,94816,3,1
1,0,111,185,185,83774,1,15,82602,3,1
0,0,39,296,296,1981,0,99,2,0,0
1,0,139,320,320,483389,1,5,481422,3,0
0,0,178,309,309,85945,0,16,83153,0,1
0,0,66,61,61,21702,0,104,18811,0,0
0,0,63,4,4,22871,0,25,21810,0,1
1,0,61,53,53,5339,1,101,2904,3,1
0,0,106,37,37,728090,0,30,725151,0,0
1,0,88,23,23,3210,1,73,616,3,1
0,0,119,216,216,258722,0,9,256827,0,0
0,0,50,179,179,10587,0,132,8119,0,1
1,0,26,315,315,145152,1,13,142906,3,1
1,0,103,299,299,572075,1,17,569139,3,0
1,0,124,297,297,58311,1,57,56848,3,1
1,0,48,280,280,33122,1,42,30594,3,1
1,0,21,273,273,690828,1,37,688522,3,0
0,0,136,258,258,45706,0,2,43370,0,1
1,0,12,3,3,588116,1,8,586977,3,0
0,0,142,118,118,4613,0,5,1626,0,1
0,0,182,288,288,12865,0,39,9965,0,1
1,0,112,83,83,4342,1,32,1385,3,1
1,0,171,254,254,15683,1,95,12888,3,0
1,0,118,39,39,378832,1,63,376718,3,0
0,0,134,135,135,25602,0,51,22921,0,1
0,0,95,321,321,563158,0,21,560651,0,0
0,0,67,170,170,467624,0,11,464685,0,0
1,0,156,175,175,2020967,1,56,2018517,3,0
0,0,158,57,57,4567,0,80,1604,0,0
1,0,28,113,113,24449,1,85,21516,3,0
1,0,128,56,56,33240,1,41,30436,3,1
1,0,43,191,191,197559,1,9,195199,3,1
0,0,33,155,155,955,0,88,2,1,1
0,0,117,284,284,447897,0,46,446350,1,0
0,0,15,48,48,61849,0,65,60071,0,1
1,0,131,165,165,1824669,1,58,1821786,3,0
1,0,114,64,64,21022,1,105,18272,3,1
1,0,80,132,132,517997,1,0,514713,3,0
1,0,131,264,264,2028531,1,58,2025571,3,0
1,0,8,138,138,4543,1,124,1706,3,1
1,0,92,126,126,16034,1,24,13233,3,0
0,0,37,267,267,1337382,0,52,1335682,1,0
0,0,56,1,1,1973,0,154,3,1,1
1,0,34,77,77,1174681,1,48,1172813,3,0
0,0,105,6,6,3158,0,40,342,0,1
1,0,144,160,160,648458,1,22,645735,3,0
0,0,65,300,300,31215,0,68,30121,1,1
0,0,151,147,147,1171911,0,49,1168945,0,0
0,0,3,318,318,2772,0,13,301,0,1
1,0,18,199,199,265804,1,10,263906,3,0
0,0,5,169,169,496864,0,6,494066,0,0
1,0,149,108,108,1709527,1,59,1707056,3,1
1,0,123,144,144,29971,1,45,27197,3,1
1,0,30,157,157,5025,1,127,2677,3,1
1,0,107,190,190,474181,1,4,471830,3,0
0,0,118,139,139,20670,0,125,18052,0,1
0,0,147,154,154,1434052,0,52,1432280,0,0
1,0,131,261,261,2327020,1,58,2324351,3,0
1,0,108,149,149,30617,1,66,28410,3,1
0,0,182,207,207,750304,0,37,747923,0,0
1,0,2,78,78,10460,1,111,8049,3,1
1,0,99,203,203,754760,1,31,752910,3,0
1,0,97,319,319,6217,1,13,3602,3,1
1,0,6,243,243,396132,1,31,393928,3,0
1,0,81,205,205,128705,1,29,127131,3,1
1,0,185,27,27,496021,1,1,493463,3,0
1,0,26,316,316,56619,1,13,53854,3,1
0,0,172,32,32,4421,0,76,3684,0,1
0,0,102,209,209,117865,0,2,115973,0,1
0,0,94,156,156,6529,0,36,4547,0,1
1,0,21,192,192,174847,1,9,172793,3,1
1,0,4,174,174,8963,1,131,6399,3,1
0,0,165,283,283,6840,0,146,3826,0,0
1,0,60,146,146,1175229,1,49,1172704,3,0
1,0,140,247,247,110366,1,64,107442,3,1
1,0,41,97,97,7278,1,116,4399,3,0
0,0,178,295,295,67475,0,56,65139,0,1
1,0,136,195,195,1130391,1,46,1127446,3,0
1,0,34,33,33,11829,1,48,8980,3,1
1,0,49,20,20,1443,1,71,1,3,1
0,0,98,281,281,7112,0,145,4374,0,1
1,0,13,294,294,1113039,1,58,1110685,3,1
1,0,79,289,289,7245,1,147,4687,3,1
1,0,80,173,173,12451,1,130,9695,3,1
0,0,67,52,52,2274,0,78,1,0,0
1,0,84,107,107,2194888,1,59,2192474,3,1
1,0,123,40,40,905310,1,45,902803,3,0
0,0,182,198,198,729858,0,37,727477,0,0
1,0,43,305,305,214887,1,9,212992,3,0
0,0,151,2,2,34372,0,50,33320,0,1
0,0,111,31,31,38223,0,43,36197,0,1
1,0,77,110,110,18751,1,84,16475,3,1
1,0,131,263,263,2149200,1,58,2146741,3,0
1,0,24,86,86,3783,1,25,1453,3,1
1,0,122,275,275,596370,1,11,593812,3,0
1,0,80,123,123,19819,1,0,16985,3,1
0,0,8,222,222,392186,0,11,389424,0,0
0,0,113,117,117,36463,0,16,33455,0,1
1,0,136,285,285,439193,1,46,435576,3,0
0,0,106,94,94,598524,0,7,596251,1,0
1,0,149,153,153,342240,1,59,339421,3,1
1,0,32,50,50,107280,1,19,104554,3,0
1,0,126,69,69,2892,1,106,97,3,0
0,0,20,10,10,478312,0,11,477440,0,0
1,0,31,76,76,46833,1,110,44356,3,0
1,0,84,38,38,670094,1,59,667467,3,0
0,0,145,176,176,2028848,0,56,2027736,2,0
1,0,27,259,259,68416,1,2,66416,3,1
1,0,94,128,128,4460,1,87,2295,3,0
0,0,51,248,248,553364,0,18,550602,0,0
1,0,109,158,158,201254,1,60,198909,3,0
0,0,86,121,121,851849,0,37,849015,0,0
1,0,62,291,291,3538,1,98,857,3,1
1,0,148,303,303,12394,1,150,9605,3,0
0,0,89,36,36,748745,0,30,745776,0,0
1,0,129,62,62,14564,1,81,12819,3,1
0,0,185,266,266,39476,0,143,36720,0,1
1,0,101,213,213,13956,1,90,10954,3,0
1,0,87,189,189,68621,1,57,67503,3,1
0,0,8,274,274,645301,0,11,642806,0,0
1,0,5,129,129,5678,1,122,4257,3,1
1,0,157,17,17,458839,1,11,457553,3,0
0,0,45,312,312,811998,0,40,810235,0,0
1,0,22,325,325,26744,1,43,24147,3,1
0,0,156,8,8,968,0,153,3,0,0
1,0,48,98,98,905988,1,42,903148,3,0
1,0,116,287,287,9121,1,39,6152,3,1
1,0,8,236,236,582104,1,12,579438,3,0
1,0,122,227,227,79885,1,11,77750,3,1
1,0,152,72,72,2982,1,109,445,3,1
1,0,164,87,87,22938,1,56,21226,3,1
1,0,131,166,166,1573917,1,58,1571158,3,0
0,0,42,34,34,531490,0,3,528650,0,0
0,0,25,124,124,4734,0,86,2191,0,0
1,0,104,197,197,710712,1,37,708220,3,0
0,0,100,214,214,367390,0,62,364778,1,0
1,0,22,324,324,56555,1,43,54387,3,1
0,0,88,231,231,18183,0,139,15433,0,0
1,0,38,5,5,4073,1,69,1218,3,0
1,0,50,71,71,15577,1,108,12521,3,1
1,0,13,164,164,2071578,1,58,2068987,3,0
1,0,125,109,109,27589,1,83,25172,3,0
0,0,143,44,44,4119,0,34,967,0,1
1,0,136,148,148,27235,1,30,24623,3,1
1,0,73,81,81,783456,1,34,780772,3,0
0,0,76,112,112,11142,0,120,8839,0,1
1,0,15,119,119,242630,1,23,239769,3,1
1,0,78,171,171,10610,1,129,8169,3,1
1,0,153,278,278,106204,1,18,104012,4,1
1,0,71,49,49,16963,1,100,14936,3,0
1,0,60,88,88,9934,1,49,6965,3,1
1,0,36,7,7,577397,1,28,576201,3,0
1,0,35,9,9,1820,1,155,189,3,0
1,0,46,35,35,485801,1,3,483723,3,0
1,3,102,326,326,11541,1,43,8509,3,1
1,0,18,152,152,619021,1,14,617285,3,0
0,0,63,29,29,13820,0,25,12766,0,1
1,0,149,43,43,2325261,1,59,2323705,3,0
1,0,69,90,90,10910,1,113,8910,3,0
1,0,92,255,255,639965,1,24,637563,3,0
