GeneClassification,GeneDescription,OrthologId,GeneId,GeneDbId,GenomicEndPosition,GeneType,ChromosomeId,GenomicStartPosition,EncodedProteinDescription,StrandOrientation
1,0,18,98,97,560447,1,52,558669,0,1
1,0,8,153,153,335828,1,29,333633,0,1
1,0,62,204,204,480279,1,44,478171,0,0
1,0,63,7,6,7012,1,31,5501,0,1
1,0,115,143,143,2096,1,111,747,0,1
0,0,121,6,5,1138,0,105,2,3,0
1,0,37,150,150,1116077,1,40,1113876,0,0
0,0,98,30,29,76316,0,50,74154,1,1
1,0,123,101,100,496899,1,1,495853,0,0
0,0,58,206,206,15153,0,30,12949,1,1
0,0,96,76,75,1027491,0,37,1024990,1,0
1,0,89,121,121,170211,1,48,168412,0,1
1,0,63,225,225,799420,1,31,796943,0,0
0,0,117,96,95,377705,0,57,375522,1,0
0,0,76,160,160,3932,0,116,1401,1,0
0,0,12,63,62,914046,0,33,913312,3,0
0,0,122,156,156,244454,0,19,243822,2,0
0,0,130,20,19,394758,0,9,393970,2,0
0,0,33,168,168,574603,0,21,572120,1,0
1,0,10,42,41,4883,1,80,2628,0,1
1,0,119,129,129,252998,1,28,250869,0,0
0,0,73,162,162,2976,0,75,781,1,0
1,0,108,92,91,92964,1,41,90784,0,1
0,0,121,52,51,7454,0,87,5259,1,1
1,0,66,187,187,470842,1,51,468923,0,0
0,0,93,36,35,2907,0,70,667,1,0
0,0,43,2,1,4593,0,17,2230,1,1
1,0,9,82,81,689616,1,52,687517,0,0
1,0,8,167,167,598394,1,21,596190,0,0
1,0,82,117,117,185005,1,58,182789,0,0
0,0,30,191,191,507624,0,3,505363,1,0
1,0,67,172,172,459000,1,10,456733,0,0
1,0,55,232,232,123424,1,8,121439,0,0
0,0,118,223,223,53099,0,38,50910,1,1
0,0,75,43,42,3147,0,81,535,1,1
0,0,121,54,53,7548,0,89,5362,1,0
0,0,121,108,107,11573,0,101,9210,1,0
0,0,57,5,4,81116,0,13,80040,2,1
0,0,20,72,71,703891,0,23,701787,2,0
0,0,84,116,116,79561,0,55,77369,1,1
0,0,7,23,22,6111,0,66,4843,2,1
1,0,77,227,227,299939,1,11,297915,0,1
0,0,112,158,158,115059,0,22,112891,1,1
0,0,52,15,14,1036,0,61,2,3,1
0,0,130,81,80,28523,0,37,26538,1,1
1,0,19,132,132,547726,1,7,545198,0,0
0,0,114,199,199,19404,0,120,17227,1,0
0,0,130,77,76,1039862,0,37,1037046,1,0
1,0,18,26,25,1937904,1,52,1935421,0,0
1,0,26,182,182,52834,1,0,50840,0,0
1,0,6,120,120,13918,1,103,11750,0,1
1,0,31,131,131,18062,1,106,16122,0,1
1,0,102,147,147,62927,1,24,60651,0,1
1,0,113,89,88,34512,1,95,32440,0,1
0,0,121,56,55,5683,0,90,3845,3,0
0,0,50,194,194,828692,0,47,827244,1,1
0,0,20,32,31,711734,0,23,710958,2,0
0,0,29,110,110,482055,0,10,479794,1,0
1,0,91,207,207,89110,1,16,86993,0,1
0,0,43,136,136,71096,0,40,68619,1,1
0,0,95,184,184,7735,0,77,5258,1,1
0,0,108,17,16,2326647,0,52,2325364,3,0
1,0,99,217,217,5117,1,79,2943,0,0
0,0,78,185,185,120751,0,3,119534,3,1
0,0,16,211,211,9642,0,122,7252,1,0
0,0,121,0,108,28514,0,102,26043,1,0
0,0,56,85,84,1699,0,8,101,3,1
1,0,16,18,17,3774,1,63,1570,0,0
1,0,130,40,39,468090,1,2,465892,0,0
1,0,74,210,210,811009,1,32,808763,0,0
1,0,39,203,203,619207,1,9,617003,0,0
0,0,38,123,123,194620,0,53,192110,1,0
0,0,34,103,102,52112,0,43,49749,1,1
1,0,101,159,159,1108,1,74,1,0,0
0,0,121,70,69,3468,0,93,1171,1,0
1,0,109,180,180,813661,1,37,811541,0,0
0,0,82,179,179,560608,0,16,558551,1,0
1,0,17,151,151,961848,1,36,959689,0,0
0,0,67,62,61,915393,0,33,914149,2,0
0,0,110,183,183,6868,0,118,4559,1,1
0,0,132,189,189,50074,0,3,47909,1,1
0,0,119,31,30,487691,0,18,485538,1,0
1,0,126,106,105,17178,1,100,14941,0,1
0,0,12,130,130,669010,0,16,666635,1,0
0,0,14,169,169,2335,0,12,101,3,1
0,0,90,164,164,798,0,76,1,3,1
0,0,131,141,141,1159648,0,41,1157084,1,0
0,0,64,228,228,140815,0,11,140096,2,1
0,0,58,161,161,3637,0,33,1680,2,1
0,0,121,135,135,5471,0,109,3207,1,1
0,0,47,21,20,5333,0,64,3093,1,1
1,0,30,102,101,8253,1,41,6340,0,1
0,0,40,198,198,477141,0,7,476586,2,0
0,0,121,97,96,5583,0,97,3223,1,0
1,0,11,202,202,20192,1,29,18165,0,1
1,0,46,79,78,636865,1,20,634829,0,0
0,0,2,9,8,391932,0,57,389746,1,1
0,0,114,14,13,827,0,60,3,2,0
1,0,91,229,229,122003,1,11,119982,0,1
0,0,101,193,193,16433,0,78,14709,2,1
1,0,23,195,195,35613,1,119,33460,0,1
1,0,131,73,72,16106,1,94,14127,0,0
0,0,26,128,128,2352753,0,52,2351474,2,0
0,0,41,66,65,85349,0,4,84366,2,1
0,0,136,216,216,303473,0,12,301437,3,1
0,0,13,27,26,49973,0,23,48072,2,1
0,0,121,105,104,7225,0,99,4853,1,0
0,0,36,59,58,3201,0,72,2560,2,1
0,0,121,134,134,17152,0,108,14774,1,1
0,0,32,60,59,369971,0,54,367785,1,0
1,0,70,104,103,19107,1,43,16912,0,1
0,0,60,226,226,316113,0,11,313945,1,1
0,0,133,22,21,3704,0,65,1446,1,1
0,0,128,112,112,4679,0,39,2307,1,1
0,0,15,190,190,2152465,0,51,2150273,1,0
1,0,4,19,18,1287,1,67,1,0,0
0,0,121,51,50,3133,0,87,824,1,1
0,0,80,236,236,23314,0,2,21104,1,0
0,0,5,174,174,763294,0,26,761027,1,0
1,0,79,37,36,411395,1,13,410220,0,0
1,0,129,234,234,51771,1,35,49540,0,1
1,0,123,34,33,469090,1,1,466913,0,0
0,0,125,74,73,909502,0,34,907241,1,0
0,0,81,145,145,68193,0,25,66007,1,1
0,0,103,215,215,315631,0,12,313523,1,1
1,0,62,29,28,10067,1,44,8418,0,1
1,0,40,78,77,609383,1,20,607077,0,0
0,0,3,200,200,351915,0,56,350539,2,1
0,0,105,28,27,400277,0,10,398004,1,0
0,0,25,212,212,702444,0,22,701878,3,0
1,0,27,61,60,369509,1,13,367296,0,1
0,0,100,44,43,5540,0,82,3963,2,1
0,0,40,39,38,526037,0,3,525222,3,0
0,0,25,124,124,57522,0,22,55348,1,1
1,0,15,118,118,1375691,1,44,1373202,0,0
1,0,19,208,208,3258,1,121,754,0,1
0,0,120,233,233,66424,0,35,64094,1,1
1,0,63,176,176,16197,1,117,13717,0,1
0,0,121,47,46,1669,0,84,2,3,1
1,0,0,90,89,399311,1,14,397290,0,0
0,0,44,181,181,646569,0,12,644707,2,0
0,0,47,68,67,20107,0,49,17801,1,1
0,0,68,86,85,2123600,0,51,2121408,1,0
1,0,35,1,0,5726,1,123,3723,0,0
1,0,28,75,74,654471,1,51,652312,0,1
1,0,21,107,106,828777,1,46,827212,0,1
0,0,82,138,138,27070,0,16,24536,1,1
0,0,103,214,214,311650,0,12,309482,1,1
0,0,107,192,192,6765,0,78,4204,1,1
0,2,121,58,57,1518,0,91,1,3,1
1,0,24,148,148,477984,1,5,475453,0,0
0,0,37,114,114,1178466,0,42,1176085,1,0
1,0,134,146,146,2336,1,112,3,0,1
1,0,101,144,144,60946,1,52,58898,0,1
0,0,121,94,93,4334,0,96,1968,1,1
1,0,35,166,166,1028709,1,39,1026565,0,0
1,0,37,201,201,224206,1,34,222371,0,1
0,0,26,137,137,92121,0,40,90979,1,1
1,0,19,33,32,731499,1,23,729406,0,0
0,0,121,125,125,7491,0,22,5182,1,1
0,0,114,16,15,1333,0,62,3,2,0
0,0,45,57,56,14203,0,32,11819,1,1
0,0,77,3,2,1475,0,124,3,3,0
0,0,71,220,220,471716,0,5,470270,2,0
1,0,28,127,127,1909430,1,51,1907460,0,1
1,0,61,186,186,669243,1,18,667156,0,0
0,0,130,35,34,18709,0,27,16532,1,1
0,0,121,133,133,6479,0,107,5838,2,1
0,0,97,154,154,668634,0,24,666520,1,0
