GENE_SUBCLASS,GENOMIC_END_POSITION,GENE_ID,GENE_DB_ID,ORTHOLOGOUS_GENE_ID,ENCODED_PROTEIN,GENE_TYPE,CHROMOSOME_ID,GENOMIC_START_POSITION,STRAND_ORIENTATION
1,1302731,138,138,0,1,1,1,1301798,0
0,3626724,121,121,23,0,0,0,3625683,1
0,2137083,79,79,23,0,0,0,2136116,0
0,829945,31,31,23,0,0,0,828981,0
0,2534123,83,83,23,0,0,0,2533101,0
1,1661637,61,61,2,1,1,0,1660898,1
0,3087645,106,106,23,0,0,0,3086711,0
0,90623,189,189,3,0,0,7,89650,1
1,1975350,222,222,22,1,1,9,1974370,0
0,3821699,126,126,23,0,0,0,3820752,1
0,2000482,180,180,12,0,0,6,1999413,0
0,2410931,239,239,17,0,0,12,2409980,0
0,1227129,48,48,23,0,0,0,1226153,0
1,2191993,228,228,22,1,1,9,2191163,0
0,1896974,70,70,23,0,0,0,1895961,1
1,196537,176,176,8,1,1,6,195815,1
0,2580660,84,84,23,0,0,0,2579676,1
0,2037842,181,181,12,0,0,6,2036855,0
0,2012514,76,76,23,0,0,0,2011537,1
0,36053,153,153,11,0,0,4,35076,1
0,350270,10,10,23,0,0,0,349232,0
0,961008,37,37,23,0,0,0,960057,0
0,818515,30,30,23,0,0,0,817520,0
0,1819402,167,167,11,0,0,4,1818421,0
0,85503,136,136,20,0,0,1,84520,1
1,2500826,202,202,14,1,1,7,2499858,0
0,3771594,125,125,23,0,0,0,3770581,1
0,2052986,223,223,24,0,0,9,2051981,0
0,1493581,54,54,23,0,0,0,1492608,0
0,2811023,93,93,23,0,0,0,2810056,1
0,192905,265,265,1,0,0,13,191876,1
0,125184,174,174,12,0,0,6,124229,1
0,2402964,201,201,3,0,0,7,2401983,0
0,3538333,117,117,23,0,0,0,3537279,1
0,1169323,46,46,23,0,0,0,1168314,1
0,2625596,88,88,23,0,0,0,2624615,1
1,175684,5,5,2,1,1,0,174773,0
0,2611171,204,204,3,0,0,7,2610116,0
0,3943402,131,131,23,0,0,0,3942518,1
0,756430,28,28,23,0,0,0,755452,0
1,2620539,244,244,10,1,1,12,2619563,0
0,74070,135,135,20,0,0,1,73103,1
1,1719528,63,63,2,1,1,0,1718592,1
0,2929889,254,254,17,0,0,12,2928926,0
0,29762,1,1,23,0,0,0,28779,0
1,146994,175,175,8,1,1,6,146054,1
1,3832545,127,127,2,1,1,0,3831499,1
1,1944091,178,178,8,1,1,6,1943137,0
0,2943363,99,99,23,0,0,0,2942390,1
0,80570,188,188,3,0,0,7,79583,1
1,3864794,128,128,2,1,1,0,3863936,1
0,29305,219,219,24,0,0,9,28341,1
0,2787380,212,212,3,0,0,7,2786407,0
0,2987289,102,102,23,0,0,0,2986294,1
0,1858012,168,168,11,0,0,4,1857026,0
0,2901620,96,96,23,0,0,0,2900680,1
0,1029803,40,40,23,2,0,0,1028849,1
0,47733,215,215,6,0,0,8,46712,1
0,1831592,67,67,23,0,0,0,1830638,1
0,1242580,144,144,5,0,0,2,1241593,0
0,1323924,50,50,23,0,0,0,1322970,0
0,2991514,257,257,17,0,0,12,2990543,0
1,1609442,58,58,2,1,1,0,1608554,0
0,325126,9,9,23,0,0,0,324116,0
1,2866118,251,251,10,1,1,12,2865319,0
0,257930,196,196,3,0,0,7,256958,1
1,825304,169,169,18,1,1,5,824320,0
0,797603,29,29,23,0,0,0,796557,0
1,62075,134,134,0,1,1,1,61062,1
0,83058,232,232,9,0,0,10,82100,1
0,243795,236,236,9,0,0,10,242828,1
0,101259,4,4,23,0,0,0,100271,0
0,3501883,116,116,23,0,0,0,3500926,1
0,854400,34,34,23,0,0,0,853408,0
1,530848,17,17,2,1,1,0,529877,1
0,194080,157,157,11,0,0,4,193107,1
1,2164937,226,226,22,1,1,9,2163912,0
1,3565904,118,118,2,1,1,0,3564858,1
0,2729418,249,249,17,0,0,12,2728442,0
0,3997753,133,133,23,0,0,0,3996772,1
0,1842055,68,68,23,0,0,0,1841258,1
0,3907034,130,130,23,0,0,0,3906026,1
0,3675676,122,122,23,0,0,0,3674736,1
0,264759,7,7,23,0,0,0,263742,0
0,1863193,69,69,23,0,0,0,1862233,1
0,418380,13,13,23,0,0,0,417494,0
0,16637,150,150,4,0,0,3,15686,1
0,1158170,45,45,23,0,0,0,1157129,1
1,188127,193,193,14,1,1,7,187156,1
1,1104725,43,43,2,0,1,0,1103973,1
0,59985,216,216,6,0,0,8,58996,1
1,3129,141,141,19,1,1,2,2111,1
0,2571118,241,241,17,0,0,12,2570141,0
0,2630816,205,205,3,0,0,7,2629838,0
0,2768159,211,211,3,0,0,7,2767187,0
1,2075234,182,182,8,1,1,6,2074416,0
0,77248,261,261,1,0,0,13,76246,1
1,19593,238,238,16,1,1,11,18641,1
1,116363,190,190,14,1,1,7,115392,1
1,992940,38,38,2,1,1,0,992231,1
0,268646,197,197,3,0,0,7,267636,1
0,93901,155,155,11,0,0,4,93026,1
0,1206640,47,47,23,0,0,0,1205634,0
0,10066,218,218,24,0,0,9,9119,1
0,47279,186,186,3,0,0,7,46316,1
1,7609,0,0,2,1,1,0,6614,0
0,3035493,104,104,23,0,0,0,3034472,1
0,1632520,59,59,23,0,0,0,1631515,0
0,52191,2,2,23,0,0,0,51200,0
0,1435342,52,52,23,0,0,0,1434369,0
0,2247622,81,81,23,0,0,0,2246622,0
0,2599688,203,203,3,0,0,7,2598686,0
0,937139,36,36,23,0,0,0,936183,0
1,462656,15,15,2,1,1,0,461872,0
0,2664333,89,89,23,0,0,0,2663373,1
0,1550036,56,56,23,0,0,0,1549070,1
1,474134,16,16,2,1,1,0,473342,1
0,2718036,248,248,17,0,0,12,2717006,0
0,361388,11,11,23,0,0,0,360375,0
0,2609560,87,87,23,0,0,0,2608581,1
1,1305031,49,49,2,1,1,0,1304292,0
0,1764239,162,162,11,0,0,4,1763508,0
1,2694134,247,247,10,1,1,12,2693159,0
0,3896577,129,129,23,0,0,0,3895570,1
1,207934,235,235,13,1,1,10,206941,1
0,2806993,250,250,17,0,0,12,2805961,0
0,1647699,60,60,23,0,0,0,1646762,0
0,1456456,53,53,23,0,0,0,1455519,0
0,22128,170,170,12,0,0,6,21118,1
0,35674,185,185,3,0,0,7,34737,1
1,2821,258,258,7,1,1,13,1796,1
0,4464,183,183,3,0,0,7,3665,1
0,1798060,166,166,11,0,0,4,1797042,0
0,1758744,64,64,23,0,0,0,1757779,1
0,1410592,51,51,23,0,0,0,1409631,0
0,2491047,240,240,17,0,0,12,2490060,0
0,98100,262,262,1,0,0,13,97104,1
0,669332,24,24,23,0,0,0,668377,0
1,7509,214,214,15,1,1,8,6770,1
0,82197,154,154,11,0,0,4,81176,1
1,1571655,57,57,2,1,1,0,1570786,1
0,56587,187,187,3,0,0,7,55870,1
1,168621,156,156,21,1,1,4,168018,1
0,204979,266,266,1,0,0,13,203989,1
1,300350,198,198,14,1,1,7,299433,1
0,1202243,143,143,5,0,0,2,1201265,0
0,3747742,124,124,23,0,0,0,3746758,1
0,1253998,145,145,5,0,0,2,1253021,0
0,2931247,98,98,23,0,0,0,2930282,1
0,2598728,86,86,23,0,0,0,2597760,1
0,2799553,213,213,3,0,0,7,2798511,0
0,3485524,115,115,23,0,0,0,3484511,1
1,49077,259,259,7,1,1,13,48083,1
0,632947,23,23,23,0,0,0,631997,0
0,23469,184,184,3,0,0,7,22545,1
0,2023898,77,77,23,0,0,0,2022911,1
0,3070241,105,105,23,0,0,0,3069280,0
1,1004126,39,39,2,1,1,0,1003339,1
0,2970973,101,101,23,0,0,0,2969987,1
