NationalLibraryOfIsraelJ9uId,CommonsCategory,MainCategory,LibraryOfCongressAuthorityId
9.870075540632051e+17,14,14,156
9.870075421525052e+17,39,39,16
9.870075326890052e+17,88,88,170
9.870075483611052e+17,137,137,91
9.870075301477052e+17,76,76,139
9.870075336876051e+17,12,12,19
9.870072824242052e+17,112,112,68
9.870075373799052e+17,24,24,173
9.870075629524051e+17,141,141,95
9.870075339563052e+17,149,149,101
9.870075619075052e+17,136,136,1
9.870075329902052e+17,6,6,40
9.870075373810052e+17,69,69,172
9.870075396626052e+17,36,36,148
9.870075397827052e+17,153,152,174
9.870075506070052e+17,138,138,92
9.870075511637052e+17,178,178,111
9.870075367968051e+17,74,74,134
9.870075371002052e+17,25,25,165
9.870075704448051e+17,17,17,53
9.870075294327052e+17,164,163,114
9.870075678641052e+17,123,123,78
9.870075584212051e+17,100,100,21
9.870075954200051e+17,43,43,52
9.870075536486052e+17,176,176,128
9.870075510461052e+17,108,108,110
9.870075463330052e+17,158,157,131
9.870075630528051e+17,140,140,94
9.870075350461052e+17,93,93,33
9.870074123974052e+17,67,67,61
9.870075359290052e+17,152,151,82
9.870075375356051e+17,42,42,44
9.870073964006052e+17,98,98,62
9.870075456236051e+17,119,120,75
9.870075612495052e+17,50,50,162
9.870075442830052e+17,105,105,0
9.870075520864051e+17,35,35,39
9.870075334220051e+17,120,121,76
9.870072948739052e+17,106,106,66
9.870075562488051e+17,59,59,138
9.870075519211052e+17,61,61,42
9.870075372626052e+17,10,10,167
9.870075368925052e+17,73,73,133
9.870075360681052e+17,125,125,80
9.870075607220051e+17,155,154,103
9.870075319815052e+17,179,179,130
9.870075346920051e+17,9,9,163
9.870074057681052e+17,66,66,57
9.870075394547052e+17,75,75,135
9.870072661473052e+17,147,146,4
9.870075859538052e+17,96,96,48
9.870075347431052e+17,65,65,143
9.870075538938052e+17,51,51,152
9.870072929135052e+17,104,104,65
9.870075604936051e+17,145,144,98
9.870075340530052e+17,134,133,108
9.870074057678052e+17,45,45,58
9.870072855398052e+17,86,86,7
9.870075682447052e+17,91,91,51
9.870075437955052e+17,142,172,124
9.870072824270052e+17,114,114,70
9.870075444770052e+17,71,71,146
9.870075372005052e+17,102,102,12
9.870075728112051e+17,44,44,54
9.870075512659052e+17,175,175,127
9.870075461049052e+17,169,168,120
9.870075340098052e+17,1,1,118
9.870075294276051e+17,156,155,104
9.870075336458052e+17,130,129,87
9.870075460977052e+17,171,170,121
9.870075662292051e+17,40,40,168
9.870075511591052e+17,162,161,113
9.870075293915052e+17,122,148,115
9.870075532773052e+17,132,131,89
9.870075510586052e+17,159,158,106
9.870075469954052e+17,95,95,37
9.870075486375052e+17,161,160,109
9.870075447555052e+17,52,52,25
9.870075421520051e+17,8,8,18
9.870075374473052e+17,92,92,23
9.870075584208051e+17,101,101,22
9.870075313387052e+17,128,127,84
9.870072844915052e+17,111,111,67
