StrandOrientation,GenomicStartPosition,GeneDbId,GeneClassification,GenomicEndPosition
1,6340,101,1,8253
0,476586,198,0,477141
0,3223,96,0,5583
1,18165,202,1,20192
0,634829,79,1,636865
0,178343,117,0,180595
0,3,14,0,827
1,119982,229,1,122003
1,14709,193,0,16433
1,33460,195,1,35613
0,14127,73,1,16106
0,192110,123,0,194620
1,84366,66,0,85349
1,301437,216,0,303473
1,48072,27,0,49973
0,4853,104,0,7225
1,2560,59,0,3201
1,14774,134,0,17152
1,40902,155,0,43304
1,16912,103,1,19107
1,313945,226,0,316113
1,1446,22,0,3704
1,2307,112,0,4679
0,2150273,190,0,2152465
0,1,19,1,1287
1,824,51,0,3133
0,21104,236,0,23314
0,761027,174,0,763294
0,410220,37,1,411395
1,49540,234,1,51771
0,466913,34,1,469090
0,907241,74,0,909502
1,66007,145,0,68193
1,313523,215,0,315631
1,8418,29,1,10067
0,607077,78,1,609383
0,375522,95,0,377705
0,398004,28,0,400277
0,701878,212,0,702444
1,367296,61,1,369509
1,3963,44,0,5540
0,525222,39,0,526037
1,55348,124,0,57522
0,1373202,118,1,1375691
1,754,208,1,3258
1,64094,233,0,66424
1,13717,176,1,16197
1,2,47,0,1669
0,397290,89,1,399311
0,644707,181,0,646569
1,17801,68,0,20107
0,2121408,86,0,2123600
0,3723,0,1,5726
1,652312,75,1,654471
1,827212,106,1,828777
1,24536,138,0,27070
1,309482,214,0,311650
1,4204,192,0,6765
1,1,58,0,1518
0,475453,148,1,477984
0,1176085,114,0,1178466
1,3,146,1,2336
1,58898,144,1,60946
1,1968,93,0,4334
0,1026565,166,1,1028709
1,222371,201,1,224206
1,90979,137,0,92121
0,729406,33,1,731499
1,5182,125,0,7491
0,3,16,0,1333
1,11819,57,0,14203
0,3,2,0,1475
0,470270,220,0,471716
1,1907460,127,1,1909430
0,667156,186,1,669243
1,16532,35,0,18709
1,5838,133,0,6479
0,666520,154,0,668634
