Strand_Orientation,Gene_Description,Genomic_End_Position,Gene_Db_Id,Encoded_Protein,Genomic_Start_Position
0,0,25731,8,3,22858
0,0,35248,50,2,32438
1,0,2099,2,5,3
0,0,903444,115,1,900637
1,0,460231,149,2,457457
1,0,2171498,184,2,2169063
0,0,817323,77,2,814468
1,0,35322,193,2,32611
0,0,585177,205,3,582301
1,0,41459,220,3,38613
0,0,584285,176,0,581721
0,0,404953,162,2,402317
0,0,16042,111,3,13142
1,0,574686,148,1,571897
1,0,596823,94,2,594229
0,0,71558,155,1,69066
0,0,1115182,221,2,1112378
0,0,556640,254,2,553878
0,0,22835,147,2,20457
0,0,65602,24,2,62846
0,0,321121,172,2,318503
1,0,3099,84,2,313
1,0,2201057,53,2,2198634
0,0,1882048,104,1,1879670
0,0,2065088,101,1,2062416
1,0,8030,145,2,5538
1,0,54570,27,3,51787
1,0,12466,230,2,9926
0,0,1745786,12,2,1743231
0,0,1189938,226,2,1187140
1,0,580806,93,5,578836
1,0,565358,82,2,563163
1,0,935144,131,2,932427
1,0,7331,91,3,4482
1,0,167573,36,3,164778
1,0,249052,71,2,246272
1,0,344245,13,2,341906
1,0,194602,250,3,191840
0,0,546874,143,2,544250
0,0,1851640,106,2,1848668
1,0,450835,66,2,448496
0,0,14547,20,2,12235
0,0,425184,137,2,422410
1,0,237391,70,2,234584
0,0,7271,22,2,4884
0,0,3982,1,2,1541
1,0,21057,156,2,18763
0,0,399549,240,2,396772
0,0,11601,39,2,9187
1,0,175571,92,2,172800
0,0,110238,229,3,107374
0,0,783613,76,2,780839
1,0,8573,216,2,6039
1,0,7513,3,2,4757
1,0,191757,114,2,188965
1,0,205713,248,2,202903
1,0,1484951,183,3,1482129
1,0,880730,133,2,877992
1,0,12861,242,2,10087
0,0,763632,129,2,761305
1,0,1152001,181,1,1149578
0,0,171302,232,4,169443
1,0,187696,249,2,185057
1,0,2180588,52,2,2178147
1,0,17047,37,2,14579
0,0,222070,179,2,219359
0,0,1181628,225,2,1179322
1,0,2776,48,1,113
1,0,950785,132,2,948302
0,0,8596,125,2,5819
0,0,24923,60,2,22032
0,0,42017,201,1,39222
0,0,1200167,195,2,1197396
0,0,696919,72,2,694046
0,0,316755,119,1,314314
0,0,428401,68,2,425663
0,0,388287,241,2,385492
0,0,2113696,51,1,2111357
0,0,272153,63,2,269451
1,0,22052,243,2,19278
0,0,198843,127,2,196225
1,0,775880,130,2,773208
0,0,421319,161,2,418704
1,0,180486,34,2,177754
1,0,11536,32,2,9554
0,0,15093,158,3,12226
