EntityType,OrthologId,GenomicEndPosition,GeneId,GeneDbId,GeneType,ChromosomeId,GenomicStartPosition,EncodedProteinDescription,StrandOrientation
1,64,884301,139,139,1,14,883339,2,1
0,27,18090,96,96,0,53,17131,30,0
0,53,1783506,128,128,0,18,1782673,11,1
0,71,1194158,233,233,0,15,1193721,0,0
1,101,5205,97,97,1,54,4201,2,1
1,38,177073,104,104,1,20,175745,2,0
0,95,153559,235,235,0,80,152606,30,0
0,91,4472,216,216,0,76,3321,23,0
0,72,979496,114,114,0,19,978543,30,1
0,35,1905082,69,69,0,19,1904309,11,1
1,1,27009,45,45,1,28,25858,2,1
0,94,38006,197,197,0,75,37197,11,0
0,100,1221966,178,178,0,17,1220947,14,0
0,32,226729,43,43,0,12,226322,0,1
1,68,76658,39,39,1,45,76494,0,0
0,97,987733,112,112,0,19,987176,0,1
1,4,937169,156,156,1,18,936387,2,1
0,92,416187,120,120,0,15,415021,23,1
0,52,983808,113,113,0,19,982858,30,1
1,20,497744,118,118,1,15,496932,34,1
1,93,3831,170,170,1,73,3070,2,1
1,66,3587,163,163,1,71,2544,2,0
0,27,10011,38,38,0,44,9199,11,1
0,52,1474427,53,53,0,19,1473666,27,0
0,81,36547,223,223,0,37,35690,9,0
0,88,531335,174,174,0,1,530982,0,1
1,43,477748,117,117,1,15,476525,2,1
1,15,1925877,68,68,1,19,1925107,2,1
0,35,1564778,74,74,0,19,1564014,16,1
0,92,1106541,228,228,0,15,1105297,22,0
0,2,15525,108,108,0,31,14710,8,1
1,12,2102,110,110,1,59,1101,2,1
0,46,178084,109,109,0,16,176870,21,1
0,7,712890,92,92,0,14,712129,18,1
0,7,77581,8,8,0,8,76523,20,1
0,10,855470,138,138,0,14,854496,7,0
0,44,1677,77,77,0,49,712,29,1
0,92,301271,146,146,0,15,300510,18,0
1,17,11639,198,198,1,75,10170,2,0
0,96,2202884,185,185,0,18,2202237,24,1
0,100,1487286,181,181,0,17,1486264,14,1
0,27,2879,133,133,0,62,2091,11,1
0,57,12102,220,220,0,35,11231,0,0
1,82,563168,89,89,1,14,561921,2,1
0,69,12897,5,5,0,24,11857,0,1
0,10,878597,141,141,0,14,877761,11,0
1,6,2640,172,172,1,33,1327,2,0
0,53,2089274,123,123,0,18,2088630,24,1
0,38,384191,37,37,0,4,383100,14,0
0,51,323886,160,160,0,11,323095,25,1
0,89,571633,48,48,0,7,570836,11,0
0,97,684782,58,58,0,19,683826,30,0
0,96,914563,155,155,0,18,913814,26,0
0,0,31139,62,62,0,48,29922,22,0
1,78,1247221,180,180,1,17,1246121,2,0
0,78,1222996,105,105,0,19,1222181,16,1
0,10,297062,81,81,0,14,295851,22,0
0,62,1049347,132,132,0,14,1048619,15,0
0,54,36628,46,46,0,28,35402,23,1
1,15,1131697,171,171,1,19,1130438,2,1
0,81,31870,222,222,0,37,31118,11,0
0,87,363876,158,158,0,12,363610,0,1
0,10,946792,6,6,0,14,945539,22,1
1,61,2901,221,221,1,36,1762,2,0
0,100,1639752,122,122,0,17,1638709,19,0
0,59,644758,116,116,0,6,643769,25,0
0,90,17814,236,236,0,80,16873,29,1
0,23,826530,12,12,0,18,825718,18,1
0,50,335,10,10,0,25,3,0,0
1,63,7239,184,184,1,0,5971,2,1
1,40,41030,151,151,1,68,39978,2,0
0,0,19059,167,167,0,72,18244,11,0
0,98,1188618,194,194,0,14,1187623,31,0
0,52,1745136,192,192,0,19,1744339,16,0
1,34,2521,107,107,1,58,1283,2,1
0,92,250812,144,144,0,15,249592,22,0
0,58,731234,57,57,0,19,730422,11,0
0,7,1075329,3,3,0,14,1075195,1,1
1,25,137805,159,159,1,12,136807,2,0
0,62,492438,202,202,0,14,491209,22,0
0,16,1604402,189,189,0,18,1603254,17,0
0,0,11189,50,50,0,46,10047,23,1
1,70,13960,13,13,1,26,13361,2,1
0,0,39296,63,63,0,48,38151,22,0
0,7,375903,35,35,0,4,374896,20,1
0,91,12268,237,237,0,81,10958,22,0
0,58,2097143,191,191,0,19,2096334,11,1
0,27,13009,152,152,0,68,11804,23,0
0,89,550504,49,49,0,7,549704,11,0
0,33,11743,224,224,0,37,10985,11,1
1,34,556235,173,173,1,1,555144,2,0
0,56,1165493,230,230,0,15,1164663,11,0
1,75,381597,14,14,1,10,380962,2,0
0,19,9178,76,76,0,29,8375,11,1
0,53,2165485,186,186,0,18,2164835,24,1
1,46,41345,80,80,1,30,40839,33,0
1,73,29968,165,165,1,72,28721,2,0
0,28,358168,101,101,0,18,357524,24,0
1,5,517373,21,21,1,14,516597,2,1
0,99,37518,31,31,0,27,36670,11,0
0,47,1588977,121,121,0,17,1588012,31,0
0,67,1147481,177,177,0,17,1146423,7,1
0,82,15379,219,219,0,78,14528,11,0
0,80,77977,41,41,0,3,77144,11,0
0,10,658646,90,90,0,14,657867,11,0
0,27,3650,148,148,0,65,2478,6,1
1,5,551759,88,88,1,14,550737,2,1
0,29,79682,168,168,0,13,78918,28,0
0,27,614,51,51,0,46,222,0,1
1,14,1921338,125,125,1,18,1920505,2,1
1,25,287088,99,99,1,12,285889,2,1
0,71,1173402,231,231,0,15,1172566,18,0
0,27,37248,166,166,0,72,35989,23,1
1,51,55904,32,32,1,27,55386,2,1
1,4,1887968,127,127,1,18,1886823,2,0
0,24,432927,247,247,0,5,431740,14,0
0,27,13082,111,111,0,60,12327,0,1
0,71,386514,175,175,0,15,385279,22,0
0,62,832741,210,210,0,14,831566,22,0
0,27,28969,25,25,0,40,28568,1,0
0,74,738,2,2,0,22,1,0,0
0,103,5008,9,9,0,25,4142,11,0
0,32,227094,18,18,0,12,226831,1,1
0,0,14090,64,64,0,48,12945,22,0
0,15,1026,225,225,0,79,841,0,1
0,0,1863,102,102,0,57,1015,18,0
0,78,2029082,19,19,0,19,2027874,22,1
1,9,445921,17,17,1,4,445157,2,0
0,7,251858,20,20,0,14,251211,0,0
0,7,1022329,213,213,0,14,1021526,18,1
0,27,23025,134,134,0,63,22318,0,0
0,83,1675,215,215,0,34,854,11,1
1,102,26635,164,164,1,72,25832,34,0
0,35,2151652,67,67,0,19,2150759,9,1
0,47,2155792,187,187,0,18,2155145,24,0
1,58,35179,44,44,1,13,34406,2,1
0,60,19523,47,47,0,28,18321,23,1
0,52,1687805,71,71,0,19,1687044,4,0
0,0,10624,95,95,0,52,9845,32,0
0,71,266241,142,142,0,15,265438,11,0
0,10,313431,85,85,0,14,312547,11,0
0,26,486743,59,59,0,1,485586,14,0
0,10,285745,83,83,0,14,284939,11,0
1,5,827468,209,209,1,14,826311,2,1
0,3,1047,1,1,0,21,259,25,0
0,49,265814,200,200,0,11,265029,25,1
0,27,18784,98,98,0,55,18002,18,0
0,10,997273,212,212,0,14,996476,11,1
0,10,305564,86,86,0,14,304740,8,0
1,36,13592,100,100,1,56,12324,2,1
0,0,30765,28,28,0,42,29968,11,1
0,7,422034,16,16,0,4,420934,14,0
0,62,941707,7,7,0,14,940901,11,1
0,44,12388,136,136,0,64,11468,0,0
1,15,269718,147,147,1,19,269074,2,1
0,31,65754,234,234,0,80,64810,29,1
0,100,1522877,182,182,0,17,1521903,25,1
0,11,17173,217,217,0,77,16040,23,1
0,27,13948,30,30,0,43,13148,10,0
0,62,387281,11,11,0,14,386064,23,0
1,5,290434,82,82,1,14,289571,2,0
0,52,975187,115,115,0,19,974237,30,1
0,52,1679298,73,73,0,19,1678525,25,0
1,42,6002,241,241,1,82,5043,2,0
1,15,1592913,75,75,1,19,1591840,34,1
1,15,663114,15,15,1,19,662260,2,0
1,5,432941,203,203,1,14,432381,0,1
0,7,277578,84,84,0,14,276769,11,0
1,13,4723,24,24,1,39,4340,2,1
0,27,23810,60,60,0,47,22572,22,1
0,75,231201,246,246,0,5,230431,27,0
0,28,2142542,188,188,0,18,2141583,25,0
0,27,13418,150,150,0,67,12669,16,0
0,72,1694274,70,70,0,19,1693627,24,0
1,17,25842,199,199,1,75,24370,2,0
1,30,9998,78,78,1,50,9753,2,0
0,45,1577124,190,190,0,18,1576114,12,0
0,18,1229889,179,179,0,17,1228786,20,0
0,77,1778534,129,129,0,18,1777443,13,0
1,5,1152958,195,195,1,14,1151783,2,1
0,62,907521,140,140,0,14,906301,22,0
1,51,23852,33,33,1,27,23046,34,0
0,71,1148502,229,229,0,15,1147669,11,0
1,21,655,0,0,1,83,2,2,1
1,33,223492,245,245,1,5,222386,34,0
0,72,1631767,72,72,0,19,1631120,24,0
1,5,667923,93,93,1,14,666610,2,1
0,71,272963,214,214,0,15,272211,16,0
1,76,11872,130,130,1,61,11348,2,0
0,71,247509,143,143,0,15,246700,11,0
