EntityType,OrthologId,GenomicEndPosition,GeneId,GeneDbId,GeneType,ChromosomeId,GenomicStartPosition,EncodedProteinDescription,StrandOrientation
0,31,65754,235,235,0,80,64810,29,1
0,99,1522877,183,183,0,17,1521903,25,1
0,11,17173,218,218,0,77,16040,23,1
0,27,13948,30,30,0,43,13148,10,0
0,62,387281,11,11,0,14,386064,23,0
1,5,290434,82,82,1,14,289571,2,0
0,53,975187,117,117,0,19,974237,30,1
0,53,1679298,73,73,0,19,1678525,25,0
1,44,6002,242,242,1,82,5043,2,0
1,15,1592913,75,75,1,19,1591840,34,1
1,15,663114,15,15,1,19,662260,2,0
1,5,432941,204,204,1,14,432381,0,1
0,7,277578,84,84,0,14,276769,11,0
1,13,4723,24,24,1,39,4340,2,1
0,27,23810,60,60,0,47,22572,22,1
0,43,402463,87,87,0,5,401243,21,0
0,28,2142542,189,189,0,18,2141583,25,0
0,27,13418,151,151,0,67,12669,16,0
0,72,1694274,70,70,0,19,1693627,24,0
1,17,25842,200,200,1,75,24370,2,0
1,30,9998,78,78,1,50,9753,2,0
0,47,1577124,191,191,0,18,1576114,12,0
0,18,1229889,180,180,0,17,1228786,20,0
0,77,1778534,130,130,0,18,1777443,13,0
1,5,1152958,196,196,1,14,1151783,2,1
0,62,907521,141,141,0,14,906301,22,0
1,52,23852,33,33,1,27,23046,34,0
0,71,1148502,230,230,0,15,1147669,11,0
1,21,655,0,0,1,83,2,2,1
0,75,231201,246,246,0,5,230431,27,0
0,72,1631767,72,72,0,19,1631120,24,0
1,5,667923,94,94,1,14,666610,2,1
0,71,272963,215,215,0,15,272211,16,0
1,76,11872,131,131,1,61,11348,2,0
0,71,247509,144,144,0,15,246700,11,0
