GeneSubclass,GenomicEndPosition,GeneDbId,GeneLabel,ChromosomeLocation,EncodedProtein,GeneType,OrthologousGene,GenomicStartPosition,StrandOrientation,HostTaxon
0,18805214,152,152,12,20,0,12,18803756,0,4
0,16044124,135,135,12,38,0,11,16042352,0,4
0,1384983,65,65,12,20,0,8,1383800,0,4
0,7409936,30,30,1,5,0,16,7408131,1,3
0,19092299,155,155,12,19,0,12,19091385,1,4
0,8477276,37,37,1,16,0,23,8475756,0,3
0,4054701,74,74,12,23,0,11,4053424,1,4
0,16306157,141,141,12,20,0,8,16305157,1,4
0,7726763,34,34,1,43,0,7,7725846,1,3
0,12245091,117,117,12,20,0,11,12243976,0,4
0,20537413,162,162,12,19,0,12,20536571,0,4
0,3991758,6,6,4,2,0,1,3988690,0,1
0,5631591,84,84,12,23,0,8,5630353,0,4
0,11526257,43,43,1,8,0,7,11525184,1,3
0,9713721,106,106,12,20,0,8,9711766,1,4
0,21494170,169,169,12,19,0,12,21492995,0,4
0,16917457,143,143,12,39,0,12,16914834,0,4
0,22370663,174,174,12,39,0,5,22368995,0,4
0,9818594,39,39,1,0,0,23,9817575,1,3
0,15205645,129,129,12,42,0,11,15204587,1,4
0,1377494,64,64,12,43,0,8,1376007,1,4
0,6206204,25,25,1,44,0,7,6205003,1,3
1,196430,5,5,2,34,1,10,190759,0,1
0,6407978,88,88,12,19,0,11,6406782,1,4
1,3668916,72,72,12,45,1,17,3665455,0,4
0,1619516,66,66,12,38,0,11,1618005,0,4
0,20921047,166,166,12,39,0,12,20919837,0,4
0,23094018,179,179,12,20,0,12,23092635,0,4
1,2395872,70,70,12,41,1,17,2393881,0,4
1,5133342,7,7,5,34,1,15,5130638,1,1
0,1681418,12,12,8,20,0,14,1679283,0,2
0,13088563,48,48,1,2,0,23,13085495,0,3
1,19533804,159,159,12,21,1,17,19532201,0,4
1,9534947,104,104,12,27,1,13,9531795,0,4
0,1115867,10,10,9,20,0,9,1114074,1,2
0,15572469,131,131,12,20,0,8,15571309,1,4
0,189059,56,56,12,38,0,8,186996,1,4
0,20629260,163,163,12,19,0,12,20624929,0,4
1,9897110,107,107,12,21,1,13,9895189,0,4
0,20644984,165,165,12,20,0,12,20643740,0,4
0,21910490,172,172,12,39,0,12,21909174,0,4
0,14737741,51,51,1,14,0,7,14736827,1,3
0,12043902,44,44,1,0,0,23,12042832,0,3
0,5694837,86,86,12,38,0,8,5693386,0,4
0,10166666,40,40,1,3,0,23,10162488,1,3
0,18902845,153,153,12,20,0,5,18901746,1,4
0,16194865,138,138,12,38,0,11,16193285,1,4
0,19068634,154,154,12,19,0,5,19067516,1,4
0,17510816,150,150,12,19,0,5,17509830,1,4
0,24166126,182,182,12,19,0,5,24164795,1,4
1,20643501,164,164,12,25,1,13,20641411,1,4
0,15718387,134,134,12,38,0,8,15717122,1,4
0,13085487,47,47,1,13,0,7,13081270,0,3
1,9281160,38,38,1,30,1,19,9279771,1,3
1,2196289,69,69,12,32,1,13,2194207,1,4
0,1535813,15,15,1,43,0,7,1533903,0,3
1,12991286,46,46,1,30,1,19,12990102,0,3
0,20186152,161,161,12,19,0,12,20185019,0,4
0,14784791,128,128,12,38,0,11,14783577,1,4
0,23555821,180,180,12,19,0,5,23554982,1,4
0,17302256,148,148,12,31,0,12,17300595,0,4
0,17931183,151,151,12,20,0,5,17930112,0,4
0,8501731,102,102,12,20,0,11,8500823,1,4
1,7252507,28,28,1,15,1,19,7251456,0,3
0,14313028,125,125,12,37,0,8,14311819,0,4
1,22703905,177,177,12,21,1,13,22702368,1,4
0,690524,0,0,0,18,0,3,690027,1,0
0,10473550,42,42,1,2,0,23,10471814,1,3
0,13564907,119,119,12,20,0,11,13563621,0,4
0,9395484,103,103,12,19,0,11,9394522,1,4
1,13800591,120,120,12,28,1,17,13799374,1,4
0,5535594,82,82,12,38,0,8,5533789,1,4
0,4961093,78,78,12,20,0,11,4960051,0,4
0,6835055,93,93,12,20,0,8,6834118,1,4
0,2148612,68,68,12,19,0,11,2147431,0,4
0,19933346,160,160,12,39,0,12,19929547,0,4
0,740910,58,58,12,38,0,11,739147,1,4
0,21500635,170,170,12,38,0,12,21499448,1,4
0,21207146,167,167,12,19,0,5,21206232,0,4
1,7436601,97,97,12,29,1,13,7431780,0,4
0,24417944,185,185,12,38,0,5,24416316,1,4
0,990467,14,14,1,13,0,23,986793,1,3
0,17430624,149,149,12,36,0,12,17429500,1,4
0,157156,55,55,12,19,0,11,156131,1,4
1,5654798,85,85,12,21,1,17,5652840,1,4
0,1988897,13,13,8,20,0,14,1987326,0,2
0,3723203,73,73,12,23,0,8,3721833,1,4
0,16629275,142,142,12,19,0,12,16628019,1,4
0,5418484,81,81,12,33,0,11,5417666,1,4
