Gender,Biography,DeutscheBiographieGndId,Nationality,GndId,BirthDate,ViafId,FirstName,DeathDate,FullName,GoogleKnowledgeGraphId,Languages,Profession,Surname
1,31,23,4,116182679.0,94,45048000.0,89,93,164,92,0,27,36
1,17,5,4,101720173.0,135,2841285.0,43,144,84,39,0,18,29
1,85,106,8,,25,,35,20,68,115,3,37,48
1,80,40,4,118053116.0,65,27858499.0,18,68,33,57,0,60,48
1,55,106,4,,107,,77,120,143,102,0,51,48
1,102,55,7,122704754.0,59,62436431.0,55,65,99,41,3,51,16
1,76,66,4,128684704.0,26,15829021.0,12,27,21,87,0,58,48
1,90,106,8,,61,,74,71,129,94,4,51,48
1,98,62,7,124240976.0,19,74780105.0,67,21,128,35,3,51,48
1,58,53,4,122434285.0,37,895339.0,18,40,30,98,0,51,11
1,5,98,7,139155678.0,0,100457207.0,88,0,158,115,3,8,48
0,2,106,8,,68,,74,79,94,115,3,3,48
1,82,106,7,140788670.0,151,107775463.0,66,159,127,115,3,48,48
1,36,76,4,130382167.0,148,25710167.0,40,146,77,115,0,34,37
1,37,106,4,,78,,34,86,65,99,0,37,48
1,82,69,7,129370150.0,34,2.2414500332026128e+20,5,35,11,115,3,45,48
0,82,106,7,,112,,6,103,13,115,3,3,31
1,76,106,4,120034999.0,14,35277167.0,54,12,98,18,0,58,33
1,39,84,5,135737982.0,2,50449727.0,74,3,44,115,0,1,9
1,20,4,4,,30,207815659.0,17,31,124,37,0,20,48
1,13,79,4,131880292.0,126,303832978.0,76,132,138,86,0,14,15
1,19,30,6,116887249.0,96,57378114.0,56,106,113,4,3,19,48
1,23,106,3,,140,,3,122,7,115,3,39,14
1,82,2,7,100542697.0,49,270402495.0,20,165,38,1,3,43,48
0,45,51,4,122313666.0,133,57491990.0,73,145,135,34,0,44,48
1,24,11,4,104046848.0,51,29810792.0,0,56,3,100,0,47,5
1,53,106,4,1055517650.0,97,76702769.0,31,87,57,95,0,50,50
1,55,88,4,137425287.0,9,81618495.0,74,10,150,42,0,51,48
1,64,81,4,133622827.0,141,33193150.0,80,131,148,5,0,51,48
0,105,106,9,,35,6.749154741657653e+21,74,38,0,115,4,3,43
1,21,63,5,124614175.0,28,61735835.0,55,25,110,115,0,20,67
1,82,37,7,117492736.0,106,37694999.0,30,101,54,115,0,20,63
1,82,106,7,,45,,29,44,52,115,3,37,48
1,69,60,4,123492815.0,137,30446584.0,34,142,63,107,0,51,48
1,82,21,4,116031131.0,114,49966072.0,47,119,137,115,0,47,1
1,41,42,4,118701673.0,146,54942912.0,41,156,78,51,0,40,27
1,25,106,4,104285613.0,70,17657852.0,22,81,43,54,0,29,56
0,88,106,8,,29,76294770.0,86,22,156,115,4,54,62
1,29,54,4,122440110.0,44,55029512.0,19,51,37,21,0,26,48
1,55,106,4,1233360639.0,127,4.3041621180060014e+21,81,129,149,38,0,51,49
1,6,89,7,137499981.0,4,81682492.0,13,4,22,115,3,8,48
1,1,106,7,1201377439.0,84,5.00315764328344e+21,89,96,160,9,3,35,6
1,42,102,4,,147,160946940.0,41,150,80,2,0,44,48
1,18,77,4,131421018.0,111,25736102.0,89,114,162,16,0,10,26
1,74,0,4,100146333.0,75,52031122.0,19,82,36,23,0,57,48
0,72,106,3,1186419490.0,134,2.3031558329409332e+21,69,141,122,115,3,56,23
1,22,82,4,134777603.0,156,263778715.0,23,154,45,65,0,42,48
1,82,100,7,141979070.0,40,156699703.0,72,53,134,60,3,21,47
1,85,106,8,,63,39363692.0,1,62,4,115,3,37,40
0,81,36,4,117390933.0,115,37692570.0,21,121,41,77,0,60,77
1,43,106,4,1078747075.0,85,2.0144782934638207e+19,55,91,111,105,0,44,48
1,7,27,4,116585544.0,117,59839236.0,4,115,8,67,0,4,48
1,63,106,4,1207394637.0,132,6.645158631010623e+21,61,139,119,64,0,51,48
0,61,72,4,,124,3567471.0,27,126,50,115,0,51,32
1,40,33,4,117032352.0,116,37682774.0,2,116,5,78,0,36,34
1,82,18,7,1115828606.0,53,5.183147665826861e+21,60,55,117,115,3,33,48
1,82,106,7,121189740.0,98,50076035.0,58,97,115,115,3,47,48
1,82,78,7,131762176.0,21,8528597.0,56,33,112,115,3,50,48
0,46,49,4,120950502.0,138,18066429.0,24,148,46,20,0,44,48
1,16,106,4,,154,,39,163,75,83,0,17,69
1,82,106,8,,52,79010622.0,18,52,31,80,3,60,74
1,30,28,2,116633352.0,100,67221851.0,76,104,139,74,0,26,21
1,96,14,7,1044307722.0,6,305352630.0,74,6,152,97,3,51,61
1,94,52,7,122339428.0,24,27951311.0,56,26,109,29,3,50,48
1,73,106,4,,125,,41,135,82,114,0,51,53
0,82,104,7,143780662.0,22,169884080.0,6,24,12,115,3,3,48
1,82,24,7,116429070.0,101,62299805.0,3,105,6,115,3,3,48
1,11,46,4,119282739.0,77,77122232.0,61,85,121,115,0,60,39
1,34,65,4,124813518.0,20,19659835.0,5,23,10,115,0,31,28
1,24,92,4,138016488.0,66,86170342.0,0,75,1,90,0,47,48
1,9,75,4,130146420.0,105,45401203.0,30,110,56,82,0,6,72
0,82,13,7,1042539057.0,90,305265698.0,45,76,86,115,3,12,48
1,8,38,4,,113,57397534.0,89,118,161,113,0,2,48
1,4,90,7,,1,81682854.0,88,2,159,115,3,8,48
1,82,106,7,130241105.0,155,15871827.0,70,160,131,115,0,61,48
1,70,106,4,,131,,34,136,67,11,0,0,48
1,82,25,7,116429836.0,108,119453073.0,84,109,154,115,3,47,48
1,26,26,4,116542780.0,104,27825092.0,4,108,9,73,0,22,25
1,91,106,8,,58,,52,60,92,7,3,56,48
1,82,10,7,1033699373.0,129,299840629.0,40,128,76,115,3,60,48
1,59,87,4,137172214.0,87,81400334.0,61,95,29,61,0,51,20
1,49,45,4,119279746.0,136,32803113.0,28,152,51,93,0,44,48
1,74,86,4,136279228.0,15,80651304.0,62,16,123,12,0,57,48
1,0,56,4,122725522.0,80,193916444.0,25,70,47,19,0,45,48
1,87,106,9,,36,1.1691547416313532e+21,78,39,145,115,3,3,43
0,3,106,8,,46,,71,47,132,115,4,3,66
1,82,8,7,1027414494.0,83,273072266.0,34,80,66,115,3,58,48
1,28,106,4,1055594884.0,91,32395848.0,61,88,56,104,0,25,72
1,20,70,4,129485373.0,31,100864958.0,55,36,108,115,0,20,55
1,97,85,7,136070884.0,11,80477533.0,54,14,97,40,3,51,48
1,84,61,8,,50,939664.0,11,58,20,115,3,37,42
1,71,106,4,1157650481.0,128,311295226.0,30,127,55,53,0,3,48
1,52,106,7,,118,,31,125,58,115,3,49,48
1,82,106,0,,161,,52,1,93,115,3,52,52
1,47,59,4,123377226.0,145,30443503.0,85,147,155,101,0,44,8
1,78,67,4,128942568.0,38,69994896.0,18,41,34,30,0,58,48
1,82,106,8,,74,,16,64,27,115,4,37,51
1,82,105,7,143926551.0,161,170327457.0,37,32,71,115,3,3,48
1,38,41,6,,79,22934401.0,31,72,59,115,0,36,76
1,72,106,4,1125040564.0,48,6.75148705693937e+20,26,48,49,43,0,56,35
1,82,106,0,,42,,53,45,95,3,3,36,24
1,92,106,1,,142,,87,140,157,109,0,13,65
1,82,50,7,122240626.0,56,311296335.0,48,57,88,0,3,53,48
1,11,48,4,,157,263304359.0,60,155,118,55,0,60,48
1,35,34,4,117034290.0,88,27837969.0,55,102,106,44,1,32,48
1,14,15,4,1065342179.0,123,313435135.0,75,137,136,46,0,15,48
1,76,95,4,138533210.0,10,90815896.0,50,10,90,91,0,58,48
1,82,91,7,137911270.0,10,86078313.0,41,9,81,13,3,28,46
1,15,106,4,125914369.0,130,52666433.0,78,134,146,103,0,16,48
1,82,106,8,,62,1.01162664392355e+20,74,67,26,115,3,36,48
1,60,80,3,133566544.0,119,20877530.0,10,124,18,63,0,51,18
1,82,16,7,1109764685.0,23,1.0014709508312508e+20,72,29,133,115,3,33,7
1,82,106,7,,72,,34,73,64,22,3,37,48
1,75,106,4,,143,,61,123,120,48,0,57,38
1,101,73,7,129978175.0,57,65101243.0,0,63,2,106,1,28,48
1,32,106,4,,92,,55,92,101,25,0,27,48
1,82,106,7,,103,,74,113,74,8,3,36,48
1,99,106,7,128910119.0,39,18288452.0,59,46,116,27,3,51,48
