Gene_Type,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Orthologous_Gene,Genomic_Start_Position,Strand_Orientation
0,13944,63,63,5,0,11467,1
0,43791,72,72,6,79,40663,1
1,100486,55,55,2,47,98009,0
0,1126783,132,132,5,13,1124243,1
0,4790,125,125,6,20,1644,1
0,304,129,129,7,82,2,0
0,30678,115,115,7,43,29548,1
0,642289,108,108,6,50,639173,0
0,40231,111,111,7,15,38468,1
0,704,15,15,3,16,18,1
1,701522,70,70,2,35,698580,0
0,33620,87,87,6,69,30504,1
1,673825,84,84,2,74,670661,0
1,782421,64,64,2,74,781378,0
0,100844,35,35,7,72,99663,0
1,506465,73,73,2,42,504186,1
0,559272,83,83,6,55,556483,0
0,4270,38,38,5,85,1799,1
1,673601,76,76,2,81,670680,0
0,429068,85,85,6,86,425925,0
0,484,140,140,8,61,2,1
1,7065,69,69,2,75,6076,1
0,506906,101,101,0,88,503742,0
1,28960,2,2,2,87,27503,1
1,1651,95,95,2,14,830,1
0,302755,61,61,8,44,301802,0
0,1330,12,12,8,66,2,0
1,492209,24,24,2,83,489726,0
0,704396,17,17,8,47,703461,0
1,7840,68,68,2,8,6842,1
0,24175,39,39,6,18,21059,1
1,1482,107,107,2,45,1,0
1,3560,33,33,2,5,861,0
0,40333,120,120,6,23,37199,1
0,6322,46,46,6,18,3197,1
1,694715,135,135,2,35,691713,0
1,201983,147,147,2,52,197949,0
1,232598,155,155,2,32,230508,0
0,52289,86,86,6,9,48939,1
1,796646,62,62,2,10,794730,0
1,762911,104,104,2,35,760413,0
1,1815,94,94,2,53,1,0
0,11460,144,144,7,72,9091,1
1,767496,96,96,2,10,766105,0
1,341160,156,156,2,87,338881,1
0,135805,157,157,6,29,132644,0
0,326955,34,34,6,10,323962,0
1,2735,80,80,2,61,246,1
1,4884,52,52,2,73,1753,1
0,562767,60,60,6,58,559651,0
0,720169,30,30,6,51,717008,0
0,11360,92,92,6,45,8184,1
0,1011,8,8,8,39,1,0
0,7732,66,66,6,38,4595,0
0,696,116,116,7,81,1,0
1,552643,118,118,2,29,550361,1
0,225838,93,93,6,34,222980,0
0,5115,57,57,5,38,2545,1
0,296392,26,26,6,52,293633,0
1,36371,142,142,2,59,34218,1
0,220362,117,117,5,10,217744,0
1,532553,154,154,2,6,531252,0
0,772874,150,150,6,82,769737,0
1,638513,74,74,2,43,636579,0
1,685611,71,71,2,31,683131,0
1,40751,43,43,2,67,38379,1
0,5438,139,139,7,72,3198,1
0,8449,123,123,6,76,5315,1
0,37772,136,136,6,62,34755,1
1,11809,40,40,2,78,9641,0
1,8362,134,134,2,90,5834,0
0,96112,114,114,6,13,92984,1
1,6579,67,67,2,8,5257,1
1,16287,37,37,2,12,13156,1
1,371763,4,4,9,40,371065,1
0,3141,91,91,7,33,982,1
1,5564,41,41,2,36,2433,1
0,567659,27,27,1,18,567123,0
0,634208,32,32,8,2,633441,0
0,34862,89,89,1,7,34431,1
1,742903,102,102,2,77,741965,0
1,11203,45,45,2,58,8075,1
1,12199,145,145,2,37,10430,0
1,631461,75,75,2,43,630235,0
0,2165,137,137,7,22,1,1
1,676357,31,31,2,94,675068,0
0,46094,77,77,5,62,43491,1
1,301337,23,23,2,4,298548,1
0,48145,3,3,4,21,47690,1
0,11508,109,109,5,48,8902,1
0,1015710,36,36,6,49,1014604,0
