Profession,ProfileImage,CycleBaseCyclistId,CqRankingMaleCyclistId,CommonsCategory,InstagramHandle,SocialMediaFollowers,ProCyclingStatsCyclistId,CyclistName,Nationality,TwitterHandle,TeamAffiliation,Birthplace,UciRiderId,WeightKg,Birthdate,FirstName,CyclingArchivesCyclistId,FirstCyclingRiderId,HeightCm,FreebaseId,CyclingDiscipline
1,12,,19953.0,7,8,9081.0,137740.0,7,6,13,0,21,81980.0,76.0,21,5,77405.0,14737.0,189.0,4,3
1,21,69190.0,25740.0,17,16,,196424.0,17,4,27,27,16,112082.0,,37,15,115868.0,38195.0,175.0,30,3
1,14,69983.0,27153.0,9,10,,208878.0,9,6,20,8,31,98323.0,,40,7,126230.0,51244.0,180.0,30,3
1,3,16289.0,5.0,2,4,470645.0,140924.0,2,14,30,17,29,14575.0,61.0,1,1,7005.0,38.0,177.0,16,3
1,2,46381.0,18610.0,19,2,77168.0,137427.0,19,6,28,26,40,71557.0,62.0,19,17,63999.0,12474.0,173.0,0,1
1,11,22663.0,5789.0,6,9,1529344.0,140869.0,6,9,31,16,30,43936.0,69.0,5,6,22017.0,713.0,186.0,15,3
1,18,65688.0,24926.0,12,13,465450.0,198937.0,12,3,6,12,45,95844.0,60.0,38,10,100412.0,58275.0,175.0,30,3
1,18,65688.0,24926.0,12,13,465450.0,198937.0,12,3,6,12,45,95844.0,60.0,38,10,100412.0,58275.0,175.0,30,3
1,23,60237.0,21439.0,21,19,16255.0,137850.0,21,6,14,33,1,88951.0,69.0,20,19,92418.0,22268.0,184.0,30,1
1,26,55710.0,21145.0,26,22,20655.0,132339.0,26,13,37,34,20,86863.0,70.0,29,23,71405.0,16687.0,185.0,17,3
1,40,92920.0,31654.0,18,17,20671.0,240140.0,18,14,33,30,5,415141.0,,46,16,140379.0,114659.0,183.0,30,3
1,41,39842.0,12843.0,34,25,1311517.0,140292.0,34,3,19,4,42,67388.0,58.0,11,29,57418.0,2276.0,166.0,23,3
1,24,58428.0,21992.0,22,29,23650.0,168776.0,22,10,15,25,43,86895.0,,34,20,77835.0,16793.0,179.0,9,3
1,35,56041.0,20719.0,39,31,127549.0,174582.0,39,13,41,31,41,88889.0,65.0,10,35,72449.0,18655.0,177.0,28,4
1,5,69634.0,26526.0,43,36,5000.0,194619.0,43,13,24,21,19,149727.0,66.0,42,39,115790.0,45992.0,176.0,30,3
0,27,48143.0,21971.0,27,21,205449.0,168754.0,27,11,36,1,17,79462.0,,30,24,64280.0,16672.0,184.0,29,1
1,19,16313.0,3333.0,14,14,134950.0,140752.0,14,1,10,5,25,44513.0,74.0,4,12,18746.0,150.0,181.0,12,3
1,8,62259.0,24110.0,3,5,1447.0,181212.0,3,6,1,7,2,250807.0,,35,2,94988.0,27301.0,184.0,30,3
1,16,44733.0,16677.0,46,0,213342.0,140118.0,46,11,44,28,27,73892.0,69.0,16,42,64982.0,2324.0,185.0,24,0
1,6,52038.0,20697.0,0,3,9866.0,156131.0,0,8,0,10,37,86630.0,68.0,23,0,68186.0,20584.0,180.0,1,3
1,4,,31598.0,23,20,,240123.0,23,17,20,14,35,361433.0,,45,21,148738.0,102733.0,183.0,30,3
1,15,68529.0,24255.0,10,12,29548.0,181748.0,10,6,4,6,22,112351.0,53.0,36,8,105237.0,37378.0,173.0,30,3
