EntityType,GenomicEndPosition,GeneId,GeneDbId,EncodedProtein,GeneType,ChromosomeId,GenomicStartPosition,StrandOrientation
0,950785,133,133,2,0,29,948302,1
0,34218,62,62,2,0,60,31414,0
1,2065088,102,102,1,1,29,2062416,0
0,15093,157,157,3,0,19,12226,0
0,1251196,181,181,2,0,28,1248512,0
0,352788,249,249,2,0,18,350182,1
0,565683,140,140,2,0,6,563344,1
0,10603,7,7,3,0,38,7772,1
0,212927,0,0,5,0,13,211077,1
0,1200167,193,193,2,0,23,1197396,0
0,652210,97,97,2,0,8,649424,0
0,10893,93,93,2,0,31,8359,1
0,4709,32,32,2,0,55,2067,1
0,119436,255,255,2,0,2,116878,0
0,14331,230,230,2,0,86,11776,1
1,1633076,186,186,1,1,29,1630521,0
0,7054,123,123,2,0,68,4541,0
0,456596,17,17,2,0,5,453903,1
0,3590,211,211,2,0,80,942,1
0,1816759,189,189,2,0,30,1814429,0
0,2010450,110,110,2,0,30,2008033,1
0,529696,176,176,2,0,1,526820,1
0,272153,67,67,2,0,23,269451,0
0,423886,68,68,2,0,6,421607,1
1,408724,139,139,1,1,33,406415,1
0,1189938,225,225,2,0,24,1187140,0
0,25731,10,10,3,0,39,22858,0
0,35248,53,53,2,0,59,32438,0
0,2099,3,3,5,0,35,3,1
0,867065,116,116,2,0,23,864531,0
0,460231,148,148,2,0,13,457457,1
1,2113696,54,54,1,1,29,2111357,0
0,783613,79,79,2,0,23,780839,0
0,35322,191,191,2,0,75,32611,1
0,506933,20,20,3,0,23,504105,0
0,41459,219,219,3,0,84,38613,1
0,584285,175,175,0,0,1,581721,0
0,404953,161,161,2,0,15,402317,0
0,16042,112,112,3,0,65,13142,0
1,574686,147,147,1,1,13,571897,1
0,596823,96,96,2,0,8,594229,1
1,71558,154,154,1,1,3,69066,0
0,1102343,226,226,2,0,24,1099539,0
0,556640,252,252,2,0,7,553878,0
0,22835,146,146,2,0,72,20457,0
0,65602,26,26,2,0,52,62846,0
0,321121,171,171,2,0,30,318503,0
0,3099,87,87,2,0,63,313,1
0,2201057,56,56,2,0,30,2198634,1
0,1865809,106,106,2,0,29,1862957,0
0,2060220,183,183,2,0,29,2057611,1
0,8030,144,144,2,0,72,5538,1
0,54570,29,29,3,0,42,51787,1
0,12466,229,229,2,0,85,9926,1
0,1650945,13,13,2,0,29,1648582,1
0,1181628,224,224,2,0,24,1179322,0
0,580806,95,95,5,0,8,578836,1
0,565358,85,85,2,0,30,563163,1
0,880730,134,134,2,0,29,877992,1
0,7331,94,94,3,0,46,4482,1
0,156435,35,35,3,0,19,153649,1
0,249052,74,74,2,0,9,246272,1
0,344245,15,15,2,0,0,341906,1
0,194602,248,248,3,0,9,191840,1
0,536061,256,256,2,0,15,533287,0
0,1828534,108,108,2,0,29,1825916,0
0,450835,69,69,2,0,6,448496,1
0,14547,22,22,2,0,50,12235,0
0,417885,137,137,2,0,16,415123,0
0,237391,73,73,2,0,9,234584,1
0,7271,24,24,2,0,51,4884,0
0,3982,2,2,2,0,34,1541,0
0,21057,155,155,2,0,3,18763,1
0,388287,239,239,2,0,16,385492,0
0,11601,42,42,2,0,57,9187,0
0,185153,25,25,2,0,26,182502,0
0,110238,228,228,3,0,85,107374,0
0,768058,78,78,2,0,23,765323,0
0,8573,215,215,2,0,82,6039,1
0,7513,4,4,2,0,36,4757,1
0,191757,115,115,2,0,10,188965,1
0,205713,246,246,2,0,9,202903,1
0,1409461,100,100,3,0,28,1406588,1
0,775880,131,131,2,0,29,773208,1
0,12861,240,240,2,0,87,10087,1
0,735391,129,129,2,0,29,733043,0
0,1731005,190,190,3,0,27,1728183,0
0,171302,231,231,4,0,12,169443,0
0,187696,247,247,2,0,9,185057,1
0,2180588,55,55,2,0,30,2178147,1
0,17047,39,39,2,0,43,14579,1
0,222070,178,178,2,0,5,219359,0
0,1169591,223,223,3,0,24,1166769,0
1,2776,51,51,1,1,59,113,1
0,935144,132,132,2,0,29,932427,1
0,8596,126,126,2,0,70,5819,0
0,24923,64,64,2,0,45,22032,0
1,42017,199,199,1,1,79,39222,0
1,1150558,192,192,1,1,23,1147775,1
0,665447,76,76,3,0,23,662586,1
1,276688,210,210,1,1,24,274223,0
1,396615,250,250,1,1,18,394090,1
0,381075,237,237,2,0,16,378301,0
0,2102129,103,103,2,0,29,2099463,1
1,255561,19,19,1,1,23,253126,0
0,22052,241,241,2,0,88,19278,1
0,198843,128,128,2,0,5,196225,0
0,763632,130,130,2,0,29,761305,0
0,421319,160,160,2,0,15,418704,0
0,167573,38,38,3,0,19,164778,1
0,11536,34,34,2,0,56,9554,1
1,597333,1,1,1,1,18,595705,1
