GnsUniqueFeatureId,LocatorMapImage,ElevationMeters,Latitude,CommonsCategory,GeoNamesId,FlagImage,Longitude,FreebaseId,INaturalistPlaceId
-931337.0,31,2530.0,0.23333333,47,3653692.0,48,-78.26666667,109,29857.0
-933624.0,30,970.0,-3.27417,71,3651417.0,13,-79.3156,57,29768.0
-930167.0,30,80.0,-2.4277777778000003,46,3654853.0,57,-79.3388888889,29,
-930352.0,30,650.0,-2.62605,46,3654668.0,69,-78.19861,104,
-924652.0,2,1973.0,-1.39638889,4,3660343.0,46,-78.42472222,60,29935.0
-925150.0,4,2342.0,-2.5333333333,12,3659849.0,6,-79.0,15,12977.0
-930428.0,24,30.0,-1.3,40,3654592.0,25,-79.5,20,10522.0
-926818.0,11,272.0,-3.4833333333,22,3658195.0,8,-79.8166666667,12,10502.0
-934089.0,48,1822.0,0.45920001,46,3650954.0,38,-77.52300001,97,29933.0
-925488.0,30,2894.0,-1.35,46,3659516.0,69,-78.61666667,50,
-925769.0,6,3642.0,-1.9833333333,15,3659237.0,7,-78.7166666667,17,12980.0
-932092.0,35,42.0,-1.05618056,56,3652940.0,61,-80.45521667,59,29897.0
-932710.0,14,,1.0602,46,3652325.0,69,-79.4044,75,
-925938.0,9,2548.0,-2.28333333,16,3659071.0,9,-78.91666667,98,29792.0
-930889.0,30,3264.0,-1.41666667,46,3654135.0,69,-78.66666667,43,
-925284.0,5,3790.0,0.75,9,3659718.0,5,-78.0833333333,16,12978.0
-929747.0,22,,0.0023,36,3655272.0,69,-79.3846,56,
-926231.0,7,2099.0,0.3,18,3658780.0,22,-78.26666667,42,29854.0
-931507.0,30,880.0,-1.7000000000000002,48,3653522.0,69,-77.94,79,29907.0
-925150.0,4,2342.0,-2.5333333333,12,3659849.0,6,-79.0,15,12977.0
-933334.0,30,,-3.0923,46,3651705.0,69,-78.5132,89,29908.0
-927438.0,30,2893.0,-2.71308,46,3657576.0,69,-78.84762,109,
-927506.0,27,9.0,-2.1833333333,46,3657508.0,24,-79.8833333333,41,49266.0
-932468.0,38,74.0,-1.03333333,61,3652566.0,31,-79.45,71,29881.0
-927345.0,17,2233.0,-2.9,28,3657669.0,0,-78.7833333333,9,29762.0
-925048.0,9,3403.0,-1.7000000000000002,17,3659949.0,60,-78.75,62,29793.0
-933556.0,30,126.0,-1.2069,68,3651484.0,34,-80.3709,90,29900.0
-931736.0,30,56.0,-1.8166666667,46,3653295.0,59,-80.2333333333,37,
-924194.0,0,2285.0,-2.2,0,3660797.0,69,-78.85,47,29790.0
-927046.0,30,1998.0,-4.58305556,27,3657967.0,69,-79.42694444,8,29864.0
-933400.0,30,2444.0,-1.7083333333,66,3651639.0,33,-79.0419444444,46,
-931637.0,33,,-1.7000000000000002,51,3653392.0,14,-76.9,23,8161.0
-927354.0,30,850.0,-3.4015361111,29,3657660.0,69,-78.5813055556,95,29904.0
-924436.0,30,43.0,-3.55,46,3660558.0,41,-80.06,92,29807.0
-931807.0,34,,-0.25,54,3653224.0,15,-78.5833333333,24,
-924563.0,1,2500.0,-2.9833333333,3,3660431.0,3,-79.1666666667,10,12975.0
-935094.0,51,1734.0,-4.1666666667,86,3649953.0,20,-78.8833333333,27,10504.0
-927444.0,19,2591.0,-1.60555556,46,3657570.0,51,-79.00305556,102,29775.0
-927421.0,18,2767.0,-1.58333333,31,3657593.0,69,-78.63333333,94,29796.0
-935133.0,30,1200.0,-3.6833333333,87,3649914.0,39,-79.6,39,
-925460.0,30,2003.0,-4.1027777778,46,3659544.0,69,-79.9566666667,7,
-932090.0,30,650.0,-3.72,55,3652942.0,28,-79.62,58,29818.0
-931756.0,9,,-1.5573,53,3653275.0,69,-78.53960000000001,66,29798.0
-927510.0,20,15.0,-1.9,33,3657505.0,24,-79.8,1,12991.0
-930355.0,23,,-4.0333333333,39,3654665.0,11,-79.7333333333,19,8217.0
-932462.0,37,2799.0,-1.3793,60,3652572.0,25,-78.607,84,29939.0
-924866.0,3,2507.0,-1.6166666667,6,3660130.0,4,-79.1166666667,14,12976.0
