National_Library_Of_Israel_J9u_Id,Nl_Cr_Aut_Id,Commons_Category,K_Bpedia_Id,Quora_Topic_Id,Encyclopdia_Britannica_Online_Id,Bncf_Thesaurus_Id,Main_Category,Freebase_Id,Gnd_Id,Library_Of_Congress_Authority_Id,Yso_Id
9.870075460131052e+17,24,211,172,198,77,4964.0,210,178,103,202,900.0
9.870124393765052e+17,1,57,39,51,0,5765.0,57,7,22,74,1148.0
9.870075311968051e+17,140,131,102,126,182,57416.0,130,244,57,135,9451.0
9.870075679583052e+17,231,97,154,92,174,67087.0,97,136,204,109,
9.870075861823052e+17,40,157,124,151,0,,157,1,248,12,
9.870075359414052e+17,16,83,66,78,129,1779.0,83,90,27,100,
9.870075388002052e+17,72,284,229,265,233,834.0,289,207,174,259,18878.0
9.870075679831052e+17,151,101,51,59,0,,64,159,269,81,4111.0
9.870075413036051e+17,224,191,154,268,0,,300,295,269,261,
9.870072939251052e+17,0,182,53,175,195,36575.0,182,26,243,20,11650.0
9.870075482036051e+17,62,139,111,134,185,5607.0,138,295,62,139,
9.870075318703052e+17,116,273,154,257,30,782.0,278,134,137,251,2625.0
9.870075433814052e+17,259,237,154,222,0,,238,125,269,0,24509.0
9.870075587319052e+17,0,2,1,2,120,4397.0,2,291,258,288,
9.870075458483052e+17,234,191,154,183,0,,300,295,47,129,
9.870072940553052e+17,110,11,105,11,37,865.0,11,46,181,24,1205.0
9.870075585730052e+17,84,133,104,128,183,9017.0,132,227,58,266,9239.0
9.870072948022052e+17,71,18,16,18,33,2032.0,277,276,269,32,2851.0
9.870075627406052e+17,135,1,0,1,1,11266.0,1,290,26,91,1281.0
9.870075461944051e+17,74,288,232,271,118,4896.0,293,206,145,263,5139.0
9.870072937730052e+17,32,150,120,146,147,19840.0,151,147,68,54,5589.0
9.870075366124051e+17,237,267,218,252,0,1981.0,271,295,133,271,
9.870075581797052e+17,0,141,154,136,135,21780.0,140,237,31,141,866.0
9.870075486631052e+17,106,235,192,220,219,75607.0,236,196,80,222,9087.0
9.870075410401052e+17,204,165,129,159,137,,164,30,125,159,1390.0
9.870075389105052e+17,252,285,230,266,32,5980.0,290,208,239,260,11955.0
9.870075434885052e+17,0,215,154,202,0,,214,101,240,116,
9.870075482065052e+17,185,138,110,133,134,54048.0,137,33,61,138,6685.0
9.870075369335052e+17,101,189,15,17,156,,20,226,197,280,6145.0
9.870072928961052e+17,93,6,5,6,152,12122.0,6,269,196,19,17440.0
9.870075339877052e+17,247,175,140,169,140,36447.0,175,287,164,169,
9.870075507636051e+17,128,191,154,104,0,,300,295,261,0,
9.870075411189052e+17,0,257,208,240,111,,260,238,226,185,9086.0
9.870075514053052e+17,148,151,121,147,0,3740.0,152,144,189,286,22084.0
9.870075364187052e+17,254,258,209,241,0,,261,43,210,235,
9.870072957097052e+17,103,28,33,27,89,16846.0,30,283,11,42,1121.0
9.870075627977052e+17,131,111,89,107,179,29255.0,112,115,41,121,18055.0
9.870075347278052e+17,265,155,154,153,0,,159,20,259,292,
9.870075582157052e+17,248,217,176,204,211,18211.0,216,179,108,207,19045.0
9.870075531304051e+17,120,91,74,183,172,9357.0,91,79,220,140,8714.0
9.870075535636051e+17,195,250,204,233,82,6645.0,252,284,173,230,1353.0
9.870075313560051e+17,15,79,63,74,169,4832.0,79,85,147,95,2849.0
9.870075632648051e+17,57,219,154,205,213,34484.0,219,187,168,208,8773.0
9.870075628998052e+17,229,185,150,179,198,7094.0,187,173,95,182,2050.0
9.870072940261052e+17,0,13,154,183,0,,300,295,59,27,17799.0
9.870075558850052e+17,86,172,137,166,192,2600.0,172,158,88,166,3160.0
9.870072957659052e+17,174,197,160,188,0,17544.0,197,133,232,37,11898.0
9.870075316487052e+17,50,227,154,212,217,2204.0,227,295,198,216,7289.0
9.870075417297052e+17,166,229,186,214,105,27197.0,229,27,200,281,18297.0
9.870072838251052e+17,9,38,30,35,43,5626.0,39,35,18,53,4655.0
9.870075388548051e+17,0,292,134,275,143,4642.0,297,223,180,225,2049.0
9.870075374193052e+17,263,72,80,93,14,,99,97,264,0,
9.870072949691052e+17,70,21,18,21,122,7253.0,24,285,77,36,2616.0
9.870075313474052e+17,0,82,65,77,0,,82,77,186,98,
9.870075633058052e+17,113,191,154,68,0,3722.0,72,295,269,269,11378.0
9.870075529265052e+17,0,191,154,44,0,70260.0,300,295,218,79,16775.0
9.870072846105052e+17,105,31,25,183,90,,33,42,217,45,11800.0
9.870075362937052e+17,0,259,210,242,29,25790.0,262,279,201,236,
9.870075361637052e+17,197,147,117,143,187,9631.0,148,263,235,148,1500.0
9.870072846233052e+17,155,32,57,64,158,16788.0,68,14,14,46,10256.0
9.870075360456051e+17,189,106,85,100,132,5258.0,106,224,222,114,1686.0
9.870075554187052e+17,240,166,130,160,0,67921.0,165,253,149,80,
9.870075627385052e+17,152,76,61,71,11,1062.0,76,81,195,93,22465.0
9.870075335184051e+17,42,161,177,155,189,8311.0,161,248,84,82,3536.0
9.870075510223052e+17,180,214,50,201,210,12450.0,213,233,107,241,7885.0
9.870075490810052e+17,183,61,154,55,166,1576.0,61,59,63,277,21029.0
9.870075433423052e+17,0,86,70,82,130,4398.0,86,89,206,103,
9.870075510243052e+17,12,261,212,246,224,836.0,265,239,21,240,846.0
9.870072955893052e+17,4,12,9,12,38,6001.0,12,267,4,25,1560.0
9.870075304013052e+17,227,52,154,183,194,,51,110,91,8,
9.870075412874052e+17,20,205,168,194,205,7624.0,205,64,101,196,5772.0
9.870072948303052e+17,98,15,12,14,39,1064.0,15,268,6,28,1265.0
9.870075530579052e+17,150,62,147,56,7,13677.0,62,52,250,77,11185.0
9.870075487745052e+17,211,281,227,262,116,4902.0,286,217,190,255,17107.0
9.870075313421052e+17,182,100,82,96,93,3373.0,101,107,55,112,16171.0
9.870075463330052e+17,0,234,191,219,0,,235,191,118,274,
9.870072839370052e+17,35,56,45,49,46,21550.0,55,5,72,72,2636.0
9.870075412678052e+17,126,206,169,195,76,6960.0,206,181,234,197,14601.0
9.870075565904051e+17,239,246,200,229,0,36437.0,248,76,183,289,
9.870075486375052e+17,43,247,201,230,108,3802.0,249,201,172,227,11094.0
9.870075463331052e+17,0,233,190,218,0,,234,193,266,273,
9.870075511400051e+17,0,262,213,247,144,26863.0,266,264,269,242,7268.0
9.870075630514052e+17,143,241,196,138,148,,242,204,0,143,22808.0
9.870072849875052e+17,198,252,154,235,83,16914.0,254,8,154,62,
9.870075630497052e+17,0,143,113,139,0,9883.0,142,3,228,142,
9.870075462542052e+17,228,231,154,216,218,10661.0,232,194,117,220,12077.0
9.870072824381052e+17,104,29,24,28,3,2250.0,31,245,12,43,10218.0
9.870075558499052e+17,178,200,163,190,204,1256.0,200,189,167,192,1503.0
9.870075628365052e+17,115,75,154,70,10,,75,10,191,92,14678.0
9.870075318868051e+17,66,256,207,239,84,5101.0,259,197,128,234,3591.0
9.870075294457052e+17,0,290,184,273,0,,295,225,245,215,
9.870075612031052e+17,0,135,107,130,19,9493.0,134,55,188,294,2738.0
9.870072834777052e+17,0,41,34,183,123,40558.0,41,18,269,56,24008.0
9.870075490678052e+17,153,65,52,60,49,10920.0,65,67,75,276,8842.0
9.870075704356051e+17,279,286,154,267,0,,291,157,269,13,27911.0
9.870075435469052e+17,0,167,154,183,138,9759.0,166,286,64,160,9046.0
9.870072856556051e+17,272,50,154,43,6,9469.0,49,250,158,66,4742.0
9.870075460247052e+17,129,210,171,197,208,1055.0,209,168,104,201,10515.0
9.870075457771052e+17,0,59,47,53,0,45396.0,59,247,242,76,
9.870075336825052e+17,0,105,84,99,131,52317.0,105,127,192,113,
9.870072924092051e+17,216,191,49,57,127,2479.0,300,53,269,0,3673.0
9.870075337366052e+17,29,134,106,129,62,12928.0,133,126,60,136,11881.0
9.870075412650052e+17,22,207,170,196,206,762.0,207,118,102,198,1056.0
9.870075583752051e+17,87,216,175,203,25,3066.0,215,177,269,206,
9.870075633577052e+17,0,266,211,251,85,,270,22,254,246,28725.0
9.870075314855052e+17,161,162,128,156,190,9391.0,162,154,85,158,2775.0
9.870075335134052e+17,107,66,54,61,91,3799.0,300,295,123,83,
9.870075410914052e+17,184,221,178,206,214,3725.0,221,184,111,210,6011.0
9.870075580660051e+17,78,110,88,105,57,13321.0,110,113,269,119,16648.0
9.870072832359052e+17,37,37,154,34,0,,38,222,19,50,
9.870072947941052e+17,165,191,154,183,24,27906.0,23,87,161,35,
9.870075384831052e+17,117,188,153,182,200,,190,174,269,85,13915.0
9.870075482545052e+17,193,46,154,183,0,23888.0,300,254,269,118,
9.870075507924051e+17,262,213,174,200,209,7595.0,212,70,106,205,1377.0
9.870075293868051e+17,277,191,154,183,0,,129,295,269,134,
9.870075360161052e+17,258,191,154,183,212,,218,143,109,125,
9.870075411176051e+17,181,193,156,183,0,12470.0,193,252,40,186,4852.0
9.870075509684051e+17,221,74,60,69,9,1118.0,74,277,25,178,13105.0
9.870075506604051e+17,52,88,72,84,0,,88,152,141,105,13.0
9.870075533592051e+17,175,198,161,189,71,37593.0,198,234,166,190,14124.0
9.870075386916051e+17,60,60,48,54,0,7541.0,60,58,169,209,4887.0
9.870075510357052e+17,65,249,203,232,81,2361.0,251,199,124,229,19035.0
9.870075360828051e+17,85,68,56,63,50,19645.0,67,74,76,84,643.0
9.870075612693052e+17,0,191,154,183,0,,300,295,269,291,
9.870075657183052e+17,208,268,219,253,226,3966.0,272,211,35,247,5759.0
9.870075432131052e+17,119,85,69,81,53,27401.0,85,88,28,102,574.0
9.870072950717052e+17,102,26,23,25,40,19328.0,29,29,9,40,20188.0
9.870075317222052e+17,275,271,154,183,0,,275,132,269,0,6841.0
9.870075342808051e+17,242,218,154,183,104,27544.0,217,185,127,258,4757.0
9.870072849216051e+17,11,48,41,41,45,788.0,47,57,20,64,1801.0
9.870075530937052e+17,44,170,135,164,191,6742.0,170,262,87,164,5878.0
9.870075296900051e+17,92,253,154,236,0,3962.0,256,95,237,232,11435.0
9.870075631473052e+17,179,203,166,192,74,42721.0,203,71,184,194,18320.0
9.870075336476051e+17,217,115,154,111,0,12605.0,116,295,178,0,
9.870124383770052e+17,13,127,154,124,0,,127,2,71,69,
9.870075612743052e+17,141,132,103,127,0,35571.0,131,78,256,290,
9.870075219423052e+17,243,191,154,183,0,,300,295,269,0,
9.870075462892051e+17,88,222,179,207,215,1356.0,222,182,112,211,5870.0
9.870075361625052e+17,31,148,118,144,99,16382.0,149,121,67,149,17159.0
9.870075308662052e+17,2,277,224,183,17,4667.0,282,292,144,11,2842.0
9.870075482957052e+17,125,102,154,176,0,1529.0,102,106,221,175,6996.0
9.870075291256051e+17,219,99,81,95,92,27555.0,100,108,34,111,17522.0
9.870075298571052e+17,30,142,154,137,0,,141,65,269,270,3816.0
9.870072874817052e+17,0,275,167,259,149,,280,212,246,0,
9.870075458557052e+17,255,109,87,103,133,43386.0,109,124,121,117,12356.0
9.870075436372051e+17,276,209,154,278,207,,208,68,244,200,13733.0
9.870075457037052e+17,134,120,98,116,96,862.0,121,119,139,130,963.0
9.870075534760051e+17,176,199,162,183,203,4557.0,199,175,52,191,18553.0
9.870075431991052e+17,127,107,154,183,176,39188.0,107,109,251,115,17883.0
9.870072834685052e+17,147,43,36,38,5,8986.0,43,39,69,58,2737.0
9.870075313653052e+17,14,78,62,73,52,10760.0,78,91,98,295,634.0
9.870075591519052e+17,266,128,154,123,0,,18,102,263,10,
9.870075461756051e+17,63,223,180,208,79,1982.0,223,176,113,212,1632.0
9.870072948251052e+17,100,17,14,16,155,1076.0,19,131,7,31,8025.0
9.870072831008051e+17,123,95,154,90,161,9382.0,95,246,33,51,6296.0
9.870075294210052e+17,201,254,154,237,110,4864.0,257,249,126,233,16903.0
9.870075655323052e+17,171,186,151,180,199,3850.0,188,169,96,183,17305.0
9.870072948608051e+17,3,10,8,9,36,5617.0,9,274,3,22,1523.0
9.870075485397052e+17,249,232,189,217,106,4889.0,233,190,269,221,4157.0
9.870075559270052e+17,203,264,215,249,112,27684.0,268,215,138,244,10688.0
9.870072948380051e+17,244,16,13,15,0,,16,289,17,29,18405.0
9.870072946918052e+17,118,20,17,20,2,,22,54,211,33,19845.0
9.870072939881052e+17,82,0,154,0,150,6939.0,0,231,114,16,
9.870075413394052e+17,0,164,154,158,0,19176.0,163,295,269,238,
9.870075555130052e+17,0,140,112,135,20,,139,98,156,0,8024.0
9.870072950751052e+17,38,25,22,24,0,12478.0,28,32,269,39,
9.870075412952051e+17,73,287,231,269,86,23983.0,292,220,143,262,14570.0
9.870075442830052e+17,192,7,6,7,87,,7,230,247,0,8333.0
9.870075536014052e+17,163,225,182,210,26,21467.0,225,93,225,278,
9.870072947258052e+17,95,8,154,10,154,,10,232,214,23,15435.0
9.870072826650052e+17,156,35,28,32,159,15683.0,36,40,151,49,19872.0
9.870075536839052e+17,56,263,214,248,225,13574.0,267,200,122,243,4330.0
9.870075580099052e+17,238,156,154,150,0,,156,48,182,153,7480.0
9.870099574333052e+17,273,173,138,167,0,,173,160,229,0,14168.0
9.870072839301052e+17,149,191,46,50,47,19425.0,56,83,269,73,12092.0
9.870072957806052e+17,212,19,154,19,157,1528.0,21,148,78,34,6778.0
9.870075632381052e+17,76,236,154,221,220,1977.0,237,198,148,4,2240.0
9.870072848845052e+17,209,44,37,183,124,22780.0,44,28,269,60,
9.870075460038052e+17,225,191,154,183,0,,300,295,269,204,
9.870073944015052e+17,159,190,154,183,0,,191,295,269,0,12202.0
9.870072856139052e+17,109,51,43,45,0,12839.0,50,23,152,68,18271.0
9.870075606838052e+17,214,177,142,171,0,25527.0,177,104,163,167,20131.0
9.870075605788051e+17,130,69,154,106,178,13751.0,111,141,153,120,2845.0
9.870075508604051e+17,0,169,133,163,141,21034.0,169,228,269,163,
9.870075293161052e+17,45,174,139,168,66,10921.0,174,149,89,168,5394.0
9.870075441124051e+17,90,5,4,5,35,,5,24,255,284,8423.0
9.870075292161052e+17,41,160,126,154,64,5161.0,160,151,160,155,1631.0
9.870075508623052e+17,168,168,132,162,65,12124.0,168,163,230,162,16891.0
9.870075483122052e+17,167,181,145,174,103,35919.0,181,138,93,173,7596.0
9.870075557685052e+17,232,171,136,165,139,,171,161,176,165,14779.0
9.870075484203052e+17,53,196,159,187,202,6878.0,196,259,10,189,7287.0
9.870075463309052e+17,97,14,11,183,0,,14,295,215,0,25029.0
9.870075510450052e+17,23,23,20,101,94,725.0,26,103,39,228,6409.0
9.870072838051052e+17,205,55,94,48,165,26480.0,54,13,97,71,
9.870075292159052e+17,58,58,127,52,48,17705.0,58,62,83,156,6069.0
9.870072955990052e+17,96,191,10,13,0,1169.0,13,80,185,26,27239.0
9.870075389724051e+17,230,242,197,226,0,21034.0,243,25,120,224,1072.0
9.870072849243052e+17,10,47,40,40,125,33560.0,46,66,252,63,2463.0
9.870075435132051e+17,0,208,154,183,142,,300,153,269,199,
9.870075653248051e+17,26,114,92,110,60,20410.0,115,258,44,123,6800.0
9.870075315273052e+17,144,144,114,140,21,1921.0,143,122,65,144,4484.0
9.870075436715052e+17,51,194,157,185,70,12864.0,194,236,162,187,12906.0
9.870075339306052e+17,77,228,185,213,0,3656.0,228,192,38,217,415.0
9.870072823992051e+17,8,33,26,30,41,1541.0,34,12,15,47,1782.0
9.870075313497052e+17,215,81,64,76,170,2345.0,81,86,177,97,84.0
9.870072864403052e+17,34,53,154,46,164,2147.0,52,34,37,0,1616.0
9.870072949377052e+17,6,27,154,26,88,15667.0,255,4,81,41,935.0
9.870075434703052e+17,0,119,97,115,181,6577.0,120,123,51,128,7247.0
9.870072948631052e+17,94,9,7,8,153,,8,265,2,21,13444.0
9.870075529266052e+17,114,63,146,183,167,27058.0,300,36,24,78,29507.0
9.870075313770052e+17,274,220,154,79,0,,220,99,223,99,19327.0
9.870124034268051e+17,222,294,236,277,145,8887.0,299,15,56,268,15822.0
9.870075615683052e+17,199,22,19,22,0,15828.0,25,50,45,7,19834.0
9.870075325992051e+17,0,191,154,183,0,,145,49,269,0,
9.870075482166052e+17,251,122,99,183,97,75548.0,122,235,224,131,896.0
9.870075361597052e+17,241,125,154,119,98,27545.0,124,129,208,150,4759.0
9.870075535647052e+17,196,251,205,234,109,17801.0,253,282,236,0,16906.0
9.870075489946052e+17,246,108,86,102,177,,108,240,1,279,
9.870075314933052e+17,160,129,154,125,0,,128,0,262,157,17103.0
9.870075312546052e+17,269,80,221,75,0,,80,19,269,96,19873.0
9.870074774354052e+17,223,191,154,183,0,,300,295,269,0,
9.870075552975052e+17,172,96,78,91,173,29772.0,96,47,29,90,13428.0
9.870075318768051e+17,69,272,154,256,0,7559.0,276,73,136,250,2334.0
9.870075484304051e+17,226,103,154,97,15,27333.0,103,105,249,177,2831.0
9.870075336243052e+17,220,145,115,141,22,,144,137,269,145,10789.0
9.870075294869052e+17,64,239,194,224,80,26725.0,240,205,253,223,9661.0
9.870072823945052e+17,7,34,27,31,42,15811.0,35,257,16,48,6097.0
9.870075463050052e+17,194,248,202,231,221,3694.0,250,229,241,275,19088.0
9.870075366969052e+17,0,255,206,238,28,,258,288,267,272,9244.0
9.870075359604051e+17,154,67,55,62,0,71903.0,66,45,269,0,
9.870075578012051e+17,19,94,77,89,56,61398.0,94,281,194,1,8727.0
9.870075338227052e+17,236,180,144,173,102,74441.0,180,251,269,0,8860.0
9.870075461117052e+17,186,278,225,183,230,5492.0,283,214,140,253,
9.870075488508051e+17,235,289,233,272,234,1117.0,294,221,74,264,1271.0
9.870075606606052e+17,55,202,165,191,73,10812.0,202,180,99,193,8275.0
9.870075409624051e+17,207,70,154,65,8,809.0,69,75,132,86,1278.0
9.870075557645052e+17,48,183,148,177,197,17804.0,185,165,199,180,21685.0
9.870075336458052e+17,132,116,93,112,95,708.0,117,117,48,124,13638.0
9.870075371930052e+17,270,152,122,183,107,,153,31,269,5,27513.0
9.870075409480051e+17,75,84,67,80,12,16090.0,84,96,129,101,13265.0
9.870075482130052e+17,271,136,108,131,0,,135,135,227,137,
9.870075297770052e+17,68,270,220,255,227,7818.0,274,216,135,249,3119.0
9.870075297716051e+17,162,163,154,157,0,,300,295,159,256,7519.0
9.870075613322052e+17,0,260,154,243,222,69832.0,263,203,260,293,25409.0
9.870075654905052e+17,260,77,154,72,128,16205.0,77,82,269,94,8492.0
9.870075460105052e+17,25,212,173,199,78,2513.0,211,183,105,203,2317.0
9.870075388408051e+17,0,39,31,244,0,,264,51,269,237,
9.870075679448051e+17,169,98,79,94,175,7049.0,98,111,92,110,4732.0
9.870075503932051e+17,0,137,109,132,184,6075.0,136,17,155,88,6454.0
9.870075297615052e+17,213,283,228,264,232,26238.0,288,218,142,257,19232.0
9.870075442599052e+17,268,280,154,261,31,,285,162,269,282,5978.0
9.870072834668051e+17,0,191,154,183,0,,300,295,269,59,
9.870075555825052e+17,121,93,76,88,0,8403.0,93,94,175,108,9510.0
9.870075507025052e+17,59,154,68,149,188,14673.0,155,156,5,152,7589.0
9.870075437447052e+17,250,191,154,227,0,,245,295,269,0,
9.870072916973052e+17,261,73,154,183,0,2259.0,73,6,23,3,21073.0
9.870075302751052e+17,170,89,154,85,55,55761.0,89,270,207,285,10901.0
9.870075512735052e+17,233,291,234,274,119,27573.0,296,242,146,265,16766.0
9.870075385221052e+17,61,149,119,145,63,7150.0,150,142,170,151,3582.0
9.870075374885052e+17,54,201,164,183,72,26925.0,201,84,233,6,18947.0
9.870075387355052e+17,177,192,155,184,201,2989.0,192,171,73,184,10684.0
9.870074141370052e+17,39,64,154,58,0,67984.0,63,11,268,15,20742.0
9.870075507636051e+17,128,191,154,104,0,,300,295,261,0,
9.870075507777052e+17,18,90,73,86,171,17926.0,90,273,30,106,11307.0
9.870075336191052e+17,83,121,154,183,146,8434.0,146,130,205,146,39542.0
9.870075359028051e+17,47,118,96,114,180,2225.0,119,120,50,127,2395.0
9.870075558731052e+17,49,184,149,178,68,20771.0,186,167,212,181,8.0
9.870075533686052e+17,138,191,154,183,0,,300,295,269,0,
9.870072948274052e+17,99,191,154,183,0,,17,172,150,30,
9.870072938094052e+17,91,3,2,3,121,21018.0,3,294,269,17,
9.870072927151052e+17,27,112,90,108,58,1323.0,113,112,42,2,601.0
9.870072825820051e+17,256,30,187,29,0,,32,44,216,44,22063.0
9.870075362322052e+17,46,178,143,172,67,19246.0,179,150,90,172,644.0
9.870075583676051e+17,188,226,183,211,216,28178.0,226,295,269,214,107.0
9.870075530387052e+17,112,159,59,67,51,,71,195,94,89,27249.0
9.870075482942052e+17,124,104,83,98,16,2171.0,104,21,36,176,17741.0
9.870075437364051e+17,0,191,154,245,223,,300,140,269,239,14686.0
9.870075609553052e+17,200,243,154,183,0,,244,202,171,245,15302.0
9.870075362443052e+17,0,124,154,118,0,,178,41,269,171,
9.870075304129052e+17,157,240,195,225,0,,241,37,110,9,4897.0
9.870072848761052e+17,33,45,38,39,44,1322.0,45,72,70,61,10721.0
9.870075460937052e+17,108,279,226,270,231,322.0,284,9,115,254,21217.0
9.870075485467052e+17,122,224,181,209,0,6889.0,224,275,238,213,2045.0
9.870074126861052e+17,278,282,154,263,117,,287,92,269,14,27415.0
9.870075533691052e+17,137,130,154,183,0,,184,260,257,0,14569.0
9.870072937594052e+17,145,40,32,36,4,465.0,40,255,157,55,2651.0
9.870075632038052e+17,136,191,154,121,0,58142.0,125,219,269,231,
9.870075503982052e+17,111,71,58,66,168,11302.0,70,278,203,87,11801.0
9.870075508716051e+17,164,191,131,161,101,27223.0,167,243,86,161,2712.0
9.870075463309052e+17,97,14,11,183,0,,14,295,215,0,25029.0
9.870075629791052e+17,28,113,91,109,59,4479.0,114,116,43,122,2179.0
9.870075413191052e+17,210,274,222,258,228,5455.0,279,280,202,252,1159.0
9.870075362781052e+17,89,146,116,142,186,3960.0,147,139,66,147,1161.0
9.870072949475052e+17,5,24,21,23,0,1257.0,27,293,8,38,7027.0
9.870072832330052e+17,36,36,29,33,160,8217.0,37,188,187,52,11433.0
9.870075412355052e+17,190,230,100,120,0,7814.0,230,38,130,218,6522.0
9.870075461508051e+17,218,244,198,228,27,13485.0,246,16,46,226,2428.0
