GeneClassification,GenomicEndPosition,GeneDbId,GeneType,GenomicStartPosition,EncodedProteinDescription,StrandOrientation
0,447897,285,0,446350,1,0
1,36839,205,1,34572,3,1
1,1721524,41,1,1718519,3,1
0,21702,59,0,18811,0,0
1,517997,130,1,514713,3,0
1,1984663,164,1,1981777,3,0
1,5794,135,1,3014,3,0
1,16034,125,1,13233,3,0
1,1133115,269,1,1130755,3,1
0,1973,1,0,3,1,1
1,1174681,75,1,1172813,3,0
0,3158,6,0,342,0,1
1,648458,159,1,645735,3,0
1,28068,64,1,25282,3,1
0,1171911,146,0,1168945,0,0
0,2772,318,0,301,0,1
1,265804,200,1,263906,3,0
0,496864,168,0,494066,0,0
1,1626838,107,1,1624217,3,0
1,29971,143,1,27197,3,1
0,9695,154,0,7212,0,1
1,474181,191,1,471830,3,0
1,4543,137,1,1706,3,1
0,1430611,97,0,1429409,1,0
1,2149200,264,1,2146741,3,0
1,3014,94,1,228,3,1
0,750304,208,0,747923,0,0
1,46833,74,1,44356,3,0
1,754760,204,1,752910,3,0
1,6217,319,1,3602,3,1
1,396132,244,1,393928,3,0
1,128705,206,1,127131,3,1
1,496021,26,1,493463,3,0
1,56619,316,1,53854,3,1
1,1094,23,1,159,3,1
0,117865,211,0,115973,0,1
0,6529,156,0,4547,0,1
1,174847,193,1,172793,3,1
1,12451,175,1,9695,3,1
0,6840,284,0,3826,0,0
1,1175229,145,1,1172704,3,0
1,388046,38,1,385203,3,0
1,1182,91,1,1,3,1
1,22938,85,1,21226,3,1
1,1130391,196,1,1127446,3,0
1,11829,32,1,8980,3,1
1,4777,18,1,2027,3,1
0,7112,282,0,4374,0,1
1,1008775,188,1,1006142,3,0
1,7245,290,1,4687,3,1
1,10610,172,1,8169,3,1
1,2272,40,1,2,3,0
1,1767155,266,1,1764399,3,1
1,905310,39,1,902803,3,0
0,729858,199,0,727477,0,0
1,214887,305,1,212992,3,0
0,34372,2,0,33320,0,1
0,38223,30,0,36197,0,1
1,27589,108,1,25172,3,0
1,2120212,105,1,2117660,3,0
1,3783,84,1,1453,3,1
1,596370,276,1,593812,3,0
1,19819,121,1,16985,3,1
0,392186,224,0,389424,0,0
0,36463,115,0,33455,0,1
1,439193,286,1,435576,3,0
0,598524,92,0,596251,1,0
0,17724,293,0,14986,1,1
1,107280,48,1,104554,3,0
1,21022,62,1,18272,3,1
0,478312,10,0,477440,0,0
1,2982,70,1,445,3,1
1,342240,151,1,339421,3,1
1,2020967,177,1,2018517,3,0
1,68416,260,1,66416,3,1
0,1204,126,0,2,0,0
0,553364,249,0,550602,0,0
1,2360044,13,1,2358530,3,0
0,851849,119,0,849015,0,0
0,3713,283,0,2106,1,0
1,12394,303,1,9605,3,0
0,748745,35,0,745776,0,0
0,4567,55,0,1604,0,0
0,39476,268,0,36720,0,1
1,3790,209,1,806,3,0
1,58311,298,1,56848,3,1
0,645301,275,0,642806,0,0
1,7188,124,1,4384,3,0
1,458839,16,1,457553,3,0
0,811998,312,0,810235,0,0
1,26744,325,1,24147,3,1
0,968,8,0,3,0,0
1,905988,95,1,903148,3,0
1,9121,288,1,6152,3,1
1,582104,237,1,579438,3,0
1,79885,229,1,77750,3,1
1,15577,69,1,12521,3,1
0,169312,66,0,166550,0,0
1,1113039,295,1,1110685,3,1
0,531490,33,0,528650,0,0
1,15172,112,1,12569,3,0
1,710712,198,1,708220,3,0
1,351197,217,1,348939,3,0
1,56555,324,1,54387,3,1
1,6673,232,1,3815,3,0
0,31215,301,0,30121,1,1
1,4394,68,1,1644,3,1
1,2028531,265,1,2025571,3,0
1,11733,73,1,9154,3,0
0,4119,43,0,967,0,1
1,27235,147,1,24623,3,1
1,783456,79,1,780772,3,0
0,29687,110,0,27789,0,1
1,242630,117,1,239769,3,1
1,3660,171,1,874,3,1
1,106204,279,1,104012,4,1
0,1981,297,0,2,0,0
1,9934,86,1,6965,3,1
1,577397,7,1,576201,3,0
1,1820,9,1,189,3,0
1,485801,34,1,483723,3,0
1,11541,326,1,8509,3,1
1,619021,150,1,617285,3,0
0,13820,28,0,12766,0,1
1,2194888,106,1,2192474,3,1
0,47207,80,0,45534,0,1
1,639965,256,1,637563,3,0
