Strand_Orientation,Genomic_End_Position,Gene_Db_Id,Encoded_Protein,Gene_Type,Genomic_Start_Position
1,40882,90,3,1,30431
1,14711,134,3,1,4479
1,5905,54,1,0,1
1,8139,177,3,1,1
1,15047,120,3,1,4680
1,563694,143,1,0,556752
1,46671,97,1,0,36289
0,138943,50,2,0,131411
1,600090,180,1,0,589645
0,656716,85,1,0,646334
0,56068,175,1,0,45617
0,2370774,163,1,0,2360422
1,107347,18,1,0,100946
1,364951,59,3,1,356759
1,79790,207,3,1,69342
0,698669,80,1,0,688299
0,545365,221,1,0,535076
1,7213,70,1,0,1
1,12287,132,3,1,1776
0,572820,181,1,0,566630
1,1301475,102,1,0,1291027
1,53674,203,1,0,43286
0,7785,139,2,0,1726
0,1848415,41,1,0,1838054
0,902706,93,1,0,892584
1,934030,201,3,1,926063
1,34912,168,1,0,27714
0,685626,117,1,0,675331
1,5029,28,2,0,2
1,31572,73,1,0,21127
1,12152,204,1,0,4158
1,102066,45,1,0,91621
1,19621,52,1,0,13649
1,6015,146,2,0,103
1,571446,179,3,1,561022
0,9497,184,3,1,3
0,332104,166,1,0,321641
