Entity_Type,Gene_Description,Genomic_End_Position,Gene_Id,Gene_Db_Id,Encoded_Protein,Genomic_Start_Position,Strand_Orientation
0,0,1015945,208,208,2,1013150,1
0,0,1147282,167,167,2,1144757,1
0,0,721934,74,74,2,719244,1
1,0,1582479,186,186,1,1579936,0
0,0,221070,141,141,2,218443,1
0,0,463778,79,79,2,460986,0
0,0,11062,4,4,2,8450,0
0,0,1570228,100,100,5,1568267,1
1,0,308185,64,64,1,306188,0
0,0,546370,45,45,2,543824,0
0,0,399549,239,239,2,396772,0
0,0,57145,55,55,3,54284,0
0,0,849988,205,205,2,847319,0
1,0,408107,16,16,1,405750,0
0,0,60414,227,227,2,57859,1
0,0,1007699,206,206,2,1005114,1
0,0,7898,9,9,2,5274,1
0,0,245264,47,47,2,242583,0
0,0,4732,124,124,2,2051,0
0,0,21506,57,57,2,18858,0
0,0,23129,127,127,3,20358,1
0,0,472189,69,69,2,469499,0
1,0,1014233,135,135,1,1011738,0
0,0,34218,58,58,2,31414,0
0,0,2102129,103,103,2,2099463,1
0,0,82609,138,138,3,79808,1
0,0,1317329,99,99,2,1314768,0
0,0,352788,250,250,2,350182,1
0,0,565683,140,140,2,563344,1
0,0,10603,6,6,3,7772,1
0,0,212927,0,0,5,211077,1
1,0,276688,210,210,1,274223,0
0,0,652210,96,96,2,649424,0
0,0,10893,91,91,2,8359,1
0,0,4709,30,30,2,2067,1
0,0,119436,255,255,2,116878,0
0,0,14331,230,230,2,11776,1
0,0,1650945,11,11,2,1648582,1
0,0,7054,123,123,2,4541,0
0,0,456596,15,15,2,453903,1
0,0,3590,211,211,2,942,1
0,0,1816759,190,190,2,1814429,0
0,0,2010450,110,110,2,2008033,1
0,0,529696,176,176,2,526820,1
0,0,280853,62,62,2,278046,0
0,0,423886,65,65,2,421607,1
1,0,408724,139,139,1,406415,1
0,0,1036042,118,118,2,1033382,0
0,0,25731,8,8,3,22858,0
0,0,35248,50,50,2,32438,0
0,0,2099,2,2,5,3,1
1,0,903444,116,116,1,900637,0
0,0,460231,148,148,2,457457,1
0,0,2171498,183,183,2,2169063,1
0,0,817323,77,77,2,814468,0
0,0,35322,192,192,2,32611,1
0,0,585177,204,204,3,582301,0
0,0,41459,219,219,3,38613,1
0,0,584285,175,175,0,581721,0
0,0,404953,161,161,2,402317,0
0,0,16042,112,112,3,13142,0
1,0,574686,147,147,1,571897,1
0,0,596823,95,95,2,594229,1
1,0,71558,154,154,1,69066,0
0,0,1115182,220,220,2,1112378,0
0,0,556640,252,252,2,553878,0
0,0,22835,146,146,2,20457,0
0,0,65602,24,24,2,62846,0
0,0,321121,171,171,2,318503,0
0,0,3099,85,85,2,313,1
0,0,2201057,53,53,2,2198634,1
1,0,1882048,105,105,1,1879670,0
1,0,2065088,102,102,1,2062416,0
0,0,8030,144,144,2,5538,1
0,0,54570,27,27,3,51787,1
0,0,12466,229,229,2,9926,1
0,0,1745786,12,12,2,1743231,0
0,0,1189938,225,225,2,1187140,0
0,0,580806,94,94,5,578836,1
0,0,565358,83,83,2,563163,1
0,0,935144,132,132,2,932427,1
0,0,7331,92,92,3,4482,1
0,0,167573,36,36,3,164778,1
0,0,249052,71,71,2,246272,1
0,0,344245,13,13,2,341906,1
0,0,194602,249,249,3,191840,1
0,0,536061,256,256,2,533287,0
0,0,1851640,107,107,2,1848668,0
0,0,450835,66,66,2,448496,1
0,0,14547,20,20,2,12235,0
0,0,417885,137,137,2,415123,0
0,0,237391,70,70,2,234584,1
0,0,7271,22,22,2,4884,0
0,0,3982,1,1,2,1541,0
0,0,21057,155,155,2,18763,1
0,0,388287,240,240,2,385492,0
0,0,11601,39,39,2,9187,0
0,0,175571,93,93,2,172800,1
0,0,110238,228,228,3,107374,0
0,0,783613,76,76,2,780839,0
0,0,8573,215,215,2,6039,1
0,0,7513,3,3,2,4757,1
0,0,191757,115,115,2,188965,1
0,0,205713,247,247,2,202903,1
0,0,1484951,182,182,3,1482129,1
0,0,880730,134,134,2,877992,1
0,0,12861,241,241,2,10087,1
0,0,763632,130,130,2,761305,0
1,0,1152001,180,180,1,1149578,1
0,0,171302,231,231,4,169443,0
0,0,187696,248,248,2,185057,1
0,0,2180588,52,52,2,2178147,1
0,0,17047,37,37,2,14579,1
0,0,222070,178,178,2,219359,0
0,0,1181628,224,224,2,1179322,0
1,0,2776,48,48,1,113,1
0,0,950785,133,133,2,948302,1
0,0,8596,126,126,2,5819,0
0,0,24923,60,60,2,22032,0
1,0,42017,200,200,1,39222,0
0,0,1200167,194,194,2,1197396,0
0,0,696919,72,72,2,694046,0
1,0,316755,120,120,1,314314,0
0,0,428401,68,68,2,425663,0
0,0,381075,238,238,2,378301,0
1,0,2113696,51,51,1,2111357,0
0,0,272153,63,63,2,269451,0
0,0,22052,242,242,2,19278,1
0,0,198843,128,128,2,196225,0
0,0,775880,131,131,2,773208,1
0,0,421319,160,160,2,418704,0
0,0,180486,34,34,2,177754,1
0,0,11536,32,32,2,9554,1
0,0,15093,157,157,3,12226,0
