Entity_Type,Gene_Description,Genomic_End_Position,Gene_Id,Gene_Db_Id,Encoded_Protein,Genomic_Start_Position,Strand_Orientation
0,0,521226,204,204,4,520573,0
0,0,1118634,317,317,4,1117975,1
1,0,347837,16,16,3,347313,0
0,0,250738,321,321,4,250097,0
0,0,1579,2,2,4,1004,1
0,0,578960,74,74,4,578253,0
0,0,552848,142,142,4,552180,1
0,0,52129,262,262,4,51491,0
1,0,19103,378,378,3,18480,1
0,0,4829,254,254,4,4128,0
0,0,603114,235,235,4,602248,1
0,0,436400,10,10,4,435816,0
0,0,1148872,408,408,4,1148204,0
0,0,339516,221,221,4,338926,0
0,0,1581481,211,211,4,1580900,1
0,0,1081012,404,404,4,1080440,1
0,0,15668,342,342,4,15015,0
0,0,6518,301,301,4,5874,1
0,0,33001,18,18,4,32291,1
0,0,527500,426,426,4,526817,1
0,0,668902,146,146,4,668282,1
0,0,1995197,213,213,4,1994529,0
0,0,216763,320,320,4,216122,0
0,0,596495,157,157,4,595866,0
0,0,416038,381,381,4,415541,0
1,0,463493,99,99,3,462885,1
0,0,14001,392,392,4,13402,1
1,0,385637,19,19,3,384969,0
0,0,627298,98,98,4,626603,1
0,0,1845,387,387,2,1489,1
0,0,375081,120,120,4,374536,1
0,0,1473130,85,85,4,1472456,0
0,0,1134002,406,406,4,1133424,1
0,0,444695,30,30,4,444042,0
0,0,42175,384,384,4,41594,0
0,0,9261,126,126,4,8539,0
0,0,382637,55,55,4,382086,0
0,0,35038,300,300,4,34388,1
0,0,416102,244,244,4,415509,0
1,0,13194,347,347,3,12661,1
0,0,653543,82,82,4,652923,1
0,1,327963,421,421,4,327337,1
0,0,78452,297,297,4,77844,0
0,0,2893,382,382,4,2228,0
0,0,38888,77,77,4,38181,1
0,0,22995,302,302,2,22609,1
0,0,1066542,403,403,4,1065931,1
0,0,438865,349,349,4,438233,0
0,0,345916,151,151,4,345353,0
1,0,499409,364,364,3,498789,0
0,0,262228,36,36,4,261515,0
0,0,350824,412,412,2,350453,1
0,0,224418,164,164,4,223792,0
0,0,17055,46,46,4,16375,0
0,0,1049,281,281,4,204,1
0,0,807166,149,149,4,806492,1
1,0,874302,272,272,3,873739,1
0,0,281,8,8,5,3,1
0,0,16035,340,340,4,15472,0
0,0,311595,410,410,2,311224,1
0,0,6125,9,9,4,5631,1
0,0,582243,75,75,4,581596,0
0,0,1670681,27,27,4,1670067,0
1,0,544317,144,144,1,543658,0
0,0,285006,243,243,4,284026,0
0,0,482096,251,251,4,481446,0
0,0,16573,162,162,4,15977,0
0,0,1236,123,123,4,691,0
0,0,2152710,104,104,4,2152117,1
0,0,218124,163,163,4,217234,0
0,0,505974,292,292,4,505327,1
0,0,314714,121,121,4,314181,0
0,0,729959,94,94,4,729363,0
0,0,358436,275,275,2,358038,1
0,0,594102,229,229,4,593512,1
0,1,22696,71,71,4,22061,1
1,0,1261581,322,322,3,1260970,0
0,0,160801,401,401,4,160181,0
1,0,10872,102,102,3,10210,0
0,0,412598,277,277,4,411981,1
0,0,517192,291,291,4,516578,1
0,0,53893,304,304,4,53279,1
0,0,253563,285,285,4,252895,0
0,0,237931,283,283,4,237338,0
0,0,266589,174,174,4,265723,0
0,0,1078119,190,190,4,1077559,0
0,0,468817,294,294,4,467864,1
0,0,1243238,184,184,4,1242540,1
0,0,1176204,397,397,4,1175530,0
0,0,6197,385,385,4,5628,0
0,0,47042,78,78,4,46335,1
0,0,374682,40,40,4,374062,0
0,0,1420673,89,89,4,1420101,0
0,0,388432,192,192,2,388043,1
0,0,70633,57,57,4,70109,0
0,0,11230,372,372,4,10535,0
0,0,694973,305,305,4,694383,0
0,0,1677970,116,116,4,1677395,0
0,0,5761,373,373,4,5141,0
0,0,1886263,214,214,4,1885670,0
0,0,320021,420,420,4,319437,1
0,0,282372,171,171,4,281740,1
0,0,456160,319,319,4,455483,0
0,0,36542,383,383,4,35961,1
0,0,602338,318,318,4,601643,1
0,0,377041,361,361,4,376496,1
0,0,1142859,407,407,4,1142287,1
0,0,1481322,91,91,4,1480762,1
0,0,1306828,205,205,4,1306226,1
0,0,1739,5,5,4,1236,1
0,0,410649,138,138,2,410251,0
0,0,1587490,208,208,4,1586741,0
0,0,2442,282,282,4,1612,1
0,0,333597,422,422,4,332944,1
0,0,1411596,20,20,4,1410949,0
0,0,260483,175,175,4,259935,0
0,0,917604,271,271,4,916954,0
0,0,371048,274,274,4,370350,1
0,0,11470,45,45,2,11081,1
0,0,377176,139,139,4,376607,0
0,0,1943209,7,7,4,1942577,0
0,0,7470,266,266,4,6853,1
0,0,120884,33,33,2,120498,0
0,0,21243,13,13,4,20602,1
0,0,617680,230,230,4,617066,1
0,1,340144,411,411,4,339536,0
1,0,862102,239,239,3,861431,0
0,0,1875155,215,215,4,1874526,0
0,0,633183,231,231,2,632827,1
0,0,59685,47,47,4,58891,0
0,0,1611491,328,328,4,1610868,0
0,0,31626,355,355,4,31012,0
0,0,76266,276,276,4,75574,1
0,0,430625,11,11,4,430509,0
0,0,288480,173,173,4,287506,0
0,0,1187163,344,344,4,1186465,0
0,0,1200244,310,310,4,1199621,0
0,0,18926,388,388,4,18276,0
0,0,2115566,24,24,4,2114982,1
0,0,1109679,314,314,4,1109041,1
0,0,1559,49,49,4,987,1
0,0,413954,416,416,4,413337,0
0,0,159847,65,65,4,159101,1
0,0,1139142,313,313,4,1138561,1
0,0,462219,362,362,4,461563,1
0,0,1348,165,165,4,512,1
0,0,1344856,196,196,4,1344239,0
0,0,203566,68,68,2,203195,1
0,0,3660,193,193,4,3085,1
0,0,1001979,93,93,4,1001410,0
1,0,1671935,117,117,3,1671336,0
0,0,3008,160,160,4,2760,1
0,0,17644,346,346,4,17072,0
0,0,393310,278,278,4,392783,0
0,0,1025055,189,189,4,1024453,0
0,0,1654543,29,29,4,1654004,1
0,0,11006,12,12,4,10434,1
0,0,1840810,108,108,4,1840178,0
0,0,1182146,311,311,4,1181541,1
1,0,356421,429,429,3,355831,1
0,0,398667,246,246,4,398035,0
0,0,1235855,185,185,2,1235211,1
0,0,1806636,335,335,4,1806064,0
0,0,7249,51,51,4,6641,0
0,0,452612,279,279,4,451995,0
0,0,425782,137,137,2,425384,0
0,0,1121,1,1,4,531,0
0,0,725245,148,148,4,724664,1
0,0,7534,341,341,2,7151,0
0,0,14571,375,375,4,14272,0
0,0,244449,286,286,4,243556,0
0,0,622513,25,25,4,621803,0
0,0,261062,172,172,4,260553,0
0,0,253089,176,176,4,252442,0
0,0,305429,370,370,4,304515,0
1,0,690105,145,145,3,689434,0
0,0,26110,303,303,4,25487,1
0,0,55203,79,79,4,54550,0
0,0,6670,224,224,4,6140,1
0,0,467996,363,363,4,467418,0
0,0,1079,125,125,2,750,0
0,1,1784731,331,331,4,1784156,1
0,0,1392058,306,306,4,1391459,0
0,0,174019,63,63,4,173294,1
1,0,44727,393,393,3,44119,1
1,0,978860,273,273,1,978390,0
0,0,7294,259,259,4,6638,0
0,0,9111,129,129,2,8734,0
0,0,641578,81,81,4,640880,1
0,0,2852,15,15,4,2211,0
0,0,1610144,113,113,4,1609563,0
1,0,225709,67,67,3,225092,1
0,0,873,4,4,4,262,1
1,0,504309,425,425,3,503911,1
0,0,1707,376,376,4,1054,0
0,0,570400,73,73,4,569783,0
0,0,897457,270,270,4,896894,0
0,0,528985,290,290,4,528356,1
0,0,930600,240,240,4,929947,1
0,0,459742,247,247,4,459083,0
0,0,8892,374,374,4,8245,0
0,0,410431,179,179,4,409799,0
0,0,95645,62,62,4,95094,1
0,0,296809,419,419,4,296102,1
0,0,438791,31,31,4,438168,1
0,0,302673,242,242,4,302005,0
0,0,332148,409,409,4,331510,0
0,0,22912,56,56,2,22523,0
0,0,20624,72,72,4,19953,1
0,0,276224,133,133,4,275592,0
0,0,605996,236,236,4,605367,1
0,0,631273,155,155,4,630704,1
1,0,893116,237,237,3,892445,1
0,0,9993,32,32,4,9376,1
0,0,1448091,87,87,4,1447573,1
0,0,12594,195,195,4,11959,1
0,0,389569,245,245,4,388676,0
0,0,28027,42,42,4,27344,0
0,0,426818,134,134,4,426186,1
0,0,32545,260,260,4,31979,0
1,0,11424,39,39,3,10828,0
0,0,474095,352,352,4,473496,0
1,0,891600,269,269,1,891058,1
0,0,1570983,119,119,4,1570405,1
0,0,487260,199,199,4,486679,1
1,0,28680,127,127,3,27985,0
0,0,478938,100,100,4,478315,0
0,0,1109266,396,396,4,1108595,0
0,0,21792,343,343,4,21193,0
0,0,652493,234,234,4,651543,1
0,0,538452,143,143,4,537880,1
0,0,21840,227,227,4,21079,0
0,0,567898,122,122,2,567485,0
0,0,53116,395,395,5,52718,0
0,0,308712,368,368,4,308044,0
0,0,641268,232,232,4,640657,1
0,0,1591262,329,329,4,1590720,0
0,0,559332,141,141,2,558976,0
0,0,643220,197,197,4,642618,0
1,0,588625,154,154,3,587969,1
0,0,269583,418,418,4,268954,0
1,0,1591401,209,209,3,1590901,0
0,0,1060193,187,187,4,1059636,1
0,0,272757,178,178,4,271798,0
0,0,21892,337,337,4,21179,0
0,0,400683,54,54,4,400036,1
0,0,11825,43,43,4,11139,0
0,0,610947,365,365,4,610288,1
0,0,1183104,323,323,4,1182499,0
0,0,1871216,107,107,4,1870641,0
0,0,1100102,405,405,4,1099440,1
0,0,223254,287,287,4,222562,0
0,0,2130876,103,103,4,2130250,1
0,0,5418,228,228,4,4696,1
0,0,274287,170,170,4,273715,1
0,0,212591,428,428,4,211887,1
0,0,253619,168,168,4,252897,0
0,0,190891,64,64,4,190256,1
0,0,33533,389,389,4,32910,1
0,0,66227,299,299,4,65685,0
0,0,1038285,188,188,4,1037734,1
0,0,1299223,183,183,4,1298663,0
0,0,555039,76,76,4,554104,0
0,0,1790185,216,216,4,1789544,1
0,0,110877,152,152,5,110344,1
0,0,70385,296,296,4,69732,0
0,0,406686,135,135,4,406078,0
0,1,1894275,109,109,4,1893637,1
0,0,48963,356,356,4,48349,0
0,0,63431,61,61,4,62859,0
0,0,563485,92,92,2,563114,0
1,0,1947,14,14,3,1330,1
0,1,849658,22,22,4,849029,1
0,0,17246,264,264,4,16593,0
0,0,11667,257,257,4,10975,1
0,0,1192370,312,312,4,1191744,1
0,0,789660,147,147,4,789061,1
0,0,484940,353,353,4,484143,0
0,0,551183,223,223,2,550740,0
0,0,1665163,28,28,4,1664528,0
0,0,15815,359,359,4,15231,0
0,0,423275,201,201,4,422700,0
0,0,50225,394,394,4,49587,0
0,0,23909,360,360,4,23259,0
0,0,1935320,212,212,4,1934724,0
0,0,1439745,88,88,4,1439215,1
0,0,1646736,210,210,4,1646206,0
0,0,5356,348,348,4,4736,1
0,0,281837,177,177,4,281250,0
0,0,217404,21,21,4,216745,0
0,0,462632,136,136,4,462006,0
0,0,565167,380,380,2,564760,0
0,0,4939,6,6,4,4241,1
0,0,497547,249,249,4,496699,0
0,0,2159962,324,324,4,2159390,0
0,0,1722444,336,336,4,1721857,1
0,0,627125,83,83,4,626559,1
0,0,510533,430,430,4,509916,0
0,0,2103139,217,217,4,2102468,1
0,0,211634,417,417,5,211245,0
0,0,34921,265,265,4,34262,1
0,0,1578872,118,118,4,1578312,0
0,0,602022,158,158,4,601444,0
0,0,9539,194,194,4,8904,1
0,0,497850,293,293,4,497083,1
0,0,465000,351,351,4,464038,0
0,0,283286,423,423,4,282588,0
0,0,1863,41,41,4,1279,0
1,0,1337715,207,207,3,1337152,0
0,0,10499,37,37,2,10110,1
0,0,6256,128,128,2,5888,0
0,0,77237,58,58,4,76545,0
0,0,1685667,115,115,0,1685527,0
0,0,584282,131,131,4,583626,1
0,0,1212108,309,309,4,1211533,0
0,0,8071,391,391,4,7124,1
0,0,636879,156,156,4,636250,1
0,0,1357417,308,308,4,1356881,1
0,0,1413348,206,206,4,1412725,1
0,0,897652,238,238,4,897068,0
0,0,102031,0,0,4,101630,1
0,0,460277,280,280,4,459570,0
0,0,550961,288,288,4,550314,1
0,0,2082607,34,34,4,2081918,1
0,0,673589,182,182,4,672981,1
0,0,262590,284,284,4,261997,0
0,0,1069989,191,191,4,1069351,0
0,0,54130,398,398,4,53294,1
0,0,238595,169,169,4,237978,1
0,0,2039757,326,326,4,2039173,1
0,0,55031,263,263,4,54300,0
0,0,42738,390,390,4,42403,1
0,0,698962,95,95,4,698387,1
0,0,1037760,367,367,4,1037092,1
0,0,522585,431,431,4,522157,0
0,0,1653046,111,111,4,1652444,1
0,0,610905,153,153,4,610333,0
0,0,9693,358,358,4,9067,0
0,0,331967,150,150,4,331098,0
0,0,57983,60,60,4,57381,1
0,0,488252,248,248,4,487683,0
0,0,152203,400,400,4,151562,0
0,0,7816,166,166,4,6941,1
0,0,473006,250,250,4,472107,0
0,0,8984,253,253,4,8412,1
0,0,296422,241,241,4,295724,0
0,0,786,371,371,4,88,0
0,0,541203,101,101,4,540331,0
0,0,1896,252,252,4,1198,1
0,0,433446,202,202,4,432955,0
0,0,297265,220,220,4,296609,0
0,0,421453,415,415,4,420860,0
0,0,10738,161,161,4,10142,1
0,0,422988,180,180,4,422386,0
0,0,739582,268,268,4,738989,0
0,0,741926,198,198,4,741234,0
0,0,2021354,35,35,4,2020752,1
1,0,22510,52,52,3,21845,0
0,0,12963,339,339,4,12349,0
0,0,1279824,186,186,4,1279111,1
0,0,2141017,325,325,4,2140400,0
0,0,213605,69,69,4,212727,1
0,0,649380,233,233,4,648745,1
1,0,1773473,332,332,3,1772775,1
0,0,542828,289,289,4,542232,1
0,0,3185,159,159,4,2544,1
0,0,1094415,316,316,4,1093786,1
0,0,548259,140,140,2,547909,0
0,0,4704,225,225,4,4066,0
0,0,67780,413,413,4,67067,0
0,0,288418,219,219,4,287768,0
0,0,498188,427,427,4,497556,1
0,0,633393,80,80,4,632488,1
0,0,606832,84,84,4,606242,0
0,0,11303,48,48,4,10641,1
0,0,667099,3,3,4,666332,1
