StrandOrientation,OrthologId,GenomicEndPosition,GeneId,GeneDbId,EncodedProtein,GeneType,ChromosomeId,GenomicStartPosition
1,56,36628,45,45,22,0,29,35402
0,48,2155792,183,183,24,0,19,2155145
1,18,9178,73,73,10,0,30,8375
0,74,29968,162,162,2,1,71,28721
0,99,1648331,123,123,11,0,18,1647294
0,63,492438,202,202,21,0,14,491209
0,53,23852,33,33,34,1,28,23046
1,99,1522877,178,178,25,0,18,1521903
1,47,178084,110,110,20,0,17,176870
0,84,15379,219,219,10,0,77,14528
0,82,77977,40,40,10,0,3,77144
0,5,617253,207,207,10,0,14,616495
1,27,3650,147,147,6,0,64,2478
1,8,537352,87,87,21,0,14,536177
1,60,35179,43,43,2,1,13,34406
1,27,614,50,50,0,0,45,222
1,96,1912694,126,126,25,0,19,1911738
1,25,287088,98,98,2,1,12,285889
0,58,1165493,229,229,10,0,15,1164663
1,27,37248,163,163,22,0,71,35989
0,98,37518,31,31,10,0,28,36670
1,55,1783506,128,128,10,0,19,1782673
0,24,432927,247,247,14,0,5,431740
1,27,13082,112,112,0,0,59,12327
0,92,320234,145,145,22,0,15,319014
1,4,827468,209,209,2,1,14,826311
1,11,4723,24,24,2,1,39,4340
1,77,3769,1,1,0,0,22,3023
0,52,335,10,10,0,0,26,3
1,32,227094,20,20,1,0,12,226831
0,0,14090,62,62,21,0,47,12945
1,13,1026,225,225,0,0,78,841
0,0,1863,102,102,18,0,56,1015
1,60,1989097,189,189,10,0,20,1988282
0,7,445921,19,19,2,1,4,445157
0,5,247162,12,12,10,0,14,246347
1,5,1018268,212,212,7,0,14,1017216
0,27,23025,134,134,0,0,62,22318
1,70,1338,195,195,0,0,34,835
0,101,26635,161,161,34,1,71,25832
1,60,2097143,188,188,10,0,20,2096334
0,28,2142542,184,184,25,0,19,2141583
0,30,392050,85,85,0,0,12,391007
1,53,55904,32,32,2,1,28,55386
0,54,1679298,70,70,25,0,20,1678525
0,0,10624,94,94,32,0,51,9845
0,45,255296,141,141,18,0,15,254511
0,8,305564,83,83,8,0,14,304740
0,26,486743,57,57,14,0,1,485586
0,5,277578,81,81,10,0,14,276769
0,63,822069,208,208,18,0,14,821287
0,38,177073,104,104,2,1,21,175745
1,51,265814,200,200,25,0,11,265029
0,27,18784,97,97,18,0,54,18002
1,8,992655,211,211,10,0,14,991897
0,8,297062,78,78,21,0,14,295851
1,36,13592,100,100,2,1,55,12324
1,0,26139,27,27,10,0,42,25351
0,5,422034,18,18,14,0,4,420934
0,63,907521,138,138,21,0,14,906301
0,44,12388,135,135,0,0,63,11468
1,96,2202884,181,181,24,0,19,2202237
1,31,65754,233,233,28,0,79,64810
1,99,1487286,177,177,14,0,18,1486264
1,9,17173,217,217,22,0,76,16040
0,0,61556,28,28,21,0,42,60249
0,8,313431,82,82,10,0,14,312547
0,8,285745,80,80,10,0,14,284939
1,73,970864,117,117,30,0,20,969914
0,73,1631767,69,69,24,0,20,1631120
0,42,6002,241,241,2,1,81,5043
1,35,1564778,71,71,16,0,20,1564014
1,80,643595,16,16,10,0,20,642765
1,8,407549,136,136,10,0,14,406749
0,5,251858,22,22,0,0,14,251211
1,86,15410,226,226,2,1,38,14340
1,27,23810,58,58,21,0,46,22572
0,76,231201,246,246,27,0,5,230431
1,55,2089274,124,124,24,0,19,2088630
0,27,13418,149,149,16,0,66,12669
0,54,1687805,68,68,4,0,20,1687044
0,16,25842,199,199,2,1,74,24370
0,29,9998,75,75,2,1,49,9753
0,52,1153229,240,240,21,0,19,1151997
0,99,1221966,174,174,14,0,18,1220947
0,15,1604402,186,186,17,0,19,1603254
1,5,1075329,3,3,1,0,14,1075195
1,65,884301,137,137,2,1,14,883339
1,71,13960,14,14,2,1,27,13361
0,92,1106541,227,227,21,0,15,1105297
1,21,655,0,0,2,1,82,2
0,33,223492,245,245,34,1,5,222386
1,13,1592913,72,72,34,1,20,1591840
0,8,658646,89,89,10,0,14,657867
0,72,266241,142,142,10,0,15,265438
0,78,11872,130,130,2,1,60,11348
0,14,1207750,192,192,21,0,14,1206605
