StrandOrientation,OrthologId,GenomicEndPosition,GeneId,GeneDbId,EncodedProtein,GeneType,ChromosomeId,GenomicStartPosition
1,48,85134,90,90,14,0,13,83866
0,19,1951553,123,123,16,0,22,1950669
0,44,1386264,105,105,2,1,22,1384861
1,27,2074708,18,18,2,1,22,2073437
1,83,1065367,142,142,13,0,21,1064159
1,20,924253,87,87,2,1,21,923378
1,15,332931,64,64,1,0,22,332233
0,18,1365596,67,67,27,1,20,1364481
0,67,936561,78,78,0,0,17,935551
0,27,1015761,63,63,2,1,22,1014583
1,17,24760,144,144,17,0,49,23234
1,46,304330,146,146,19,0,5,303281
1,16,17944,130,130,17,0,47,16457
0,41,813285,54,54,2,1,17,812281
1,37,1622991,121,121,0,0,21,1622125
0,30,349644,9,9,23,0,4,348280
1,35,1547471,119,119,21,0,20,1546002
0,4,6048,42,42,11,0,41,4708
1,52,1047742,141,141,19,0,21,1046660
