Gene_Subclass,Genomic_End_Position,Gene_Db_Id,Gene_Type,Genomic_Start_Position,Encoded_Protein_Description,Strand_Orientation
0,1434052,154,0,1432280,0,0
1,29749,161,1,26915,3,1
1,430057,185,1,427406,3,0
1,14455,89,1,11690,3,0
0,30562,278,0,28739,1,1
0,4524,240,0,2574,0,0
0,4216,132,0,1460,0,1
0,19758,184,0,17038,0,0
0,47207,80,0,45534,0,1
0,36437,102,0,35517,0,1
1,5595,68,1,2761,3,1
1,912033,72,1,909235,3,0
1,2693,280,1,396,3,0
0,4036,63,0,1289,0,1
1,93761,71,1,90201,3,1
1,11733,73,1,9154,3,0
1,706189,14,1,704129,3,0
0,120500,322,0,118605,0,0
1,26060,259,1,23298,3,1
1,351197,217,1,348939,3,0
0,8589,29,0,6541,0,1
0,1385359,153,0,1383590,0,0
1,688837,87,1,685982,3,0
0,54516,93,0,53479,0,1
0,1739,12,0,3,1,1
0,201879,299,0,200095,0,0
1,670094,37,1,667467,3,0
1,628364,100,1,625434,3,0
0,3779,182,0,1517,0,0
0,64637,150,0,62859,0,1
1,4799,270,1,2103,3,0
1,7313,235,1,4734,3,0
0,19476,159,0,17815,0,1
1,7957,142,1,5381,3,0
1,829858,119,1,827087,3,0
1,2071578,164,1,2068987,3,0
1,411543,244,1,408877,3,0
1,848494,162,1,847454,3,0
1,8756,145,1,5919,3,1
0,169188,306,0,166855,0,1
1,16396,294,1,13598,3,0
1,492103,129,1,489575,3,0
1,14953,302,1,12005,3,1
0,427483,287,0,425420,0,0
1,570499,251,1,567725,3,0
1,3857,103,1,1095,3,1
1,68621,191,1,67503,3,1
1,245943,61,1,244298,3,0
1,556405,239,1,554000,3,1
0,9141,220,0,8410,0,0
1,873816,171,1,871123,3,0
1,14712,221,1,11650,3,0
1,2360044,13,1,2358530,3,0
1,11256,253,1,8914,3,1
1,7825,90,1,5795,3,0
0,1137976,136,0,1133828,0,0
1,96498,208,1,94816,3,1
1,83774,187,1,82602,3,1
0,1981,297,0,2,0,0
1,483389,320,1,481422,3,0
0,85945,309,0,83153,0,1
0,21702,59,0,18811,0,0
0,22871,4,0,21810,0,1
1,5339,51,1,2904,3,1
0,728090,36,0,725151,0,0
1,3210,22,1,616,3,1
0,258722,218,0,256827,0,0
0,10587,181,0,8119,0,1
1,145152,315,1,142906,3,1
1,572075,300,1,569139,3,0
0,2028848,178,0,2027736,2,0
1,33122,281,1,30594,3,1
1,690828,274,1,688522,3,0
0,45706,260,0,43370,0,1
1,588116,3,1,586977,3,0
0,4613,117,0,1626,0,1
0,12865,289,0,9965,0,1
1,4342,81,1,1385,3,1
1,15683,256,1,12888,3,0
1,378832,38,1,376718,3,0
0,25602,134,0,22921,0,1
0,563158,321,0,560651,0,0
0,467624,170,0,464685,0,0
0,2010044,11,0,2009265,2,0
0,4567,55,0,1604,0,0
1,24449,112,1,21516,3,0
1,33240,54,1,30436,3,1
1,197559,193,1,195199,3,1
0,955,155,0,2,1,1
0,447897,285,0,446350,1,0
0,61849,46,0,60071,0,1
1,1721524,41,1,1718519,3,1
1,21022,62,1,18272,3,1
1,517997,131,1,514713,3,0
1,1984663,165,1,1981777,3,0
1,4543,137,1,1706,3,1
1,16034,125,1,13233,3,0
1,1133115,269,1,1130755,3,1
0,1973,1,0,3,1,1
1,1174681,75,1,1172813,3,0
0,3158,6,0,342,0,1
1,648458,160,1,645735,3,0
0,31215,301,0,30121,1,1
0,1171911,147,0,1168945,0,0
0,2772,318,0,301,0,1
1,265804,201,1,263906,3,0
0,496864,169,0,494066,0,0
1,1709527,107,1,1707056,3,1
1,29971,144,1,27197,3,1
1,5025,157,1,2677,3,1
1,474181,192,1,471830,3,0
0,20670,139,0,18052,0,1
0,1430611,98,0,1429409,1,0
1,2149200,265,1,2146741,3,0
1,30617,149,1,28410,3,1
0,750304,209,0,747923,0,0
1,10460,76,1,8049,3,1
1,754760,205,1,752910,3,0
1,6217,319,1,3602,3,1
1,396132,245,1,393928,3,0
1,128705,207,1,127131,3,1
1,496021,26,1,493463,3,0
1,56619,316,1,53854,3,1
0,4421,31,0,3684,0,1
0,117865,211,0,115973,0,1
0,6529,156,0,4547,0,1
1,174847,194,1,172793,3,1
1,8963,176,1,6399,3,1
0,6840,284,0,3826,0,0
1,1175229,146,1,1172704,3,0
1,110366,249,1,107442,3,1
1,7278,95,1,4399,3,0
1,22938,85,1,21226,3,1
1,1130391,197,1,1127446,3,0
1,11829,32,1,8980,3,1
1,1443,19,1,1,3,1
0,7112,282,0,4374,0,1
1,1008775,189,1,1006142,3,0
1,7245,290,1,4687,3,1
1,12451,175,1,9695,3,1
0,2274,50,0,1,0,0
1,2194888,106,1,2192474,3,1
1,905310,39,1,902803,3,0
0,729858,200,0,727477,0,0
1,214887,305,1,212992,3,0
0,34372,2,0,33320,0,1
0,38223,30,0,36197,0,1
1,18751,109,1,16475,3,1
1,2120212,105,1,2117660,3,0
1,3783,84,1,1453,3,1
1,596370,276,1,593812,3,0
1,19819,122,1,16985,3,1
0,392186,224,0,389424,0,0
0,36463,116,0,33455,0,1
1,439193,286,1,435576,3,0
0,598524,92,0,596251,1,0
0,17724,293,0,14986,1,1
1,107280,48,1,104554,3,0
1,2892,67,1,97,3,0
0,478312,10,0,477440,0,0
1,46833,74,1,44356,3,0
1,342240,152,1,339421,3,1
1,2020967,177,1,2018517,3,0
1,68416,261,1,66416,3,1
1,4460,127,1,2295,3,0
0,553364,250,0,550602,0,0
1,201254,158,1,198909,3,0
0,851849,120,0,849015,0,0
1,3538,292,1,857,3,1
1,12394,303,1,9605,3,0
0,748745,35,0,745776,0,0
1,14564,60,1,12819,3,1
0,39476,268,0,36720,0,1
1,13956,215,1,10954,3,0
1,58311,298,1,56848,3,1
0,645301,275,0,642806,0,0
1,5678,128,1,4257,3,1
1,458839,16,1,457553,3,0
0,811998,312,0,810235,0,0
1,26744,325,1,24147,3,1
0,968,8,0,3,0,0
1,905988,96,1,903148,3,0
1,9121,288,1,6152,3,1
1,582104,238,1,579438,3,0
1,79885,229,1,77750,3,1
1,2982,70,1,445,3,1
0,169312,66,0,166550,0,0
1,1113039,295,1,1110685,3,1
0,531490,33,0,528650,0,0
0,4734,123,0,2191,0,0
1,710712,199,1,708220,3,0
0,367390,216,0,364778,1,0
1,56555,324,1,54387,3,1
0,18183,233,0,15433,0,0
1,4073,5,1,1218,3,0
1,15577,69,1,12521,3,1
1,2028531,266,1,2025571,3,0
1,27589,108,1,25172,3,0
0,4119,43,0,967,0,1
1,27235,148,1,24623,3,1
1,783456,79,1,780772,3,0
0,11142,111,0,8839,0,1
1,242630,118,1,239769,3,1
1,10610,172,1,8169,3,1
1,106204,279,1,104012,4,1
1,16963,47,1,14936,3,0
1,9934,86,1,6965,3,1
1,577397,7,1,576201,3,0
1,1820,9,1,189,3,0
1,485801,34,1,483723,3,0
1,11541,326,1,8509,3,1
1,619021,151,1,617285,3,0
0,13820,28,0,12766,0,1
1,2325261,42,1,2323705,3,0
1,10910,88,1,8910,3,0
1,639965,257,1,637563,3,0
