GeneClassification,GenomicEndPosition,GeneDbId,GeneLabel,EncodedProtein,GeneType,OrthologousGene,GenomicStartPosition,StrandOrientation
0,8790106,111,111,4,0,1,8789078,1
0,11287144,147,147,4,0,1,11286161,1
0,15489415,213,213,4,0,3,15488432,0
0,59537,0,0,4,0,1,58254,1
0,5883590,78,78,4,0,1,5882568,0
0,3176182,39,39,4,0,3,3175151,0
0,7897630,101,101,4,0,1,7896578,0
0,1472,222,222,2,0,4,486,0
0,13936712,187,187,4,0,3,13935648,0
0,5847896,76,76,4,0,1,5846877,0
0,2920896,35,35,4,0,3,2919856,1
0,9964559,123,123,4,0,1,9963528,1
0,4463050,58,58,4,0,1,4462001,0
0,12243235,160,160,4,0,3,12242201,0
0,2610070,23,23,0,0,1,2609618,1
0,15158519,198,198,4,0,1,15157458,1
1,417139,3,3,9,1,2,416217,1
1,10514997,130,130,4,1,8,10513960,1
0,11839496,154,154,4,0,1,11838489,0
0,15394076,208,208,4,0,1,15393006,1
0,6172949,83,83,4,0,1,6171900,0
0,5424403,66,66,4,0,1,5423372,1
0,4722229,61,61,7,0,1,4721465,1
0,7603987,98,98,4,0,1,7602974,1
0,3162199,38,38,4,0,1,3161144,0
0,5267560,65,65,4,0,1,5266538,1
0,484416,4,4,4,0,3,483379,0
0,1004471,8,8,4,0,1,1003449,0
0,3423184,44,44,4,0,3,3422180,1
0,5100506,64,64,4,0,3,5099562,0
0,7716955,100,100,3,0,1,7716260,0
0,1077793,12,12,4,0,1,1076726,1
1,10142961,126,126,4,1,2,10142038,1
0,4111482,54,54,4,0,3,4110442,1
0,15673392,216,216,4,0,3,15672376,0
0,7984382,102,102,4,0,1,7983354,0
0,15267586,205,205,4,0,1,15266558,0
1,13411218,177,177,4,1,8,13409911,0
0,15414841,209,209,4,0,3,15413789,1
0,3700998,47,47,4,0,1,3699940,0
0,14064855,189,189,3,0,1,14064382,1
0,3178687,40,40,4,0,1,3177749,0
0,5934829,80,80,3,0,3,5934188,0
0,3084352,36,36,4,0,3,3083339,1
1,15162378,199,199,4,1,2,15161341,1
0,10674708,133,133,4,0,1,10673665,0
1,15165420,200,200,4,1,8,15164305,1
0,11282491,146,146,1,0,1,11281705,1
0,11083412,144,144,0,0,3,11082702,0
0,10443593,129,129,4,0,1,10442556,0
0,3399964,43,43,4,0,1,3398924,0
1,2862055,34,34,4,1,2,2861071,1
0,13661537,183,183,4,0,1,13660515,1
1,14825310,196,196,4,1,2,14824249,1
0,1234497,15,15,4,0,1,1233469,0
0,9718183,120,120,4,0,1,9717146,0
1,11297800,148,148,4,1,2,11296739,1
0,15238298,201,201,1,0,1,15237602,1
0,8971478,112,112,4,0,1,8970528,0
1,7622452,99,99,8,1,8,7621428,0
0,9056363,114,114,4,0,1,9055323,0
0,5645777,73,73,4,0,1,5644764,1
0,5095622,63,63,4,0,1,5094597,0
1,12934241,168,168,4,1,8,12933154,1
0,6972343,91,91,4,0,1,6971264,0
0,16053176,220,220,4,0,1,16052157,0
0,1105831,14,14,4,0,1,1104776,1
0,11087969,145,145,4,0,3,11086974,0
0,4105134,53,53,4,0,1,4104049,1
0,5887238,79,79,4,0,1,5886189,0
0,15475077,211,211,0,0,3,15474151,1
0,5801210,75,75,4,0,1,5800161,1
