GeneSubclass,GeneType,GenomicStartPosition,StrandOrientation,EncodedProtein,GeneDbId,GenomicEndPosition
1,1,9895189,0,21,106,9897110
0,0,20643740,0,20,164,20644984
0,0,21909174,0,39,171,21910490
1,1,13181388,1,30,51,13184258
0,0,11526539,1,0,44,11528056
1,1,5652840,1,21,85,5654798
0,0,10162488,1,3,40,10166666
0,0,18901746,1,20,152,18902845
0,0,16193285,1,38,137,16194865
0,0,19067516,1,19,153,19068634
0,0,17509830,1,19,149,17510816
0,0,24164795,1,19,181,24166126
1,1,20641411,1,24,163,20643501
0,0,15717122,1,38,133,15718387
1,1,12990102,0,30,47,12991286
1,1,9279771,1,30,38,9281160
0,0,2147431,0,19,68,2148612
0,0,1533903,0,43,15,1535813
0,0,12076498,1,4,46,12080076
0,0,20185019,0,19,160,20186152
0,0,14783577,1,38,127,14784791
0,0,23554982,1,19,179,23555821
0,0,17300595,0,31,147,17302256
0,0,17930112,0,20,150,17931183
0,0,8351207,1,23,101,8353309
1,1,7251456,0,15,28,7252507
0,0,14311819,0,37,124,14313028
1,1,22702368,1,21,176,22703905
0,0,690027,1,18,0,690524
0,0,10471814,1,2,42,10473550
0,0,13563621,0,20,118,13564907
0,0,9394522,1,19,102,9395484
1,1,13799374,1,28,119,13800591
0,0,5417666,1,33,81,5418484
0,0,4786735,1,19,77,4787700
0,0,6828929,0,19,92,6830368
0,0,1981871,1,31,67,1983400
0,0,19929547,0,39,159,19933346
0,0,576495,0,38,57,578294
0,0,21499448,1,38,169,21500635
0,0,21206232,0,19,166,21207146
0,0,7307190,1,23,96,7308392
0,0,24416316,1,38,184,24417944
0,0,986793,1,13,14,990467
0,0,17429500,1,36,148,17430624
0,0,38457,0,20,54,39504
0,0,5630353,0,23,84,5631591
0,0,1987326,0,20,13,1988897
1,1,3665455,0,45,72,3668916
0,0,16628019,1,19,141,16629275
0,0,5309435,1,19,80,5310760
