Nationality,CommonsCategory,FirstName,CyclistName,FirstCyclingRiderId,FreebaseId,CqRankingMaleCyclistId,ProfileImage,HeightCm,MemoireDuCyclismeCyclistId,ProCyclingStatsCyclistId,BirthDate,UciRiderId,CycleBaseCyclistId,EventsParticipated,WeightKg,LastName,CyclingArchivesCyclistId,OlympediaPeopleId,BirthPlace
13,44,40,44,37280.0,40,24934.0,29,188.0,,182731,50,111343.0,65225.0,20,,43,104017,146240.0,39
1,24,22,24,45363.0,40,26392.0,33,176.0,,193131,52,148275.0,,14,69.0,37,89152,,31
12,13,11,12,51.0,14,3460.0,19,176.0,7496.0,140790,7,32248.0,19245.0,20,62.0,31,16377,123581.0,3
13,3,3,3,37281.0,40,24316.0,12,186.0,,181239,44,97280.0,,15,67.0,52,104872,146238.0,52
7,55,51,55,2338.0,31,16666.0,51,176.0,55148.0,140492,21,64680.0,46998.0,3,71.0,13,48356,,13
7,62,56,62,37351.0,40,24139.0,6,175.0,,182227,47,95054.0,65498.0,15,70.0,1,107952,,34
7,22,20,22,486.0,10,1992.0,27,175.0,20484.0,140399,5,31056.0,17747.0,19,63.0,51,11476,,47
15,32,28,32,9234.0,32,15789.0,37,183.0,54574.0,133565,14,55607.0,45487.0,15,72.0,34,62028,,25
0,10,38,10,86.0,12,161.0,17,174.0,11434.0,140762,0,13388.0,5172.0,20,68.0,17,5689,14276.0,23
1,8,8,8,3052.0,28,13233.0,16,183.0,47546.0,140336,8,71261.0,43467.0,20,67.0,14,54596,,58
1,19,17,19,10382.0,4,16697.0,26,183.0,,138471,24,70799.0,46847.0,11,72.0,45,65315,,17
14,45,42,45,784.0,23,12193.0,45,184.0,9096.0,140797,19,54603.0,26009.0,0,78.0,41,30229,125137.0,60
1,26,38,26,94607.0,40,32588.0,63,177.0,,216125,60,649275.0,89890.0,15,,9,121515,,17
1,27,24,27,920.0,24,8921.0,31,185.0,54415.0,140191,15,69192.0,41199.0,19,,27,58138,,7
13,3,3,3,37281.0,40,24316.0,12,186.0,,181239,44,97280.0,,15,67.0,52,104872,146238.0,52
6,38,34,38,16643.0,40,20798.0,50,183.0,66541.0,132438,34,86938.0,52044.0,14,70.0,42,71789,143404.0,2
12,50,47,50,3277.0,17,13362.0,48,177.0,54866.0,139405,23,65995.0,41076.0,19,70.0,8,51551,,54
11,23,21,23,155993.0,40,33556.0,32,,,261531,62,,,17,,56,178737,,15
17,33,29,33,25726.0,6,23299.0,54,186.0,,164709,33,89223.0,61775.0,11,68.0,44,72207,,51
3,30,26,30,38195.0,40,25740.0,35,175.0,,196424,48,112082.0,69190.0,15,,50,115868,,18
7,21,19,21,27099.0,40,24057.0,7,193.0,,177672,46,91640.0,61538.0,21,82.0,20,79184,136635.0,50
2,51,48,51,81835.0,40,29699.0,5,174.0,,211947,57,353375.0,89309.0,12,,11,144923,,4
18,39,35,39,91.0,11,311.0,42,172.0,140.0,140861,4,14494.0,171.0,20,65.0,2,118,126386.0,8
14,45,42,45,784.0,23,12193.0,45,184.0,9096.0,140797,19,54603.0,26009.0,0,78.0,41,30229,125137.0,60
15,46,43,46,18655.0,38,20719.0,46,177.0,66232.0,174582,18,88889.0,56041.0,8,65.0,40,72449,135863.0,45
19,57,53,57,16639.0,7,22018.0,56,183.0,,168758,42,86735.0,56672.0,20,,22,74063,143136.0,19
7,6,6,6,65240.0,40,,14,176.0,,202483,54,157221.0,80654.0,15,60.0,6,121401,,43
17,29,41,29,2325.0,35,17534.0,9,183.0,45660.0,140333,22,59773.0,47686.0,19,72.0,23,37589,142502.0,32
3,31,27,31,27121.0,40,23558.0,36,192.0,,181257,41,97437.0,62729.0,13,75.0,4,101407,142164.0,24
5,4,4,4,948.0,29,10536.0,13,183.0,42346.0,140489,13,60455.0,41075.0,19,68.0,36,46549,,37
1,48,45,48,84019.0,40,28377.0,47,171.0,,212377,58,587366.0,83295.0,15,62.0,18,141854,141007.0,0
19,54,50,54,6242.0,33,17893.0,2,172.0,58541.0,134456,27,553301.0,49682.0,19,58.0,54,65130,143135.0,10
7,21,19,21,27099.0,40,24057.0,7,193.0,,177672,46,91640.0,61538.0,21,82.0,20,79184,136635.0,50
20,36,32,36,68206.0,40,28057.0,40,190.0,,204401,56,159567.0,,15,67.0,26,123074,,53
1,37,33,37,70034.0,40,,41,175.0,,205970,55,154227.0,75207.0,15,,49,104359,141006.0,35
2,20,18,20,18575.0,40,20777.0,4,180.0,,179769,37,86568.0,56070.0,6,71.0,36,79781,133261.0,26
6,42,39,42,9746.0,40,20917.0,24,180.0,67199.0,156570,35,77380.0,56436.0,15,78.0,0,71706,,21
0,11,10,11,16573.0,22,19651.0,18,165.0,,168753,36,78094.0,53630.0,2,61.0,19,71432,,44
6,41,37,41,5306.0,26,16323.0,43,188.0,32693.0,140265,26,64797.0,43330.0,20,77.0,3,31793,143405.0,9
2,52,49,52,58639.0,40,25026.0,10,163.0,,198985,51,109855.0,,10,54.0,24,109700,141956.0,29
9,63,57,63,929.0,25,7751.0,62,183.0,17044.0,140343,10,862522.0,12832.0,20,65.0,38,25301,135250.0,49
8,5,5,5,6230.0,34,18455.0,30,175.0,58535.0,138294,28,68778.0,50317.0,7,70.0,30,61900,1303548.0,5
2,14,25,14,2280.0,36,9558.0,21,167.0,34566.0,140153,11,69160.0,29471.0,19,59.0,5,39967,,48
7,17,15,17,26504.0,9,22020.0,22,183.0,,164213,38,86617.0,55719.0,15,,7,77514,,11
7,55,51,55,2338.0,31,16666.0,51,176.0,55148.0,140492,21,64680.0,46998.0,3,71.0,13,48356,,13
0,25,23,25,4778.0,1,18287.0,23,174.0,55741.0,137562,29,68745.0,43348.0,3,,33,61619,1302744.0,28
2,28,41,28,109114.0,40,,34,,,236390,59,352615.0,85445.0,15,,36,136643,,57
10,47,44,47,1709.0,27,6909.0,1,190.0,7981.0,140842,12,45055.0,11476.0,19,77.0,36,18730,121871.0,59
7,18,16,18,794.0,13,10023.0,25,175.0,10112.0,140233,17,54679.0,19630.0,20,61.0,47,22431,,12
9,43,39,43,37308.0,40,24932.0,44,185.0,,185581,49,93345.0,53950.0,15,70.0,16,84264,,16
