Gender,ViafId,FirstName,Profession,Biography,Languages,BirthDate,Birthplace
1,37091301.0,271,98,470,8,1087,719
1,,88,8,1538,8,1894,680
1,223777946.0,151,30,240,13,490,391
1,218463895.0,222,30,1296,13,1852,672
1,,463,183,758,13,132,680
1,116470075.0,18,215,1088,8,1171,557
1,,94,132,614,8,1464,680
1,,461,57,1296,8,2181,680
1,,283,8,1296,13,413,187
1,45119499.0,214,257,1541,13,33,187
0,73884254.0,380,33,1186,8,1980,259
1,,418,273,1294,22,2096,310
1,54545289.0,444,223,1370,8,432,111
1,,271,8,1538,8,1958,373
1,,281,206,948,13,149,670
1,,491,206,948,8,551,92
1,46776523.0,485,30,233,8,1952,680
0,44384726.0,84,141,658,8,2035,412
0,2.1261476053464575e+21,225,8,115,6,103,199
1,,7,20,1299,8,2051,137
1,5863828.0,443,206,26,13,2226,36
1,62289389.0,463,194,621,8,589,708
1,67276726.0,38,73,383,8,1459,675
0,,182,206,734,13,7,680
1,1.7314929431108053e+20,244,206,981,8,708,579
1,164351275.0,61,198,1296,8,1099,454
1,88798757.0,490,199,459,8,1521,489
1,,281,206,948,8,492,131
1,,271,98,476,8,622,71
1,34530719.0,18,151,696,8,1400,680
1,,463,38,269,8,1369,371
1,90218478.0,51,206,948,8,1520,71
1,,429,209,1296,13,2226,442
1,59866514.0,281,95,456,13,766,398
0,51652310.0,532,244,1296,13,1198,680
1,90336084.0,291,273,1250,8,1086,660
1,,148,92,1296,13,1850,653
1,,429,8,1296,13,319,615
1,66849507.0,248,206,1527,8,977,447
1,,21,206,999,8,882,152
1,,555,8,1426,13,231,36
1,15523617.0,280,76,387,13,730,53
0,,112,183,835,8,1634,680
1,64900769.0,143,35,41,13,1951,439
1,37063660.0,54,183,930,8,2125,76
1,,451,1,1296,13,67,187
1,,166,244,1179,8,1838,575
1,72177691.0,274,198,907,8,232,398
1,90220131.0,14,13,171,8,1286,496
1,52051790.0,491,258,1296,13,763,200
1,,142,75,385,8,2203,680
1,74939633.0,80,261,1221,13,43,442
1,,517,199,917,8,1902,691
1,,38,206,1514,13,2226,442
1,,172,8,1409,13,2102,680
1,59318123.0,14,139,652,8,367,680
1,45838035.0,246,1,348,13,135,36
1,47038518.0,450,90,426,8,1145,435
1,96035829.0,490,183,1296,8,1189,53
1,17235461.0,38,273,1278,8,2191,656
1,,292,38,274,8,1453,680
1,,179,157,1296,13,134,680
1,,360,8,1296,13,425,680
1,90342303.0,23,199,924,8,1202,556
1,,38,206,997,8,838,452
1,,371,273,1245,8,2173,740
1,3.497161274851448e+21,281,198,1208,8,865,198
1,,389,206,1019,8,1287,680
0,,160,253,1198,13,2226,680
1,295667535.0,28,241,1156,8,376,680
1,,444,206,948,8,810,680
1,260080111.0,318,76,70,2,654,312
1,203981403.0,60,90,1108,8,1507,680
1,,193,38,510,8,1673,680
0,,183,227,1132,8,1479,680
1,89777691.0,461,53,342,8,2027,680
1,78189010.0,461,183,1296,13,2057,573
1,89517523.0,559,209,1373,8,681,95
1,295882857.0,18,183,748,13,29,248
0,55228047.0,141,183,58,8,1503,343
0,,147,13,192,8,1711,680
0,4.002150518483604e+21,307,244,1539,13,537,384
1,96036181.0,175,183,796,13,978,680
1,,38,8,1296,13,552,680
1,,365,38,507,8,1615,680
1,65835800.0,561,38,492,8,1332,680
1,46311411.0,18,151,708,8,743,36
1,46304682.0,313,1,1296,9,36,337
0,,353,13,187,13,1427,556
1,7390794.0,324,273,93,6,674,721
1,,271,67,1201,13,113,154
0,,425,13,191,8,1455,323
1,197940483.0,176,206,948,8,1714,680
1,81797229.0,115,241,1164,8,1090,680
0,172997181.0,469,32,1324,13,164,41
1,90107311.0,91,151,684,8,715,680
1,,396,11,1386,13,1434,193
1,,461,38,279,8,1533,336
1,88930422.0,238,133,10,6,340,232
1,,76,38,262,8,1241,680
1,78520518.0,28,136,638,8,1592,680
1,3936197.0,379,263,1224,8,2133,40
1,84865518.0,457,198,903,13,220,200
1,,429,8,1296,13,257,680
1,304911879.0,281,139,644,8,332,712
1,,115,250,1297,13,1630,680
1,314844282.0,344,76,1296,13,1111,395
1,88814384.0,92,138,643,8,859,680
1,27944987.0,463,27,217,8,1426,680
1,85536771.0,268,273,1257,8,2198,36
1,66104758.0,271,132,610,8,1179,75
1,49250864.0,428,203,932,8,1335,680
1,,18,206,1296,13,524,273
1,,271,30,242,8,2055,680
1,58451151.0,281,13,1183,8,2066,680
1,69258941.0,365,125,1296,8,1840,325
1,227732382.0,296,50,126,7,792,334
1,,365,196,897,13,1637,235
1,20022276.0,462,255,1296,8,2226,442
0,84172396.0,200,183,1296,13,489,442
0,8.615177677911802e+19,284,263,1225,8,1778,442
1,,396,185,867,8,1803,440
1,71665153.0,521,183,1492,13,747,187
1,2602802.0,342,265,558,8,1416,677
0,52923494.0,370,273,1253,8,1579,384
0,27231647.0,368,242,1254,13,1702,192
1,90119521.0,64,16,1296,13,1811,174
0,42206872.0,368,139,646,8,1356,259
1,,186,98,318,8,1180,235
1,69736841.0,389,273,311,8,1594,444
1,7240374.0,228,78,408,8,1735,110
1,71520099.0,148,273,1252,8,1445,680
1,141485150.0,389,143,664,8,1542,680
1,62843394.0,245,95,447,13,1114,678
1,,0,87,1296,13,1065,622
1,4.543150869803722e+21,53,201,1296,13,677,112
1,90221698.0,245,265,1377,13,1130,680
1,196149769.0,202,17,872,8,1568,680
1,6.51145858090723e+20,429,1,1447,13,9,442
1,,479,157,1296,8,1775,326
1,,264,38,524,8,1805,361
1,,365,8,1296,13,2226,95
1,39647119.0,408,30,236,8,102,192
1,,281,159,718,13,297,440
1,,281,206,948,8,512,112
1,9866770.0,268,132,609,8,2028,680
1,62347673.0,33,183,779,13,751,680
1,29630177.0,281,146,673,8,428,18
1,57613969.0,234,241,254,8,1300,410
1,90312067.0,190,159,715,8,1028,348
0,56613608.0,39,206,1117,8,1563,97
1,76360011.0,309,183,851,8,1616,229
1,,355,13,163,8,1993,627
1,,399,8,1538,8,1793,61
1,,29,8,1538,8,1892,716
1,90177536.0,389,197,1392,8,1620,680
1,,38,206,948,13,623,138
1,,429,1,1296,8,2226,442
0,55408614.0,207,132,216,8,1536,680
1,,131,1,1296,13,292,680
1,88679437.0,429,76,1464,13,586,700
1,,94,218,1127,8,2053,680
1,56653675.0,132,119,568,8,1216,620
1,307418420.0,379,151,707,8,1060,109
1,,428,30,1296,8,1664,680
1,86181902.0,88,273,1264,8,2162,556
0,232796142.0,476,13,198,8,2155,435
1,303685344.0,271,273,1548,8,1142,680
1,,563,250,1471,8,2108,332
0,59401652.0,289,244,1296,13,1083,255
1,89352768.0,18,109,555,13,958,680
1,42591554.0,14,76,398,8,1156,730
1,,273,8,1296,13,354,680
1,233249313.0,365,18,207,13,696,266
1,,139,126,1484,13,2226,683
1,2.5861542606455245e+21,239,13,177,8,1809,680
1,25491054.0,266,76,386,8,1094,680
1,,325,181,67,13,905,585
1,25413046.0,273,30,236,8,177,242
1,39369136.0,365,139,1442,8,1491,446
1,10281221.0,151,192,877,9,15,352
0,,123,13,193,8,1843,556
1,15507297.0,281,168,723,13,862,604
1,79174405.0,561,140,654,8,215,504
1,9839575.0,293,206,970,6,583,680
0,,52,177,52,13,846,707
1,1.035151246600044e+21,463,66,375,8,1191,194
0,,210,251,1194,8,1741,680
1,,561,38,285,8,1573,36
1,,264,218,1126,8,1819,36
1,35365384.0,172,151,695,8,1379,680
1,,400,183,1296,13,182,680
1,79539309.0,231,8,346,13,579,395
1,,245,0,1447,13,2226,133
1,,172,162,721,8,2078,40
1,88857928.0,38,13,1218,13,404,680
1,,429,206,948,13,515,680
1,,269,196,1510,13,621,198
1,81636964.0,449,183,820,8,1345,285
1,9.61215788484326e+21,151,158,744,8,2009,680
1,,198,256,1210,8,2156,220
1,,429,8,1296,13,304,680
1,25614098.0,16,193,887,8,1631,323
1,,281,8,1296,13,214,680
1,,219,206,998,8,863,546
1,90371786.0,165,151,685,8,762,680
0,,492,8,737,13,598,680
1,232821445.0,128,96,1296,13,594,242
1,164380286.0,461,209,1296,8,2119,637
1,183994189.0,155,240,1147,8,1995,680
1,89526862.0,429,213,1111,8,1077,137
1,213373159.0,271,95,440,13,1018,304
1,88284782.0,485,241,1170,8,1539,680
1,90186802.0,389,260,1200,8,2067,65
1,90203788.0,463,30,243,13,1225,680
1,,493,204,945,8,1970,54
1,3.239148814298745e+21,175,241,1169,8,1490,323
1,90322898.0,206,59,352,13,1112,264
1,59993972.0,271,25,209,13,202,680
1,,561,13,163,13,971,680
1,50007887.0,21,198,1378,17,1152,477
1,,365,159,1296,13,2226,630
1,12450585.0,175,132,1488,8,1545,259
1,,349,206,1025,8,1522,714
1,,538,38,493,8,1644,680
1,90276492.0,54,59,359,8,1506,461
1,,403,206,1039,8,2214,680
1,53195075.0,61,51,339,8,1705,680
1,,432,38,303,8,1782,680
1,25411024.0,94,273,931,8,1275,680
1,18940642.0,271,144,668,13,377,329
1,90341869.0,268,273,1272,8,1523,695
1,,557,13,184,8,1660,461
1,,175,101,482,13,994,680
1,30637513.0,555,1,1537,13,286,146
0,37757641.0,354,143,665,8,1939,680
1,,429,1,1296,13,2226,442
0,,368,198,1296,8,1505,680
1,7.534159478036928e+21,12,206,991,8,798,616
1,,429,30,241,13,913,582
1,,54,206,967,8,549,356
1,,271,206,984,8,741,277
1,,38,250,1134,8,1928,680
1,88829444.0,439,135,1296,8,1478,606
1,25343374.0,365,59,352,13,954,680
1,27054133.0,209,119,574,8,1082,680
1,67500845.0,222,265,1399,8,1744,672
1,107565104.0,16,114,1229,8,1825,512
1,6.914709516932508e+19,204,250,1135,8,1482,680
1,107026484.0,379,35,1296,8,2120,680
1,12530797.0,520,95,457,13,203,680
1,,271,102,1477,8,1251,124
1,2.891594741933277e+20,324,206,112,8,315,680
1,234659127.0,389,139,645,8,1038,599
1,,365,206,674,8,653,677
1,,172,98,1301,13,1161,189
1,,439,273,1245,8,1010,680
1,,463,38,513,8,1695,676
1,5.355159477761428e+21,463,206,961,8,494,488
1,,219,38,275,8,1466,481
1,96522195.0,280,183,783,13,796,231
1,52063064.0,68,193,882,8,1454,435
1,14818660.0,477,119,588,8,1845,384
1,9305277.0,365,76,386,8,1627,441
1,,429,8,1296,13,299,680
1,9.415274293622771e+19,94,166,1296,13,709,5
1,193153097.0,115,263,1296,8,2095,198
1,39189363.0,280,132,602,8,1411,36
1,,115,102,484,8,2153,680
1,,274,1,61,13,24,725
1,247503524.0,485,109,556,8,1837,578
1,46480026.0,16,76,386,13,1494,384
1,32379208.0,268,133,621,8,1623,495
1,89255821.0,94,198,908,8,571,615
1,,509,159,1296,13,1811,331
1,39493132.0,365,274,467,8,689,277
1,,429,111,1296,13,365,71
1,,94,8,1296,13,406,680
1,,299,136,44,13,1796,275
1,102752866.0,204,248,480,8,1105,335
1,,472,248,1296,13,735,472
1,40944767.0,497,90,94,8,575,472
0,121749003.0,127,3,142,5,1749,680
1,305191532.0,33,243,562,13,146,680
1,95845485.0,504,183,759,13,143,384
1,,546,38,267,8,1328,321
0,56657338.0,134,34,245,8,2131,680
1,108363259.0,198,59,368,8,2172,609
1,55194480.0,524,139,647,8,1739,262
1,,561,8,1296,13,873,151
0,28330599.0,109,223,150,8,767,134
1,,449,118,636,8,940,571
1,,429,98,1296,13,851,342
1,,38,102,1193,8,2226,442
1,,28,206,948,8,680,680
1,90229925.0,271,206,1021,8,1393,3
1,9849901.0,222,273,1245,8,1829,556
1,205168079.0,281,206,948,13,511,435
1,80820949.0,169,206,1057,8,382,113
1,119002153.0,491,193,884,8,1104,680
1,96661872.0,33,35,257,13,938,680
1,108336166.0,430,193,642,8,1680,680
1,88899448.0,463,267,1296,13,1219,65
1,96525099.0,209,30,227,13,484,352
0,,429,8,80,13,2226,442
1,198060061.0,245,24,1395,8,1636,680
1,,215,159,717,8,1058,680
1,46803484.0,408,206,948,8,609,530
1,2728277.0,281,208,152,8,945,164
1,,262,38,509,8,1652,680
1,120992840.0,396,260,419,8,2039,271
1,,151,206,948,8,1305,384
1,,38,183,775,13,706,680
1,11122819.0,409,59,370,8,1388,167
1,23953367.0,273,206,975,8,644,92
1,69734166.0,169,206,948,8,1753,26
1,71506528.0,355,203,615,13,1401,97
1,,365,38,263,13,1242,430
1,,429,8,1296,13,2226,695
1,,429,30,223,13,284,582
1,57422033.0,292,183,1296,13,1219,442
1,,94,206,1514,8,543,154
1,,449,159,1296,13,152,697
1,8242911.0,94,193,885,8,1472,534
1,88720955.0,246,151,1494,9,35,695
1,16957917.0,281,208,1081,8,545,398
1,,186,206,1028,8,1648,680
1,,219,98,472,8,2103,409
1,172672885.0,480,163,1419,8,1608,672
1,3.191551039183762e+20,316,8,1317,11,17,276
1,,429,1,1296,13,2226,680
1,,18,218,1126,8,1284,680
1,,389,206,963,8,499,192
1,23415173.0,543,258,1215,8,1965,380
1,305358419.0,222,159,1296,8,1670,376
1,,523,146,670,8,553,680
1,3865905.0,14,183,1501,8,1236,75
1,,538,0,1542,13,2226,442
1,90341637.0,234,59,361,8,1874,680
1,,517,190,1296,8,1428,680
1,39894599.0,16,151,700,8,1657,680
1,89343568.0,273,1,1315,8,941,712
1,174628114.0,14,63,416,8,1876,680
1,,409,159,545,8,1144,91
1,,115,241,1162,13,993,680
1,79420648.0,94,206,1072,8,1766,680
1,90350070.0,18,214,1116,8,1557,573
1,,517,183,786,13,869,680
1,264221325.0,268,8,1408,13,2099,342
0,96412436.0,43,8,1320,13,381,562
1,80327581.0,377,134,627,8,648,680
1,3700537.0,401,9,65,8,62,680
1,,179,13,163,13,1021,680
1,,215,206,972,8,633,98
1,,561,38,294,8,1769,205
1,69301082.0,490,119,1383,8,1299,425
1,35268139.0,28,132,614,8,1480,216
1,1.6141592344641033e+21,429,8,1470,13,348,79
1,,94,183,763,8,311,235
1,39455174.0,219,119,592,8,1053,330
1,,409,1,1089,8,1419,670
0,307374209.0,6,273,1296,13,1121,680
1,,399,98,317,13,1123,235
1,,441,38,276,8,1477,680
1,,140,8,1296,8,1354,514
1,215893845.0,115,265,810,13,1247,680
1,89373396.0,409,1,155,8,833,680
1,81138665.0,329,158,37,13,52,738
1,,73,1,1296,13,2226,442
1,204745658.0,180,97,467,13,1070,191
1,88943255.0,73,133,624,8,1081,213
1,313241135.0,94,59,369,13,265,680
1,,91,157,542,8,1274,616
1,316790336.0,423,185,1296,8,1605,680
1,88613264.0,219,206,948,8,617,23
1,69062955.0,54,34,1420,8,2148,680
1,,115,206,1010,8,1091,192
1,,439,8,1538,8,1873,522
1,1.2115056557850624e+20,219,59,1391,8,1621,435
1,24607444.0,257,106,488,8,2047,680
1,,206,38,520,8,1735,440
1,264801209.0,193,273,1267,8,1048,474
0,39476113.0,149,80,1270,8,363,680
1,18898077.0,429,30,1296,13,97,442
1,,271,183,761,13,238,680
1,,352,206,948,13,606,680
1,,436,38,514,13,1699,526
1,38954544.0,209,90,430,8,1628,680
1,,94,159,1496,13,1420,680
1,89394333.0,472,95,462,13,643,680
1,,409,1,1314,13,78,615
1,68919191.0,281,273,4,13,184,461
0,88614416.0,558,177,1178,13,765,389
1,79164448.0,449,132,602,8,1953,680
1,44648099.0,209,206,9,13,338,395
1,,551,8,1296,13,456,707
1,,219,50,1296,13,866,277
1,,175,183,1296,13,523,680
1,78141348.0,449,183,818,8,1315,667
0,,519,249,60,13,12,146
1,8.290148947784755e+21,281,98,475,8,1283,335
1,8.581464615750276e+20,219,8,1364,13,268,615
1,98651449.0,563,273,124,7,1688,564
1,,389,19,542,8,1435,235
1,44346490.0,463,193,569,8,130,301
1,,484,38,531,8,1972,12
1,,485,38,535,8,2073,444
1,,389,38,1104,8,1586,680
1,4970205.0,523,273,1265,8,1903,445
1,17488405.0,280,76,1240,13,224,680
1,98473599.0,18,193,630,8,1567,680
1,186210357.0,449,1,1296,13,908,441
1,,271,183,805,13,1067,444
1,,365,206,986,8,750,680
1,123781395.0,281,132,1325,8,667,533
1,36615652.0,54,169,729,8,2217,298
1,89355824.0,505,267,1237,13,802,144
1,90359438.0,33,208,1074,13,1129,451
1,,544,1,1458,13,2226,697
1,,249,77,406,13,22,384
1,80813034.0,365,183,1296,13,1244,680
1,,365,8,1538,8,1949,388
0,305358436.0,530,237,1296,13,848,65
1,,429,8,1349,13,2226,24
1,23935676.0,273,258,1214,8,1006,702
1,90373095.0,54,1,1314,13,56,493
1,96263559.0,365,183,1296,13,1168,75
1,,186,206,1000,8,890,488
1,307356458.0,12,151,679,8,1165,680
1,,543,132,602,8,1920,663
1,,206,206,988,8,772,680
1,47142541.0,389,137,640,8,1402,556
1,90357103.0,505,95,440,13,679,567
1,,115,206,1524,8,852,435
1,,281,38,504,8,1551,680
1,86867580.0,115,78,407,8,1599,615
1,103820951.0,396,273,1245,8,1752,680
1,103653959.0,142,75,385,8,1956,680
1,74005802.0,144,172,732,8,1990,701
1,,441,19,1296,13,1864,680
1,307349497.0,54,59,358,8,1519,556
1,72552943.0,403,31,1296,8,2154,556
1,,121,89,1296,13,1640,171
1,68975135.0,94,193,882,8,2012,26
1,17336444.0,62,59,352,8,634,146
1,66559490.0,14,273,1296,13,946,680
1,,281,38,297,8,1835,444
1,89511054.0,538,158,1099,13,965,463
1,57654800.0,2,225,1535,8,1501,680
0,,173,66,448,8,1310,680
1,,219,8,1296,13,613,614
1,,245,39,305,8,1600,680
0,,116,185,1296,8,1719,680
1,280767894.0,204,265,1296,8,1250,219
1,5.541594743120277e+20,365,99,1296,13,919,614
1,68949662.0,429,119,1296,6,521,367
1,72175152.0,94,51,336,13,951,243
1,,403,206,948,8,481,680
1,,175,88,1306,13,441,473
1,,275,183,770,13,624,637
1,56790464.0,429,198,59,0,1120,538
1,,94,206,1001,8,894,187
