StrandOrientation,GenomicEndPosition,GeneDbId,GeneType,ChromosomeId,GenomicStartPosition
1,1022329,214,0,14,1021526
0,23025,135,0,63,22318
1,1675,216,0,34,854
0,26635,165,1,72,25832
1,2151652,67,0,19,2150759
0,2155792,188,0,18,2155145
1,35179,44,1,13,34406
1,19523,47,0,28,18321
0,1687805,71,0,19,1687044
0,10624,96,0,52,9845
0,266241,143,0,15,265438
0,313431,85,0,14,312547
0,486743,59,0,1,485586
0,285745,83,0,14,284939
1,827468,210,1,14,826311
0,1047,1,0,21,259
1,323886,161,0,11,323095
0,18784,99,0,55,18002
1,997273,213,0,14,996476
0,305564,86,0,14,304740
1,13592,102,1,56,12324
1,30765,28,0,42,29968
0,422034,16,0,4,420934
1,941707,7,0,14,940901
0,12388,137,0,64,11468
1,269718,148,1,19,269074
1,65754,235,0,80,64810
1,1522877,183,0,17,1521903
1,17173,218,0,77,16040
0,13948,30,0,43,13148
0,387281,11,0,14,386064
0,290434,82,1,14,289571
1,975187,117,0,19,974237
0,1679298,73,0,19,1678525
0,6002,242,1,82,5043
1,1592913,75,1,19,1591840
0,663114,15,1,19,662260
1,432941,204,1,14,432381
0,277578,84,0,14,276769
1,4723,24,1,39,4340
1,23810,60,0,47,22572
0,402463,87,0,5,401243
0,2142542,189,0,18,2141583
0,13418,151,0,67,12669
0,1694274,70,0,19,1693627
0,25842,200,1,75,24370
0,9998,78,1,50,9753
0,1577124,191,0,18,1576114
0,1229889,180,0,17,1228786
0,1778534,130,0,18,1777443
1,1152958,196,1,14,1151783
0,907521,141,0,14,906301
0,23852,33,1,27,23046
0,1148502,230,0,15,1147669
1,655,0,1,83,2
0,231201,246,0,5,230431
0,1631767,72,0,19,1631120
1,667923,94,1,14,666610
0,272963,215,0,15,272211
0,11872,131,1,61,11348
0,247509,144,0,15,246700
