GeneClassification,GenomicEndPosition,GeneDbId,GenomicStartPosition,StrandOrientation
0,314714,123,314181,0
0,1464254,89,1463646,0
0,1100102,407,1099440,1
0,444695,33,444042,0
0,42175,386,41594,0
0,1079,130,750,0
0,382637,59,382086,0
0,35038,306,34388,1
0,410050,253,409331,0
1,13194,351,12661,1
0,641578,83,640880,1
0,320021,423,319437,1
0,70385,303,69732,0
0,2893,384,2228,0
0,36160,21,35462,1
1,628319,188,627354,1
1,978860,281,978390,0
0,288480,178,287506,0
0,331967,157,331098,0
0,467996,366,467418,0
0,1344856,203,1344239,0
0,340144,413,339536,0
0,218124,170,217234,0
0,11303,52,10641,1
0,12594,202,11959,1
0,789660,155,789061,1
0,855201,25,854569,1
0,873,6,262,1
0,16035,344,15472,0
0,301818,284,301183,1
0,281,11,3,1
0,578960,77,578253,0
0,1665163,31,1664528,0
0,538452,149,537880,1
0,278450,249,277617,0
0,473006,259,472107,0
0,10738,169,10142,1
1,15631,124,14972,0
0,2130876,105,2130250,1
0,750998,205,750414,0
0,497850,299,497083,1
0,653543,84,652923,1
0,698962,98,698387,1
0,350824,414,350453,1
0,584282,136,583626,1
0,425782,145,425384,0
0,1183104,328,1182499,0
0,160801,403,160181,0
0,6106,95,5495,1
0,393310,287,392783,0
0,514088,298,513441,1
0,667099,5,666332,1
0,244449,293,243556,0
0,223254,294,222562,0
0,260483,180,259935,0
0,1069989,198,1069351,0
0,198335,44,197730,1
0,1235855,191,1235211,1
0,1109266,398,1108595,0
0,6197,387,5628,0
0,38888,79,38181,1
0,2159962,329,2159390,0
0,1411596,23,1410949,0
0,2152710,106,2152117,1
0,22912,60,22523,0
0,2442,290,1612,1
0,673589,189,672981,1
1,1671935,119,1671336,0
0,11230,375,10535,0
0,1875155,225,1874526,0
0,311313,422,310645,1
0,274287,176,273715,1
0,433446,210,432955,0
0,36542,385,35961,1
0,541203,104,540331,0
0,375081,122,374536,1
0,1134002,408,1133424,1
0,1473130,88,1472456,0
1,1261581,327,1260970,0
0,1121,3,531,0
0,405277,144,404699,0
0,1581481,220,1580900,1
0,1049,289,204,1
0,327963,424,327337,1
0,1392058,311,1391459,0
0,253089,181,252442,0
0,897457,278,896894,0
0,358436,283,358038,1
0,782,48,129,1
0,371048,282,370350,1
0,1932015,107,1931470,0
0,7470,274,6853,1
0,76266,285,75574,1
0,16265,14,15666,1
0,605996,244,605367,1
0,332148,411,331510,0
1,844685,369,844098,0
0,1790185,226,1789544,1
0,617680,239,617066,1
0,17055,50,16375,0
0,1591262,333,1590720,0
0,31626,358,31012,0
0,67780,415,67067,0
0,425359,254,424565,0
0,281837,182,281250,0
0,1169771,349,1169145,0
0,1192370,318,1191744,1
0,18926,390,18276,0
0,2103139,227,2102468,1
0,1094415,321,1093786,1
0,59685,51,58891,0
0,395098,43,394403,1
0,128464,416,128075,0
0,1132814,320,1132212,1
1,385637,22,384969,0
0,26079,168,25390,0
0,567879,382,567310,0
0,190891,67,190256,1
0,7816,172,6941,1
0,756041,100,755460,1
0,1653046,113,1652444,1
0,7200,138,6637,0
0,17644,350,17072,0
0,388432,199,388043,1
0,1001979,96,1001410,0
0,1611491,332,1610868,0
0,6125,12,5631,1
0,1806636,339,1806064,0
0,1150552,317,1149983,1
0,377041,364,376496,1
0,389569,255,388676,0
0,1212108,314,1211533,0
0,1793869,335,1793264,1
0,1559,53,987,1
0,421453,417,420860,0
0,410649,146,410251,0
1,2936,1,2637,1
1,690105,152,689434,0
0,7534,345,7151,0
0,8892,377,8245,0
0,237931,291,237338,0
0,615493,18,614912,0
0,253619,174,252897,0
0,244194,184,243160,0
0,1176204,399,1175530,0
0,668902,153,668282,1
0,22995,308,22609,1
0,47042,80,46335,1
0,3660,200,3085,1
0,462219,365,461563,1
0,10321,129,9749,0
1,1773473,336,1772775,1
0,1368555,312,1367977,1
0,170789,69,170208,1
1,44727,395,44119,1
0,917604,279,916954,0
0,7294,267,6638,0
0,6256,133,5888,0
0,633393,82,632488,1
1,1947,16,1330,1
0,1604078,116,1603452,0
0,219644,72,218985,1
0,1579,4,1004,1
0,462632,143,462006,0
0,1707,379,1054,0
0,555039,78,554104,0
1,891600,277,891058,1
0,522983,297,522417,1
0,897652,246,897068,0
0,445439,137,444747,0
0,5761,376,5141,0
0,407298,187,406639,0
0,95645,65,95094,1
0,296809,421,296102,1
0,438791,34,438168,1
0,296422,250,295724,0
0,311595,412,311224,1
0,39701,54,39237,1
1,22510,56,21845,0
0,262228,39,261515,0
0,603114,243,602248,1
0,610905,160,610333,0
1,862102,247,861431,0
0,8700,17,8095,0
0,1439745,91,1439215,1
0,9539,201,8904,1
0,367683,158,367096,0
0,11825,47,11139,0
0,406686,142,406078,0
0,32545,268,31979,0
0,2027,41,1341,0
0,465000,355,464038,0
1,874302,280,873739,1
0,1522297,87,1521722,0
0,456160,324,455483,0
0,9111,134,8734,0
0,478938,103,478315,0
0,494817,207,494134,1
0,21792,347,21193,0
0,649380,242,648745,1
1,499409,367,498789,0
0,13606,237,12851,1
0,551183,233,550740,0
0,53116,397,52718,0
0,302673,251,302005,0
0,633183,240,632827,1
0,1148872,410,1148204,0
0,548259,147,547909,0
0,627298,101,626603,1
0,555039,429,554545,1
0,269583,420,268954,0
0,1587490,217,1586741,0
0,1038285,195,1037734,1
0,266589,179,265723,0
0,21892,341,21179,0
0,400683,58,400036,1
0,1863,45,1279,0
0,564291,151,563632,1
0,1722444,340,1721857,1
0,1850809,110,1850192,1
0,1081012,406,1080440,1
0,217404,24,216745,0
0,2115566,27,2114982,1
0,10783,236,10139,0
0,266951,177,266226,0
0,643220,204,642618,0
0,238595,175,237978,1
0,174019,66,173294,1
0,33533,391,32910,1
0,66227,305,65685,0
0,1032696,196,1032121,1
0,1279824,192,1279111,1
0,549268,75,548651,0
1,1738968,29,1738420,0
0,110877,159,110344,1
1,44362,304,43754,1
0,375323,426,374682,1
0,1871216,109,1870641,0
0,48963,359,48349,0
0,57983,64,57381,1
0,559332,148,558976,0
0,21243,15,20602,1
1,807869,26,807330,1
0,17246,272,16593,0
0,11667,265,10975,1
0,1182146,316,1181541,1
0,777907,154,777242,0
0,474095,356,473496,0
0,548591,232,548190,0
0,1654543,32,1654004,1
0,15815,362,15231,0
0,417430,209,416753,1
0,50225,396,49587,0
0,23909,363,23259,0
0,1886263,224,1885670,0
0,1420673,92,1420101,0
0,1628056,218,1627475,0
0,5356,352,4736,1
0,272757,183,271798,0
0,422988,186,422386,0
0,431207,427,430704,0
0,563485,94,563114,0
0,1739,7,1236,1
0,488252,257,487683,0
0,2141017,330,2140400,0
0,305429,373,304515,0
1,210445,139,209840,1
0,636879,163,636250,1
0,2091750,38,2091055,1
0,211634,419,211245,0
0,34921,273,34262,1
0,1570983,121,1570405,1
0,596495,164,595866,0
0,3008,167,2760,1
0,491431,300,490859,1
0,458814,354,458125,0
0,283286,425,282588,0
1,11424,42,10828,0
0,1306828,214,1306226,1
0,14571,378,14272,0
0,9261,131,8539,0
0,70633,61,70109,0
0,1677970,118,1677395,0
0,566496,301,565864,1
0,1200244,315,1199621,0
0,8071,393,7124,1
0,631273,162,630704,1
0,1299223,190,1298663,0
1,1337715,216,1337152,0
1,893116,245,892445,1
0,102031,0,101630,1
0,452612,288,451995,0
0,542828,295,542232,1
0,2067976,37,2067425,0
0,632235,86,631654,1
0,253563,292,252895,0
0,1060193,194,1059636,1
0,54130,400,53294,1
1,225709,70,225092,1
0,2016292,331,2015537,0
0,55031,271,54300,0
0,42738,392,42403,1
0,683253,99,682675,0
0,930600,248,929947,1
0,510533,431,509916,0
0,1637787,114,1637185,1
0,602022,165,601444,0
0,9693,361,9067,0
0,325661,372,325122,0
0,85370,63,84681,0
0,482096,260,481446,0
0,152203,402,151562,0
0,1348,171,512,1
0,459742,256,459083,0
0,8984,262,8412,1
0,285006,252,284026,0
0,786,374,88,0
0,521226,213,520573,0
0,1896,261,1198,1
0,423275,208,422700,0
0,297265,230,296609,0
0,413954,418,413337,0
0,3185,166,2544,1
0,410431,185,409799,0
0,717564,275,716974,1
0,497547,258,496699,0
0,1973331,334,1972666,0
0,9993,35,9376,1
0,12963,343,12349,0
0,1274037,193,1273459,1
1,2090413,221,2089832,1
0,203566,71,203195,1
0,641268,241,640657,1
0,1749740,337,1749048,0
0,537100,296,536468,1
0,4555,135,3962,0
0,1078119,197,1077559,0
0,567898,125,567485,0
0,6670,234,6140,1
0,55203,81,54550,0
0,288418,229,287768,0
0,165971,20,165327,0
0,627125,85,626559,1
0,1646736,219,1646206,0
0,11470,49,11081,1
0,661517,2,660867,1
