Strand_Orientation,Genomic_End_Position,Gene_Db_Id,Encoded_Protein,Gene_Type,Genomic_Start_Position
0,796416,189,1,0,789632
0,18102,16,1,0,7759
0,635740,97,1,0,625292
1,29124,137,1,0,18715
0,510863,221,1,0,500484
0,347622,85,1,0,337195
0,8750,10,3,1,352
1,12299,147,3,1,2049
0,816094,67,1,0,805796
0,746001,146,1,0,735628
1,18044,37,1,0,13358
0,902706,96,1,0,892584
0,656937,158,1,0,646543
0,406298,26,1,0,400980
0,490459,112,1,0,480062
1,188433,129,1,0,178087
0,191125,46,1,0,180626
0,400877,72,2,0,396354
0,571102,15,1,0,563645
0,508446,161,1,0,497998
1,22907,1,2,0,17262
1,192236,130,3,1,185259
1,7036,196,1,0,1
0,1048694,138,1,0,1038261
1,14711,135,3,1,4479
1,5905,54,1,0,1
1,8139,180,3,1,1
1,15047,123,3,1,4680
0,610602,141,1,0,600223
1,46671,100,1,0,36289
0,138943,50,2,0,131411
0,682115,115,1,0,675892
0,656716,88,1,0,646334
0,56068,178,1,0,45617
0,2370774,166,1,0,2360422
1,107347,18,1,0,100946
1,364951,60,3,1,356759
1,79790,209,3,1,69342
1,34480,145,1,0,24017
0,545365,222,1,0,535076
1,7213,73,1,0,1
1,12287,133,3,1,1776
0,572820,185,1,0,566630
1,1301475,105,1,0,1291027
1,53674,205,1,0,43286
0,7785,140,2,0,1726
0,1049310,59,1,0,1038856
1,22220,224,1,0,11901
1,934030,203,3,1,926063
0,243214,170,1,0,232769
1,76316,29,2,0,71757
1,5029,28,2,0,2
0,780586,127,1,0,770171
1,12152,206,1,0,4158
1,102066,45,1,0,91621
1,19621,52,1,0,13649
1,72152,150,1,0,61794
1,600090,184,1,0,589645
0,9497,187,3,1,3
1,364064,57,1,0,353619
