Strand_Orientation,Genomic_Start_Position,Genomic_End_Position,Gene_Db_Id
1,35462,36160,20
1,627354,628319,186
0,978390,978860,280
0,287506,288480,176
0,331098,331967,155
0,467418,467996,365
0,1344239,1344856,201
0,339536,340144,413
0,217234,218124,168
0,16375,17055,49
1,204,1049,288
1,789061,789660,153
1,854569,855201,24
1,3,281,10
0,15472,16035,343
1,301183,301818,283
1,5631,6125,11
0,578253,578960,78
0,1664528,1665163,30
1,537880,538452,147
0,277617,278450,248
0,472107,473006,258
0,15977,16573,167
0,691,1236,125
1,2152117,2152710,107
0,750414,750998,203
1,497083,497850,298
1,652923,653543,85
1,698387,698962,98
1,350453,350824,414
1,583626,584282,134
0,425384,425782,143
0,1182499,1183104,327
0,160181,160801,403
0,10210,10872,105
1,411981,412598,285
1,513441,514088,297
1,666332,667099,4
0,243556,244449,292
0,222562,223254,293
0,259935,260483,178
0,1069351,1069989,196
1,197730,198335,43
1,1235211,1235855,189
0,1108595,1109266,398
0,5628,6197,387
1,38181,38888,80
0,2159390,2159962,328
0,1410949,1411596,22
1,388043,388432,197
0,70109,70633,60
0,10535,11230,374
1,672981,673589,187
0,1677395,1677970,118
0,5141,5761,375
0,1874526,1875155,223
1,310645,311313,422
1,273715,274287,174
0,432955,433446,208
1,35961,36542,385
0,540331,541203,104
1,374536,375081,122
1,1133424,1134002,408
0,1472456,1473130,89
0,1260970,1261581,326
1,1236,1739,6
0,404699,405277,142
1,1580900,1581481,218
1,1612,2442,289
1,327337,327963,424
0,1391459,1392058,310
0,252442,253089,179
0,896894,897457,277
1,358038,358436,282
1,11081,11470,48
1,370350,371048,281
0,1942577,1943209,9
1,6853,7470,273
1,75574,76266,284
1,20602,21243,14
1,605367,605996,243
0,331510,332148,411
0,844098,844685,368
1,1789544,1790185,224
1,617066,617680,238
0,58891,59685,50
0,1590720,1591262,332
0,31012,31626,357
0,67067,67780,415
0,424565,425359,253
0,281250,281837,180
0,1169145,1169771,348
1,1191744,1192370,317
0,18276,18926,390
1,2114982,2115566,26
1,1093786,1094415,320
1,987,1559,52
1,394403,395098,42
0,128075,128464,416
1,1132212,1132814,319
0,384969,385637,21
1,512,1348,169
0,567310,567879,381
1,190256,190891,67
1,3085,3660,198
1,755460,756041,100
0,1671336,1671935,119
1,2760,3008,165
0,17072,17644,349
0,392783,393310,286
0,1001410,1001979,96
0,1610868,1611491,331
1,10434,11006,13
0,1840178,1840810,111
1,1149983,1150552,316
1,376496,377041,363
0,388676,389569,254
0,1211533,1212108,313
0,1806064,1806636,338
0,6641,7249,54
0,420860,421453,417
0,410251,410649,144
0,531,1121,2
0,689434,690105,150
0,7151,7534,344
0,14272,14571,377
0,237338,237931,290
0,614912,615493,17
0,252897,253619,172
0,243160,244194,182
0,1175530,1176204,399
1,668282,668902,151
1,22609,22995,307
1,46335,47042,81
1,6140,6670,232
1,461563,462219,364
0,750,1079,128
1,1784156,1784731,334
1,1367977,1368555,311
1,170208,170789,69
1,44119,44727,395
0,916954,917604,278
0,6638,7294,266
0,8734,9111,132
1,632488,633393,83
0,2211,2852,16
0,1603452,1604078,116
1,218985,219644,72
1,262,873,5
0,462006,462632,141
0,1054,1707,378
0,554104,555039,79
1,891058,891600,276
1,522417,522983,296
0,897068,897652,245
0,444747,445439,135
0,8245,8892,376
0,406639,407298,185
1,95094,95645,65
1,296102,296809,421
1,438168,438791,33
0,295724,296422,249
1,311224,311595,412
0,22523,22912,59
1,19953,20624,75
0,261515,262228,38
1,602248,603114,242
0,610333,610905,158
0,861431,862102,246
1,9376,9993,34
1,1439215,1439745,92
1,11959,12594,200
0,367096,367683,156
0,27344,28027,45
0,406078,406686,140
0,31979,32545,267
0,10828,11424,41
0,464038,465000,354
1,873739,874302,279
0,1521722,1522297,88
0,455483,456160,323
0,27985,28680,130
0,478315,478938,103
1,494134,494817,205
0,21193,21792,346
1,648745,649380,241
0,498789,499409,366
0,21079,21840,235
0,550740,551183,231
0,52718,53116,397
0,302005,302673,250
1,632827,633183,239
0,1148204,1148872,410
0,547909,548259,145
1,626603,627298,101
1,554545,555039,429
0,268954,269583,420
0,1586741,1587490,215
1,1037734,1038285,193
0,265723,266589,177
0,21179,21892,340
1,400036,400683,57
0,11139,11825,46
1,563632,564291,149
1,1721857,1722444,339
0,1870641,1871216,110
1,1080440,1081012,406
0,216745,217404,23
1,2130250,2130876,106
1,4696,5418,236
0,266226,266951,175
0,642618,643220,202
1,237978,238595,173
1,173294,174019,66
1,32910,33533,391
0,65685,66227,304
1,1032121,1032696,194
1,1279111,1279824,190
0,548651,549268,76
0,1738420,1738968,28
1,110344,110877,157
1,43754,44362,303
1,374682,375323,426
1,1893637,1894275,112
0,48349,48963,358
0,62859,63431,64
0,558976,559332,146
1,1330,1947,15
1,807330,807869,25
0,16593,17246,271
1,10975,11667,264
1,1181541,1182146,315
0,777242,777907,152
0,473496,474095,355
0,548190,548591,230
1,1654004,1654543,31
0,15231,15815,361
1,416753,417430,207
0,49587,50225,396
0,23259,23909,362
0,1885670,1886263,222
0,1420101,1420673,93
0,1627475,1628056,216
1,4736,5356,351
0,271798,272757,181
0,422386,422988,184
0,430704,431207,427
0,563114,563485,95
1,4241,4939,7
0,487683,488252,256
0,2140400,2141017,329
0,304515,305429,372
1,209840,210445,137
1,636250,636879,161
1,2102468,2103139,225
0,211245,211634,419
1,34262,34921,272
1,1570405,1570983,121
0,595866,596495,162
1,8904,9539,199
1,490859,491431,299
0,458125,458814,353
0,282588,283286,425
0,1279,1863,44
1,1306226,1306828,212
1,10110,10499,39
0,5888,6256,131
0,76545,77237,61
0,1685527,1685667,117
1,565864,566496,300
0,1199621,1200244,314
1,7124,8071,393
1,630704,631273,160
0,1298663,1299223,188
0,1337152,1337715,214
1,892445,893116,244
1,101630,102031,0
0,451995,452612,287
1,542232,542828,294
1,2081918,2082607,36
1,631654,632235,87
0,252895,253563,291
1,1059636,1060193,192
1,53294,54130,400
1,225092,225709,70
0,2015537,2016292,330
0,54300,55031,270
1,42403,42738,392
0,682675,683253,99
1,929947,930600,247
0,509916,510533,431
1,1652444,1653046,114
0,601444,602022,163
0,9067,9693,360
0,325122,325661,371
1,57381,57983,63
0,481446,482096,259
0,151562,152203,402
1,6941,7816,170
0,459083,459742,255
1,8412,8984,261
0,284026,285006,251
0,88,786,373
0,520573,521226,211
1,1198,1896,260
0,422700,423275,206
0,296609,297265,228
0,413337,413954,418
1,10142,10738,166
0,409799,410431,183
1,716974,717564,274
0,496699,497547,257
1,2020752,2021354,37
0,21845,22510,55
0,12349,12963,342
1,1273459,1274037,191
1,2089832,2090413,219
1,203195,203566,71
1,640657,641268,240
1,1772775,1773473,335
1,536468,537100,295
1,2544,3185,164
0,1077559,1078119,195
0,567485,567898,124
0,4066,4704,233
0,54550,55203,82
0,287768,288418,227
0,165327,165971,19
1,626559,627125,86
0,1646206,1646736,217
1,10641,11303,51
1,660867,661517,1
