GeneType,GeneDescription,OrthologId,GenomicEndPosition,GeneDbId,ChromosomeId,GenomicStartPosition,StrandOrientation
1,0,13,1008775,190,59,1006142,0
0,0,166,66235,249,41,64469,1
1,0,91,654938,254,27,652152,0
1,0,170,8756,147,46,5919,1
0,0,61,4216,135,48,1460,1
1,0,175,430057,186,33,427406,0
0,0,156,1137976,139,58,1133828,0
0,0,85,1204,129,88,2,0
0,0,109,8397,16,9,5578,1
0,0,7,764760,203,31,762982,0
1,0,147,976,21,75,2,1
1,0,21,690828,276,37,688522,0
1,0,6,3258,40,78,436,0
1,0,180,6116,59,104,4224,1
0,0,12,606712,239,12,603989,0
1,0,74,21218,243,26,18921,1
1,0,117,9121,289,39,6152,1
1,0,130,33240,56,41,30436,1
0,0,55,490870,47,1,489493,0
1,0,171,4777,19,71,2027,1
0,0,77,26225,207,66,24447,1
1,0,75,783456,83,34,780772,0
1,0,162,15107,264,2,12237,1
0,0,16,169188,308,45,166855,1
0,0,128,663320,260,24,660522,0
0,0,24,58458,117,16,55432,1
0,0,61,1185502,71,48,1183688,0
1,0,13,644271,101,59,641242,1
1,0,138,16574,223,139,14088,1
0,0,157,3713,285,98,2106,0
1,0,122,59561,142,51,57681,1
0,0,2,3597,236,141,1834,0
1,0,103,5794,138,124,3014,0
0,1,0,655728,169,18,653962,0
1,0,167,41742,309,45,39727,1
1,0,21,829858,122,37,827087,0
0,0,24,794113,244,33,793295,0
0,0,80,169312,68,56,166550,0
1,0,178,130785,107,20,128263,0
1,0,78,122539,191,14,120197,1
0,0,119,594892,228,28,591674,0
0,0,54,571445,199,21,567813,0
1,0,113,690966,180,32,687994,0
1,0,28,9553,116,86,7784,0
1,0,76,582823,22,21,581135,0
0,0,155,1917064,174,57,1914173,1
1,0,78,25743,232,14,24748,1
1,0,108,71114,196,4,69705,1
0,0,120,103187,323,9,101616,0
1,0,175,411506,60,33,408474,0
1,0,15,585311,229,28,582390,0
1,0,86,2350211,168,60,2347587,0
1,0,136,912033,75,41,909235,0
1,0,18,12191,233,14,9909,1
1,0,115,1182,95,116,1,1
0,0,60,4231,137,52,1391,1
0,0,155,14595,67,68,12280,1
1,0,48,9360,257,95,6577,0
1,0,10,14953,303,54,12005,1
1,0,83,29749,163,29,26915,1
1,0,175,760085,245,33,757590,0
1,0,59,14455,93,114,11690,0
0,0,162,30562,280,18,28739,1
0,0,2,4524,242,142,2574,0
1,0,17,486237,25,48,483109,0
0,0,87,19758,185,136,17038,0
0,0,99,47207,84,113,45534,1
0,0,164,36437,105,118,35517,1
1,0,38,5595,70,108,2761,1
1,0,136,931453,226,41,928565,0
1,0,72,2693,282,97,396,0
0,0,107,4036,65,68,1289,1
1,0,60,93761,74,66,90201,1
1,0,61,11733,76,83,9154,0
1,0,45,706189,15,29,704129,0
0,0,149,120500,322,9,118605,0
1,0,162,26060,261,2,23298,1
1,0,116,351197,218,63,348939,0
1,0,49,33122,283,42,30594,1
1,0,145,1425113,14,53,1422420,0
1,0,8,688837,91,26,685982,0
0,0,166,56433,250,41,54619,1
0,0,25,1739,12,73,3,1
0,0,130,201879,300,62,200095,0
1,0,86,1320804,153,60,1318300,0
1,0,91,628364,103,27,625434,0
0,0,161,3779,183,134,1517,0
0,0,15,64637,152,66,62859,1
1,0,53,4799,273,145,2103,0
1,0,108,7313,237,141,4734,0
0,0,151,19476,161,129,17815,1
1,0,176,7957,144,127,5381,0
0,0,184,840765,124,37,837994,0
1,0,133,2120212,108,59,2117660,0
1,0,100,411543,246,31,408877,0
0,0,179,2442,158,36,1297,1
1,0,124,29971,146,46,27197,1
1,0,178,1032018,51,45,1029001,0
1,0,177,16396,295,150,13598,0
1,0,82,492103,132,0,489575,0
0,0,160,3892,45,55,599,1
1,0,137,439193,288,47,435576,0
1,0,91,570499,253,27,567725,0
1,0,181,3857,106,119,1095,1
1,0,125,924785,238,58,922281,1
1,0,108,245943,63,4,244298,0
1,0,36,556405,241,28,554000,1
0,0,66,9141,221,138,8410,0
1,0,121,981807,279,53,979324,1
1,0,175,14712,222,92,11650,0
1,0,150,2360044,13,60,2358530,0
1,0,169,11256,255,93,8914,1
1,0,132,7825,94,115,5795,0
0,0,138,9869,55,59,8244,1
1,0,83,96498,209,29,94816,1
1,0,112,83774,188,15,82602,1
0,0,39,1981,298,100,2,0
1,0,140,483389,320,5,481422,0
0,0,179,85945,310,16,83153,1
0,0,68,21702,61,105,18811,0
0,0,65,22871,4,25,21810,1
1,0,63,5339,53,102,2904,1
0,0,107,728090,36,30,725151,0
1,0,89,3210,23,74,616,1
0,0,120,258722,219,9,256827,0
0,0,51,10587,182,133,8119,1
1,0,26,145152,315,13,142906,1
1,0,104,572075,301,17,569139,0
1,0,125,58311,299,58,56848,1
1,0,49,905988,100,42,903148,0
1,0,105,710712,200,37,708220,0
0,0,137,45706,262,2,43370,1
1,0,12,588116,3,8,586977,0
0,0,143,4613,120,5,1626,1
0,0,106,3158,6,40,342,1
1,0,113,4342,85,32,1385,1
1,0,172,15683,258,96,12888,0
1,0,119,378832,38,64,376718,0
1,0,145,39618,86,53,36688,1
0,0,96,563158,321,21,560651,0
0,0,69,467624,172,11,464685,0
1,0,157,2020967,178,57,2018517,0
0,0,159,4567,57,81,1604,0
1,0,28,24449,115,86,21516,0
0,0,166,54516,97,41,53479,1
1,0,44,197559,194,9,195199,1
0,0,33,955,157,89,2,1
1,0,137,1130391,198,47,1127446,0
0,0,15,61849,48,66,60071,1
1,0,133,1824669,166,59,1821786,0
1,0,115,21022,64,106,18272,1
1,0,82,517997,134,0,514713,0
1,0,133,2028531,268,59,2025571,0
1,0,8,4543,140,125,1706,1
1,0,93,16034,128,24,13233,0
0,0,37,1337382,271,53,1335682,0
0,0,57,1973,1,155,3,1
1,0,62,9934,90,50,6965,1
1,0,41,16389,181,40,14728,1
1,0,145,648458,162,22,645735,0
0,0,67,31215,302,69,30121,1
1,0,62,1175229,148,50,1172704,0
0,0,3,2772,318,13,301,1
1,0,18,265804,202,10,263906,0
0,0,5,496864,170,6,494066,0
1,0,150,1709527,110,60,1707056,1
1,0,124,905310,39,46,902803,0
1,0,30,5025,159,128,2677,1
1,0,108,474181,193,4,471830,0
0,0,119,20670,141,126,18052,1
0,0,148,1434052,156,53,1432280,0
1,0,133,2327020,265,59,2324351,0
1,0,109,30617,151,67,28410,1
0,0,56,791878,123,37,790079,0
1,0,2,10460,79,112,8049,1
1,0,100,754760,206,31,752910,0
1,0,98,6217,319,13,3602,1
1,0,6,396132,247,31,393928,0
1,0,83,128705,208,29,127131,1
1,0,186,496021,27,1,493463,0
1,0,26,56619,316,13,53854,1
0,0,173,4421,32,77,3684,1
0,0,103,117865,212,2,115973,1
1,0,28,19013,46,36,16263,1
1,0,21,174847,195,9,172793,1
1,0,4,8963,176,132,6399,1
0,0,166,6840,286,147,3826,0
0,0,152,34372,2,51,33320,1
1,0,141,110366,251,65,107442,1
1,0,42,7278,99,117,4399,0
0,0,179,67475,297,57,65139,1
0,0,40,1140600,197,47,1138639,0
1,0,34,1174681,78,49,1172813,0
1,0,50,1443,20,72,1,1
0,0,99,7112,284,146,4374,1
1,0,13,1113039,296,59,1110685,1
1,0,81,7245,291,148,4687,1
1,0,82,12451,175,131,9695,1
0,0,69,2274,52,79,1,0
1,0,86,2194888,109,60,2192474,1
1,0,137,16715,187,47,14439,1
0,0,182,750304,210,37,747923,0
1,0,44,214887,307,9,212992,0
1,0,13,44770,26,51,42977,1
1,0,22,56555,324,43,54387,1
1,0,79,18751,112,85,16475,1
1,0,133,2149200,267,59,2146741,0
1,0,24,3783,88,25,1453,1
1,0,123,596370,278,11,593812,0
1,0,82,19819,125,0,16985,1
0,0,8,392186,225,11,389424,0
0,0,114,36463,119,16,33455,1
0,0,118,447897,287,47,446350,0
0,0,107,598524,96,7,596251,0
1,0,150,342240,155,60,339421,1
1,0,32,107280,50,19,104554,0
1,0,127,2892,69,107,97,0
0,0,20,478312,10,11,477440,0
1,0,31,46833,77,111,44356,0
1,0,86,670094,37,60,667467,0
0,0,146,2028848,179,57,2027736,0
1,0,27,68416,263,2,66416,1
1,0,95,4460,130,88,2295,0
0,0,52,553364,252,18,550602,0
1,0,110,201254,160,61,198909,0
1,0,53,4289,171,38,3018,1
1,0,64,3538,293,99,857,1
1,0,149,12394,305,151,9605,0
0,0,90,748745,35,30,745776,0
1,0,131,14564,62,82,12819,1
0,0,186,39476,270,144,36720,1
1,0,102,13956,216,91,10954,0
1,0,88,68621,192,58,67503,1
0,0,8,645301,277,11,642806,0
1,0,5,5678,131,123,4257,1
1,0,158,458839,17,11,457553,0
1,0,70,825842,311,40,823350,0
0,0,112,38223,31,43,36197,1
0,0,157,968,8,154,3,0
1,2,103,11541,326,43,8509,1
0,0,182,12865,290,39,9965,1
1,0,8,582104,240,12,579438,0
1,0,123,79885,231,11,77750,1
1,0,153,2982,73,110,445,1
1,0,165,22938,89,57,21226,1
1,0,133,1573917,167,59,1571158,0
0,0,43,531490,33,3,528650,0
0,0,25,4734,126,87,2191,0
0,0,182,729858,201,37,727477,0
0,0,101,367390,217,63,364778,0
0,0,58,966472,30,44,963723,0
0,0,89,18183,235,140,15433,0
1,0,38,4073,5,70,1218,0
1,0,51,15577,72,109,12521,1
1,0,13,2071578,165,59,2068987,0
1,0,126,27589,111,84,25172,0
1,0,75,22430,44,34,19944,1
1,0,137,27235,150,30,24623,1
1,0,129,801320,82,34,798915,0
0,0,78,11142,114,121,8839,1
1,0,15,242630,121,23,239769,1
1,0,80,10610,173,130,8169,1
1,0,154,106204,281,18,104012,1
1,0,73,16963,49,101,14936,0
0,0,152,1171911,149,50,1168945,0
1,0,36,577397,7,28,576201,0
1,0,35,1820,9,156,189,0
1,0,47,485801,34,3,483723,0
1,0,22,26744,325,43,24147,1
1,0,18,619021,154,14,617285,0
0,0,65,13820,29,25,12766,1
1,0,150,2325261,42,60,2323705,0
1,0,71,10910,92,114,8910,0
1,0,93,639965,259,24,637563,0
