GeneType,GeneDescription,OrthologId,GenomicEndPosition,GeneDbId,ChromosomeId,GenomicStartPosition,StrandOrientation
0,0,76,3932,161,116,1401,0
0,0,12,914046,63,33,913312,0
0,0,123,244454,157,19,243822,0
0,0,131,394758,20,9,393970,0
0,0,33,574603,169,21,572120,0
1,0,10,4883,42,80,2628,1
1,0,120,252998,130,28,250869,0
0,0,73,2976,163,75,781,0
1,0,109,92964,92,41,90784,1
0,0,122,7454,52,87,5259,1
1,0,66,470842,188,51,468923,0
0,0,94,2907,36,70,667,0
0,0,43,4593,1,17,2230,1
1,0,9,689616,82,52,687517,0
1,0,8,598394,168,21,596190,0
0,0,51,2152,10,58,38,0
0,0,30,507624,192,3,505363,0
1,0,67,459000,173,10,456733,0
1,0,55,123424,232,8,121439,0
0,0,119,53099,223,38,50910,1
0,0,75,3147,43,81,535,1
0,0,122,7548,54,89,5362,0
0,0,122,11573,108,101,9210,0
0,0,57,81116,4,13,80040,1
0,0,20,703891,72,23,701787,0
0,0,85,79561,117,55,77369,1
0,0,7,6111,23,66,4843,1
1,0,77,299939,227,11,297915,1
0,0,113,115059,159,22,112891,1
0,0,52,1036,15,61,2,1
0,0,131,28523,81,37,26538,1
1,0,19,547726,133,7,545198,0
0,0,115,19404,200,120,17227,0
0,0,131,1039862,77,37,1037046,0
1,0,18,1937904,26,52,1935421,0
1,0,26,52834,183,0,50840,0
1,0,6,13918,121,103,11750,1
1,0,31,18062,132,106,16122,1
1,0,103,62927,148,24,60651,1
1,0,114,34512,89,95,32440,1
0,0,122,5683,56,90,3845,0
0,0,50,828692,195,47,827244,1
0,0,20,711734,32,23,710958,0
0,0,29,482055,111,10,479794,0
1,0,92,89110,207,16,86993,1
0,0,43,71096,137,40,68619,1
0,0,96,7735,185,77,5258,1
0,0,109,2326647,17,52,2325364,0
1,0,100,5117,217,79,2943,0
0,0,79,120751,186,3,119534,1
0,0,16,9642,211,122,7252,0
0,0,122,28514,109,102,26043,0
0,0,56,1699,85,8,101,1
1,0,16,3774,18,63,1570,0
1,0,131,468090,40,2,465892,0
1,0,74,811009,210,32,808763,0
1,0,39,619207,203,9,617003,0
0,0,38,194620,124,53,192110,0
0,0,34,52112,103,43,49749,1
1,0,102,1108,160,74,1,0
0,0,122,3468,70,93,1171,0
1,0,110,813661,181,37,811541,0
0,0,83,560608,180,16,558551,0
1,0,17,961848,152,36,959689,0
0,0,67,915393,62,33,914149,0
0,0,111,6868,184,118,4559,1
0,0,133,50074,190,3,47909,1
0,0,120,487691,31,18,485538,0
1,0,127,17178,106,100,14941,1
0,0,12,669010,131,16,666635,0
0,0,14,2335,170,12,101,1
0,0,91,798,165,76,1,1
0,0,132,1159648,142,41,1157084,0
0,0,64,140815,228,11,140096,1
0,0,58,3637,162,33,1680,1
0,0,122,5471,136,109,3207,1
0,0,47,5333,21,64,3093,1
1,0,30,8253,102,41,6340,1
0,0,40,477141,199,7,476586,0
0,0,122,5583,97,97,3223,0
1,0,11,20192,202,29,18165,1
1,0,46,636865,79,20,634829,0
0,0,78,180595,118,57,178343,0
0,0,115,827,14,60,3,0
1,0,92,122003,229,11,119982,1
0,0,102,16433,194,78,14709,1
1,0,23,35613,196,119,33460,1
1,0,132,16106,73,94,14127,0
0,0,26,2352753,129,52,2351474,0
0,0,41,85349,66,4,84366,1
0,0,137,303473,216,12,301437,1
0,0,13,49973,27,23,48072,1
0,0,122,7225,105,99,4853,0
0,0,36,3201,59,72,2560,1
0,0,122,17152,135,108,14774,1
0,0,32,369971,60,54,367785,0
1,0,70,19107,104,43,16912,1
0,0,60,316113,226,11,313945,1
0,0,134,3704,22,65,1446,1
0,0,129,4679,113,39,2307,1
0,0,15,2152465,191,51,2150273,0
1,0,4,1287,19,67,1,0
0,0,122,3133,51,87,824,1
0,0,81,23314,236,2,21104,0
0,0,5,763294,175,26,761027,0
1,0,80,411395,37,13,410220,0
1,0,130,51771,234,35,49540,1
1,0,124,469090,34,1,466913,0
0,0,126,909502,74,34,907241,0
0,0,82,68193,146,25,66007,1
0,0,104,315631,215,12,313523,1
1,0,62,10067,29,44,8418,1
1,0,40,609383,78,20,607077,0
0,0,118,377705,96,56,375522,0
0,0,106,400277,28,10,398004,0
0,0,25,702444,212,22,701878,0
1,0,27,369509,61,13,367296,1
0,0,101,5540,44,82,3963,1
0,0,40,526037,39,3,525222,0
0,0,25,57522,125,22,55348,1
1,0,15,1375691,119,44,1373202,0
1,0,19,3258,208,121,754,1
0,0,121,66424,233,35,64094,1
1,0,63,16197,177,117,13717,1
0,0,122,1669,47,84,2,1
1,0,0,399311,90,14,397290,0
0,0,44,646569,182,12,644707,0
0,0,47,20107,68,49,17801,1
0,0,68,2123600,86,51,2121408,0
1,0,35,5726,0,123,3723,0
1,0,28,654471,75,51,652312,1
1,0,21,828777,107,46,827212,1
0,0,83,27070,139,16,24536,1
0,0,104,311650,214,12,309482,1
0,0,108,6765,193,78,4204,1
0,2,122,1518,58,91,1,1
1,0,24,477984,149,5,475453,0
0,0,37,1178466,115,42,1176085,0
1,0,135,2336,147,112,3,1
1,0,102,60946,145,52,58898,1
0,0,122,4334,94,96,1968,1
1,0,35,1028709,167,39,1026565,0
1,0,37,224206,201,34,222371,1
0,0,26,92121,138,40,90979,1
1,0,19,731499,33,23,729406,0
0,0,122,7491,126,22,5182,1
0,0,115,1333,16,62,3,0
0,0,45,14203,57,32,11819,1
0,0,77,1475,2,124,3,0
0,0,71,471716,220,5,470270,0
1,0,28,1909430,128,51,1907460,1
1,0,61,669243,187,18,667156,0
0,0,131,18709,35,27,16532,1
0,0,122,6479,134,107,5838,1
0,0,98,668634,155,24,666520,0
