Gene_Classification,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Orthologous_Gene,Genomic_Start_Position,Strand_Orientation
0,1142859,409,409,4,48,1142287,1
0,1481322,93,93,4,74,1480762,1
0,1306828,210,210,4,89,1306226,1
0,1739,6,6,4,34,1236,1
0,405277,142,142,4,31,404699,0
0,1587490,213,213,4,89,1586741,0
0,2442,288,288,4,29,1612,1
0,327963,424,424,4,95,327337,1
0,1411596,21,21,4,17,1410949,0
0,253089,178,178,4,21,252442,0
0,917604,276,276,4,99,916954,0
0,358436,280,280,2,56,358038,1
0,11470,47,47,2,124,11081,1
0,371048,279,279,4,96,370350,1
0,1943209,9,9,4,57,1942577,0
0,7470,271,271,4,124,6853,1
0,76266,282,282,4,47,75574,1
0,21243,14,14,4,16,20602,1
0,605996,240,240,4,6,605367,1
0,332148,411,411,4,96,331510,0
1,862102,243,243,3,1,861431,0
0,1875155,220,220,4,48,1874526,0
0,617680,235,235,4,15,617066,1
0,59685,49,49,4,75,58891,0
0,1611491,331,331,4,120,1610868,0
0,31626,357,357,4,22,31012,0
0,67780,415,415,4,31,67067,0
0,425359,250,250,4,23,424565,0
0,281837,179,179,4,97,281250,0
0,1187163,347,347,4,166,1186465,0
0,1200244,313,313,4,57,1199621,0
0,18926,390,390,4,149,18276,0
0,2115566,25,25,4,94,2114982,1
0,1109679,317,317,4,94,1109041,1
0,1559,51,51,4,42,987,1
0,413954,418,418,4,17,413337,0
0,128464,416,416,2,7,128075,0
0,1139142,316,316,4,57,1138561,1
1,385637,20,20,3,55,384969,0
0,1348,168,168,4,42,512,1
0,567879,381,381,2,86,567310,0
0,190891,66,66,4,96,190256,1
0,3660,197,197,4,42,3085,1
0,1001979,95,95,4,163,1001410,0
1,1671935,119,119,3,118,1671336,0
0,3008,164,164,4,141,2760,1
0,17644,349,349,4,153,17072,0
0,393310,284,284,4,10,392783,0
0,1025055,193,193,4,74,1024453,0
0,1654543,30,30,4,148,1654004,1
0,11006,13,13,4,137,10434,1
0,1840810,110,110,4,57,1840178,0
0,1182146,314,314,4,57,1181541,1
0,377041,363,363,4,25,376496,1
0,389569,251,251,4,107,388676,0
0,1235855,189,189,2,94,1235211,1
0,1806636,338,338,4,144,1806064,0
0,7249,53,53,4,42,6641,0
0,452612,285,285,4,94,451995,0
0,410649,144,144,2,31,410251,0
0,1121,2,2,4,160,531,0
0,725245,152,152,4,114,724664,1
0,7534,344,344,2,146,7151,0
0,14571,377,377,4,99,14272,0
0,237931,289,289,4,23,237338,0
0,622513,26,26,4,94,621803,0
0,253619,171,171,4,31,252897,0
0,244194,181,181,4,21,243160,0
0,305429,372,372,4,9,304515,0
1,690105,150,150,3,55,689434,0
0,22995,306,306,2,56,22609,1
0,47042,80,80,4,31,46335,1
0,6670,229,229,4,42,6140,1
0,462219,364,364,4,113,461563,1
0,1079,128,128,2,75,750,0
0,1784731,334,334,4,144,1784156,1
0,1392058,309,309,4,163,1391459,0
0,170789,68,68,4,31,170208,1
1,44727,395,395,3,65,44119,1
1,978860,278,278,1,115,978390,0
0,7294,264,264,4,42,6638,0
0,9111,132,132,2,75,8734,0
0,633393,82,82,4,59,632488,1
0,2852,16,16,4,36,2211,0
0,1610144,115,115,4,74,1609563,0
0,219644,71,71,4,53,218985,1
0,873,5,5,4,32,262,1
0,462632,141,141,4,95,462006,0
0,1707,378,378,4,85,1054,0
0,555039,78,78,4,76,554104,0
0,897457,275,275,4,60,896894,0
0,522983,295,295,4,6,522417,1
0,930600,244,244,4,166,929947,1
0,445439,135,135,4,107,444747,0
0,8892,376,376,4,4,8245,0
0,407298,184,184,4,83,406639,0
0,95645,64,64,4,109,95094,1
0,296809,421,421,4,95,296102,1
0,438791,32,32,4,141,438168,1
0,296422,246,246,4,131,295724,0
0,311595,412,412,2,96,311224,1
0,22912,58,58,2,128,22523,0
0,20624,74,74,4,66,19953,1
0,262228,37,37,4,166,261515,0
0,603114,239,239,4,15,602248,1
0,610905,157,157,4,133,610333,0
1,893116,241,241,3,11,892445,1
0,9993,33,33,4,125,9376,1
0,1448091,89,89,4,17,1447573,1
0,12594,199,199,4,92,11959,1
0,367683,155,155,4,26,367096,0
0,28027,44,44,4,124,27344,0
0,406686,140,140,4,95,406078,0
0,32545,265,265,4,124,31979,0
1,11424,40,40,3,105,10828,0
0,465000,354,354,4,2,464038,0
1,891600,274,274,1,41,891058,1
0,1570983,121,121,4,94,1570405,1
0,487260,203,203,4,122,486679,1
1,28680,130,130,3,162,27985,0
0,478938,102,102,4,3,478315,0
0,1109266,398,398,4,136,1108595,0
0,21792,346,346,4,40,21193,0
0,649380,238,238,4,6,648745,1
1,499409,366,366,3,55,498789,0
0,21840,232,232,4,128,21079,0
0,551183,228,228,2,159,550740,0
0,53116,397,397,5,37,52718,0
0,302673,247,247,4,46,302005,0
0,633183,236,236,2,93,632827,1
0,1591262,332,332,4,69,1590720,0
0,548259,145,145,2,71,547909,0
0,627298,100,100,4,81,626603,1
0,555039,429,429,4,95,554545,1
0,269583,420,420,4,133,268954,0
1,1591401,214,214,3,127,1590901,0
0,1060193,191,191,4,57,1059636,1
0,266589,176,176,4,21,265723,0
0,21892,340,340,4,52,21179,0
0,400683,56,56,4,155,400036,1
0,11825,45,45,4,124,11139,0
0,564291,149,149,4,113,563632,1
0,1183104,326,326,4,39,1182499,0
0,1871216,109,109,4,17,1870641,0
0,1100102,407,407,4,99,1099440,1
0,217404,22,22,4,23,216745,0
0,2130876,105,105,4,94,2130250,1
0,5418,233,233,4,75,4696,1
0,266951,174,174,4,96,266226,0
0,643220,201,201,4,64,642618,0
0,238595,172,172,4,31,237978,1
0,174019,65,65,4,47,173294,1
0,33533,391,391,4,145,32910,1
0,66227,303,303,4,118,65685,0
0,1038285,192,192,4,94,1037734,1
0,1299223,187,187,4,94,1298663,0
0,549268,75,75,4,157,548651,0
0,1790185,221,221,4,34,1789544,1
0,110877,156,156,5,159,110344,1
1,44362,302,302,3,119,43754,1
0,375323,426,426,4,126,374682,1
0,1894275,111,111,4,28,1893637,1
0,48963,358,358,4,102,48349,0
0,63431,63,63,4,124,62859,0
0,559332,146,146,2,78,558976,0
1,1947,15,15,3,138,1330,1
0,849658,23,23,4,120,849029,1
0,17246,269,269,4,42,16593,0
0,11667,262,262,4,42,10975,1
0,1192370,315,315,4,158,1191744,1
0,789660,151,151,4,58,789061,1
0,474095,355,355,4,111,473496,0
0,548591,227,227,2,41,548190,0
0,1665163,29,29,4,148,1664528,0
0,15815,361,361,4,50,15231,0
0,423275,205,205,4,5,422700,0
0,50225,396,396,4,99,49587,0
0,23909,362,362,4,139,23259,0
0,1935320,217,217,4,120,1934724,0
0,1439745,90,90,4,57,1439215,1
0,1646736,215,215,4,19,1646206,0
0,5356,351,351,4,132,4736,1
0,272757,180,180,4,21,271798,0
0,422988,183,183,4,62,422386,0
0,431207,427,427,4,142,430704,0
0,563485,94,94,2,18,563114,0
0,4939,7,7,4,1,4241,1
0,488252,253,253,4,129,487683,0
0,2159962,327,327,4,69,2159390,0
0,1722444,339,339,4,21,1721857,1
1,210445,137,137,3,43,209840,1
0,636879,160,160,4,126,636250,1
0,2103139,222,222,4,57,2102468,1
0,211634,419,419,5,8,211245,0
0,34921,270,270,4,124,34262,1
0,1578872,120,120,4,17,1578312,0
0,596495,161,161,4,133,595866,0
0,9539,198,198,4,92,8904,1
0,491431,298,298,4,6,490859,1
0,458814,353,353,4,97,458125,0
0,283286,425,425,4,133,282588,0
0,1863,43,43,4,128,1279,0
1,1337715,212,212,3,30,1337152,0
0,10499,38,38,2,91,10110,1
0,6256,131,131,2,128,5888,0
0,77237,60,60,4,128,76545,0
0,1685667,117,117,0,158,1685527,0
0,566496,299,299,4,130,565864,1
0,1212108,312,312,4,17,1211533,0
0,8071,393,393,4,84,7124,1
0,631273,159,159,4,95,630704,1
0,1357417,311,311,4,144,1356881,1
0,1413348,211,211,4,13,1412725,1
0,897652,242,242,4,161,897068,0
0,102031,0,0,4,101,101630,1
0,460277,286,286,4,57,459570,0
0,542828,293,293,4,6,542232,1
0,2082607,35,35,4,57,2081918,1
0,673589,186,186,4,12,672981,1
0,253563,290,290,4,129,252895,0
0,1069989,195,195,4,57,1069351,0
0,54130,400,400,4,51,53294,1
1,225709,69,69,3,33,225092,1
0,2039757,329,329,4,167,2039173,1
0,55031,268,268,4,128,54300,0
0,42738,392,392,4,84,42403,1
0,698962,97,97,4,94,698387,1
0,1037760,369,369,4,166,1037092,1
0,510533,431,431,4,44,509916,0
0,1653046,113,113,4,57,1652444,1
0,602022,162,162,4,142,601444,0
0,9693,360,360,4,139,9067,0
0,325661,371,371,4,131,325122,0
0,57983,62,62,4,128,57381,1
0,482096,256,256,4,107,481446,0
0,152203,402,402,4,89,151562,0
0,7816,169,169,4,124,6941,1
0,459742,252,252,4,26,459083,0
0,8984,258,258,4,75,8412,1
0,285006,248,248,4,131,284026,0
0,786,373,373,4,35,88,0
0,521226,209,209,4,110,520573,0
0,1896,257,257,4,75,1198,1
0,433446,206,206,4,5,432955,0
0,297265,225,225,4,155,296609,0
0,421453,417,417,4,158,420860,0
0,10738,165,165,4,128,10142,1
0,410431,182,182,4,62,409799,0
0,739582,273,273,4,69,738989,0
0,497547,254,254,4,23,496699,0
0,2021354,36,36,4,17,2020752,1
1,22510,54,54,3,155,21845,0
0,12963,342,342,4,52,12349,0
0,1279824,190,190,4,17,1279111,1
0,2141017,328,328,4,48,2140400,0
0,203566,70,70,2,56,203195,1
0,641268,237,237,4,130,640657,1
1,1773473,335,335,3,118,1772775,1
0,537100,294,294,4,6,536468,1
0,3185,163,163,4,124,2544,1
0,1094415,319,319,4,57,1093786,1
0,567898,124,124,2,61,567485,0
0,4704,230,230,4,124,4066,0
0,55203,81,81,4,31,54550,0
0,288418,224,224,4,108,287768,0
0,165971,18,18,4,1,165327,0
0,627125,85,85,4,168,626559,1
0,606832,86,86,4,48,606242,0
0,11303,50,50,4,75,10641,1
0,661517,1,1,4,6,660867,1
